Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
72 Riad Living,Rachel R wrote a review Mar 23,50,Lovely ambience and service,I honestly couldn't fault Riad 72. The staff are so nice (helpful and polite) the food lovely roof terrace stylish decor simple yet beautiful and the location lovely and quiet but close to everything. The whole experience was excellent and we had a really peaceful enjoyable stay. We can't wait to go back!,Date of stay: March 2023,Trip type: Traveled as a couple,"Edinburgh, United Kingdom",https://www.tripadvisor.com/Profile/rachrichmond
72 Riad Living,Ron N wrote a review Feb 2023,50,Top marks well earned,We stayed for four nights at 72 Riad Living (would have been five except my wife developed a medical issue) and were so impressed by the deep commitment and attention to detail all staff demonstrated. Whether we interacted with the bellman receptionist waiter room cleaner right up to the general manager there was no doubt that all were on the same page when it came to ensuring guest satisfaction. Kudos to Stefania and her team.  The hotel itself is a quiet oasis in the beehive that is the old medina. We were glad that the hotel provides airport pickup as there's no direct taxi access to the property. The driver must drop you at the nearest medina entrance to be met by a Riad bellman who loads your luggage in a cart and guides you through the unmarked streets. A bit confusing at first but by Day Two we were navigating with ease.  The interior courtyard(or riad which translates from the Arabic word garden) is tranquil and our room was without faults. (We particularly enjoyed our private rooftop terrace.) A very thoughtful touch was the provision of a guest cell phone pre-programmed with speed dialing to the reception desk or manager. Extremely reassuring to have in your pocket if you happened to get lost or required assistance when out touring.  Overall 72 Riad Living met all our expectations. Thanks to all; we had a lovely visit.,Date of stay: February 2023,,"Banff, Canada",https://www.tripadvisor.com/Profile/Gadman
72 Riad Living,puddu101 wrote a review Mar 22,40,An Oasis,With a superb location it felt like an oasis amidst the hustle & bustle of marrakech.  the food was excellent the bar was very well stocked & the staff very very friendly.  Accessing the rooms in the upper floors may be difficult for the elderly but it more than made up in comfort.,Date of stay: February 2023,,"Mumbai, India",https://www.tripadvisor.com/Profile/puddu101
72 Riad Living,tephrash wrote a review Mar 18,50,Beautiful down to the details,Beautifully designed Riad and perfect setting to start and end every day with its tranquillity and beauty. Every turn was a beautiful surprise and we kept discovering new aesthetically designed corners no matter how many times we walk through the Riad. They're building a new wellness centre and I can already tell its going to be again beautiful. Special shoutout to the the team Sara who went out of her way to help us with carparking and making sure we got to the Riad ok. Hassan who made us feel very welcomed and at home with always a smile on his face and of course Aziz for guiding us outside the Riad. Amazing experience and just what we needed after 10 days on the road!,Date of stay: March 2023,Trip type: Traveled as a couple,Singapore,https://www.tripadvisor.com/Profile/tephrash
72 Riad Living,David T wrote a review Mar 16,50,Simply brilliant - a special place,Wow just simply delightful from the super transfer professional and welcoming staff to the stunning bedroom delicious food and super roof top bar with stunning views - a special place! Thanks so much.  We’ll be back!!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/V7829ETdavidt
72 Riad Living,Lucy R wrote a review Mar 8,50,Lovely 72,I recently traveled to Morocco with my 21 month old daughter and husband. Our first stop was Riad 72. We were greeted by Stefania and her wonderful team. It was a perfect start to our adventure. We enjoyed very comfortable accommodations in a wonderful location. Riad 72 is an oasis from the bustle of the medina but still very close all that the old town has to offer. The staff was very kind to our daughter. My husband and I both enjoyed wonderful massages at the spa. The food is delicious and the staff is more than willing to help with any arrangements that need to be made inside or outside of the Riad. We are grateful to the entire team. Best wishes Lucy William and Brigitte,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/J8421FSlucyr
72 Riad Living,DimitraMil wrote a review Mar 5,50,What an amazing experience!,We had a wonderful stay at 72 Riad Living in Marrakech! Everything was amazing from the amenities the Riad itself and the staff who were really accommodating to all of our needs. The Riad is centrally located and close to the Medina. We also enjoyed our spa session and our daily tea breaks. We would definitely recommend it to anyone wanting to enjoy an authentic experience in Marrakech!,Date of stay: February 2023,Trip type: Traveled as a couple,"Athens, Greece",https://www.tripadvisor.com/Profile/DimitraMil
72 Riad Living,Hafodol wrote a review Mar 2,50,Idyllic,Just returned from a 2 night stay here. It was absolutely lovely. Staff were super attentive and the rooms were spacious and comfortable. We used the hamman which was really nice only downside was the noise from the building work during treatments. Overall highly recommend.,Date of stay: February 2023,Trip type: Traveled as a couple,"Anglesey, United Kingdom",https://www.tripadvisor.com/Profile/hafodol14
72 Riad Living,Leila L wrote a review Feb 2023,50,INCREDIBLE Staff and beautiful rooms and hotel!,We stayed here with our 2 young children and absolutely LOVED it. The warmest welcome from the staff all super friendly and gorgeous with the children we arrived and had a traditional Moroccon Handwash and fresh mint tea and cakes before being taken to our room then having a tour of the riad. The staff were so friendly and helpful the rooms are immaculate and super stylish with everything we needed. The food is outstanding. Highlights were the roof top pool and lounge areas and of course the incredible spa! I had a traditional Hammam scrub followed by a massage while my husband chilled with the children by the pool it was the most blissful 2 hours and I would highly recommend it! We will be returning next time we visit Marrakesh!,Date of stay: February 2023,Trip type: Traveled with family,"London, United Kingdom",https://www.tripadvisor.com/Profile/leila_leach
72 Riad Living,Thameshead wrote a review Feb 2023,50,Vibrancy of the Medina and tranquillity & peacefulness in the Riad within 5 mins!,We had a wonderful stay at 72 Riad it felt like a home with warm and friendly service from the staff. Being able to walk into the vibrancy of the Medina and then the tranquillity and peacefulness of the Riad was unexpected. The roof top terrace is amazing for seeing the sunrise and at dusk too. Highly recommended!,Date of stay: February 2023,Trip type: Traveled as a couple,Cirencester,https://www.tripadvisor.com/Profile/Thameshead
72 Riad Living,Stuart B wrote a review Feb 2023,50,Wonderful Riad 72 living,We went to Marrakech on a short weeks hols and decided to stay in a traditional Riad rather than a hotel - what a good decision! 72 Riad Living was wonderful - excellent location great room good views from the balcony roof terrace and superb food - both at breakfast and dinner. The staff could not have been more helpful and friendly - they helped us with excursion and meal bookings and made us feel very welcome. We also did 2 of the Riad's excursions - both had good drivers and we felt very safe. The first trip was a walk to a waterfall in the Oureka Valley which was wonderful and not too crowded in February (although the included lunch was a bit disappointing). The following day we went on the Desert Lake and Mountains day out - great sites plenty of opportunity for stunning photos and a great lunch in a location to die for! Thank you to all our drivers and guides - they were excellent. And a big thank you to the team at 72 Riad Living for their hospitality and making us feel so welcome.,Date of stay: February 2023,Trip type: Traveled as a couple,"Oxshott, United Kingdom",https://www.tripadvisor.com/Profile/26StuartB26
72 Riad Living,Ryan M wrote a review Feb 2023,50,Great Riad!,"The 72 Riad was a fantastic place to stay while we were in Marrakesh. I can always nitpick a hotel on small issues...however the issues were so small and few that they aren't even worth mentioning. We stayed for 6 nights and overall the Riad was beautiful the rooms were clean quite and well kept. The restaurant served delicious food from breakfast to lunch to dinner. The staff was welcoming and helpful. This Riad is in the heart of the action and it might be a little ""busy"" outside of the Riad for some people. But inside is a peaceful retreat. We will definitely stay here again on our next visit.",Date of stay: February 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/712RyanM
72 Riad Living,Camper60026020914 wrote a review Feb 2023,50,wonderful stay!,My husband and I booked this lovely hotel with traditional moroccan style and amazed by its beauty. Our room has a terrace and 2 sun beds and got extra privacy. We could even order our breakfast to eat here which is very romantic .  Staff is very friendly and helpful and location is very near to everything. Basically you can walk to lots of places.  Hotel has its roof top swimming pool and sun beds and its very beautiful and we were sooo impressed with everything. Definitely recommend to everyone who is going to visit Marrakech !!!,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Camper60026020914
72 Riad Living,Emma J wrote a review Feb 2023,50,Paradise!,Beautiful Riad in a fantastic location to the centre and in easy walking distance to all the site seeing musts. We were surprising how big the Riad was!  Excellent staff who are very helpful and happy - they arranged experience/excursions hassle free.  Incredible spa facilities - recommend the traditional hamman experience.  Wonderful views over the Medina and a large rooftop area and pool to relax by.  So peaceful considering how busy the outside world is.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/emmajG9957JU
72 Riad Living,CROWHOPE wrote a review Feb 2023,50,Magical Riad in Marrakech.,We have just returned from the most fantastic stay at Riad 72 Living. Stephania and her fabulous team have created such a peaceful tranquil haven. Every member of staff is so professional helpful and everything about this Riad runs perfectly. Every corner and detail is beautiful and there are so many surprising rooms and places in this expanding Riad it is no longer just Riad 72 but now includes Number 73 as well. We cannot recommend a stay here highly enough.,Date of stay: February 2023,Trip type: Traveled as a couple,Nuneaton,https://www.tripadvisor.com/Profile/CROWHOPE
72 Riad Living,MicheleClement wrote a review Feb 2023,50,72 Riad Living is a gem at the heart of Marrakech,We had a wonderful stay at 72 Riad Living. It is a gem at the heart of the sights of Marrakech and yet it is so quiet. You can walk to the major sights and top restaurants.    All the staff were friendly and helpful especially Stefania who met us as soon as we arrived and gave us an invaluable map with advice on sights to visit. She also gave us a mobile phone with hotel numbers uploaded which made us feel safe and which came in very useful when one of us lost our phone!    The roof has stunning views over the City. You can watch the sunset with a drink and you can swim if weather allows. The roof is also the best place to listen to the city’s calls to prayer from multiple minarets. What an experience it is.    The hotel restaurant is excellent for all meals especially dinner. Breakfast showcases Moroccan baking.    We would highly recommend this lovely comfortable authentic small hotel. Staying here is like being a welcome guest in someone’s home.,Date of stay: January 2023,Trip type: Traveled as a couple,"Wrotham, United Kingdom",https://www.tripadvisor.com/Profile/MicheleClement
72 Riad Living,litena2014 wrote a review Jan 2023,50,Little piece of paradise,this Road is a real Oasis. I did not expect to see the amazing interior when the door to Riad opened.  Our room was beautiful comfortable bed. The Road team were very helpful and friendly.  Location is easy to find in the Medina.  Highly recommended stay  however need to take into account that there may be steep stairs leading to the. Room.,Date of stay: January 2023,Trip type: Traveled as a couple,"Hod Hasharon, Israel",https://www.tripadvisor.com/Profile/litena2014
72 Riad Living,LoveTravel823274 wrote a review Jan 2023,50,A wonderful stay,Excellent place and location. All the staff was very nice and helpful. I totally recomend.. Anything that you need they tried to solve it for you.  You feel like home. I can't wait to go back in a warmer time,Date of stay: January 2023,Trip type: Traveled as a couple,Mexico,https://www.tripadvisor.com/Profile/LoveTravel823274
72 Riad Living,UKTripAdviser wrote a review Jan 2023,50,Excellent throughout,We had a wonderful time at 72 Riad Living. The entire team were courteous professional kind and efficient from the time we sent our first enquiry to the time our luggage was loaded into the taxi on the way home. This is testament to the clearly excellent management of this relaxed and comfortable establishment.    The location – in a quiet narrow street (no cars) – is perfect for a stay in Marrakech and within walking distance of wherever you’d need to get to. (The Yves Saint Laurent museum and Jardin Majorelle – both a disappointment but see separate Tripadvisor reviews – are less than half an hour’s walk away.)    Our room had its own private roof terrace and hot tub which was a privilege. The room itself was spotlessly clean and Housekeeping’s attention to detail was impressive and greatly appreciated.    The breakfast was generous: and generously served until 11:00. Wonderful! We had the option of being served breakfast wherever we wished: On our terrace; in our room; in the dining room of our choice or on the main terrace. Relaxed and laid back.    On our first day the team booked a city guide for a few hours to show us around the main souk and to help us get our bearings. The team also provided advice and guidance on a day tour (and booked it on our behalf).    Throughout our entire stay – whether at reception in the restaurant at breakfast or on the terrace bar – we were never once asked to provide our room number. All members of the team seemed to know who we were and didn’t need to ask. This is an example of how the management’s culture works in the background to make staying at 72 Riad Living a wonderful experience.    Highly recommended.,Date of stay: January 2023,Trip type: Traveled as a couple,UK,https://www.tripadvisor.com/Profile/UKTripAdviser
72 Riad Living,mississippichick wrote a review Jan 2023,50,High-end boutique-like Riad in best part of Medina,We spent New Year's weekend at 72 Riad Living. Stefania was very helpful from the very beginning. We had a single room for my 78 y.o. father-in-law and they had a perfect room for us to share with our 7 y.o daughter. She had her own little separate room/bathroom inside our room. The staff/service was excellent they were helpful with recommendations. Great location in the Medina. Great food. High end accommodations. Facilitated all of our dinner reservations. Would stay there again. We went to La Mamounia for a dinner. What a zoo. So glad we didn't stay somewhere like that. Maybe nice to visit for a meal or drink if you have time but so glad we chose a small boutique-like traditional Riad in the Medina,Date of stay: December 2022,,"New York City, New York",https://www.tripadvisor.com/Profile/mississippichick
72 Riad Living,Andreas B wrote a review Jan 2023,50,Great Place,It’s a wonderful place in a great and quiet location with super friendly staff! I can totally recommend going there. Breakfast was great the rooftop terrace was amazing with a great view over the city.,Date of stay: January 2023,Trip type: Traveled as a couple,"Cologne, Germany",https://www.tripadvisor.com/Profile/andreasb858
72 Riad Living,Wildchild83 wrote a review Jan 2023,40,A gem,Wonderful hotel! Ask for the tour when you arrive - we didn’t get it immediately because we arrived late - so you see all the beautiful areas and amenities. Great location food design and service. A gem.,Date of stay: January 2023,Trip type: Traveled as a couple,Dubai,https://www.tripadvisor.com/Profile/Wildchild83
72 Riad Living,Ian wrote a review Jan 2023,50,An oasis in the middle of Marrakech,The Riad is beautiful and perfectly located. Stefania and her team were wonderful hosts and went out of the way to ensure a pleasurable stay. The amenities throughout the property made our time even more enjoyable.,Date of stay: December 2022,,,https://www.tripadvisor.com/Profile/iantU1819DW
72 Riad Living,georgefrbu wrote a review Jan 2023,50,The only choice for me in Marrakech!,I've been very lucky to be able to visit many hotels around the world and 72 Riad Living has to be among my all-time top 3.    Clearly it's a stunningly beautiful hotel which manages to combine luxury with a true flavour of Moroccan architecture and decoration. While staying in a beautiful hotel can be a true pleasure in itself what makes 72 Riad Living special are the management and staff who work there.    Stefania and her team are the true definition of hospitality. Every single member of staff greets you by name and most of them know you daily itinerary ensuring that you're not late for your guide or giving you tips and tricks on how to get around in Marrakech.    It's this attention to detail - this soul - that sets 72 Riad Living apart from many larger hotels. Let's face it with enough money a hotel can create a beautiful experience but it takes dedication training and a true spirit of hospitality to create a 360-degree experience like Stefania and her team do in 72 Riad Living (and not to forget that we stayed in the Riad during one of the busiest times of the year when most hotels would have been fully stretched. You didn't feel this at all in 72 Riad Living; everyone went to extreme lengths to cater to your every need).    (While it might be clear to most I do want to point out that the hotel does not have lifts and has some steep and winding stone stairs. This is to be expected in a Riad but if you're unable to climb stairs it might not be the best location for you - or you might want to ask for a ground floor room).    When we next go to Marrakech we are definitely staying at 72 Riad Living again. I can also thoroughly recommend this hotel for anyone wishing to fully immerse themselves in Moroccan hospitality and explore the Medina. Stefania and team will help you get the most out of your stay!,Date of stay: December 2022,,"Zurich, Switzerland",https://www.tripadvisor.com/Profile/georgefrbu
72 Riad Living,Clare M wrote a review Jan 2023,50,Great Riad hotel,This is a beautiful Riad with a warm welcome. We enjoyed delicious breakfasts and a good dinner at the hotel and spent some of the time chilling from the bustle in streets on our rooftop terrace with hot tub feeling very spoilt indeed. When we wanted to go out the hotel booked us a restaurant one day and a day trip into the mountains with a brilliant guide on another. Recommended.,Date of stay: December 2022,,,https://www.tripadvisor.com/Profile/claremK3734WH
72 Riad Living,francesca f wrote a review Jan 2023,50,A Magical and Relaxing experience at 72 Riad Living,"Magical Riad placed in the center of the Medina unique place where you can relax and enjoy the peace of the terrace and the swimming pool after the ""adventour"" through the Souk in the city center.  Stefania is a sweet and super helpful host that helped us also in organizing our desert trip (with quads experience and lunch in a luxury desert camp!!). Also the personnal is gentle and helpful our room was cleaned twice a day and alsways furnished with fresh macarons and fruits.  The breakfast in the main hall is delicious with home made cheese pancakes and fresh fruits and every day fresh bread and croissant are served.  It was a magical experience in Marrakech specially because of this Riad!",Date of stay: December 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Y2224RQfrancescaf
72 Riad Living,Ivar wrote a review Jan 2023,50,A really nice place to stay,Very nice place to stay! Super-helpfull staff. The rooms were big clean and really nice. The breakfast was good with bread fruit eggs and more.    The riad is located a short walk from the main square but still enough distance to avoid noise and traffic.    Would recommend staying here.,Date of stay: January 2023,Trip type: Traveled as a couple,"Oslo, Norway",https://www.tripadvisor.com/Profile/Inspire53718945256
72 Riad Living,Anya C wrote a review Dec 2022,50,amazing riad in marrakesh!,our family enjoyed our stay at 72 very much :) the rooms were beautiful and spacious! we loved that it was in the center of the city and gave us the true Moroccan experience. the staff was kind and the food was accommodating for our dietary restrictions. thank you so much 72!,Date of stay: December 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/226anyac
72 Riad Living,Maria wrote a review Dec 2022,50,Wonderful place of beauty and quietness,72 living Riad is a wonderful place to stay when visiting Marrakech. We spent three days in a couple’s trip and everything was perfect the building is truly beautiful quiet and decorated with taste the atmosphere is relaxing even if the hotel is quite near to the busy area of the Medina! . Special mention to the staff who were really helpful and welcoming at every time. It was a really good experience that we hope to repeat very soon,Date of stay: December 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/maria100189M
72 Riad Living,Azmadeus wrote a review Dec 2022,50,A Trip to a more Elegant Time,The Medina in Marrakech is daunting movement and noise everywhere small curved alleyways signs in multiple languages I can't read. We walked down the first street following directions to the turn - it got quieter. Down that short street to the next turn and it got quieter still. Finally after another turn and not sure we're in the right place everything went really quiet.    We knocked on the door and it opened into a small nondescript hallway. Wondering if we were in the right place we followed into a beautiful four story courtyard. This is the right place how we want to live.    Thanks to all the staff that made our stay memorable.,Date of stay: November 2022,,"Phoenix, Arizona",https://www.tripadvisor.com/Profile/Azmadeus
72 Riad Living,wigbox wrote a review Dec 2022,50,The Best Staff and Gorgeous Riad! stay here!,Our stay at 72 was most exemplary. From morning until night the staff was gracious prompt kind and went about e and beyond to make us feel welcome. We had a large room called Karma and it was so lovely with a huge skylight/cupola in the curling that they uncover in the day. The Riad is impeccable top to bottom comforting Moroccan modern and Italian design fused in harmony. There is nothing they won’t help you with. They also pick you up at the airport for no charge. Our flight came in near Midnighy so this was so appreciated esp since the Riad is a few small blocks from the public Road. They have someone waiting to take your luggage in and up. Also the food was amazing chef made us a bastilla on request and the breakfasts were bountiful. I am now at El Fenn after a trip to the mountains which costs more hand has problematic service etc. Will be writing a review of it as well later.,Date of stay: November 2022,Trip type: Traveled as a couple,"los angeles, CA",https://www.tripadvisor.com/Profile/wigbox
