Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Barcelo Palmeraie,Benjy2 wrote a review Mar 24,30,Not quite what I expected,I chose this hotel based on the fact that it is 5 star all inclusive but unfortunately I was a bit disappointed with some aspects of the hotel.  The main entrance of the hotel is stunning. Check in was quick and the lady at reception told us about the restaurants at the hotel. We were then taken to our room on a buggy which was very good. The grounds of the hotel are extensive. Very beautiful and green. Well looked after. The rooms are set quite a long walk from the pools restaurants and main part of the hotel. Anyone with mobility issues would find it a bit of a problem going to and from their room. Our room was supposed to be superior but I was quite disappointed with it. It was smaller than I expected. There is no wardrobe just a hanging rail and 2 small drawers. And it was very tired and in need of decorating. There were mosquitoes in the bathroom that dive bombed me when I had a shower. I think they came in from a broken vent. We never saw any mosquitoes when we were outside only in our bathroom. There was a kettle with tea and coffee but no milk. I didn't need milk but thought it unusual not to have any. I also thought we had a mini bar but in fact all we had was an empty fridge. This room was more 3/4* than 5*.On our first night I discovered that all inclusive doesn't actually mean all inclusive. There are 2 classes of all Inclusive and we were the one that didn't include the specialist restaurants most drinks and food at the pool bar at lunchtime. We could use those facilities but would need to pay for them. To me that isn't all inclusive. We were miss sold the holiday by the holiday company with this. The restaurant for my all inclusive was a buffet and the food choices weren't great. I've been to other all inclusive hotels with buffets but this one really wasn't good enough.  The hotel has 2 pools. The Zen pool which is quiet and the big pool. The pool looks lovely but the main problem for me was the slope going into the pool. It was very steep and slippery. I slipped and hurt my shoulder going in and I saw numerous people slip and hurt themselves. I've never seen so many people fall in a hotel swimming pool and I've been to a lot of hotels! The are sun beds round the pool but not a huge amount so I'm not sure what happens in tge height of summer. The hotel does a free shuttle bus than runs hourly into Marrakesh and is free. There is a gap of 3 hours between 12.30 and 3.30pm. The bus stops at the Tui Medina Gardens hotel. It's then about 20 minutes walk to the main part of Marrakesh. There were no directions to help us get to the centre and we found it a bit daunting. The roads are challenging to get across. 5 lanes of fast moving traffic that doesn't stop when you try and cross the road. Terrifying!  The best thing about the hotel was the staff. They were lovely. Always polite smiling and helpful. The barman remembered our drinks every night and Kamal at the pool was great doing the sports.  Unfortunately I won't come back to this hotel. There are too many things that aren't right. And it was very quiet. No atmosphere in the evening. This hotel could be amazing. The rooms need freshening up and the all inclusive needs to be all inclusive.,Date of stay: March 2023,Trip type: Traveled with family,"Mangotsfield, United Kingdom",https://www.tripadvisor.com/Profile/Benjy2
Barcelo Palmeraie,ChefCliveM wrote a review Mar 10,40,Lovely hotel excellent in every way,This hotel is truly five star. We had a wonderful executive suite with a great view and the surrounding gardens were kept to an exceptionally high standard. There is a heated pool for families and all other guests. However if you want some peace and solitude there is a quiet pool for guests where children phones dogs are banned. My only negative comment is that I prefer a five star hotel to have no children as I’m passed that now. However that was my problem and in general the kids were quite well-behaved even if the adults weren’t.    There was evening entertainment which was most enjoyable and being a B+ guest we had all the frills without any of the spills. I highly recommend this wonderful hotel which also offers regular shuttle bus trips to the centre of Marrakesh.,Date of stay: March 2023,Trip type: Traveled with friends,"London, United Kingdom",https://www.tripadvisor.com/Profile/ChefCliveM
Barcelo Palmeraie,Odyssey56351576709 wrote a review Mar 9,40,Tough nights Sleep,Lovely hotel nice and quiet location - food good and gorgeous gardens - staff very helpful- the only negative was that the bed was like a brick - I requested an extra duvet which I could lie on which helped a bit - we were only there for 4 nights so was bearable    Hotel is a good 15 minutes out of centre of Marrakech but taxis are reasonable just be prepared for a white knuckle ride !! There is a shuttle bus provided but was always full,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Odyssey56351576709
Barcelo Palmeraie,Happy wrote a review Mar 3,50,Miss Usha,Stayed for 10 days.Absolutely loved the hotel and the staff.Have to give exceptional praise to Ahmed the guest relation Manager.He went the extra mile at all times to make us feel special.So thank you Ahmed from the heart as you always helped and guided us to make our stay enjoyable. You showed great genuiety towards your guests and really care about how guests feel and want them to enjoy their stay so you are an absolute asset to the hotel. Thank you again.  The Hotel has beautiful gardens and a heated swimming pool.Good choice of food at the restaurant. Ibrahim also helped us at all times so thank you to him as well.All in all very enjoyable stay and would recommend this hotel to all visiting Marrakech.Hotel also provide free shuttle to the main sights.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Happiness7951
Barcelo Palmeraie,Muhammed Ali wrote a review Feb 2023,50,Great family holiday,Me and my family had a great stay here customers service was second to non from our experience hotel had great facilities which included childrens play club with a small farm and the play centre team were very accommodating (play centre at additional cost just for reference) the food was great with good variety and changed up menu every day also staff very attentive would love to mention name but have forgotten. Noting is perfect so last bit I wanted to say the toilet could have done with some re grouting or touch up but we were offered another room so no hard fellings. but if you want to be in or around the city centre not for you unless your happy taking there shuttle bus which we did free and every hour. all in all have been recommending to friends and family,Date of stay: December 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/V3321WEmohammeda
Barcelo Palmeraie,aczyz781076 wrote a review Feb 2023,40,I can only recomend the hotel to every body that have high expectations....,From the 1st step in to the hotel I was sure that I have the best place to stay....  Mr. Brahim Akmam was very helpfull.  I was in the hotel 1 pm and Hi tryed to get me one room for my friend in very short time.  I have waited bit longer but I have enjoyed the waiting time at swiiming pool,Date of stay: February 2023,,"Warsaw, Poland",https://www.tripadvisor.com/Profile/aczyz781076
Barcelo Palmeraie,John B wrote a review Feb 2023,50,Excellent holiday,I have stayed in the resort for 6 days with my family   It was amazing everything is perfect the staffthe food  the room(#215)  I will definitely recommend this beautiful hotel to my family and friends,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/johnbV287GJ
Barcelo Palmeraie,BusinessTraveller981 wrote a review Feb 2023,10,Downgraded by disinterested staff,We stayed at Barcelo Palmeirae for a family trip and my son’s first time travelling outside Europe. Unfortunately our experience was bitterly disappointing.    On arrival we asked to be upgraded to a room with a bathtub which wasn’t available on arrival but were told it would be available 2 days later.    We agreed to this with the reception staff and paid the deposit only to find out on the day we were meant for to move to our new room that it had been given to other guests.    Our whole family was quite disappointed given that even the second best rooms are pretty dated and small.    On trying to find out what happened the staff were pretty disinterested and even were laughing at mine and my wife’s frustration with this.    In the midst of the discussion the manager just walked away and when I asked the receptionist where she was we were told that she’d gone to ‘speak to reservations’ when she was clearly visible just sitting with a tray by the bar.    All in all a negative experience made worse by the theatrics of the disinterested staf,Date of stay: February 2023,Trip type: Traveled with family,"London, United Kingdom",https://www.tripadvisor.com/Profile/BusinessTraveller981
Barcelo Palmeraie,no name wrote a review Feb 2023,10,Some rude staff,Some reception staff need retraining on manners and customer facing etiquette. It is very apparent that not all have learned the proper procedure and guest policy when people arrive at the resort. It is such a shame since it looked like an ok resort let down by a tiny minority of staff.,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/J7979BSnon
Barcelo Palmeraie,lynsb15 wrote a review Feb 2023,50,"Beautiful, quiet and friendly hotel",The grounds are v lovely the rooms v comfortable and the staff v attentive.  We came for a 3 night break to simply rest unwind and enjoy some blue skies. This really was the perfect place for us.  The gardens are lovely to walk around and there are plenty of places to relax. The hotel is a quiet peaceful and a stress free place to be. The beds were very comfortable rooms v clean and well heated (it gets chilly at night in early Feb). We slept so well.  The all inclusive has a great range of drinks and food all well presented. Whilst not out of this world food was good and definitely represented value for money.  There is also handy shuttle in to town.,Date of stay: February 2023,,"Horsham, United Kingdom",https://www.tripadvisor.com/Profile/lynsb15
