Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Be Live Collection Marrakech Adults Only,Dan4376 wrote a review Yesterday,50,Great holidays,Just great food very clean hotel and the grounds are very well looked after the staff are so helpful and happy to see you and helpful the bus transport to the city is very easy to use and the square and medina was great day time and night time we felt safe when walking around,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Dan4376
Be Live Collection Marrakech Adults Only,Rit itta wrote a review Yesterday,50,Best experience ever *3113*,Words aint enough to describe the lovely stay i had . The room (3113) was superb food amazing the activities in the animated pool keeps you entertained all day  the staff were incredible super helpful especially Ayou  Salah  Mustapha  loubna Abdulah from reception  they were so lovely and approachable. Not forgetting the 2 fabulous ladies of public relations as they made sure our stay was faultless  thank you marwa and iman for all the smiles and the best tips  you have made us feel welcomed at home . Value of money is amazing. The hotel is 25 minutes away from the city center however I loved the shuttle service . Thank you be live for making my first stay in Africa unforgettable xxxx”,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/754rititta
Be Live Collection Marrakech Adults Only,H P of Mayfair wrote a review Mar 23,50,"Hot, hot, hot 😅",Writing this review as I am still in the hotel !!!  First class hotel. Definitely Very friendly helpful & polite staff which made all the difference and specially the pool staff !! Fantastic array of food at breakfast and each meal. Excellent swimming pools with plenty of sun loungers and umbrellas. Activities if you want them or peace and quiet if you don't. Free bus for trips into Marrakech. Definitely come again.  Once again a very big thank you to the guest relation lady who helped rebook our British Airways flight because one of the members of our group had emergency and had to go back earlier than expected and let us use her phone with no questions asked  A big thanks 🙏 to her from MR Patel London.,Date of stay: March 2023,Trip type: Traveled as a couple,"Mayfair, United Kingdom",https://www.tripadvisor.com/Profile/18hp
Be Live Collection Marrakech Adults Only,Imogen K wrote a review Mar 21,50,Amazing hotel stay.,Hotel was amazing beautiful clean tidy and relaxing.  me and my boyfriend had the most amazing time and experience the entertainment was very good  All the staff was absolutely lovely and became very good friends with them all.  Entertainment reps around the pool were just amazing! They Made you feel so welcome and so friendly.  Definitely made our stay one to remember.  We was sad to leave as they made it feel like your home.  Highly recommend  We would love to Hopefully come back and see all the amazing staff again :)    Big special thankyou to Oussama Sami Ema Mohamed & Titif for making our stay so special we will always remember you❤️,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/imogenk311
Be Live Collection Marrakech Adults Only,Margaret M wrote a review Mar 19,50,Good stuff,The food is really good with plenty of variety . The services and waiters very polite and try their best to make you as comfortable as you could. Rooms clean and the whole environment very clean. 🥰🥰🥰🥰,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/Z1194FAmargaretm
Be Live Collection Marrakech Adults Only,Ruth K wrote a review Mar 19,50,Management of the hotel,My hotel experience very nice. The most important thing is entertainment aque exercises and dances. The food is excellence and fresh. Rooms clean and well kept beddings changed every day.  Staff very friendly and entertaining.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/K1659MPruthk
Be Live Collection Marrakech Adults Only,Jane K wrote a review Mar 19,50,Good service,I liked the hotel was marvellous the recreation people were excruciatingly good and friendly.I can say the hotel itself had very high staff in every where pool.spa and all where you go all staff are very helpful,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/I3177RFjanek
Be Live Collection Marrakech Adults Only,Climber10536898448 wrote a review Mar 19,50,Good stuff 👍,Be live hotel very nice warm welcome food alot of varieties very nice staffs very warm swimming n entrainment amazing evening entertainment club superb hotel garden n flowers very beautiful n therapeutic rooms perfect. Everything was worthy my money..,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/Climber10536898448
Be Live Collection Marrakech Adults Only,Elizabeth K wrote a review Mar 19,50,Best experience ever,The events at the pool were excellent and the trainers always had a smile Excellent service.Food and drinks readily available every time.The pool attendants had excellent games and kept everybody entertained. One of my best holidays in life.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/P558PBelizabethk
Be Live Collection Marrakech Adults Only,Yvonne wrote a review Mar 18,30,Watch out for your shoes!!!,BE AWARE!!!    The people who are making the rooms are stealing!!!    I only realized today that my Italian designer shoes are missing. I arrived with a group a week ago and did not use those shoes until today when I realized that they are missing.    Otherwise the Hotel is recommendable.,Date of stay: March 2023,Trip type: Traveled with friends,"Los Angeles, California",https://www.tripadvisor.com/Profile/bababobolong
Be Live Collection Marrakech Adults Only,Simran O wrote a review Mar 18,50,Lovely staff,Excellent service and friendly staff that accommodate you accordingly my husband broke his ankle and the staff helped him in any way they could.. they provided excellent activities like archery and darts Emma was lovely friendly and approachable and had so much fun doing aqua aerobics with her!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/simrano2022
Be Live Collection Marrakech Adults Only,Lesley M wrote a review Mar 18,40,Amazing,I have just returned from this hotel. Having spent 10 nights there. The room was fantastic very clean. The hotel was lovely and very clean. The restaurant food was amazing. Had a very large choice but some of it was cold. Breakfast time was very busy as a lot of golfers go there so those to take all the rolls and the bread with Chuck don’t understand why the hotel as it’s all-inclusive should provide a packed lunch for them. Also they should have a couple of coffee and tea stations which would take a bit of pressure off of the staff even though they were all fantastic. Keep having to go back and forward. Get in the teas and coffee is in the cups Would make life a bit easier and also I found some evenings they would let people still in their swimwear which is clearly states you cannot go in there in shorts and bikinis. Obviously lunchtime it’s a bit different but obviously you put a T-shirt or no shorts. We used to sit round the large games pool every day which there was plenty of activities. All the staff there were amazing Emma Sami Titif Oussami who was especially brilliant got a sunbeds every day brought round water to us all when it was really hot which was every day. I will definitely be returning to this hotel next year.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/lesleymB9565OV
Be Live Collection Marrakech Adults Only,Sue M wrote a review Mar 18,50,Amazing hotel with brilliant staff,Just returned after a fantastic 10 nights at this lovely hotel. We had a large room overlooking the pool on the ground floor which was lovely and cleaned every day with fresh towels and the beds were so comfortable.  The restaurant and food were good with a great choice to suit everyone but could do with being hotter we ended up going to the fresh pasta station at the evening to make sure we had hit food. The desserts are delicious and the best I’ve eaten in an all inclusive hotel. Breakfast is frustrating and chaotic as the hotel is a base for the golfers who take over the restaurant first thing and take all the rolls and bread to make sandwiches to take with them the staff are run off their feet and you have to wait for the table to be cleaned then they bring the coffee tea but run out of cups so you have to wait again for them to fetch these. A suggestion would be to take the pressure of the staff to install a couple of self service tea and coffee machines.    What makes this hotel one of the best holidays I’ve had is the staff around the pool Titus Emma Sami and especially Oussami who went out of his way every day to get fresh towels for us and put umbrellas by our sun beds even bringing us bottles of water in the 32 degrees heat. All the team were great fun to be around and we had a great time doing all the activities and met some lovely people.    I would definitely recommend this hotel and hope to return next year.,Date of stay: March 2023,Trip type: Traveled with friends,"Crawley, United Kingdom",https://www.tripadvisor.com/Profile/suemF6375WC
Be Live Collection Marrakech Adults Only,Rachel C wrote a review Mar 17,40,Good for price but not a 5*,I always try to start these reviews with some info about me as a traveller to help others decide if my preferences and tastes align with theirs to enable easier decision making. I am in my late 30’s and holiday a minimum of twice a year. I am fortunate that I can splash out and stay in some beautiful places in exotic parts of the world but am equally happy to seek out a bargain if it means I can see different parts of the world.    This holiday was a girls week away with the intention of catching some winter sun food and cocktails. We paid under £500 a person for all inclusive inc flights    THE HOTEL    The hotel itself is kept very clean you are welcomed with beautiful incense smells as you arrive. The layout is easy to navigate and small. There are two pools one with a swim up bar and one which is ‘heated’ and where the animation team are based during the day. There are a few sunloungers that need to be replaced as they bow in the middle but on a whole all furnishings and fittings are clean and tidy. The gardens are well kept and aesthetically pleasing.    Plenty of Sun loungers hotel quiet and I was often the only person by the pool until 10-10.30 am.    Location is around 20 minutes away from Marrakesh and there is a free shuttle provided.    THE ROOM    We paid for a basic room with two beds. Room again was clean and pleasant enough beds were very comfortable but pillows not. Mini fridge contained only of water and was not cold. There was a kettle and 2 coffee capsules.  Plenty of hanging space and hangers.    Very strange window from bathroom into the bedroom we found this funny and you could draw a blind for privacy. Bath could not be used as no plug. Shower weak needed a descale but cubicle big and clean. Shower did drip all the time. Two sinks and some tolietries provided which we didn’t use. Only provided with one big towel and a hand towel which was not great for long thick hair. Hair dryer was not great for a supposed 5* but normal standard for price paid    We were on ground floor and there was a small area to sit outside. It overlooked a wall and little bit of garden.    The room was cleaned every day to a good standard. The cleaners are an asset to this hotel as are the other housekeeping team such as maintenance and gardeners. Clean towels provided each day.    FOOD    The hotel is greatly let down by its food. I am a real foodie and love spending money on food and drink. I am reviewing this based on the price we paid but I was very disappointed.    Food is served in a buffet style. It is very small and the layout is not easy to navigate. I could always find something to eat but noticed the food was very bland with lots of salt used if it was left over from lunch.    There were items of food that were not warm when they should have been and this made them inedible. I normally do not have a sweet tooth however the pastry chef was very talented here and deserts were fantastic.    Once a week you could book to eat in the other sit down restaurant. You have to be spending 4 nights plus to access this. The food was much better but very small menu. I wished there had been an option to pay to eat in this restaurant as I would have used it over the restaurant.    For lunch you could order food at the pool bar which was hot as it was cooked to order.    Waiting staff were ok some friendly others not so.    DRINKS    My friend said she liked the beer as she thought it tasted like corona. The cocktails were very poor as made with cordials and not juices very sweet and syrupy. I can be a lightweight in the heat and feel tipsy quickly if I am not careful….I did not experience this at all as alcohol very watered down. Again for the price paid this was ok but not 5* standard. There is no option to buy better wines unless you were in the sit down restaurant and these did not look great for the price.    The bar staff in the lobby bar were fab very efficient kind and good service provided bring drinks to you.    Pool bar we only used once so can not comment we did not use the sports bar but the snack bar had poorer quality of staff service. Very rare to get a smile.    ENTERTAINMENT    Evening entertainment was ok for price paid. Some singers a disco dancers etc. they had karaoke which is not my personal favourite but was very popular.    The animation team by the ‘heated’ pool were an asset to the hotel. Emma and Sami spent the most time with us but all the team provided 10/10 service.    SUSTAINABILITY    Whilst I am not an eco warrior I have started to consider the environmental sustainability of hotels I stay in. This was not great for sustainable models. Very small plastic cups bottles straws used. Plastic cutlery at snack bar.    SPA    The spa was ok pleasing on the eye and clean. Treatments were mediocre but only cost 700 mad for a full massage and additional head massage so reasonably priced    OVERALL    We paid for what we got. I would rate this as a high end 3* to low end 4*. I was surprised we had wrist bands had towel cards had to pay room and towel deposits of 1000 mad as this is not expected in a five star hotel. The food and drinks are what would move this down to a 3* I’m my opinion.    The ages of guests ranged but there was a high percentage of young influencers around the hotel which may be why some of the reviews lean towards a false impression of five star standards.    Would I come back? Unlikely. Would I have been happy if I had paid a five star price for this holiday ….NO. If you are paying over 500 GBP at this hotel at this time of year for a week then you are paying way too much in my opinion.    The staff (most) are what makes this hotel    My expectations of 5* differ greatly from the hotel and this would make me cautious booking an expensive holiday with this hotel chain worldwide.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/L1291HJrachelc
Be Live Collection Marrakech Adults Only,Shirley-Rose wrote a review Mar 16,50,Amazing Holiday and Hotel,We had such an amazing holiday here. The hotel was gorgeous immaculate and so relaxing. The staff were amazing and so friendly. We spent a lot of our time around the quiet pool and honestly so thankful we did. Omar and Osama were absolutely amazing so friendly and welcoming and made us feel at home. The food was lovely for each meal and the chef were so helpful and friendly. Honestly will go back again and again. My only tiny issue was we booked a spa package still to this day I'm not sure if we ended up missing part of our massage the staff were lovely and the session we did have were amazing but I felt that you were left to figure out if you needed to wait or not for you next part of the sessions. I believe we were due to have a clay massage but never had it because we were just pointed to the end of the corridor. However everything else was absolutely fantastic and I can't thank the staff enough so a wonderful week.,Date of stay: March 2023,Trip type: Traveled as a couple,"Liverpool, United Kingdom",https://www.tripadvisor.com/Profile/ShirlDuff18
Be Live Collection Marrakech Adults Only,Linda H wrote a review Mar 15,50,Amazing adult only hotel,The hotel was lovely the rooms are big & clean. The food & drink was fresh hot and varied. The grounds are beautiful and well looked after. The staff are attentive friendly and good fun the activities around the pool are there if you want to take part. The evening singers & dancers were really good and aimed at an adult audience. We went as a group of 8 girls we had an amazing time and will definitely return one day.  Thank you to all the staff for accommodating our group with seating in the restaurant and sitting outside in the evening we never went without and they always had a friendly smile 😃,Date of stay: March 2023,Trip type: Traveled with friends,"Bishop's Waltham, United Kingdom",https://www.tripadvisor.com/Profile/lindahud30
Be Live Collection Marrakech Adults Only,Molly M wrote a review Mar 14,50,Fantastic Hotel - We Will Return,I can quite honestly say this is one of the best resorts I’ve stayed at with the nicest atmosphere. The hotel is constantly being cleaned smelling amazing and all the cleaning/housekeeping staff were so happy and friendly. The staff in the pool bar were always very friendly and kept our drinks refilled frequently as well as providing some great food including late breakfasts. Tariq especially was very hard working and friendly. The restaurant buffet was possibly the best I’ve experienced and yes whilst any buffet gets a bit same over seven days the chefs do a fantastic job of catering and overall it caters very well to all different tastes even two in our group who usually are very picky had no problem finding things to eat every time. The restaurant had a great atmosphere and again all the staff were amazing Mounad the Manager made sure everything was ok whilst Hassan Yanssef and Houda provided great service with many smiles and always keen to help if they could. The lobby bar staff were also amazing with special shout out for Azdeen as he really did well remembering our orders and being very attentive.  We were there as a group of seven for seven nights and we all had the most amazing experience thanks to all the amazing staff but we must admit the animation team especially Samy and Emma really went the extra mile to make the activities extra fun and we’re always so happy.  I would highly recommend this hotel for anyone looking for a great break a nice chilled hotel that can offer activities to suit your mood and the food and drink are excellent. This was such a great first experience of Morocco & Marrakesh even though souks were a bit hectic shuttle bus was great from hotel and the tours arranged from hotel were all great value.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/S6657IVmollym
Be Live Collection Marrakech Adults Only,Jenny K wrote a review Mar 14,50,Amazing hotel,This was our second holiday of this year and we booked 5 nignts here via an easyJet package deal for £1300 all inclusive. The hotel itself is about 15 minutes drive outside of the city centre and runs daily shuttle busses into the city.    Firstly the rooms are massive. We booked a suite and it was actually bigger than our apartment ha! The suite came with a lovely balcony for sunbathing a bath & separate shower 2 bathrooms living room and 2 televisions which were large.    All inclusive includes 4 bars (including a sports bar!) a pool bar a snack bar which has pizzas sandwiches & salads made to order & a lounge bar which has acoustic music on evening. The lounge bar also does olives & peanuts.    Pool always has music playing which was great! And there’s a quiet pool too.    Restaurant food was great buffet seemed to always have 2 types of vegetarian tagine made to order pasta as well as usual salads ect as well as many options for meat eaters. The al a carte restaurant also was very nice- the soup was delicious!    We’d come here again! Staff were friendly and very welcoming and enjoyed entire visit,Date of stay: February 2023,Trip type: Traveled as a couple,"Edenbridge, United Kingdom",https://www.tripadvisor.com/Profile/jennykQ3408OI
Be Live Collection Marrakech Adults Only,Richie M wrote a review Mar 14,50,Great hotel but first impressions not so..................,"The hotel was lovely and the first few days were very quiet as most guests appear to be golfers and were out for most of the day leaving the pool virtually to ourselves. We would swim in the morning and then in the afternoon move to the swim up pool where it was quieter - although not as warm as the large pool - or to our room which was a swim up room - and the water even colder!!!!!  Our first impressions however were not so good. On arrival at the hotel we were asked to pay approximately £47. When asking what it was for we were told ""tax"". This was not stipulated in any of our paperwork so came as a shock.  Then we were shown to our room and were disappointed that the ""busboy"" or whatever they are called stood in the room I presume waiting for a tip. We had no local currency so I put a pound coin in the palm of his hand. He stood looking at it and I wished I'd taken it back from him! The hotel should inform their staff that this is neither polite nor to be expected from visitors - it was quite uncomfortable having him stand there waiting.  All other staff we encountered are just lovely and you want to tip them as they really do give good service and are very friendly and a credit to the running of the hotel.",Date of stay: March 2023,Trip type: Traveled as a couple,"St Peter Port, United Kingdom",https://www.tripadvisor.com/Profile/RichieM156
Be Live Collection Marrakech Adults Only,JenTerr wrote a review Mar 13,50,Brilliant holiday and amazing hotel,This hotel was the best! The food was full of variety and had loads of options the bedrooms were cleaned everyday and spotless. But above all the staff were amazing. Especially the animation team - Sami and Emma. And waiting staff. I would go back in a heart beat!!,Date of stay: March 2023,Trip type: Traveled with friends,"Edinburgh, United Kingdom",https://www.tripadvisor.com/Profile/JenTerr
Be Live Collection Marrakech Adults Only,Simran O wrote a review Mar 18,50,Lovely staff,Excellent service and friendly staff that accommodate you accordingly my husband broke his ankle and the staff helped him in any way they could.. they provided excellent activities like archery and darts Emma was lovely friendly and approachable and had so much fun doing aqua aerobics with her!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/simrano2022
