Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Be Live Experience Marrakech Palmeraie,Andy H wrote a review Mar 24,40,Noce week away,Overall Good…  Positives  Nice room  Pool good  Pool bar good  Restaurant good  Entertainment -no idea  Reception excellent  Staff excellent  Wine/beer/cocktails excellent  Gym good  Transfer to Marrakech good  Very clean    Negatives  Pool music very loud at times  Food was good but not varied enough    I would not go for any longer than a week.    Good value for money,Date of stay: March 2023,Trip type: Traveled as a couple,"St. Albans, United Kingdom",https://www.tripadvisor.com/Profile/AndyH335
Be Live Experience Marrakech Palmeraie,bubblegirlxx wrote a review Mar 21,50,Amazing ⭐️⭐️⭐️⭐️⭐️,This is the 2nd visit to Be Live Palmaraie our first visit was amazing and so was our second!!  We got to know the staff members and management and they remembered us on our return (3years later)    Salah (food and drink management) is just amazing one of the nicest friendliest people you can meet he goes above and beyond always on hand and smiling and very attentive to us and our 3year old son.    Smiley and the animation team!! Smiley you never fail to entertain you do an amazing job day and night never change!!    PR gent in reception is prompt the minute a question/query/complaint is raised he’s on it and resolving straight away outstanding service.    Housekeeping - rooms cleaned daily to a very high standard leaving throws an bathmats in various shapes - lovely touch. Some housekeepers are more happy to help then others we all go to work to earn money but working in hospitality you need to be hospitable not plain rude.    We had to move rooms due to maintenance issues which wasn’t really a bother but the housekeeping department never made things easy no beds were made and there was no linen and loo roll left and when asked was made to feel like we were being a burden or awkward.    Food and drinks amazing service impeccable!    Valentines night was incredible the hotel went above and beyond.    We’re happy to say we have rebooked for 2024 and hope to see the team again.,Date of stay: February 2023,Trip type: Traveled with family,"Liverpool, United Kingdom",https://www.tripadvisor.com/Profile/bubblegirlxx
Be Live Experience Marrakech Palmeraie,FATLEZA wrote a review Mar 21,50,Top service....,Arrived at Be Live yesterday bit of a problem with our booking agent (Your Golf Travel) not doing what they should have...but the wonderful Ilham (Manager) and the very capable Zak (Front Desk) more than saved the day. Excellent service guys you really done the business....can't thank you enough for all your effort...chapeau.,Date of stay: March 2023,Trip type: Traveled with friends,"Barnsley, United Kingdom",https://www.tripadvisor.com/Profile/FATLEZA
Be Live Experience Marrakech Palmeraie,hannah_521 wrote a review Mar 20,30,Could be better!,Stayed here for a week from 10th March and feel hotel could be a lot better    Room cleaned spotless everyday  Nice pool area  Issue with shower head and light on arrival phoned reception but wasn’t fixed until the next day  rude reception staff member gave us no information or a leaflet given during our stay might be worth having a information boards around the hotel  check in took nearly a hour  Lack of sun beds around the pool some guest were lying on the grass as no sun beds available  Food was very cold or Luke warm during our stay but lots of variety to choose from and tasted nice but was cold  Although entertainment staff were polite the entertainment could be improved never stayed to watch a full show feel they could host entertainment outside  You have to pay a hotel tax on arrival something tui failed to inform you about and pay a deposit for towels and the room again was not informed    Overall I Feel the hotel would be even better if they made some improvements,Date of stay: March 2023,Trip type: Traveled with friends,Bedworth uk,https://www.tripadvisor.com/Profile/hannah_521
Be Live Experience Marrakech Palmeraie,Sean W wrote a review Mar 16,50,A Great Moroccan Experience,The friendliest team continually going out of their way to make sure that customers have a good time.  The management are visible and contribute hands-on along with their staff.  The animation team interacted with customers in a positive and yet caring manner.  Even down to the chamber staff who take the time to tidy the rooms daily with a smile and politeness.  Am really happy to leave a positive review as it is well deserved.,Date of stay: March 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/G7769OSseanw
Be Live Experience Marrakech Palmeraie,pedcan90 wrote a review Mar 16,50,"Recommendable, wont regret to Book here.",Rooms were cleaned on daily base.  The location is fine quiet outside the City. Very well organized free Shuttle to the City couple times a day. Food is Good and is there whenever you feel like it. Staff is very friendly. Always try to find you a bed at the Pool.  Bad Experience with native guests at the Pool.  Edited: the manager Anas did a Great Job After ‘the incident’ and took care of the matter in an explicit way. Many thanks Anas.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/pedcan90
Be Live Experience Marrakech Palmeraie,RosieT2503 wrote a review Mar 15,40,Overall a nice stay,We stayed for 8 nights and overall had a really good experience.    Our room was spacious and clean with a very comfortable bed and good views of the mountains.    The food was okay nothing special but there was a good variety each night. The snack bar had good lunch bits the pizzas were very good!    All the staff were very kind and helpful. Qualid in the entertainment team was great fun Zakaria on the front desk was extremely helpful with tips and tricks for exploring Marrakesh centre and Mohssine behind the bar was a good laugh and remembered our orders which added a nice personal touch!    We booked our excursions through the hotel which worked out well Younes was very helpful and was excited to hear all about our trips.    We arrived late in the evening and were a bit rushed checking in (potentially to ensure we made it down for dinner closing at 10pm). Unfortunately this meant we were not told about the shuttle service or the a la cart restaurant. Once we were aware of the shuttle we used it 3 times. It takes you to the centre of Marrakesh near the medina and souks. The drop off point was near a taxi rank as well so it was easy to navigate further.,Date of stay: March 2023,Trip type: Traveled as a couple,"Oxfordshire, United Kingdom",https://www.tripadvisor.com/Profile/RosieT2503
Be Live Experience Marrakech Palmeraie,gastroknome wrote a review Mar 13,40,A great base to explore Marraketch,We stayed for 10 days in March which was ample time to explore and have a few chill days at the hotel. Located 30mins from the Medina by shuttle bus it is a smallish new contemporary hotel. All the staff were friendly and helpful and together with the food the highlight of our stay. The bartender Mohssine makes a great Margharitta and always had a quip and a smile. Our breakfast waiter Hassan couldn't do enough for us and helped with a couple of useful Moroccan words.  The pool was heated useful in March and Smiley and his team kept us entertained. Oulid was a great archery coach. The pool snack bar is a great place to have lunch . Fatima makes a good cup of English tea to go with the afternoon snacks and cakes.  The rooms are clean and comfortable we asked for a quiet room as the bar and reception were very noisy. There was no kettle and the toiletries were just soap and shampoo. The bed was very comfortable and the shower good. Plenty of hanging space but no drawers.,Date of stay: March 2023,,Hertfordshire,https://www.tripadvisor.com/Profile/gastroknome
Be Live Experience Marrakech Palmeraie,767676123 wrote a review Feb 2023,50,morrocon magic,Great place staff always smiling and welcoming rooms are spotless and big food is plentiful and varied. the entertainment team led by smilie are hard working energetic and very friendly always keeping everyone happy big thankyou to all the staff and management for making our stay stress free .,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/767676123
Be Live Experience Marrakech Palmeraie,Lawes A wrote a review Feb 2023,50,Birthday vacation,From the moment we entered the hotel we got a friendly welcome the front desk staff was very friendly and helpful.The staff in the restaurant and snack bar was also friendly they did their very best to accommodate us always.The entertainment team.SMILEY D.J.ZAG 0UMY OULID A.SMAE KIDS CLUB CHEFZITEA and Photographer ABDLAH was excellent at their jobs they were friendly and always involved us in all the activities they provided for us. Even my 87 year old mother was admired the way they worked together as a Team. Brilliant hotel with beautiful staff.The whole place is fresh and clean and your housekeepers who clean the rooms also do a excellent job too.l will be definitely coming backand l will be recommending this hotel to my family and friends.A job well done Great Team your General Manager should be proud of you all..Guests from room 1103/1104. Christine and Suzette.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/lawesa
