Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
"Eden Andalou Suites, Aquapark & Spa",Dr M Tabany wrote a review Yesterday,20,"Rubbish 2* hotel, be careful they will charge you extra for different reasons management team are extremely rude AVOID",Since the majority of the information about this hotel is inaccurate and misleading on their website allow me to briefly explain each one (highly recommended for anyone who wants to make a reservation at the hotel):    Is it a 5-star hotel? No of course not. If you read my review and the hundreds of others they all tell the same tale. Do you believe a five-star hotel will convince visitors to pay to use the indoor pool? This one did; there are numerous other examples as well.    All-inclusive: Well this is not at all all-inclusive and the food and drink are of poor quality. Again I advise anyone considering making a reservation at the hotel to stay away and read reviews written by previous visitors before becoming extremely irate. We had two meals in a fine restaurant outside where the food was authentically Moroccan. This place serves only junk food.    Children: In this hotel a 12-year-old child is considered an adult. I know this is absurd and no other hotel has the same illogical unacceptable rules but trust me it is what it is.    Location: Is this hotel in Marrakesh? Well the location of the hotel is part of the countryside of Marrakesh is that makes sense however it is about 30 minutes away. You will need to keep booking Taxis for different visits to the town. Everything around the hotel is ugly and no where to go unless you book a taxi to the town if you want to do it everyday.    Management and staff: Although the restaurant and bar staff are pleasant and friendly they are also dissatisfied with the hotel management and are likely to start complaining if you speak to them. The management staff is very obnoxious rude and unprofessional and the person with glasses and waistcoat who checked us in was a real nightmare and very mean. They overcharged us and we reported them to the local police but somehow this hotel has hands everywhere so I assume it is the short landlord! You should avoid booking this hotel at all costs as I would not recommend the hotel whether you a are couple family or even solo.    To the Management Team: You should know that I will try my best to get my money that you stole refunded even if this takes me five years to get my £152 back. You are aware that I am preparing to litigate against you but please be patient. Whatever response you give to this review I wouldn't put my trust in it—or in the corrupted security and police outside.,Date of stay: December 2022,,"London, United Kingdom",https://www.tripadvisor.com/Profile/X6046XBmt
"Eden Andalou Suites, Aquapark & Spa",Yvie26 wrote a review Dec 2022,50,Best experience I've had,A brilliant hotel the hotel is amazing lovely and clean. The beds were comfortable and the rooms were cleaned daily to a high standard. The restaurant had a variety of different food daily so was always good options. The restaurant staff was amazing and was always checking we were ok. The animation team was the best they always made sure we were involved in the activities and letting us know when they were on Raf Racha Khalid Mouss Sousou and Mimi were really nice but Didy was the best he sat with us for lunch gave us good advice for our excursions and we would have long daily chats it felt more like talking to a really good friend the laughter we had he was so funny he made our whole experience even better and i will definitely becoming back and highly recommend staying here.,Date of stay: December 2022,Trip type: Traveled with family,"London, United Kingdom",https://www.tripadvisor.com/Profile/yvetteafflick
"Eden Andalou Suites, Aquapark & Spa",Sharon B wrote a review Mar 20,50,Another amazing stay at Eden Andalou,This is our second visit to Eden Andalou and it didn't disappoint! We had an amazing 6 nights. The food was great and so much choice even for us vegetarians! Big thank you to Mohammed and Mohsine for looking after us. Huge thank you to the entertainment team nicest people and lots of fun lots of activities during the day and brilliant evening entertainment .... thank you to Ricky Khalid Didy and Karim who made our holiday extra special!,Date of stay: March 2023,,"Kirby-le-Soken, United Kingdom",https://www.tripadvisor.com/Profile/sharonbE9302BU
"Eden Andalou Suites, Aquapark & Spa",SHAUNNA wrote a review Mar 18,40,First time in Morocco 🇲🇦,we had a stressful check in with staff on reception  had to queue 2x and very disorganised we also had to try prove our confirmation of booking 🤦🏻‍♀️    apart from that..    • the staff work so hard to make sure you are happy and can’t do enough for you 🥰  • bar staff are friendly and always have a drink ready.  • free shuttle bus into Marrakech is easy to do - must book in advance.  • suites are cleaned every day with free bottles of water everyday really nice rooms with big bed & garden areas.  • the only heated pool outside is great but full of kids.  • main pool is cold even when the weather was in the 30s everyday 🫣 - pools open till 7pm  • good selection of food/grills but sometimes it was a bit repetitive with the meats and some of the buffet food was cold.  • animation team are super friendly  • entertainment wasn’t the best it started at 9pm but was mainly aimed at kids all the way until 10.30pm  • meal times were excellent - dinner served until 10pm 👌🏼  • Moroccan tea is a must try 👌🏼  • lots of spaces to sit around the resort.  • excursions available + photographer on-site  • waterpark is an added bonus.    Wouldn’t say this was a 5* hotel but definitely slightly over 4!  We had a lovely break of 5 nights and the weather was over 30 every day.,Date of stay: March 2023,Trip type: Traveled as a couple,"Gosport, United Kingdom",https://www.tripadvisor.com/Profile/cakeface90
"Eden Andalou Suites, Aquapark & Spa",Priti wrote a review Mar 17,50,"Spa facilities is a must, friendly staff",The spa experience was amazing definitely worth it. the gold hamman bath is a must.    the resort is good defo not 5.star. struggled for vegetarian and vegan food but managed for 4 days.    Evening entertainment was great too especially if you have young kids.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Pritipank
"Eden Andalou Suites, Aquapark & Spa",Lenishae B wrote a review Mar 15,50,"Beautiful hotel, exceptional staff",My first time visiting Marrakesh has been made so much better by staying in this hotel. All the staff have been super helpful especially Salima and her brother who made sure we had everything needed. They saw us coming from a mile off at every meal had our table prepared and as soon as we had collected our food from the buffet was right behind us to take our plates to the table.  Then we have the entertainment team. They were absolutely great. Especially Didy who took his time to explain what prices we should expect in the Souk and helped us not get ripped off by tourist prices. He was extremely attentive and helpful throughout the whole of our stay. All in all the customer service here is exceptional and aside from the 1 hiccup where they cleaned to room and forgot to leave us towels and I had to ask reception 3 times for towels I have nothing bad to say about this hotel. 10/10 would recommend.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/lenishaeb
"Eden Andalou Suites, Aquapark & Spa",Vanessa O wrote a review Mar 15,40,Great stay with amazing staff,Great hotel and experience. Staff was very attentive and helpful particularly Selima and her brother at meal times and Didy and the animation team. Would definitely come back and recommend. The meals where hit and miss at times but there’s such variety and so many things on offer you’re sure to find something you like.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/vanessao348
"Eden Andalou Suites, Aquapark & Spa",Jade H wrote a review Mar 15,40,Girls trip,Great hotel the staff are very friendly helpful and attentive. The hotel is also very family friendly and looks like the pics online. The animation team put on great events throughout the day and night. Didy was very helpful and gave us good advice and tips everyday. Would also recommend going to the spa.  The food was nice but they need to add allergy information on the dishes.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/jadehF7449VG
"Eden Andalou Suites, Aquapark & Spa",The O’Shea Family wrote a review Mar 13,50,Amazing holiday! Animation team the best ever bunch!,Never been to Morocco before so didn’t know what to expect but this hotel did not disappoint! The hotel is v clean and the rooms are comfy. Food is so varied and u can always find something you will like even for the fussy eaters and the deserts are amazing!! Water park is fab kids and adults loved it but what really made our stay the best holiday ever was Kareem James and Ricky (we miss u guys!) and the amazing staff at this lovely hotel! They are the nicest and most fun people you could ever meet we had so much fun doing lots of activities including water polo archery dart’s etc loved it so much will definitely be going back!,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/12345jackie
"Eden Andalou Suites, Aquapark & Spa",Simonsmoore wrote a review Mar 10,50,Amazing,Great hotel nice clean rooms the pools are a good size and no fighting over sunbeds in the morning. Animation team RickyKarim and Khalid were amazing great getting to know them and Salma behind the bar kept the drinks flowing with a smile on her face. Shuttle to and from the Souks makes getting in and out a breeze. Amazing weeks holiday,Date of stay: March 2023,Trip type: Traveled as a couple,"Godalming, United Kingdom",https://www.tripadvisor.com/Profile/Simonsmoore
