Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Es Saadi Marrakech Resort Hotel,Mo K wrote a review Mar 8,50,Loved this place,We enjoyed our stay ! Staff are very friendly and breakfast was yummy too ! I would go back anytime ! Room service was outstanding! Nice clean swimming pool! Garden view 👌🏽 everything to see on walking distance! Taxi are available outside hotel too ! Beware of taxi drivers always ask u for double fares! Haggle it to half before your journey !,Date of stay: March 2023,Trip type: Traveled as a couple,"Coventry, United Kingdom",https://www.tripadvisor.com/Profile/mok257
Es Saadi Marrakech Resort Hotel,Jeff L wrote a review Feb 2023,40,"Nice hotel, close to the action",I came to Marrakech on a press trip and was very pleased with the hotel. It's a very short cab ride to the old medina so the location is convenient. The room was comfortable the staff was courteous and helpful the breakfast buffet offered a lot of choices. In all I'd recommend this for people who come to Marrakech and want to stay at a hotel close to most tourist spots.,Date of stay: February 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/jefflY9721TS
Es Saadi Marrakech Resort Hotel,hat wrote a review Feb 2023,30,Not a 5 star hotel!!,We visited here for the first time it was my 25th wedding anniversarywhich when we arrived we specified this to the receptionist who was there at the time he said we can see what we’ll do for youwith this they completely ignored it and brushed it to one side.The hotel was a bit of a let down considering it was a 5 star hotel our room was basicand very old and shabby looking towels and bath robes were so worn and fadedlamp on the wall was hanging off.It smelt old and musty too.Overall wasn’t a great experience and we will defiantly not be coming back.,Date of stay: February 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/Explorer50478200188
Es Saadi Marrakech Resort Hotel,ESPOIR E wrote a review Feb 2023,40,Nice hotel,Very nice location. The staff was very friendly and lady at the restaurant was very welcoming.  We appreciate the breakfast and the dinner many thanks for all the staff.  I recommend the hotel .,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/espoire2023
Es Saadi Marrakech Resort Hotel,Marion L wrote a review Feb 2023,50,an oasis with great omelettes,My balcony looked out over an oasis of palm trees and the hotel was a perfect oasis in the madness of Marrakech and wonderful to return to after adventures in the souk and the Medina. Kind and friendly staff - they gave me directions told me how much to pay a taxi and printed my boarding pass for me in about 30 seconds. Highlights included a swim in the pool beautifully warm in mid-February red roses appearing in my immaculately clean room for no apparent reason and the amazing omelette chef at breakfast.,Date of stay: February 2023,,"Cambridge, United Kingdom",https://www.tripadvisor.com/Profile/marionleeper
Es Saadi Marrakech Resort Hotel,Rémi Weber Dublaron wrote a review Feb 2023,30,Old and overpriced,Interior from 1960 with luxury standard of 1960. If you dont care about what is normal today in a 5 star hotel this suits you. This hotel is really overpriced for the interior it offers ( metal keys dirty carpet very old interior no dimming lights curtains that arent closing mediocre breakfast for ehat they charge etc etc. Makes you feel in a 1980 movie from James Bond. Deco from 1960. Service us perfect though friendly smiling devoted staff. Beds are old. Only wifi is good 😀. Close the windows: busy roads all around and airplanes. Lots of french guests also mostly 60 years or older,Date of stay: February 2023,Trip type: Traveled as a couple,"Marrakech, Morocco",https://www.tripadvisor.com/Profile/rw316
Es Saadi Marrakech Resort Hotel,whodeystock wrote a review Jan 2023,40,Relaxing stay in great location but room for improvement,The location of the hotel is fantastic. Near the upmarket bars shops and also the mall. It is also an easy walk to the main tourist sites.    The breakfast was high quality and the serving staff members were good.    The pool was heated and the pool area within the large grounds was relaxing.    The hotel staff in general didn’t seem that happy and weren’t overly helpful.    The room was very noisy over the weekend evenings however the hotel are installing new windows/doors to accommodate for this fact.    Use of the fitness centre in the palace was good. However you have to pay €20 to use the tennis court.    However there were little things which shouldn’t occur in a 5-star resort.  1. If you know two guests are staying in a room provide two towels and two cups.  2. Once the cups have been used it is normal to replace them for fresh ones.  3. Once the tea bags have been used it is normal to replace them.  4. If a do not disturb sign is on the door then staff should not enter.    Also the hotel has a big problem when it comes to Information Governance and security procedures in general. If they wish to contact me I am happy to discuss this further with them.,Date of stay: January 2023,Trip type: Traveled with friends,"London, United Kingdom",https://www.tripadvisor.com/Profile/whodeystock
Es Saadi Marrakech Resort Hotel,Jet52115870178 wrote a review Dec 2022,40,"Charming hotel, amazing staff and poolside experience !",Charming hotel beautiful gardens friendly staff and delicious food! Heated pool and poolside dining for perfect day if lounging. A short walk to the souk and bustling square. Marrakech is a great get away!    Been several times and will continue to go back.,Date of stay: December 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Jet52115870178
Es Saadi Marrakech Resort Hotel,Wander14954972298 wrote a review Dec 2022,50,Welcoming oasis,This hotel is situated in extensive treed grounds together with villas and the Palace Hotel in an exclusive suburb of Marrakesh.  The staff are exceptionally helpful and the service level is very high.  Breakfasts offer a vast array of the fresh products and fruits which are so abundant in the surrounding areas.  There are two magnificent pool areas and the gardens offer in peaceful areas in which to relax after the bustling main square and medina which are easily accessed.,Date of stay: December 2022,,"Cape Town Central, South Africa",https://www.tripadvisor.com/Profile/Wander14954972298
Es Saadi Marrakech Resort Hotel,rosezabee2013 wrote a review Nov 2022,50,Wonderful stay,Highly recommend this hotel !    We stayed 3 nights at this hotel for our honeymoon. I appreciated how our room had been so nicely decorated with rose petals.  Breakfast was really tasty with a good variety available.  The pool was nice with plenty of sunloungers around.  But what sets Es Saadi apart is their staff.  All team members there from the room cleaner to the waiter or receptionist are just so kind and warm people making you feel so well looked after.  Hats off to them as they are the biggest asset of this hotel.  Tahir and me really thank you for making our stay at Es Saadi unforgettable !,Date of stay: November 2022,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/rosezabee2013
