Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Es Saadi Marrakech Resort Palace,Mingy127 wrote a review Mar 22,50,Day Pass!,We visited the hotel on a day pass to get some much needed rest and peace away from the main medina. We were greeted by friendly staff and given a choice of sunbeds around two large pools. The hotel is quiet but the staff are attentive when needed. The food that came included in the day pass was delicious and the portion sizes were big. Overall we paid 600 Dirham each for pool access and a three course lunch! We also got some drinks that weren’t included. Overall a great visit!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/mingylunes
Es Saadi Marrakech Resort Palace,WoodpeckerET wrote a review Mar 7,50,Oasis of health and well-being,This was my first stay back in Es Saadi post-pandemic and it was wonderful to say the least. It was great to see familiar faces in good health including Mme. Elizabeth they were happy to see me too and made sure that I felt their hospitality and grace :-)  They worked on their offer during the Covid period. Among the features I greatly appreciated was the gluten-free lactose-free nut-free and allergen-free breakfast table. This was the best of any hotel I've stayed at.,Date of stay: December 2022,Trip type: Traveled on business,"Berlin, Germany",https://www.tripadvisor.com/Profile/WoodpeckerET
Es Saadi Marrakech Resort Palace,meldorton wrote a review Mar 2,30,As explained above,We were given the worst room first. Why not give the client thé room he has reserved  Instead of hoping he will accept an inferior one. Even the one we accepted was immediately below the restaurant so there was a lot of noise at night. However staff particularly helpful and kind.,Date of stay: March 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/meldorton
Es Saadi Marrakech Resort Palace,Wanderlust V wrote a review Feb 2023,50,A luxury stay in Marrakech,Es Saadi truly feels like our home away from home! Whether we are there for business or leisure we have such a warm welcome and incredible service. The property is gorgeous with spacious rooms and impeccable touches. I especially love all of the art from local artists adorning the property. They truly provide a luxury level experience and the CEO’s attention to detail and presence on property really shows how much care she puts into it.,Date of stay: February 2023,Trip type: Traveled on business,"Boston, Massachusetts",https://www.tripadvisor.com/Profile/wanderlustv2018
Es Saadi Marrakech Resort Palace,Ekaete I wrote a review Feb 2023,50,Amazing Experience,I had the most wonderful experience totally enjoyed my stay and would definitely come back and would definitely recommend as well. Jaouad the butler was simply amazing very professional yet friendly. He was very helpful. Always had a smile on his face 👍🏼😀,Date of stay: February 2023,Trip type: Traveled with friends,"Hertfordshire, United Kingdom",https://www.tripadvisor.com/Profile/EkaChi
Es Saadi Marrakech Resort Palace,Dreamer676444 wrote a review Feb 2023,50,Exceptional staff at Es Saadi Marrakech,I had a great time there.  Jaouad who works at the resort was an amazing butler. He made our stay enjoyable.  He went the extra mile to ensure we were all comfortable.  He was always smiling and super helpful.  Jaouad is a great asset to this resort.  We will definitely visit again.,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Dreamer676444
Es Saadi Marrakech Resort Palace,Jordan F wrote a review Feb 2023,20,Staff need training charging for RAW food.,Could have been a great stay however let down by badly trained staff who think it’s ok to charge for raw uncooked food. Insisted we pay how embarrassing and cheap. We would never return because of this single act.    The spa staff seem borderline racist we said we’re from London then the staff said oh but you must be coming from Pakistan or India. Who ever trained the staff needs to be fired. Did really feel welcome.,Date of stay: January 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/B5689LJjordanf
Es Saadi Marrakech Resort Palace,Jill O wrote a review Feb 2023,50,Great Service delivery,Lovely Villa the hospitality and professionalism of the service butler was outstanding. Jaouad E was exceptional in his service delivery and for that reason I would love to revisit. Marrakech is a lovely country indeed.,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/jilloK8778QH
Es Saadi Marrakech Resort Palace,Susan F wrote a review Feb 2023,50,Pleasant experience in a fabulous hotel and city,I booked this hotel to celebrate my 50th birthday with 25 of my girlfriends and we had a fantastic time.  The asset this hotel has is by far the staff. We were taken care of Jaouad who went above and beyond the call of duty is his professionalism and attention to our needs. We felt so welcome and enjoyed our time at the hotel and Marrakech as a whole. I will most definitely be back in the near future.  Thank you Jaouad for making our stay very pleasant 🙏🏽,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/susanfX9021SS
Es Saadi Marrakech Resort Palace,Stay729447 wrote a review Feb 2023,10,Palace of extras charges and huge keys from last century,Called prior to coming hotel that I have two children they said no problem you have booked a suite. Paid $400 a night and I have never been bothered by this anywhere in the world. As I checked in at 1 in morning since our flights were delayed by 12 hours. So we were just paying to sleep at this point and really tired. Check in guy said they will charge 1000 mad which is $100 per night for child. I said that’s ridiculous and eventually stuck in a foreign country and had to swallow my pride. Clunky hotel with inconvenient key you have to carry around that is size of ruler and can’t even put into pocket. Stay away book Sofitel next door.,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Stay729447
Es Saadi Marrakech Resort Palace,BasibLondon wrote a review Feb 2023,50,Luxurious accommodation and hotel,We stayed 8 nights in the largest suite we have ever been in room 2301. The service everywhere was excellent  great breakfast and although we don’t normally eat in the hotel had a very good meal in Othello Restaurant. The only gripe I had and maybe this is the practice in Morroco is not that the hotel blocked the cost of the room for full stay on my card but they blocked a further £500 from my card against possible extras.. If indeed this is a normal practise then ok but I really object to this as a matter of principle,Date of stay: February 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/BasibLondon
Es Saadi Marrakech Resort Palace,Mike C wrote a review Jan 2023,50,1st class experience,The facilities are just as pictured and the staff are 1st class. We enjoyed the breakfast and gym facilities at the start of our day. The breakfast was beautiful fresh and healthy. I could not fault the hotel in any way shape or form.    We were sad to leave.,Date of stay: January 2023,Trip type: Traveled as a couple,"Chicago, Illinois",https://www.tripadvisor.com/Profile/MikeC187
Es Saadi Marrakech Resort Palace,Jennifer H wrote a review Jan 2023,30,Not what I’d expect from a place that boasts 5 stars,I booked one night at this place with points knowing I was arriving back into Marrakech from Fes late at night and departing super early for an international flight the next morning (choosing airport convenience and ostensible comfort over charm.) First despite arranging airport transport over a week in advance no one was there to meet me when I arrived. I thankfully have international data and was able to call but it took more than an hour to get picked up. There was only one person at reception (with 3 different check-ins ahead of me) so I waited forever to get my room. Reception was pissy when I explained I was exhausted and tired and wanted things to move faster. Could they not have a second person help at the reservation desk? Room is okay but far from 5-star Lux. No temperature Contol and the room is scorching so only option was sleeping with all windows and patio door open. Queen bed is two twin beds pushed together. Far from the worse place I’ve ever stayed but this is far from my conception of 5-star. Three stars tops.,Date of stay: January 2023,Trip type: Traveled solo,"Washington DC, District of Columbia",https://www.tripadvisor.com/Profile/E7072WSjenniferh
