Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Fairmont Royal Palm Marrakech,杨浩辰 J wrote a review Mar 23,50,good,The hotel is perfect for both stay and holiday. Best choice in Morocco. I have been there twice. Trust me this is the best one. Everything here is nice. Especially the service . I will come again if I go here,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/W3294EE_j
Fairmont Royal Palm Marrakech,fbusa wrote a review Jan 2023,50,Great hotel with wonderful staff,Beautiful architecture interior design and landscaping. The staff are wonderful - very professional and helpful yet friendly and always smiling. We stayed for 7 nights and hope to return. The golf course which we played 3 times and the practice facilities were well maintained and very scenic and a great golf club for post round beers! We enjoyed all the restaurants with the live music and the cocktail bar with their Dj. Because it was January it was lovely to have real fires lit in the evenings - very cosy.  The food from breakfast to evening meals was excellent. The only thing I'd change would be to be able to sit in the Mexican restaurant Domo in the evening for a change of ambience;( because the hotel was quieter in January the Mexican menu and International menu were both available but in the International restaurant only). Highly recommend the Moroccan restaurant upstairs which is beautiful and has a real fire - we ate there 3 times.  This hotel ticked all the boxes for us - lovely food service and ambience. We hope to return.,Date of stay: January 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/fbusa
Fairmont Royal Palm Marrakech,Meander00164264540 wrote a review Mar 23,50,Fantastic hotel with outstanding service,We had a fantastic time and would certainly return    Everyone is friendly and welcoming  All the restaurants serve fantastic meals  We especially enjoyed Al Ain as this serves authentic Moroccan meals  We were well looked over during our stay by Marouane    The breakfast buffet is extraordinary a fantastic variety to choose from  With our waiter's Mohamed and Abdullah being especially warm and welcoming  The Spa and sport's center are fantastic additions to the hotel both are quiet places to relax  I highly recommend a treatment at the spa  Ours was extremely relaxing  We are non golfers so locating La Sabra could have been a challenge but Marouane arranged a buggy to take us there  (La Sabra is at the golf course clubhouse but there is no signage showing the way)  Not a major issue and didn't detract from our stay  But when you're tired from a long trip be aware that check in is 4pm not 2pm as on UK websites  We found this out later  It would have been an advantage if on arrival we were told when the room would be ready as thinking it would be ready at 2pm was a little confusing in hind sight we should have gone for a meal while we waited,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Meander00164264540
Fairmont Royal Palm Marrakech,carolineandmartin wrote a review Mar 17,50,Superb!,The hotel is stunning with amazing views and beautifully landscaped. Facilities are excellent and all the staff are super friendly.  The spa is lovely and tranquil and the deep tissue massage from Ikbal the therapist was easily one of the best massages ever!  All the food was spot on and words cannot describe just how good the sushi at Le Bar is.  The pool is one of the largest we’ve ever seen heated to a perfect temperature and the poolside staff were so helpful and attentive especially Abderazzak who looked after us every day.    Definitely coming back!,Date of stay: March 2023,Trip type: Traveled as a couple,"Dereham, United Kingdom",https://www.tripadvisor.com/Profile/carolineandmartin
Fairmont Royal Palm Marrakech,David H wrote a review Mar 10,50,Domo restaurant - Royal Palm Marrakech,Ate with my wife in the Domo Mexican restaurant last evening which we can highly recommend - Mourad our waiter was first class so attentive and helpful with the menu. Food was excellent - highly recommended. We sample# the Cerviche fish Tacos and a seafood enchilada.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/davidhJ4801ES
Fairmont Royal Palm Marrakech,Karl B wrote a review Mar 6,50,Spa experience,The best massage ever at the Spa we found the service and ambiance to be first class. Both Ikbal and Lobna were amazing thank you so much. The hotel itself is very nice the service from the team is as you would expect from the Fairmont and the Japanese food is very good. Highly recommend. Thank you to all the staff for making our Moroccan adventure so memorable.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Bartonka12
Fairmont Royal Palm Marrakech,Leigh B wrote a review Feb 2023,40,Wonderful resort,We has some excellent people who made our stay lovely. Rachid the Breakfast manager was extraordinarily helpful making sure we were well taken care of every morning. Hdmza/Hamza at the mexican restaurant was wonderful and took great care of us. Maurice (I think this is is name) who is from the Ivory coast was the most attentive and caring staff memeber. He seemed to be everywhere trying to do his best to make everyone happy with a huge smile. People like this make all the difference at resorts,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/H340IXleighb
Fairmont Royal Palm Marrakech,Benjamin O wrote a review Feb 2023,50,Absolutely Magnificent,First time visiting Morocco and Marrakech and what an incredible place to stay. 8 nights in one of the Presidential Suites impeccable hugely spacious and perfect for a family.    Beautifully finished architecture decor and materials- luxury but with an authentic character. Top-notch bedding and suite amenities. The main hotel buildings reflect this- beautiful ornate but warm and welcoming.    Setting is stunning- a palm-fringed oasis with beautiful pools and amazing views out to the High Atlas Mountains.    Food was fantastic great diverse breakfast offering and a range of restaurants- Al Aïn the traditional Moroccan restaurant was a highlight.    Truly what sets the place apart are the Staff. A genuine and heartfelt welcome from everyone- from the Gardeners to the GM.    Particular mention to Marouane who looked after us throughout- always available via WhatsApp to arrange reservations and coordinate things. Also to Mourad who manages Domo the Mexican restaurant (the Lamb Tacos are a must try!)    Finally to Abderazzak who looked after us at the pool- a wonderful staff member who was brilliant with the kids.    Highly recommend this magical place.,Date of stay: February 2023,Trip type: Traveled with family,"Amersham, United Kingdom",https://www.tripadvisor.com/Profile/JerichoFeaster
Fairmont Royal Palm Marrakech,Rheanna wrote a review Feb 2023,50,"The Most Beautiful Place on Earth - incredible hotel, pools and landscape with the friendliest staff",The most beautiful place on earth! Zakaria pool and Zouhir & Rachid at the bar were absolutely amazing & couldn’t have been more accommodating. Wouldn’t let us lift a finger! Made our stay a magical one! Can’t wait to visit again. Amazing garden party with camels and hot air balloon - just stunning,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/RheannaSorby
Fairmont Royal Palm Marrakech,Jenny wrote a review Feb 2023,50,Pretty awesome for all the family.,The staff here are so lovely and accommodating our little daughter was poorly during our holiday and they went out of their way to cheer her up. They indulged my terrible French and were attentive without being intrusive.  The kids pool is perfect! Warm and shallow and allowed us to relax whilst watching our little ones swim and splash around.  A special thank you to Abderazzak who was super friendly and attentive.  Our suite was wonderful and spacious and the hot tub was a bonus for us and the kids- especially in the chilly evenings.  The food was delicious- breakfast a treat and we loved the Moroccan section; there was so much on offer. We ate at all 4 restaurants and the food was delicious and varied at all four.  My only critique would be the in room dining menu could have more fish and vegetarian options.  Overall a fabulous stay and I’m sure we will return.,Date of stay: February 2023,Trip type: Traveled with family,"Amersham, United Kingdom",https://www.tripadvisor.com/Profile/Trek47486884439
