Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Four Seasons Resort Marrakech,Marie Oxford 32 wrote a review Mar 24,50,"Beautiful tranquil hotel, 15 minutes from bustling medina",Lovely hotel. Pool is wonderful with water brought round in coolers. Breakfast excellent. Room v nice spacious suite with water replenished daily. Concierge booked great tour for us. Easy to get taxi to medina they call them as required from entrance 50mad. Perfect weather max 30 in day cool at night need jacket to sit outside restaurants. Great trip!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/marieoxford32
Four Seasons Resort Marrakech,Jon272 wrote a review Jul 2022,50,A Hotel for all Seasons,My partner and I opted out of staying at a traditional Riad in the Medina in favour of five star luxury on the outskirts of Marrakech. We wondered whether we had made the right choice.  All our fears were allayed from the moment we arrived through the huge secure private iron gates up the sweeping drive and into a magnificent air-conditioned welcome.  This chain understands service! In our week's long stay we had absolutely no issues whatsoever - just a fantastic stay being waited on hand and foot.  Our Premier Garden Terrace Room was superbly appointed with double sliding doors to the large bathroom and double doors to the huge terrace. When all opened up the room is to say the least - impressive!  The public rooms are also magnificent and thoughtfully finished in traditional yet modern Moorish style.  The breakfast is expensive (as is all the food) but exceptionally good. By the side of the hotel is a newly-opened retail street with shops restaurants and even Christiano Ronaldo's boutique hotel. This is an option for a great breakfast too.  The adult pool area is an oasis of calm although occasionally children did sneak in to go in the pool with their parents and nothing was said. The hotel grounds and gardens are so beautiful and relaxing that they almost rival the famous Yves Saint Laurent Gardens!  Being slightly detached from the hub of activity in the main town was not a problem - a taxi from the hotel cost between £5-£10 depending on the integrity of the driver!  Thank the Lord for Abdul who was the greatest gift to taxis since Uber and had to be almost forced to take payment from us! If anyone needs his number please let me know.  In summary whatever the season (or reason) this hotel excelled. Thank you.,Date of stay: July 2022,,"Altrincham, United Kingdom",https://www.tripadvisor.com/Profile/Jon272
Four Seasons Resort Marrakech,Simon B wrote a review Mar 24,40,A very beautiful place,We had a 3rd floor suite with garden and Atlas mountain views. A nice welcome birthday surprise of roses fruit and nuts was delivered. The breakfast is excellent and we ate in all the restaurants service top notch. Food and wines reasonable quality and value. The pool is fabulous long and gently heated pool area service great with complimentary iced water sun lotion hats and occasional fruity sips. Price to stay is between the budget 5* like Sofitel and high end 5* like Mandarin which suited us    My one complaint not well handled was the temperature of the cardio fitness room which on every occasion I went in was far too warm despite 5 requests to the fitness staff to sort out the A/C. Nothing changed: Comfort and safety were not taken seriously in this area. I spoke to reception twice (and asked for my concern to be escalated the the manager) but no response except to be told that some guests like to work out in a warm room!    We recommend this hotel overall for its good points described above and its location not too far from the Medina. We plan to return in November and I hope they can sort out their gym A/C by then.,Date of stay: March 2023,Trip type: Traveled as a couple,"Oxford, United Kingdom",https://www.tripadvisor.com/Profile/sfb2019
Four Seasons Resort Marrakech,laouad a wrote a review Mar 14,10,Not perfect,Thats not the forst time i come to four seasons marrakech ..i come here for the birthday pf my best friend . Everything was good and abdellatif from azaera was really perfect . But that person who said to me that i must go out abd he was about firing me . And telled me if i can pay the 75 euro to be in piscine. Make me angrey and that was direspectful . I will give 2 stars just for abdellatif . Thank you and never will be next tim . Do not ever go to that hotel . By,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/laouada
Four Seasons Resort Marrakech,Bernard Z wrote a review Mar 13,50,Exceptional facilities and service,This exceptional hotel makes every guest welcome and the staff anticipate what the guest needs - a rare quality. Rooms very comfortable with excellent amenities swimming pools well laid out with complementary iced water as you arrive. if you are celebrating a special occasion they know how to make it very special,Date of stay: March 2023,Trip type: Traveled as a couple,"Birmingham, United Kingdom",https://www.tripadvisor.com/Profile/BernardZ_11
Four Seasons Resort Marrakech,Charlecote22 wrote a review Feb 2023,50,Luxurious resort - definitely recommend,Definitely recommend this hotel- just 15 minutes drive to the busy Jamaa el Fna square. Taxis vary in price but on average 100-200 dirhams (£8-16). It is a luxurious hotel couldn’t fault it! The food staff room facilities were excellent. Breakfast is expensive but definitely recommend Symphonie Patisserie in the shopping centre (M Avenue) next door grab a lift in the buggy down to the hotel entrance and then a few minutes walk.,Date of stay: February 2023,Trip type: Traveled with family,"Warwickshire, United Kingdom",https://www.tripadvisor.com/Profile/Charlecote22
Four Seasons Resort Marrakech,Papad wrote a review Feb 2023,50,Perfection,The hotel is a 25-30 minute walk from the hustling and bustling Medina area. You experience the four seasons attention to service as soon as you step in. Our room was beautiful and had a gorgeous little terrace overlooking the gorgeous gardens and pool. The breakfast is brilliant and my favorite were the Moroccan pancakes and shashuka they made.. shukran Younis. The complimentary car service that dropped us to our dinner at the Medina was a nice touch. The Hammam at the four seasons with Fatima Zahra was discreet and amazing. I highly recommend dinner at La Sultana. We also ate at La Moroccon at La Mammounia but were not super impressed. We almost booked La Mammounia for our stay but last minute switched to four seasons and we’re glad we did. Oh and there is an extremely modern shopping avenue called M avenue that is right next to the hotel. I recommend venturing out of the hotel and walking and exploring the area in and around the Medina by foot.,Date of stay: February 2023,Trip type: Traveled as a couple,"Chicago, Illinois",https://www.tripadvisor.com/Profile/Papad
Four Seasons Resort Marrakech,Otic9000 wrote a review Jan 2023,50,Outstanding,Everything was perfect. This is how a Four Seasons is supposed to be executed. Loved every minute. The food the staff location and quality of everything exceeded our expectations. We spent days by the 'adult' pool even though it was only 68 degrees. The clear blue skies of January kept us plenty warm!,Date of stay: January 2023,,"Minneapolis, Minnesota",https://www.tripadvisor.com/Profile/Otic9000
Four Seasons Resort Marrakech,cpollard7 wrote a review Jan 2023,50,Amazing hotel!!,Loved staying here. Wonderful hotel quiet comfortable beds amazing staff great food! Loved walking around the grounds. Having dinner on the patio. Such a wonderful experience! The rooms were perfect!,Date of stay: January 2023,,"Fort Worth, Texas",https://www.tripadvisor.com/Profile/cpollard7
Four Seasons Resort Marrakech,Ben L wrote a review Jan 2023,50,A perfect stay,We had a perfect stay at four seasons - the room was beautiful & small touches and treats in the room were delightful. The service was amazing attentive and very friendly. The restaurant Quattro was particularly good and the breakfast is outstanding,Date of stay: January 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/858benl
