Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Hotel Almas,Alisha wrote a review Feb 2023,50,Exceeded our expectations:),Very nice hotel. Location was good everything’s close by. Kawthar at reception was so kind and helpful and helped to make our special occasion even more special. Service is 10/10. The only thing I would change a little is the breakfast it’s the same everyday however the juices they serve were the best we’ve had :).,Date of stay: February 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/Beautybyalisha
Hotel Almas,Wajahat Ullah wrote a review Jan 2023,50,Exceptional Stay,At first I was hesitant to book this hotel but it came as a wonderful surprise. This hotel is located just behind the shopping street of Guilez where there are multiple eateries around. The check in was quick and the room was spacious and clean. The bedding was clean and comfortable. However the bathrooms were small but the shower constantly had hot water in the cold weather. Great value of money will definitely come again.    important tip: please book your rooms without breakfast as the breakfast selection was quite disappointing.,Date of stay: January 2023,Trip type: Traveled with friends,"Karachi, Pakistan",https://www.tripadvisor.com/Profile/_Sheikhwajahat
Hotel Almas,Eddie C wrote a review Dec 2022,50,Great budget hotel,Stayed here with my brother for a four night stay in Marrakesh. The hotel is great value for money. The rooms are clean and spacious. The complimentary breakfast is good it's continental with cereal yogurts and selection of pastries. The hotel is located in the Gueliz area in the Ville Nouvelle. There is lots of restaurants a few bars serving alcohol and a modern European style shopping centre. It's a 20 minute walk or short taxi ride from the Medina. Facilities wise it's just the roof top pool but for a base for those wishing to explore Marrakesh it's ideal.,Date of stay: November 2022,Trip type: Traveled with family,"Kettering, United Kingdom",https://www.tripadvisor.com/Profile/295eddiec
Hotel Almas,David J wrote a review Oct 2022,30,In a great location,The hotel is in a great position in the centre lots of night life We were given a huge room slept well . The pool was shut as we arrived late And was leaving early in the morning  On the side was a list for room service but when I phoned it was unavailable ??  Average breakfast A posh looking hotel that needs a little updating,Date of stay: October 2022,Trip type: Traveled with friends,"Bridgwater, United Kingdom",https://www.tripadvisor.com/Profile/V9435SZdavidj
Hotel Almas,Shirin E wrote a review Sep 2022,30,An Average hotel with potential for improvement,Towels definitely have seen better days they have been used and they used to be white probably at some point in their life. The room we stayed in was ok and clean it needs improvement like getting rid of the old carpet. Unfortunately the room where food is served is very depressing most of the time the curtains are closed we only had breakfast in there although our tour package included dinner as well unfortunately after our first dinner when we arrived at the hotel we realized that this is not a place to eat dinner. Marrakesh has a strong culinary and I do recommend to adventure out of this hotel for food.,Date of stay: September 2022,,"Munich, Germany",https://www.tripadvisor.com/Profile/ShirinE20
Hotel Almas,Jason JG wrote a review Sep 2022,50,Worth the money and best budget hotel,The hotel is surprisingly good for a hotel at such a budget price. The room is clean the balcony is cute the bed is comfortable the roof pool is well maintained and most important the staff are very friendly. I came early at the noon before the regular check-in time but the receptionists accommodated me and found a proper room in minutes.    It’s located at the center of the new city and also not far from the tourists attractions in and surrounding the old city.    People said the facilities look outdated. But I found they are working perfectly fine. You get what you paid.    I really enjoyed my stay here and will come back again.,Date of stay: September 2022,Trip type: Traveled solo,"Tucson, Arizona",https://www.tripadvisor.com/Profile/188jieg
Hotel Almas,santpedor wrote a review Aug 2022,30,Room for improvement,The man in reception was not friendly and helpful and when I commented that I would post this on tripadvisor he just laughed. Certainly not a good professional !!!!!!  The hotel is well situated and reasonably clean and comfortable. However there is a fishmonger next door and there was a strong fishy smell.  The rooms at the back have a balcony but our bathroom was rather small.,Date of stay: August 2022,,"Barcelona, Spain",https://www.tripadvisor.com/Profile/santpedor
Hotel Almas,George M wrote a review Jul 2022,40,Get a balcony room,Spent three nights here.    The room is not exceptionally large but it's very clean and with good amenities. Rooms at the back of the hotel have large balconies but no view to speak of.    Breakfast is hit and miss.    The rooftop pool is a great way to waste an afternoon if you have one to spare.,Date of stay: June 2022,,"London, Canada",https://www.tripadvisor.com/Profile/GWMtravels
Hotel Almas,Frank D wrote a review Jun 2022,50,Good Hotel Great Location,This is a nice hotel with a really good location. The breakfasts are certainly nothing to brag about. A help yourself gathering of fruits and breads and some meats and hard boiled eggs. If you happen to see anyone the 'chef' will do eggs or an omelet for you.    My room was a bit small but adequate and very nicely finished. I especially liked the balcony/terrace where one can smoke - but NOT IN THE ROOM. There is also a nice pool and deck area on the roof.,Date of stay: May 2022,,"Slidell, Louisiana",https://www.tripadvisor.com/Profile/755frankd
Hotel Almas,Musicians Mum wrote a review Jun 2022,30,Good Location,Two separate nightsbookending week small group tour from UK.Good location only 30 mins walk from souks/Koutoubia (half distance can be walked through the Cyber Park)  No spare blankets..Rooms built to keep heat out so chilly.Bedcover large enough to fold in half.Huge bed.  Buffet breakfast adequate continental porridge/rice fresh dates.Only machine style instant coffee so advise take some ground coffee bags.  Rooftop pool adequatetsize for 6/8 strokes per length.Showers available by pool. .,Date of stay: May 2022,,,https://www.tripadvisor.com/Profile/MusiciansMum
