Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Hotel Du Golf Rotana,Rich P wrote a review Mar 10,50,Don’t let the bad bits put you off….it’s great!,Just back from 5 nights in the Hotel Du Golf and probably a couple of KG heavier! The room…we were accommodated in a ground floor pool view room with a comfortable Super King Sized bed. It was spacious and clean with all the amenities we needed. Air conditioning was adequate but not particularly effective and the shower was behind the free standing bath which was a strange design that allowed water to pool behind the bath. The Pool…Freezing cold but refreshing when the temperature soared to 29C. The decking was dangerously unstable but the manager assured me this was due to be renovated an area at a time soon. Pool bar was welcome an supplied ice cold beer and wine on request and the pool staff were very helpful. Food was excellent we utilised the buffet breakfast lunch and dinner and couldn’t fault it for choice and quality. The staff were also excellent they couldn’t do enough for us and really went out of their way to make our stay enjoyable. Special mentions must go to Tarik and Jasmiina for their hospitality. The hotel is getting a little tired but it was a lovely holiday and we would definitely go back.,Date of stay: March 2023,Trip type: Traveled as a couple,"Chesterfield, United Kingdom",https://www.tripadvisor.com/Profile/258richp
Hotel Du Golf Rotana,Jo B wrote a review Mar 10,50,Great holiday!,We have just returned from a week in Marrakech at this hotel. The following should help you decide whether or not it is for you!  1. Beautiful location situated about twenty minutes from Marrakech Medina but hotel offers a regular free shuttle bus into town.  2. The resort is a little tired in places but overall it really is pretty with a gorgeous pool and gardens. There is also a wonderful indoor spa pool situated 5 minutes from main hotel. We used this every morning - we didn’t play golf but other guests said the course plays well. The golf club building is truly beautiful and staff were fantastic when we had dinner there  3. The staff and customer service was faultless - we were really looked after and all done with a smile.  4. The food was delicious with a wide choice of dishes - particularly recommend the pastries and in addition to the main buffet restaurants you have a choice of two other restaurants - both were excellent but make sure you book in advance.  Wine was also very good - lovely pale rose and great G&Ts!  5. Mohammed is in charge of the trips and he is great! We went to the Three Valleys - it was a wonderful experience and good value. Just make sure you ask him to explain what the trips involve.  Great hotel booked via Voyage Prive - all inclusive so good value for the quality of the hotel and its excellent facilities. A big thank you to all the staff at the Golf du Rotana!,Date of stay: March 2023,Trip type: Traveled with friends,"Portsmouth, United Kingdom",https://www.tripadvisor.com/Profile/jobJ3996JF
Hotel Du Golf Rotana,Christine T wrote a review Mar 9,50,Friendly high class hotel,Myself and a friend just visited this hotel for one week for some winter sun and to explore Marrakesh and the Atlas Mountains. Where to start… fantastically fabulous on every level. Food is 5 star a lovely combination of Moroccan international and topped off with French pastries to die for. The service from ALL staff was friendly helpful and up there with the best I’ve ever known. Nothing is too much trouble to give you a wonderful stay. Our room was comfortable quiet and spacious with daily cleaning. The wine and gin and tonics excellent all available on all inclusive. They have two outdoor pools (only one heated) and a wonderful pool in the nearby spa. I cannot fault this hotel it is wonderful. One other thing is the hotel also offers trips and MOHAMMED is available to help you choose which ones would be perfect for you. He provides a very good helpful friendly service. We did the Atlas Mountains and three valleys and a visit to the local Hammam. Pick ups and drop offs were prompt and very well organised. I totally recommend this hotel,Date of stay: March 2023,Trip type: Traveled with friends,"Portsmouth, United Kingdom",https://www.tripadvisor.com/Profile/chrissyt08
Hotel Du Golf Rotana,Angelito77 wrote a review Feb 2023,40,"Great Service, good size and comfortable room","The service was good with restaurant staff willing to go the extra mile to ensure we have vegetarian choices within our all inclusive deal.  I would like to recommend that they label food with high allergies such as nuts as bread and other foods can have ""hidden"" nuts.  Pool bar staff and room maids were also excellent and helpful.",Date of stay: February 2023,,"London, United Kingdom",https://www.tripadvisor.com/Profile/Angelito77
Hotel Du Golf Rotana,John Magic wrote a review Jan 2023,40,Perfect escape from the cold,Beautiful experience in La Palmeraie. Very special thanks to the team at the Club House (Abdelatif Ali Rachid) Aziz at the bar Samir at the reception Larbi the shuttle driver and Ricardo for the latino ambiance ! They made our stay very special :)    +++ service & staff  +++ confortable rooms  +++ food with 3 restaurant options  +++ entertainment at night  ++ golf (bit dry when we visited)  + Heated kid pool (90cm depth)    - spa (cold pool)  - broken bikes  - isolated location,Date of stay: January 2023,Trip type: Traveled as a couple,"Paris, France",https://www.tripadvisor.com/Profile/Passport59216778166
Hotel Du Golf Rotana,Shakira Lorraine wrote a review Jan 2023,30,A really Honest review - not the worse but wouldn't rush back.,So my friend and I booked a last minute trip To Marrakesh for New Years and stayed at this hotel. It was supposed to be all-inclusive however was told that this was not an option and only breakfast was included. The hotel room was very basic even after upgrading to a better room. We requested a golf view and got a perfect view of bushes and lemon trees! - wasn't bad but definitely was not the view of the golf course.    The reception staff are somewhat unhelpful/rude/stand offish with the exception of the lady with a blonde short bob and red lipstick (I forgot her name apologises). We wasn't given any information on check in nothing on entertainment restaurants facilities bus timetables to go into the square (markets). I had to go back to reception the next morning to request this. Was given a map/information leaflet written in French ( I understand it's a French speaking country just thought more languages would be available given it's a tourist hotel).    I found the breakfast to be very limited as i do not eat meat. The lovely ladies who make you omelettes in the morning used the same utensils/mixing bowl for the meat and veg. This was extremely shocking to me given that it is a Muslim country I would have thought they would have a separate bowl/utensils for pork.    The gym/spa is quite a walk away from the hotel room on the 3rd day we were told about the hotel cars that can take you to and from by the door staff/ concierge. - they are by far the most helpful members of staff.    Taxi's to the new town/Gueliz will cost about 100DH during the day and double at night so be prepared to haggle and argue it down. If you can try and get a card for a reasonable taxi driver and stick with them.    It's not the most awful hotel but it's just definitely not a 5* more like a 4 ? if you are use to 5* resorts then you will be disappointed.,Date of stay: January 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/ShakiraLorraine
Hotel Du Golf Rotana,F00DCR1T1C2 wrote a review Dec 2022,20,"What could of been a lovely break was absolutely not! Poor service, bad attitudes and rundown property",We picked this to get away over Christmas. The pictures do not reflect the current state of the hotel! It is run down and unloved with less than half the restaurants open. The holiday started off well as we were collected as booked by the hotel 4X4. We ere shown to our 1st room which had a string stench of raw sewage - we obviously declined this room. We had booked two rooms to be adjoining. The second choice of room was virtually in opposite sides of the hotel complex. Apparently they did have rooms next door to one another when I pushed for these. As it was Christmas Eve we booked to be in one of the other restaurants rather than the buffet - we informed them of the food allergy in the party. We turned up for our reservation and after some discussion we were told to be told that rather than the 5 course meal they would be getting just the one course! We promptly left. We had dinner in the buffet where we were told at 9:30pm they had ran out of red wine! We felt the tone had now been set but were willing to give them the benefit of the doubt. That didn't last long - the service by the pool has also been appalling with wrong drinks and food delivered running out of drinks by 3pm and even being told to fetch milk from the kitchen if you want a latte! The food in the buffet has been adequate but frequently runs out by 9pm so don't eat late! We usually go down at 8pm and struggle. They have tried half heartily to cater for the allergy - so unusually in 2022! Then top off your evening in the bar where they will serve you IF they feel like it!    We did bring the issues to the attention of the management but no change really.    The rooms have been meticulously looked after by the wonderful lady taken care of them. Spotless and nothing too much trouble.    The Hammam and Spa have also been excellent and the staff attentive and knowledgeable.    One of the ladies on reception Rana has been particularly helpful and friendly. She has tried her best to make this a more enjoyable stay. Alas she is just one of the people we have encountered and a minority in her approach to customer service.    For those three reasons I have given them 2 rather than 1 in my review.,Date of stay: December 2022,,"Swindon, United Kingdom",https://www.tripadvisor.com/Profile/F00DCR1T1C2
Hotel Du Golf Rotana,Mark C wrote a review Dec 2022,50,Palmeraie always progressing!,Fantastic professional and warm welcoming from all the staff in particular Hassna Ettismsiti at the réservations Sarah at the restaurant and Yohan Fernandez and Bouchra Lkasmaoui at the Golf Club  Always great to play this Trent Jones lay out which encourages him/her in the first 6 holes tests him through the turn and teases him/her right down to the last putt.  Looking forward to see the improvements to the course in the New Year.,Date of stay: December 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/W2074RTmarkc
Hotel Du Golf Rotana,Jem D wrote a review Nov 2022,30,"Uninspiring hotel, challenging reception staff and in need of a facelift",We booked indirectly (Voyage Prive) and on arrival were told by reception staff that our reservation had been declined they were full and we should contact Voyage Prive a great start (not) to a 60th birthday retreat. Reception staff were just so matter of fact and unhelpful. It turned out there was a Voyage Prive Rep in the hotel and he agreed to sort things out and asked us to wait. Two hours later we were still waiting and having checked on-line with the Rotana website we knew there was availability so approached the reception again only to be told they had no rooms. We asked to see the manager explained the situation and our on-line enquiry and suddenly they had a room for us! Unfortunately after such a poor and unnecessary first impression we started to become more sensitive to drawbacks and faults at this hotel. The main dining room is on the lower ground floor beneath reception it's a self service buffet and you find you own seat and then have to catch the eye of a waiter to have any drinks. The food is good there is a wide selection whilst there only 2 of the 'premier' restaurants were open neither busy but the hotel insist you book 24 hours in advance. The Golf Club bar was relaxed but the options were limited and more like bar food The Italian was quite basic and we food the staff rude. The Pool Bar is ok quality of service was variable no ne explains what is covered under the all-inclusive option we had taken at any time. The Pool side snack bar was ok again only offering 50% of the normal menu. We assume we were outside the main season the hotel was (apart from our last day) very quiet and tired around the edges definitely time for a refurb across the board. The pool was cold not heated and the boardwalk around the outside is a trip hazard beds were basic and towels provided were far too small for the loungers. We had a great time in Marrakesh but spent as little time in the hotel as possible. We were not allowed a late checkout and the only shower and changing facilities are underground near the pool and were disgusting. Shame as I am a Rotana Rewards Member having stayed in other Rotana hotels but this one was the worst by far ultimately I know our initial experience clouded our stay but this is not a 5 start resort by UK standards possibly low 4 star but definitely needs a refurb and some customer service skills training for its reception staff. Waiters in the main dining area were great,Date of stay: November 2022,,,https://www.tripadvisor.com/Profile/JemD_12
Hotel Du Golf Rotana,Loc wrote a review Nov 2022,10,Oh my God.... really reall bad :,So dirty  So noisy  So unavailable staff no french TV... there is nothing good in this hotel  Huge noise of Ventilation in the room  Windows does not open...  It's more less than 1 star hotel than a godd hotel... lease never go there,Date of stay: November 2022,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/loicmJ1503HX
Hotel Du Golf Rotana,Lynne M wrote a review Nov 2022,50,Lovely October stay,We (2 adults and 2 teenage boys) stayed at the Hotel Du Golf Rotana for 5 nights over October half-term. The accommodation facilities restaurants/food more than met our expectations. My sons (both playing off scratch) took the opportunity to play 4 rounds of golf use the practice facilities and the well equipped gym.    Having worked in hospitality for years I have to say that the staff really do make the hotel. They were excellent - all very attentive and genuinely keen for guests to have a great stay and return again.    Restaurant wise my sons loved the flexibility of eating at the Zest Restaurant and the bar/food area near the pool. The highlight of our stay food wise were two evenings when we dined at Pasta Cosy - delicious meals both times!    Thank you team Hotel Du Golf Rotana.  We hope to visit again.,Date of stay: October 2022,,"Chester, United Kingdom",https://www.tripadvisor.com/Profile/lynnem627
Hotel Du Golf Rotana,Mark h wrote a review Oct 2022,50,Great late sun and good golf,This was a great trip . We booked via golfbreaks and they recommended the all Inclusive package which included all our food and drink…the golf was brilliant and the starter rashid was great …playing 3 rounds each time I got getter and I was really impressed with the course and it’s up keep. The food was great and was different each day and night. Just great thank you….,Date of stay: October 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Mholmeslufc
Hotel Du Golf Rotana,Tariq A wrote a review Sep 2022,10,Scam alert - be careful staying at this hotel,Upon arriving the hotel tried to make me pay twice for the rooms! Further to this when I added an additional room again they tried to charge me twice! Once can be a potential mistake but to do this twice is attempted fraud. Careful when booking a massage...they will leave you short on the time...we paid for 30 mins but the massage lasted only 20 mins. One of their restaurants tried to charge us twice for the same items. Throughout the resort will try to scam you for money. This completely kills any enjoyable experience because you end up not trusting anyone at the hotel and you feel like you need to be mindful of every interaction which required payment. I actually emailed the hotel directly with these issues but they do not care. They have not even bothered to respond!,Date of stay: September 2022,,"London, United Kingdom",https://www.tripadvisor.com/Profile/tariqa641
Hotel Du Golf Rotana,ZBM1980 wrote a review Aug 2022,50,Again Excellent,This is not the first time I stayed in this hotel. The quality is still high and they are doing a really excellent job. I would like to thank Mr Ouarzazi for hospitality I really recommend this hotel. Special thanks to;    +++ Mr Ouarzazi  ++ Mr Khalid (Manager Restaurant) Khalid and Sara  +++ Kids Club (Fatim Zahra and Majdouline)    And the rest of the staff which I not mentioned.    Wish you all the best,Date of stay: August 2022,,The Netherlands,https://www.tripadvisor.com/Profile/ZBM80
Hotel Du Golf Rotana,Clemandus wrote a review Aug 2022,50,5* for a reason!,The most amazing holiday. No wonder this is a 5* hotel. The most amazing pool staff room and food ever. The guys at the pool bar particularly made our stay special - serving the most amazing cocktails and food. A truly magical resort - thank you so much for the most relaxing holiday ever. I am recommending this hotel to everyone!,Date of stay: August 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/clemp862
Hotel Du Golf Rotana,Frederic R wrote a review May 2022,50,People going beyond normal Hotel service,Went for Business to this hotel although the hotel was fully booked you couldn't notice this as still plenty of places available on the different Sundeck chairs.  Although in the middle of the week outside of children's holidays the kids club was available for young kids <12 years.    The reception staff really helped me on 2 occasions.  - a light in the bathroom was on the night of day 1 impossible to turn off (The next day reported it at reception and the day itself it was repaired)  - Wanted on an evening at 22h00 a small bite (didn't want a full buffet) Reception drove me to the Italian restaurant of the same hotel and made sure I was well taken care of. I could have asked for a driver to bring me back but preferred the 10 min walk back to my room.  (Thanks Samira at the reception of taking such good care of one of your many guests),Date of stay: May 2022,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/turboflits
Hotel Du Golf Rotana,Fam B wrote a review May 2022,50,Beautiful hotel in lovely area,We enjoyed much our stay in Rotana Hotel du Golf away from the crowded city center. We enjoyed playing at the golf course the lunches in the terrace of the golf course and Pasta Cosy. The swimming pool was vold but that was very refreshing with temperatures above 30 degrees.  We had two connected hotel rooms with hoor beds.  The rooms were very clean and we specifically thank Behia for that and her excellent service!,Date of stay: May 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/famb683
