Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Hotel Sofitel Marrakech Palais Imperial,Mansour Sakr wrote a review Mar 19,50,Great Smiles Everywhere!,Not only is the hotel amazing the service is exceptional. The team is attentive passionate helpful and always present with a smile. The restaurants are one of the best in town offering wonderful food and a indulging experience with loveley entertainment espacially at l'orangerie with a jazz band and the so lounge with a resident DJ.  Plenty of people to thank so hope I won't forget anyone! Sukeina Hamza Reda Siham mounia souheil Tarek and the list goes on!,Date of stay: March 2023,Trip type: Traveled on business,"Abu Dhabi, United Arab Emirates",https://www.tripadvisor.com/Profile/Mansour_Sakr
Hotel Sofitel Marrakech Palais Imperial,markD6979AC wrote a review Aug 2022,50,Exotic travel,Stop on a revenge travel itinerary. Great location walking distance to souks. Fantastic decor and hotel facilities. Great even in summer heatwave. Well worth a visit. Great food including local fare in hotel restaurants.,Date of stay: August 2022,,"Tauranga, New Zealand",https://www.tripadvisor.com/Profile/markD6979AC
Hotel Sofitel Marrakech Palais Imperial,khaddouj a wrote a review Mar 19,50,Thank you l'orangerie,It was amazing night at Lawrence bar  With groupe of music also  Thank you équipe l'orangerie restaurant (zaoutanee moufakkir imade anoiree hivham Soufiane abdlekbir ziyoue hamzae)  Stuff of the bar chef Tarek Redouane aymenne  And don't forget the pretty manager souha with the hôtesses sihame and Mounia,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/khaddouja2023
Hotel Sofitel Marrakech Palais Imperial,Nishon E wrote a review Mar 19,50,It's the lorangerie,Beautiful stuff (it's the lorangery restaurant)   I really feel comfortable  Thank you so much for SOUHAULA  Sihame and Monia at the reception of lorangerie  Chef redouanetarekaymenee  Chek kibir zayoue essekkari  Hali chokeri mouhamed amine zaoutane anware and emade    Thank you lorangerie for this amazing night I got in Morocco,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/nish0ne
Hotel Sofitel Marrakech Palais Imperial,Ami R wrote a review Mar 17,50,So lounge the best with yassin,Yassin made us a great service and we had a nice shisha (my love) and nice cocktails.  The happy honey cocktail we can recommend! Even nice bonfire to keep you warm outside at 1001 arabian nights 🤗 thanks!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/443amir
Hotel Sofitel Marrakech Palais Imperial,Catherine B wrote a review Mar 17,50,"Glamorous, friendly, and kid-friendly too!","My husband had a conference at the Lounge & Spa and wanted to bring our whole family. Since we have 4 kids (ages 5-13) the only room type that could accommodate such a large family was a suite in the Palais Imperial. My husband was hesitant because the photos on the website made the decor look a little dated but the halls are beautiful and our suite is clean new and very elegant.  Everything in the hotel is so fancy I was worried that children would be less than welcome but the entire staff is kind solicitous and so warm towards our kids. The Kids Suite was tricky to find at first but the front desk gave us good directions. It's not as high-energy as some other resort kids' clubs we've been to but after days of strenuous traveling it was a welcome break. One thing we didn't realize was that it's included in the room rate! The kids went for a couple of hours for a change of pace; they colored learned to write their names in Arabic made crafts played games and had a good time.  Everyone on staff speaks good French & English though sometimes it took a little bit of explaining for some of the waitstaff to understand my 10-year-old's celiac needs. We had the easiest time navigating gluten at the buffet breakfast at Le Jardin each day; there was a whole shelf of GF bread & pastries--both French & Moroccan--and when we asked for separate Nutella to avoid cross-contamination they understood immediately and brought generous portions to our table. Restaurants & Room Service have ""Prince & Princess"" menus of familiar foods in smaller portions and I was very surprised at how quick Room Service was. They brought us macarons every day & there were Moroccan pastries & fresh fruit waiting for us in our room at check-in.  The whole hotel smells of orange blossoms spices & bergamot there are bitter orange trees and bougainvillea all over the property the pools are beautiful (only one is heated) and the whole place is kept meticulously clean. Room cleaning and turn-down service was always thorough and quick.  In short it's been one of the most unique and comfortable hotel experiences we've ever had.",Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/catherinebN6555QB
Hotel Sofitel Marrakech Palais Imperial,Trek37459276542 wrote a review Mar 17,50,So lounge,Very Nice place good service and very good sisha! They gave us good seating with heat as it was a little cold. The sisha coal was changed regularly and the service was vey fast. I would recommend this place a lot abderhmann and mohsin and Abedsamad and redewan and manager Mhdi etc said and Siham,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/Trek37459276542
Hotel Sofitel Marrakech Palais Imperial,Shamas T wrote a review Mar 17,50,SO Lounge Marrakech,I went for food and shisha for first time really enjoyed! Would love to come again. Good food and good shisha must visit and great service by Yasine & amin  Chef said et mehdi & siham    Very good overall service by the team!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/shamast2023
Hotel Sofitel Marrakech Palais Imperial,saleh m wrote a review Mar 3,50,Abderhmann du so et mohsin et said et mhdi,Great place to go try it and I promise you will have a fantastic time great show great food great service with a nice price honestly I have nothing bad to say son oublie le barman samira et les quipe du so lounge,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/21salehm
Hotel Sofitel Marrakech Palais Imperial,Laure R wrote a review Mar 3,50,L'orangerie,Amazing stuff  Thank you so much l'orangerie  For the manager souhaila  Thank you chef tarek For this service with redouane And aymmene  In the réception miss trabchi and Mounia  We get also dîner With chef hamza benmansour  It Was fantastic  Dont fongot amine anes anoir emad chokri hali ziyou,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/laurer850
Hotel Sofitel Marrakech Palais Imperial,Ahmed K wrote a review Mar 3,50,Night at the so launge,Good experience at so launge  I would like to thanks mr Mohsine and all staff special miss Siham and mr said for the warmly welcome. The Asian map was soo delicious the cocktails and shicha was wonderful.  I would like to coming back with my family very soon . Thanku everyone👏👏👏,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/ahmedkM1887EH
Hotel Sofitel Marrakech Palais Imperial,Simo E wrote a review Mar 2,50,The best place & best people,What a place to be really first off all I wanna say Good Vibes & good music and big shout out to the Dj Simo that he’s playing for use good music and all the lovely people there : Amine  Mehdi  Said  khalid  Rachid  Soufian ayoub  Abdasamad Samira Marwan Hanza  hachim Mouad Abderhman yassin …. Thank you guys for everything and can wait for next time,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/simoe344
