Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Iberostar Club Palmeraie Marrakech,lucia a wrote a review Yesterday,30,Nice but not 5 star or even 4,It’s nice but it’s defo not a 5 star  The rooms need an update  Kids pool defo needs a good clean  It’s nice enough and staff are friendly but not luxury  Not even a kettle in the. Room.  No coffee at breakfast apart from a machine,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/I7403ZAluciaa
Iberostar Club Palmeraie Marrakech,susierossii wrote a review Sep 2022,50,"Wow again!!just fabulous
Once again this hotel is fabulous food truck guys lovely ismail and aziz best ever
Food fa",Well here again in this amazing hotel  Everything as usual brilliant all the staff are a credit to the hotel especially  hansa kalhid and zachariah  they are amazing guys  the shows are really good  bar staff restaurant cleaners all do a fantastic job the hotel is spotless food so good loving it Again !!! Dont want to leave,Date of stay: September 2022,Trip type: Traveled with family,"Dublin, Ireland",https://www.tripadvisor.com/Profile/susierossii
Iberostar Club Palmeraie Marrakech,AnnChelvey wrote a review Mar 23,40,"Beautiful grounds, great facilities.",Hotel has beautiful well maintained grounds lovely to walk around. Rooms very pleasant well equipped bathrooms we found the mattresses and pillows rather firm and took some getting used to. The staff were very helpful. The pools were excellent great to have an adult only pool. The facilities were amazing archery tennis badminton petang etc and even trapeze work.  Food - loved the breakfasts ( bread amazing) lunch- really enjoyed the salad bar but unfortunately the hot food was only ever warm and rather bland the dishes very similar. Desserts too nice 😂  The hotel is half an hour from Marrakesh but there are free shuttle buses.,Date of stay: March 2023,Trip type: Traveled as a couple,"Backwell, United Kingdom",https://www.tripadvisor.com/Profile/AnnChelvey
Iberostar Club Palmeraie Marrakech,simon3004 wrote a review Mar 23,50,Lived up to the hype,Amazing grounds  with very friendly staff. Although some of the waiters seemed more interested in topping up glasses for perceived tips. Food was spectacular. Wonderful Moroccan section great pasta and fresh salads. Plenty of options for a vegetarian. Shuttle bus offers a regular service but more buses in the afternoons. Superb swimming pools and adult only area was very popular. Clean and spacious rooms. Yes staff spoke more in French but usually spoke some English. And maybe we shouldn’t expect English to be the main language.,Date of stay: March 2023,Trip type: Traveled as a couple,"Exeter, United Kingdom",https://www.tripadvisor.com/Profile/simon3004
Iberostar Club Palmeraie Marrakech,Lynn Ferguson wrote a review Mar 20,50,Fabulous 4 night for the family.,Myself my husbanddaughter in law and 2 grandsons aged 8 & 4 flew out to meet our son who is working in another part of Morocco he chose the hotel we left it to him to arrange the booking as we were arriving on different days.  I can honestly say it was an excellent short break and a very special time for us all the cleanliness of the rooms hotel pools and gardens are A1 the food was plentiful and catered for all general staff service and friendliness also A1 !!  Well done to you all and many thanks for giving us as a family a great time we only wish it was a longer stay but we will be back !!,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/Lynnfergy
Iberostar Club Palmeraie Marrakech,Elaine S wrote a review Mar 20,50,Fantastic All Inclusive hotel,Just returned from a fantastic holiday at this hotel. Probably the best all inclusive hotel I’ve stayed at.    Rooms  Are spacious  Plenty of storage  Fantastic powerful shower with loads of hot water  Great size of towels. This might seem trivial but when the towel wraps all the way round with some to spare it’s a luxury.  Shower gel smelt beautiful  It was cleaned to a very high standard every day  Water was in the fridge when we arrived  Beds were comfortable  Great magnifying mirror in the bathroom  Balcony on the small side but we didn’t use it    Staff  With only one exception the staff were extremely friendly  They couldn’t do enough for you  The restaurant staff remembered what you like to drink after the first day. Your tea/coffee was in your table when you get back with your first plate at breakfast and your wine at dinner.  Nothing was a problem for them  Same could be said for the bar staff at the main bar. Friendly cheery people.  Staff in the al a carte restaurant were not near as friendly or efficient as the main restaurant.  My exception is one girl at reception Khadija. Firstly she left us sitting for about 30 mins waiting to check in when we’d had a long day traveling and it was late. When she was approached about this she was extremely unfriendly. I also experienced this attitude on another two occasions within days of arriving.  This seemed even more disappointing when the rest of the reception staff were so helpful and pleasant. It’s a shame because she was the first person we had an interaction with.    Food and drink  The food was marvellous. From simple vegetables tasting amazing to the best burgers from the barbecue I have ever tasted.  The variety was great.  The opportunity to taste many traditional food and flavours was also great.  I wouldn’t recommend the al a carte restaurant. The food was ok the service less than ok. Even although it’s good to get your food served to you it was a much better dining experience in the buffet restaurant.  The cocktails delicious. So many all inclusive hotels offer watered down coloured liquid and call them cocktails. The ones here were proper cocktails.  Wine was lovely in the restaurant and been able to help yourself was nice.    Pools and gardens  I can’t talk about the main activity pool as I didn’t use it choosing instead the quiet adult pool.  Beds were comfortable  Area was clean  If you went to move a bed to another position the pool attendant came over and moved it for you.  Magnificent gardens constantly being attended to by an army of gardeners. It was a delight to walk through them.    Shuttle Bus  Shuttle bus to the centre was great. Always on time.  It’s drops you about 25 mins walk from the Medena.  We usually got a taxi back as we could face the walk back to the bus  Taxis were 150 dirams. We were never scammed they always asked from the same at the end of the journey.    For consideration  Advertise that there is food a available from the barbecue. Had we always used the main door into the restaurant we would never have known the barbecue was there.    Have a facility to offer hot water at the pool bars. I wanted tea when I used the burger truck but was told I’d need to get it from the main bar in the hotel.,Date of stay: March 2023,Trip type: Traveled with friends,"North Lanarkshire, United Kingdom",https://www.tripadvisor.com/Profile/elainesZ6361KA
Iberostar Club Palmeraie Marrakech,Adrienne E wrote a review Mar 20,50,A wonderful week,We've just returned from a wonderful week at this fantastic hotel. The grounds are large and beautifully landscaped meticulously maintained by the hard working ground staff. The hotel throughout is exceptionally clean too. The rooms are spacious and comfortable.  For an all inclusive hotel the food is exceptional. My friend and I are both vegetarians and often struggle to eat something other than grated carrot at our holiday hotels! This was most definitely not the case here. A fantastic choice of salads tangines fritattas rice and lentil dishes all delicious.  The staff are a definite strong point of the hotel always friendly and polite. Particular mention must go to Abdel (who always greeted us with a smile at the entrance to the restaurant) Youseff (waiter working from the main hotel bar) who was so friendly and smiley and also the hotel Manager himself Walid. On chatting to Walid we complimented him on the hotel food. I mentioned that it would be nice to have some nuts with the breakfast buffet to go with the yoghurt and dried fruit. Walid very kindly arranged for a generous supply of walnuts cashews and almonds to be delivered to our room that we could take to breakfast every day. Excellent customer service and very much appreciated.  The hotel is a little way out of Marrakech but runs a free shuttle service throughout the day. Do note though that it does drop you a good 20 minute walk away from the main square so factor in the heat of the day when you book your times. If you prefer to take a taxi there are always a few waiting outside of the hotel. Typical costs would be 150 dirham during the day rising to 200 dirham at night. We did find throughout our holiday that the taxi drivers will try it on with their fares so don't be afraid to negotiate!  We would have no hesitation in recommending this hotel to anyone.,Date of stay: March 2023,Trip type: Traveled with friends,"Dursley, United Kingdom",https://www.tripadvisor.com/Profile/Eloisecherry
Iberostar Club Palmeraie Marrakech,JandGWestSussex wrote a review Mar 19,50,Amazing getaway to the sun,My husband and I spent 5 nights at this wonderful hotel last week. The hotel is in a great location away from the city centre so very peaceful and relaxing. From start to finish the staff were incredible - they really go the extra mile to make your stay amazing. Special mention goes out to Khalid Lacoste Ashraf Meriem Adraoui (he’s is AMAZING) Adil and Ben.  The buffet restaurant offered really good variety to suit all palates with live fresh food being prepared too. The Moroccan restaurant is well worth a visit (book when you arrive as it isn’t open everyday). We had traditional Moroccan dishes including a delicious vegetable soup seafood pastry and of course tagine!  The entertainment team go to all lengths to keep everyone engaged and having a fun time. There’s a variety of things to do from water polo to yoga and trapeze. There’s also a quiet pool if you don’t want to engage in the activities.  The shuttle service to the city is really good and we went into the souks etc one morning.  We had an Atlas Mountain facing room and it was lovely to wake to the birds tweeting in the morning. I would highly recommend this hotel if you are looking for an escape to the sun with nice food accommodation facilities and most of all the BEST staff.,Date of stay: March 2023,Trip type: Traveled as a couple,West Sussex,https://www.tripadvisor.com/Profile/JandGWestSussex
Iberostar Club Palmeraie Marrakech,Tricia wrote a review Mar 17,50,Perfect holiday - please read for honest review,My husband and I stayed at this wonderful resort for a week and I always try to be as honest as I can when writing reviews.  The resort is wonderful - check in seamless. We had a garden view.  Gardens are well kept which the gardening staff worked on every day.  Pool - we choose the Zen Pool as it was quieter. All pools are clean and cleaned down each day. Sun beds are reserved early.  Food - good food the A La Carte Restaurant is only open 5 days a week- you need to book.  Gym- why is opens at 9am I will never know strange time why not earlier?  Staff-all helpful and friendly.  Running track - it’s okay for running a little uneven though in places lovely walk around here watch out for the goose with attitude 😂  Cats - a few cats around that steal the hearts of the holiday makers. One small tabby very friendly and walks around inside.  Bus to the centre - great free service and runs several times a day and you need to reserve a time.  What nobody seems to mention in the reviews are the street dogs active at night. One beautiful girl is outside the hotel every morning. She’s timid but so friendly and gentle. Please show her an act of kindness and pass it on in your review for the next person to read. She can’t tell you that she is hungry scared and in need of human kindness-but she is. She’s not fussed on bread. Take 5 minutes out of your day to check she’s doing okay and perhaps a little ham ?,Date of stay: March 2023,Trip type: Traveled as a couple,Chesterfield,https://www.tripadvisor.com/Profile/TriciaE94
Iberostar Club Palmeraie Marrakech,Resort53883630242 wrote a review Mar 17,50,Marrakech iberostar,Great place for an all inclusive stay I have never taken an all inclusive holiday before and I was impressed by the choices you have in this hotel you are able to have quite time a lively atmosphere or activity holiday everyone’s choice met.  Lovely gardens  Great options with the pools adult area fun main pool with plenty of activities and a child pool  Food excellent lots of choice and options to suit everyone  Free bus to Marrakech if you want to explore also on sight advice and tours you can book if you want more trips  Staff are all lovely helpful happy pleasure to be around,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Resort53883630242
