Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
JAAL Riad Resort,Frank T wrote a review Mar 21,50,Last minute….. fab find,Arrived in dark but how fabulous the pool area looked 👌  Staff extremely pleasant with a big mention for the manager of the Italian restaurant 😉  Live music was lovely in the evening and food especially breakfast was excellent quality and choice.  Large rooms and comfy beds.  15mins from airport and 10 from the hustle and bustle (madness 😳😂) of central Marrakech.  Took a balloon ride and day trip to Atlas Mountains. Both good value and quality.  All in all would definitely recommend and would visit again 👌 Loved it,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/frankt93
JAAL Riad Resort,Alan P wrote a review Mar 15,50,So wonderful!,Magnificent! A stunning hotel with wonderful staff and facilities. We loved absolutely everything about it. The outdoor pool was superb. Great location. Just 10 minutes from the airport. Can't wait to come back.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/alanpO9070HD
JAAL Riad Resort,Sue T wrote a review Mar 1,20,"Fur coat, no knlckers",Our first encounter with the hotel was when on arrival they gave my friend and me a double bed rather than the 2 singles we had requested and they'd agreed.  I spent the first night sleeping on a very uncomfortable sofa in the room. We were moved the next day.  The hotel is lovely in appearance and some of the staff really nice and helpful...however this is completely opposite to the way the management take seriously guests concerns. They are cavalier to the point of arrogance.  Our room 1112 was overlooking the pool. Lovely. Well when you realise that the garden speaker is under your bedroom window and that music is played all through the night it colours one's opinion of the view.  There was drum and base music played on one side of the pool on the other 70s rock and at the end piano music. None of them were quiet and therefore they were just one awful sound.  We asked for this to be addressed on numerous occasions but it never was. Given the average age of the guests was approx 50 to 60 years old it was a strange choice to have drum and base playing! Last time I heard music similar was when I went clubbing!  So if you have a hearing impairment and / or can live with lots of different music playing around you then youll be ok.  Even at breakfast the music found its way into things. The same throughout the hotel. Never the same thing played at the same time  The food!  I have travelled extensively so am realistic in my expectations. I found the food to be bland and cold. If you want pastries etc they are plentiful and you can get fresh omelettes. So there is good and bad . The better food is served in the Italian restaurant.. the Cat. Otherwise its canteen fodder in the main dining room.  We had a massage at the spa...to relieve all the tension! It was excellent and would recommend  Overall I would say don't visit if you are troubled by music battles or want peace and quiet. You won't get it. If we could have moved hotels we would but unfortunately Voyage Prive didn't help.  They tried to contact the hotel but were seemingly ignored.  The Director of the Jaal Resort has much to answer for but could not be located. He shows scant regard for his guests I would suggest. An arrogance I personally dislike.  There will be many other reviews which say different I'm sure. Ive tried to be balanced in my reflections but hard when there's a cacophony of sound in your ears!,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/suet450
JAAL Riad Resort,Fiona N wrote a review Jan 2023,40,Stunning hotel,Beautiful place wonderful room very friendly staff food very good for all inclusive breakfast not so good and the pool was freezing overall we had a wonderful stay the bar was excellent incredible bar tenders. Just heat the pool up. Would highly recommend,Date of stay: September 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/southseafee
JAAL Riad Resort,jonathan r wrote a review Jan 2023,50,Wonderful relaxed friendly stay,Had a wonderful stay at this hotel. The staff were all incredibly friendly and courteous; they were really attentive and nothing too much trouble.    Although It was very quiet in January the room was great and the whole resort was clean very smart and well maintained with staff on hand at all times.    The food was excellent with plenty of choice for lunch and dinner. The restaurant and bar staff were very attentive and cheerful.    We had an all inclusive deal and could not fault what we received and the value of the package.    Many thanks to all the friendly staff....missing our stay already!    Just a few observations for others:    -we had superb weather for early Jan (23deg during the day) so we were able to sit around the pool during the day but the water was too cold to swim in so we're able to use the indoor pool    - the food was excellent but the Cat restaurant menu didn't change. There was a good choice but perhaps a daily special ir some changes would be good. The outside bar food changed regularly.    - the room was hot and not air conditioned (so we were advised) so the cooling button made it warmer! We were on second floor so we're able to open doors but might be a problem in high summer    - you do get airplane noise bug not really too bad. The location is 20min walk to the medical so would be pretty much the same anywhere sough if the medical.    None of these observations would detract from a wonderful stay and wouldn't hesitate to srsy again.    Thanks all,Date of stay: January 2023,Trip type: Traveled as a couple,Linguist in KS,https://www.tripadvisor.com/Profile/MFL65
JAAL Riad Resort,Manjit756 wrote a review Dec 2022,30,A real disappointment,A hotel that doesn't have beer available for two days running and then only in bottles. Button on phone for calling reception (problem with toilet) always busy and than told at reception the button doesn't work (but no instructions on how to call reception provided. Spa is chargeable and yet sauna promises to burn you. Poor quality of overall quality control,Date of stay: December 2022,Trip type: Traveled as a couple,"Montreux, Switzerland",https://www.tripadvisor.com/Profile/Manjit756
JAAL Riad Resort,Diane D wrote a review Dec 2022,50,Jaal Hotel Marrakesh,We spent a couple of weeks at this beautiful hotel. Every staff member was so very helpful especially the catering staff. A special meal was organised on our anniversary evening which was much appreciated.    I would definitely recommend the location which was near the Medina and not far from golf courses.    We had trips to the mountains and Medina accompanied by a guide which were also well organised and most enjoyable.    A thoroughly memorable holiday - highly recommended.,Date of stay: September 2022,Trip type: Traveled as a couple,"Pulborough, United Kingdom",https://www.tripadvisor.com/Profile/Y1997OEdianed
JAAL Riad Resort,Andy C wrote a review Dec 2022,50,Highly recommended,What a great place and amazing people.    Beautiful hotel grounds and pool. When the spa/gym opens it is the perfect place to go to in Marrakesh for a luxurious visit. Great location to explore the city too.    Particular shout out to the great folks met that worked there including Azzadinne Salah  Younes Yousuf Driss Khaoula.    Thanks!,Date of stay: October 2022,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/andycT1272ZP
JAAL Riad Resort,Inese Ā wrote a review Dec 2022,50,Fantastic stay!,Marvelous people beautiful hotel fantastic bar! Tasty food wonderful coctails. Best barman - Salim!  Rooms are well equipped renovated. Luxury .  I will definitely come back.  10/10.  Fabulous experience!,Date of stay: November 2022,,,https://www.tripadvisor.com/Profile/Destination375206
JAAL Riad Resort,Alex D wrote a review Nov 2022,30,fabulous five star hotel trying to operate on a 3 star budget,firstly let me say that this is a fabulous hotel unfortunately is appears to be a five star hotel running on a 3 star budget. so many little things that need fixing to bring it up to a great standard. we booked a 7 night all inclusive stay  the good things : decor is brilliant throughout our room was spacious comfortable cleaned daily a huge tv on the wall great shower room. we had a ground floor pool view room with a small terrace that was practically on the pool side. it would be difficult to find fault with. the pool itself is lovely but extremely cold although a few hardy souls were swimming in it daily. there was no fighting for sunbeds plenty to go around the pool side staff were excellent plenty of towels supplied and the beds were covered every evening. a lovely setting.  the poor: check in was rather slow and we were not really informed of the hotel facilities during this possibly a communication problem as very few of the staff are able to hold a conversation in English. on booking this hotel we were informed that a plate of fruit would be placed in our room this never materialised I also informed the hotel that this was a special treat for my wife for our 32nd wedding anniversary which they acknowledged but there was no mention to us of this during our stay.  toilet paper is very poor quality practically see through not something you expect in a 5 star hotel. tea spoons are few and far between you are forever having to ask the waiters for a spoon to stir your tea or coffee or just to eat yogurt in the morning. cereals in the breakfast bar are very poor quality. no salt and pepper on the tables again you have to ask the waiters for these.  there were only 2 restaurants open for evening meals and you have to book these in advance. Italian and Moroccan we alternated these but found the Moroccan very poor quality in fact one evening we walked out as we just couldn't eat the food. the soup was a bowl of sludge ridiculously over salted followed by a main course of beef livers again so over salted we just couldn't eat it. for us the Italian restaurant was much better but both of these restaurants have a limited menu with just 3 main courses available a meat course a fish course and a vegetarian option. very poor for a supposedly a five star establishment.  there is a pool side bar for lunch which had a good selection but one day they were serving pizza and chips to a customer and when a 2nd customer asked for the same he was told that this was only for the paying guests not those on the fully inclusive at which point a row erupted as the guest tried to explain that he he was a paying guest he had paid for fully inclusive which should include pizza and chips if he wanted it. the waiters in this bar appeared reluctant to wander around the pool and take drink orders meaning many guests just gave up and went to the bar themselves.  the hotel is under ten minutes from the airport and is on the flight path so all day long flights are taking off and landing overhead so quite noisy  in our opinion this hotel is not sure if it wants to be a holiday hotel or a transient hotel during our stay there were numbers of the Moroccan armed forces staying for a day or 2  also a number of flight personnel on stopovers this is probably why there is plenty of sunbeds always available and limited menus in the restaurants.  we would not return to this hotel,Date of stay: November 2022,Trip type: Traveled as a couple,"Felixstowe, United Kingdom",https://www.tripadvisor.com/Profile/A2295HTalexd
