Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Kenzi Menara Palace,The_Cycling_Girl wrote a review Mar 18,50,An exceptionally good value hotel,An exceptionally good value hotel. We really enjoyed our stay clean tidy good service and generally well run. The rooms need updating the shower leaked but plenty of space loads of hot water and considering what you pay still good value. Having read the previous reviews I appreciate if you want an all inclusive bar to run for all hours perhaps not the place for you but for early evening drinks then dinner it's great.  Excellent food loads of choice good fresh salads etc for dinner and enough of a variation for breakfast.  A lovely large outdoor pool which although a bit chilly in early March when we went was very peaceful (apart from the afternoon disco which is a bit irritating) we still swam! There is a heated pool adjacent.  The hotel has loads of space several seating areas for drinks a nice view across the gardens. WiFi varied you need to be near reception to get a good connection. It's about 10mins in a taxi to the centre of Marrakech which is about €15.  We recommend and would go back.,Date of stay: March 2023,Trip type: Traveled as a couple,"Bagneres-de-Luchon, France",https://www.tripadvisor.com/Profile/The_Cycling_Girl
Kenzi Menara Palace,jayneleephillips wrote a review Apr 2022,50,Excellent stay in Kenzi Menara Palace,This hotel and all the staff were excellent. Very attentive clean great rooms and pool. The food was excellent. Fresh buffet we had all inclusive and were so pleased as it was varied fresh and delicious. The waiting staff were very attentive and spoiled us. The entertainment staff Walid Saber Hicham Asmae and especially Siham we’re great fun and taught us some Arabic which I loved. We will definitely come again.  Thank you /choukran  Jayne and Nigel,Date of stay: March 2022,,"London, United Kingdom",https://www.tripadvisor.com/Profile/jayneleephillips
Kenzi Menara Palace,Abdennour E wrote a review Mar 15,50,One of the best,Everything about this hotel is amazing swimming pool food rooms service ! Especially the welcome we got from the coach Mehdi and his staff they share a lot of kindness and smile in their faces .  I highly recommend this beautiful hotel ❤️,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/abdennoure2023
Kenzi Menara Palace,Sly wrote a review Mar 9,50,Brilliant stay,Firstly the service was exceptional. I have stayed in many 5 star and even 7 star hotels before and it was on par. Polite helpful and hospitable. breakfast had a good range. Only thing missing for me was baked beans. The rooms are clean and spacious and decent could do with a small update but no complaints. Spa treatments are value for money. Location is good with some lovely restaurants nearby Nommos and Noouba are particularly good. Also quick to and from airport. Rooftop nightclub is just behind hotel which is lively with nice drinks.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Protravellerd
Kenzi Menara Palace,Hans Peter Z wrote a review Mar 6,30,Sympathique old Hotel in beautiful envrionment,We stayed there last week with a group of golfers and were disappointed:    1. The plumbing of the bathtub in our first room did not work properly.  Then we got an upgrade to a view to the pool room:  2.There was no coffee machine in the room.  3. The teabags were not replaced regularly  4. There were no little spoons available (also at dinner you had to search for them - probably there is a shortage...    But the staff was very helpful and friendly and the quality of the dinner buffet was acceptable.,Date of stay: February 2023,,"Obernai, France",https://www.tripadvisor.com/Profile/523hanspeterz
Kenzi Menara Palace,Jitka wrote a review Mar 3,50,Very nice hotel,We wanted to go for a romantic weekend and we couldn't find a better place. This hotel is so nice and offers everything we could wish for. The staff was so nice from the begining at the reception bars restaurant housekeeping and mainly the coach Mahdi who was a true professional and helped us so much with trips around. We have never met anyone as helpful as him. If anyone wants to go to Marrakech we definitely recomend this hotel.,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/532jitka_
Kenzi Menara Palace,MonikaT wrote a review Mar 3,50,Amazing hotel,The hotel was amazing. We were here for a few days and felt so welcomed we definitely want to come back. It was very well maintained clean rooms were spacious food was absolutely delicious and staff was so nice polite and professional. I would like to thank especially to coach Mahdi who was just the best of the best. Thanks to him we want to come back!  Thank you!,Date of stay: December 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/588monikat
Kenzi Menara Palace,LondonSal84 wrote a review Feb 2023,20,Not really a 5 star experience,Hotel design and building is what you would expect from a 5 star hotel. All very nicely decorated well kept clean with comfortable modern furniture. Room was of similar standard very spacious with very comfortable bed and indulgent pillows.    However many things were not of a 5 star quality.  Spa; Service and attitude of staff was very poor. Not a relaxing welcoming feel on entering or on leaving the spa. Reserved the indoor heated pool for an hour but aggressive staff were more concerned about the cost of using the certain parts of the spa rather than providing towels and a courteous service. Was rudely told the Hammam is not free even though we had no intention of using it at this point and in pound sterling it was not really even a significant cost. Shoved in a side part of the spa to change without a door to close for privacy even though at a minimum there were male and female toilet cubicles available. Therefore was definitely put off using the spa services further.    Did make a complaint at the time but this was not followed up until checkout.    Food; some of the dinner 'hot' buffet food items were cold including chicken dishes. Luckily did not experience any gastroenteritis as a result of this. Overall though was not particularly overexcited about the choice of the food available or the labelling of the food. The fresh pasta dish made by the chefs was something I could've quickly cooked up at home.    Overall service; Was mediocre. Some of the waiters were very pleasant concierge was very helpful others pretended not to see you. We had a few issues with our bathroom the leaking bidet was not fixed some towels felt damp and the toilet roll holder was broken.,Date of stay: February 2023,Trip type: Traveled as a couple,london,https://www.tripadvisor.com/Profile/LondonSal84
Kenzi Menara Palace,Youssra B wrote a review Jan 2023,50,Best holiday in kenzi menara palace,The first time for us in this beautiful palace the hotel is very clean with a huge rooms and a great vue to a nice garden. The buffet was amazing varied and delicious a great service specialy the pastry.  I would thank the responsible of entertainment CHAIMA for her humor mortivaition and been very attentive we had lot of fun without forgetting mehdi and the DJ.  Thank you all.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/youssrab2023
Kenzi Menara Palace,Yousry O wrote a review Jan 2023,50,The vacation in the palace,For me  I like this placebeaucause there is all the things that I likefor adults and kidslike(footballswimming...)  And for kids  there is a special place for them. The kids cluball the kids are happy for thisthere is all the things that kids love  (drawingpainting football jumping mind games...)  And for employees Mr mehdi and md chaima are like the best coach ever.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/yousryo2023
