Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Kenzi Rose Garden,vivian a wrote a review Mar 22,50,Kindly read,Kenzi is one of the great hotels I stayed in over the period I was there in February 2023 for my birthday… I went solo for my birthday and had an amazing time. From the entrance I want to specifically appreciate and recommend the lady who offers the traditional tea and sweets which is really nice for me I didn’t just have it the first day I had it several times when I had to wait for my ride at the lobby.  I also want to appreciate Nassima for coming through when I informed them about my birthday 🥳 she decorated my room and had cake sweet and flowers for me … this was truly beautiful. I could go on and on…. But the only issue I had was the fact that even if I booked my room for one person I had no right to any visitors I had a friend who came in from London and was residing at a different hotel which was far from mine and other things to do in Marrakech and I really wanted her to take me to the sulk market and also have dinner at a close by restaurant. With all this it was only fair that I ask her to come with her stuff and dress at my hotel so she doesn’t have to waste time and transport since she was traveling back to London the next day. But unfortunately the receptionist and Sercurity didn’t permit it even after I told them she wasn’t going to sleep over which was true. They really made it embarrassing which wasn’t necessary. I really hoped they had at least considered and handled it better by suggesting a better option. For instance if they say okay we trust you and we could permit her for an hour to change her outfits since she’s not sleeping over. Which is better even if it means they timed us and make sure she leaves the room once the time elapsed… that would have been better. In all Kenzi is a nice hotel.,Date of stay: February 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/E5871VQviviana
Kenzi Rose Garden,Lawrence B wrote a review Mar 16,10,Bad experience in the kosher restaurant,We are at the kosher restaurant which was one of the worst meals ever . One meal arrived cold and the other three were inedible . The Moroccan music group who played throughout our meal were unbearable . The waiter understand very little English .. all together a terrible experience,Date of stay: March 2023,Trip type: Traveled with friends,London,https://www.tripadvisor.com/Profile/LawrenceHighgate99
Kenzi Rose Garden,425PaulB wrote a review Mar 15,30,Very mediocre at best,After reading previous reviews on Trip Advisor we were disappointed by a number of aspects of our stay. The booking in process took almost half an hour and there appeared to have been a mix up with the rooms. The room we were allocated was not the level we had booked but as we had arrived late we accepted it for the first night. However apart from not having a balcony the window was jammed and didn’t open the safe didn’t work one of the bedside lights didn’t work at all and the other one flickered! Not a great start.  We were moved to another room in the morning which was OK.  Really unimpressed with breakfast - the only fruit was sliced orange and grapefruit + apples! Surely somewhere like Morocco must have better access to fresh fruit?! The cereal selection was also poor. There was a plentiful supply of all sorts of pastry for those who wanted it.  On the penultimate day we returned to our room to find it hadn’t been made up and requested they did so while we were out at dinner but could they drop off towels immediately so that we could have a shower before we went out. They didn’t arrive! When we returned they had made up the beds but left a dirty cloth in the shower and hadn’t replaced the water or shower/shampoo. All pretty sloppy.  Finally - not impressed with the concierge. We asked one of them to book a restaurant and before he had done so one of his colleagues came over and started talking to him. Rather than ask him to wait he continued his conversation and finally got round to our booking.  Overall our experience at this hotel was just not satisfactory. It wasn’t just us that felt that way. We were with a group of 44 golfers staying in the hotel and all felt the same way - particularly about the lack of fruit at breakfast.,Date of stay: March 2023,Trip type: Traveled with friends,Chearsley,https://www.tripadvisor.com/Profile/425PaulB
Kenzi Rose Garden,kalibwana wrote a review Mar 14,20,Arrogant reception staff,This is a nice spacious hotel with lovely pools. Unfortunately it seems to suffer with strangely arrogant reception staff who don't seem willing to help their guests. I tried to check in but was told by a young male receptionist who wasn't willing to make eye contact that because they couldn't find the booking I had made despite me showing the email confirmation. The receptionist then said he would need to check with the reservations department before he could check me in and disappeared so to do. He ushered me to a seat in direct view of the reception desk and said he'd come back. Needless to say he never did return and so half an hour or so later I then had to approach another receptionist who had no problems checking me in at all. Later I had reason to request a change of room (I had booked a garden view and requested a quiet room) which turned out to mean a noisy room on the side of the road (be warned!) and was told in no uncertain terms by a female receptionist that they were fully booked. There was no attempt at empathy let alone to find a solution to the problem. On checkout I struggled to get a female receptionists attention but after she had finally started to check me out someone else came to the desk to check out and she started to help him instead.  Needless to say I won't be back.,Date of stay: March 2023,Trip type: Traveled solo,"Cambridge, United Kingdom",https://www.tripadvisor.com/Profile/kalibwana
Kenzi Rose Garden,babylonian_brit wrote a review Feb 2023,50,Five stars hotel and service,We had a stay here after some other accommodation fell through having used the hotel prior to refurbishment many years ago when it was known as Kenzi Farah. We are very happy we chose this hotel. We stayed in room 4004 which was spacious and well positioned. The toiletries were regularly replenished by our excellent maid Hind and her supervisor with the quality of soaps and creams very high. The breakfast was excellent with the fresh orange juice and fried donuts being a highlight. Lastly we need to specially mention Chayma Hajita from reception who was extremely courteous and thoughtful. She helped us to organise late checkout and was always friendly with any queries we had. We would definitely like to stay here again in the future,Date of stay: February 2023,Trip type: Traveled as a couple,"Manchester, United Kingdom",https://www.tripadvisor.com/Profile/babylonian_brit
Kenzi Rose Garden,ANTHONY P wrote a review Feb 2023,50,100% SATISFACTION. GREAT STAY AND VALUE OF MONEY.,100% satisfied of our 4 day stay at the KENZI ROSE GARDEN HOTEL. Great Value of Money.  1. Best location just 10 minutes away from JAMAA EL FNA Sq. (50 MAD) by taxi and you find yourself at a paradise. Huge spaces wonderful gardens and swimming pools (the large one heated). Absolute quietness. Glad for not having chosen a Riad.  2. Specious rooms comfortable beds & mattresses great bathroom. All renovated and clean.  3. Very cooperative smiling staff both at the reception and restaurants great Buffet breakfast and Dinner. Mostly appreciated the mint tea offered at the main Loby by a charming local lady.  4. Overall: Best value of money. Glad to be in such an environment after a busy day at the MEDINA. Absolute security inside the Hotel and also at the surrounding area. Just a restaurant idea: try the Comptoir Darna (5 minutes walk from the Hotel) with local music and show.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/N6068CUanthonyp
Kenzi Rose Garden,Jen L wrote a review Jan 2023,40,Lovely winter break..,Stayed here for five nights with breakfast included lovely choice. Rooms very clean would definitely return especially with that wonderful warm pool.. Staff were lovely wish a could remember the lovely girl who worked with the animation she was so friendly & nice.,Date of stay: January 2023,Trip type: Traveled as a couple,"Northwich, United Kingdom",https://www.tripadvisor.com/Profile/532jenl
Kenzi Rose Garden,khadigia s wrote a review Jan 2023,50,Wonderful experience,We booked this hotel last minute and stayed there for 5 nights and we will definitely come back the staff was amazing they were kind helpfulfriendly especially the Concierge the bar waiter Rachid and all his colleagues(i didn’t catch all the names unfortunately) all the staff in both restaurant L’orangerie for breakfast and lunch same as La terrazza delle rose they made us feel so welcomed and ready to help or sort out everything. A special thanks goes to the housekeeping always friendly especially the lady that has been cleaning our room every day she really nice! Without forgetting the animation staff(Namira pedro tima bright james rachid Omar) that are always available to make you happy and entertained.  A customer service like this is rare to find and they are definitely the best part of our stay!    The only department that need improvement is the reception they need more communicationI payed £150 for an extrabed that I never received during my stay and the day before our check out we spoke with Hanane for a late check out and she confirmed for us that the maximum that we can stay was until 15 complimentary  the following day someone from the front desk called us at 13 saying that we need to leave and to pay that was so annoying because it seemed that we were lying.,Date of stay: January 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/984khadigias
Kenzi Rose Garden,Lucy b wrote a review Jan 2023,10,"WORST HOTEL IVE EVER VISITED rude, smug manager who laugh in your face, things stolen from our room.",Wow- I cannot disuade anyone highly enough from visiting this dirty overrated hotel.    Rooms stink of cigarettes hallways are filthy no balcony and men who stare you down.    I will be making a formal complaint about this place. Asked for help but was met with eye rolls sniggers and unintelligent staff who talk/ laugh about you when you e walked away from the reception desk.    Worst hotel I’ve ever been to not a 5 star hotel but a 3 at best. The manager is extremely rude and aggressive when we needed help with something.,Date of stay: March 2022,Trip type: Traveled as a couple,"England, United Kingdom",https://www.tripadvisor.com/Profile/Londonreviews321
Kenzi Rose Garden,Pioneer52890908855 wrote a review Jan 2023,20,Deception !,It was indicated to us as a five star hotel. It really is a beautiful hotel with very nice rooms but with a terrible service inattentive rude and rushed staff. Far from being a five star hotel. Oh! I almost forgot... an horrible food. Probably there are better options in Marrakech with the same prices.,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Pioneer52890908855
