Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
L’Oliveraie de l’Atlas,Mary Lois B wrote a review Dec 2022,50,Paradise,Myself and my daughter stayed for 4 days in this absolutely beautiful hotel. We wear lucky to be upgraded to a suite which was amazing. All the staff are so friendly and do everything possible to help for transfers to the center. The pools are lovely but it was too cold to swim in them. If you are looking for peace and quiet just to relax than this is the place to be.,Date of stay: November 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/maryl0isb
L’Oliveraie de l’Atlas,mark wrote a review Oct 2022,30,Ok for one night.,We used that place to stay in transit outside of Marrakech. Nice pool. Food choices were limited and the quality was ok not great. Rooms are a bit dated. It is in the middle of nowhere so a car is pretty much a must. Staff was not that helpful. A bit ghostly,Date of stay: September 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/D1321DCmarkf
L’Oliveraie de l’Atlas,Sunshine603367 wrote a review Jun 2022,50,"Relaxed, chilled, friendly unique hotel",Fabulous place; chilled family run vibe everyone welcoming and there to help with anything you could possibly need (particular mention to Abdou who organised some trips for us and answered lots of questions before and during our stay).    Lovely staff that couldn’t do enough to help. My daughter has celiac disease and the chef cooked her up non-menu gluten free items - really looked after us. Food was good Freshly made to order - we ate through the menu on the evening meals though so did run out of choice (but they will make things off the menu if you ask). Lunch menu is much bigger than the fixed 2 or 3 course evening menu. Breakfast is traditional Moroccan - fruit pancakes boiled eggs bread. Always plenty out (not a lot other than fruit for breakfast for a gluten free diet though).    Particular mention to Wadia who was very helpful and sweet (always making sure we had enough of everything).    Slightly random times for the free shuttle into the city only 09:30 and 10:30 in and 16:30 and 18:30 back - but we made the most of them for a few of the days we were there (all the drivers were very helpful and friendly). It’s about 20/30min drive into the city.    Grounds are absolutely beautiful they grow a lot of the vege / fruit that they use. Plenty of towels for the pool and we never had a problem getting a sun bed.    It has been custom built as a hotel but the individual buildings are built in Riad style and very authentic. We had a two bed room that was huge - so much room and a balcony that overlooked one of the three pools.    Our flights home got cancelled and we could only rebook three days later the hotel was fully booked out for an exclusive wedding so we couldn’t stay - but the owner (Nicolas) made a point of coming to discuss with us and offered his number in case we needed anything even when we moved to a different hotel. Absolute epitome of good service.    Overall a lovely stay and would recommend if you are looking for a peaceful tranquil relaxing haven away from the craziness of the city.,Date of stay: June 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Sunshine603367
L’Oliveraie de l’Atlas,NinaGriffo wrote a review Apr 2022,50,"BEAUTIFUL, FRIENDLY, A SLICE OF PARADISE OUTSIDE OF MARRAKECH",Hotel L’Oliveraie de l’Atlas deserves all the praise it receives in its reviews. It’s a beautiful hotel with stunning gardens and manicured pool areas made all the more special by the owner Nicola who was the very definition of accommodating. Far from the sterile cookie cutter hotels you can find just about anywhere you travel this hotel had an warm family run feel that no doubt makes for plenty return custom.    We actually had to reschedule our holiday due to testing positive for covid the day before our original plans and Nicola happily moved our booking last minute with no hassle. He was happy to help with anything we had a query about - restaurant / bar recommendations excursions money etc. Nothing was too much.    The hotel runs 4 free shuttles per day (two to Marrakech in the morning at 9:30 or 10:30 and two returning at 16:30 or 6:30) which we made a lot of use of.    There plenty of lunch and dinner options at the hotel restaurant (around £22 for 3 a course dinner). Breakfast selection wasn’t extensive but we weren’t there at the height of the season so expect there would be more choice when it’s busier.    We’d reccomend booking a trip to the Atlas Mountains through the hotel. This was an unforgettable trip that was made completely easy and tailored to us by our wonderful driver.    Overall we wouldn’t hesitate to reccomend Hotel L’Oliveraie de l’Atlas to anybody weighing up options you certainly won’t be dissapointed.    Thank you Nicola and your team of super friendly staff.    Nina and Petra,Date of stay: March 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/NinaGriffo
L’Oliveraie de l’Atlas,Chandni B wrote a review Apr 2022,50,We loved it!,When we arrived Nicholas (the owner) said “Make yourself at home” and that's exactly what we did. If you want authentic Morrocan then this is the place; the rooms the delicious food and friendly service. What an excellent hotel this is! A couple of musts - Book yourself in for a hammam and massage one day order a lamb tagine and a bottle of red one night. Chill by the pool with a mojito or just a Morrocan whisky (mint tea) or head in on the free shuttle to the town and explore the Souks (20 mins away) Absolutely loved it - thanks to an amazing team of people making this a hotel to visit.,Date of stay: March 2022,Trip type: Traveled as a couple,"Widnes, United Kingdom",https://www.tripadvisor.com/Profile/855chandnib
L’Oliveraie de l’Atlas,Leila S wrote a review Mar 2022,50,Amazing staying!!!,Wow what a beautiful experience 😍 This place is amazing and so quiet - The staff is so nice!!  Stayed here for 5 nights with my cousins and for sure I will come back.  Highly recommend this hotel/Riad.,Date of stay: February 2022,,"Anglet, France",https://www.tripadvisor.com/Profile/leilaswr
L’Oliveraie de l’Atlas,lukeblaskett wrote a review Oct 2021,50,We’ll be returning,Incredibly relaxed environment - an oasis. The staff are friendly helpful and attentive. Close to the heart of Marrakesh the hotel provided the perfect base to experience the vibrancy of the city and unwind after. The restaurant provides a range of Moroccan and international food and drink of exceptional quality and reasonable price.,Date of stay: October 2021,Trip type: Traveled as a couple,"Canterbury, United Kingdom",https://www.tripadvisor.com/Profile/lukeblaskett
L’Oliveraie de l’Atlas,Oussama Jebbar wrote a review Jul 2021,30,A missing anniversary celebration,Well.. I chosen this hotel with my wife in order to celebrate my anniversary..  The check-in was exceptional the welcome of Nicolas was amazing especially when he accepted our early check-in by 8:00 AM ! We’ve really appreciated it.. we also gladly appreciate our upgrade to a suite with a wonderful view !!  We contested by swimming in the swimming pool that it was so dirty and filthy ! Even the pool land was very dirty and full of moss !  The other thing that I didn’t appreciated was the totally ignorance of my 31th birthday !! Even though the receptionist was aware about it but no waaaw moment was happening !  Otherwise the F&B service was excellent ! Momo and Taoufik are made our happiness while enjoying our meals during our stay in the hotel !!,Date of stay: July 2021,Trip type: Traveled with family,"Marrakech, Morocco",https://www.tripadvisor.com/Profile/Oussama_OJ7
L’Oliveraie de l’Atlas,Sharon M wrote a review Mar 2020,50,Fantastic trip with friends,Stayed here for 5 nights with friends to celebrate two birthdays. Lovely hotel in calm peaceful setting. Great for a mix of visiting the bustling city and chilling out by the pool in the beautiful gardens. Nicholas and staff were friendly and helpful.  Beautiful riads and great weather. Slightly further out of town than expected need to use taxis and hotel shuttle to get around; but that is what makes it so peaceful!  Would definitely stay here again!,Date of stay: February 2020,,"Manchester, United Kingdom",https://www.tripadvisor.com/Profile/V1051DGsharonm
L’Oliveraie de l’Atlas,NLGK wrote a review Mar 2020,50,Relaxed atmosphere and great service,Last week we had a great city trip to Marrakech. We stayed at L'Oliveraie de L'Atlas a riad style resort with all facilities you need. We stayed in a two bedroom apartment which was great for our family of four. The weather was excellent and we stayed at the pool each day for a couple of hours. Although it is a 20 minute drive from Marrakech city center this doesn't feel as a burden. Shuttle and taxi transport is convenient and very well managed by the staff. Just ask them what you need and they will arrange it with personal care for you.,Date of stay: February 2020,,The Netherlands,https://www.tripadvisor.com/Profile/NLGK
