Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
La Maison Arabe,Denise D wrote a review Mar 23,40,"Lovely hotel, friendly and attentive staff - only one disappointment","My husband and I stayed at La Maison Arabe for 3 nights during our visit to Marrakech. We found the hotel to be lovely and in beautiful condition the staff friendly and helpful and our room very comfortable. The breakfast was excellent and we especially enjoyed being able to dine by the pool on a beautiful spring morning. Our room also had a balcony overlooking the pool which we took advantage of in the evenings.    I took the cooking class sponsored by the hotel and thoroughly enjoyed it. The leader of the class had excellent English and the chef (who the leader translated for) was clearly a pro in the kitchen. The kitchen was well-equipped for learning and everyone had their own workstation. I learned several new techniques and recipes and I enjoyed dining on the fruits of my labors with my fellow classmates.    Here's my one disappointment: we also booked an excursion through the hotel listed under the ""Experiences"" menu of their website as ""Scenic Morocco."" It is an all-day trip to the Atlas Mountains visiting 2 kasbahs and the villages of Imlil. When our driver picked us up he did not introduce himself to us or even say good morning. All he did was confirm that we were the right people. He did not speak to us for the entire 1 1/2 hour drive to our first stop. First I thought this might be because he didn't speak English but later learned not only was this not the case but he was actually in tourism school. Anyway after an hour and a half he stopped in a village in front of a shop and started talking on his phone After a few minutes we finally said: ""What are we doing?"" He said ""Oh we are waiting for the man to come take you up to the kasbah."" After a while the man showed up and we hiked up to the first kasbah to have breakfast. It is stunningly beautiful and we enjoyed it. We wandered around there for a while and then asked someone at the front desk what we were supposed to do next. He said: ""oh you know the way back to the village right? Just walk back down."" So we did. What we didn't realize was that this village of one street and a few shops represented the entirety of the ""wandering through the villages of Imlil"" listed in the itinerary. We finally found our driver waving to us from a car park and got in the car.    We asked him ""what next?"" He said ""I'm taking you to your next stop."" So we drove 30 minutes to the truly fabulous Kasbah Tamadot. It is now about 11:30 and we have finished breakfast about an hour before. The people at the front desk asked us what we wanted to do. We said: ""What is there to do?"" They said: ""Well you can go hiking but it will take at least an hour for a guide to get here. Or you could do spa services. You are really just here for lunch which starts in an hour."" Having just finished breakfast we weren't too keen on lunch. So we wound up hanging around their admittedly beautiful terrace for an hour and half waiting to be a little bit hungry. We finally relented and ate something then got in the car and headed back to Marrakech. The driver never spoke more than a few words at a time the entire day. So I will say that we did see the Atlas Mountains but the day was nothing like I expected. Nor did I consider it to be worth the $540 we paid for it. Re-reading the experience description I fault myself for not asking more questions. But I think the hotel could do a better job of setting expectations.    All that said we still had a wonderful experience at La Maison Arabe. I would highly recommend it. Hopefully future travelers will do a better job than I did of asking questions before booking excursions.",Date of stay: March 2023,Trip type: Traveled as a couple,"Tampa, Florida",https://www.tripadvisor.com/Profile/LoveTraveling411
La Maison Arabe,Carol P wrote a review Mar 21,50,Marrakech is beautiful,Wonderful hotel. Adjacent to the bustling Souk but quiet and peaceful. Wonderful foodservice and accommodations Hotel arranged guides taxis and airport transfers. Loved our stay Great place to begin our Morocco adventure,Date of stay: March 2023,,"New London, Connecticut",https://www.tripadvisor.com/Profile/carolp794
La Maison Arabe,Artur wrote a review Mar 21,50,Morocco people are very warm and kind - Maison Arabe is a testament of it.,We wanted a boutique hotel with the Morocco style instead of the other bigger hotels. It was a won bet as the intimacy and coziness is present the moment you open the door. The staff is always available nice warm and you feel their genuine interest to make you have a great experience. So Kudos first of all to HR as this team is fantastic. They help you on reservations hire a guide so you can go to trusted stores taxis etc. I also have a great story as I forgot my IPODs in the safe and already on the airport asked it they could send it to Portugal by mail. I was surprised to get a call 20m later mentioning the airpods were at the airport for me to pick it up outside. Thanks Ishmael. They are true ambassadors of the Morocco culture and heritage. As for the hotel it´s very nice clean tidy and silent. We do suggest you have breakfast in the hotel and try if for lunch or dinner as well. We felt a little bit ashamed to go out to other restaurants and then discover the quality of the hotel service that is 5*. As for the rest it´s very close to the Medina you are very safe to walk alone as a tourist as no one will rob you . Tourism is very important in this country and they take it serious. Thanks again Maison Arabe life is experiences and this one was fantastic. I stayed at a superior room with balcony to the pool and a suite - well worth it.,Date of stay: March 2023,Trip type: Traveled as a couple,"Porto, Portugal",https://www.tripadvisor.com/Profile/AQMII
La Maison Arabe,Brian T wrote a review Mar 20,50,Superb Place!,What a wonderful place! The location was great and right in the middle of the Medina (old town) and couple blocks from their market.  The suites were absolutely fabulous with both an outdoor seating area and a rooftop seating area.  The place was decorated in local rugs and Moroccan decorations.  The staff was amazing- great service and super polite.  I HIGHLY recommend this place when in Marrakech.  One note- La Maison is a Riad and not a hotel. Big difference. Riads are like house with different rooms of different sizes. They are much smaller than an hotel and the layout is completely different. If you expect a traditional hotel this is not the place for you. If you are looking to stay at a 5 star local authentic place this is it!,Date of stay: March 2023,,"Dallas, Texas",https://www.tripadvisor.com/Profile/693briant
La Maison Arabe,Bavly K wrote a review Mar 19,50,A must stay,Absolutely recommend La Maison Arabe. The staff was great and not pushy. They speak Arabic English French and other languages to accommodate. They have a beautiful restaurant jazz bar pool and musical entertainment every night. They have a beautiful hammam and other great resources to get you around the city. I highly recommend it for your stay at Marrakech.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/bavlyk
La Maison Arabe,Deshayne F wrote a review Mar 17,50,Maison Arabe is an outstanding Marrakech riad!,My husband and I spent three days at Maison Arabe in early March 2023. Originally we were only going to spend two nights but extended it to three and I'm so glad that we did! This was such a beautiful and relaxing hotel and the service was outstanding! We ate dinner in the poolside restaurant twice and really enjoyed our meals (we are vegetarian and found there were lots of options). We also took advantage of many of the activities they offer including: hammam (not to be missed) massage private walking tour of Marrakech (the guide was excellent) cooking class (on Morrocan salads) and a trip to their country club pool (about a 20 minute free shuttle ride from the hotel). I only wish we'd had another couple of nights to spend there!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/deshaynef
La Maison Arabe,Curiosity31274881501 wrote a review Mar 11,50,Relaxing visit in Marrakesh,This hotel is its own mini oasis there are so many ways to relax here in the middle of the busy city. Would definitely recommend the spa. Each morning the food was delicious and the staff was excellent!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Curiosity31274881501
La Maison Arabe,alfonso2951 wrote a review Mar 11,50,Classic and original Marrakesh much better than any modern remake,We were at La Maison Arabe for my wife birthday and a 2 nights week end stay early march. The preparation of our week end was already done via email with the concierge and receptionists and when we got there it was even better than what we expected.  The place is 'real' Marrakesh's riad full of beautiful plants and trees 'used' rugs with the best traditional colous and texture and a wonderfull all maroccan team who is smiling at you every time they see you walking around the charming and a bit 'misterious' corridors and spa.  Food is really good we enjoied the 'asian' dishes but also the more traditional tajines.  The location is superbe very central but quite and secluded.  Service at '6' stars level we were able to look at different rooms for a possible choice but finally we staied in our pre-booked large junior suite. The director is a wonderful person very helpful and available he is thruely rare in the fast moving Marrakesh hotelerie.    We reccomend the hamman with a scrub done by local ladies who know exactly what to use and how to make you feel welcomed and still leave you in your personal 'bubble' during the whole experience.    A well known place where you feel at home and in the hart of the culture of this wonderful city.,Date of stay: March 2023,,"Gilly, Switzerland",https://www.tripadvisor.com/Profile/alfonso2951
La Maison Arabe,Kristin A wrote a review Mar 10,50,Beautiful Hotel,Beautiful hotel with excellent service and food. The hotel is located in walkable distance to the Medina.  I would highly recommend this hotel for comfort service food and also a beautiful spa located in the hotel. I stayed for 3 nights at the hotel and enjoyed every minute!,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/kristinaW5879GC
La Maison Arabe,prefer 5 stars :-) wrote a review Mar 9,40,Lovely riad style hotel in great location,the property is exceptionally well positioned close to the median souks and many of Marrakesh’s attractions. We were able to walk to many of the places we wanted to see. The staff are unfailingly polite and attentive and offer excellent service. Our room (standard courtyard) was quaint if a little small. Being on the courtyard it wasn’t the quietest and you could also hear a little of the hustle and bustle outside but overall was very nice and comfortable ( however the shower soaked the bathroom unless you were very careful). We didn’t eat in the restaurant but it did seem very popular and the bar has a nice ambience and again attentive service. Overall a very nice hotel.,Date of stay: March 2023,Trip type: Traveled as a couple,"Boroughbridge, United Kingdom",https://www.tripadvisor.com/Profile/RichD1234
