Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
La Sultana Marrakech,Francesco C wrote a review Yesterday,50,A nice weekend for my birthday,One of the best hotel that I see. The staff was perfect and the rooms very nice and comfortable. We used also the spa and was all perfect. Nice breakfast .Thank you an I hope to come back as soon as possible,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/H3258FOfrancescoc
La Sultana Marrakech,Chris S wrote a review Mar 19,50,Fantastic service and fantastic building,Every single member of staff could not have been more helpful. For example for dinner we were given the choice of by the pool in the garden area by the pool in a secluded area.    The building is magnificent in the local tradition and so memorable that on one occasion people came in to look around.,Date of stay: March 2023,Trip type: Traveled as a couple,"Hayling Island, United Kingdom",https://www.tripadvisor.com/Profile/Sirtopher
La Sultana Marrakech,anaAlmeida wrote a review Mar 16,50,Luxury At Marrakech,"Beautiful hotel excellently rebuilt. Consisting of 5 Riads with a luxurious decoration.  Great location for those who want to ""live"" Medina.  Very professional employees friendly and ready to solve everything we request. Special thanks to Saida Anas and Risana who were tireless. Breakfast of excellent quality and with a very good service.  There's a good SPA.  I strongly recommend.  Thank La Sultana",Date of stay: March 2023,Trip type: Traveled as a couple,Montijo,https://www.tripadvisor.com/Profile/anatalmeida
La Sultana Marrakech,Dana N wrote a review Mar 15,50,Elegant and Tranquil,Our stay 5-day stay at La Sultana was absolutely delightful in every way. The hotel is beautiful historic and absolutely elegant. The staff were friendly welcoming polite and extremely helpful. The rooms feel very private as the hotel has many separate areas. Our room was just the basic rate room but is was spacious and comfortable with a gorgeous bath and shower area. When we arrived in our room there were fruits traditional Moroccan pastries and dates waiting for us as a snack. The concierge and staff expertly arranged all of our requested dining reservations and activities before we had arrived. We tried both the rooftop restaurant for lunch and the main restaurant in the central courtyard for dinner. The food was excellent. We had our best dinner in Marrakech there. Would definitely highly recommend this as a great place to stay.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/dananL2278JD
La Sultana Marrakech,Dieter P wrote a review Mar 14,50,Excellent Choice,We choose the La Sultana for a one week holiday with our son. Everything was to our full satisfaction. The whole staff was extemly friendly and helpful. All our wishes were handled with high efficiency and accuracy. The roof top restaurant and bar was wonderful. We leiked it very much. As well all the disehs at La Table. We can highly recommend La Sultana.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/868dieterp
La Sultana Marrakech,Caroline P wrote a review Mar 13,50,Absolutely loved it!,My husband and I could not have enjoyed our stay at La Sultana more! The rooms are absolutely stunning the service and staff are incredible and the spa treatments are wonderful. My husband got a four hands massage and I got the hammam + massage. The rooftop is gorgeous and we loved that the location was in the older part of the city giving us more of an immersive experience. We highly recommend La Sultana!,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/carolineprzy
La Sultana Marrakech,Tracy C wrote a review Mar 8,40,La Sultana Marrakesh,Lovely hotel. Great convenient location. Friendly helpful staff. We enjoyed the hotel restaurant and spa.  They were very accommodating which made our stay most enjoyable.  We would highly recommend La Sultana and look forward to a return visit.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/B3527VXtracyc
La Sultana Marrakech,Holly L wrote a review Mar 7,50,Amazing retreat to explore and restore !,Everyone has their way of vacationing I mostly enjoy fly fishing adventure travel I was last in the African bush Eastern Tanzania but it’s not a vacation or very relaxing. When I am not working or in the bush/amazon jungles of Bolivia and Brazil I need to relax and restore - La Sultana has made it to the top of my list. The staff are excellent making me feel welcome and accommodating and the food was exceptional. I have had basteeya at Mourad in San Francisco and even his 5star dining while amazing couldn’t touch this or the orange blossom dessert with the traditional live music playing softly in the background. The rooms and spa were also fantastic and when I wasnt’ wandering around Marrakech - I found respite in the quiet roof call to pray with lunch then a late afternoon tea/cookies on the sun beds. I am not a big shopper and don’t need house things - so I arranged to be in the desert for 4 days and also loved that - Scarabea camp. La Sultana coordinated with their transportation and the end-end was very seamless for a week/two weekends as the perfect restorative vacation. As a single woman traveling alone - I loved it I was not remotely bothered when out in the city (I did cover my tattoos and wasn’t out at night) and believe as usual the internet exaggerates or perhaps the concerns are outdated. This is a great time to visit Marrakech the King has been amazing and the country is alive and welcoming - I had visited Tangiers last year and felt the same. Saida the concierge and generally awesome human being is the star of the show for La Sultana - she gave great advice and again helped end-end with everything. And the chef/food are not to be missed - even if you’re not staying at La Sultana - the roof deck during the day and the courtyard at night are not to be missed.,Date of stay: February 2023,,"Copenhagen, Denmark",https://www.tripadvisor.com/Profile/BanditLA
La Sultana Marrakech,Willow wrote a review Mar 6,50,Very special Marrakech,Had the most amazing stay . Tucked away in the back streets this really is a 5 star experience . We were luck enough to have one of the suites . Quite simply amazing  one of the best rooms I have every stayed in .  The staff and facilities were super and everyone couldn't be more helpful.  It is also very convenient for exploring Marrakech  you really can walk right into gteh heart of the city.,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Willow4730
La Sultana Marrakech,VegasExplorer wrote a review Mar 3,50,One of the most beautiful hotels I’ve ever stayed in.,As an avid traveler and lover of luxury hotels this place went above and beyond. What hides behind the walls of the exterior is so magical and beautiful. The intricacies of the tile design and wood is just incredible. The staff food and location was perfect. If you happen to stumble across this hotel and my review it’s a sign you should stay here. I can’t speak higher about it just go see for yourself.,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/VegasExplorer9
La Sultana Marrakech,Kirsten V wrote a review Feb 2023,50,The most amazing raid,This hotel is the most wonderful place we have stayed! The location is great for walking everywhere in the Medina. The architecture is stunning every raid is unique and different but each one is equally as elegant. We did the architectural tour of the hotel and loved it. The roof top is spectacular we went everyday sometimes twice a day for drinks or their delicious homemade ice cream. We did the sweets cooking class which was great fun. We booked all our excursions through the hotel and they were amazing their drivers and guides are first rate!! Our room was spacious enough for two with a large bathroom and beautifully decorated in fact it was perfect in every way. We ate at the hotel twice and enjoyed everything the food was delicious the atmosphere is very elegant and intimate. The absolute best part of our stay was the staff I don’t think I can convey the level of service at this hotel nothing is too much trouble the staff is always smiling and friendly we never encountered one staff member who’s service was not perfection. The staff make the hotel even more beautiful than it already is. Thank you Abdula for all your assistance and your warm smile everyday!! I would go back in an instant and recommend this amazing hotel to anyone,Date of stay: February 2023,Trip type: Traveled with family,"Ottawa, Canada",https://www.tripadvisor.com/Profile/kirstenv195
La Sultana Marrakech,Mohammad wrote a review Feb 2023,50,Get ready to luxurious..,It was my first visit to Marrakech and it was always in my mind to have an experience at Riad concept so I have stayed at dozen of hotels in many countries.This was on the top of the list of best stays experiences ever. Staff was very hospitable and there for every need of mine. I definitely will come back to La sultana hotel. Thank you so much.,Date of stay: February 2023,Trip type: Traveled solo,"Kuwait City, Kuwait",https://www.tripadvisor.com/Profile/MohammadAAlkhashti
La Sultana Marrakech,Marianne V wrote a review Feb 2023,50,Even more then we expected🥰,La Sultana was more then we expected. The service from the moment we sat our feet inside impressed us.    Exceptional interior beautiful details in all the surrondings delicious food and all the employees made us feel very well taken care of. The butler service was so superb and very helpful and for us it was that little extra during our stay.    We can’t wait to come back to La Sultana Marrakech    Marianne & Daniel,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/mariannevW6468GG
La Sultana Marrakech,Tim F wrote a review Feb 2023,50,An oasis in the medina.,Everything was perfect and the staff very friendly. Located in the medina but accessible via car (they valet so no hassle) or taxi. Everything walkable. Hotel is a seamless combination of a few luxury riads with fantastic roof deck. Among the many highlights we really enjoyed have drinks while watching the sunset on the roof.,Date of stay: November 2022,Trip type: Traveled as a couple,"Chicago, Illinois",https://www.tripadvisor.com/Profile/tjfchi
La Sultana Marrakech,MargotVandeRiet wrote a review Feb 2023,50,Just an amazing stay!,I stayed at La Sultana alone and had an amazing stay. The personal was really helpful and nice and the hotel utterly gorgeous. Wonderful healthy food option and really nice suites. Will definitely be back!,Date of stay: February 2023,Trip type: Traveled solo,"Amsterdam, Noord-Holland, Netherlands",https://www.tripadvisor.com/Profile/MargotVandeRiet
La Sultana Marrakech,Lola V wrote a review Feb 2023,50,Absolutely perfect!,We spent 4 nights in this absolutely perfect boutique hotel.  Everyone was very friendly and helpful and the place was perfect to explore  the old city of Marrakech. We are sure we love to come back some time!,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/gruenlinien
La Sultana Marrakech,punch599 wrote a review Feb 2023,50,A true Oasis!,I have travelled the world over and this is a gem and now my favorite hotel! The hotel is fun to explore and there are so many different spaces to sit where you can read play a game have tea etc. - each with a different feel - be it a garden cozy corner water feature (pool fountain hot tub) room with a fireplace roof top garden and restaurant with an amazing view. Even if the hotel is full you will find your own private space. The service is excellent and the rooms very well appointed. The 5 Riads all have their own character and all beautiful. Very good location close to everything yet very quiet. I will be going back for sure just to enjoy the spaces spa and food!,Date of stay: February 2023,Trip type: Traveled with friends,"Darien, Connecticut",https://www.tripadvisor.com/Profile/punch599
La Sultana Marrakech,Clare M wrote a review Feb 2023,50,Oasis of luxury and kindness in the Medina,Our family stay (a couple 2 teens and an 11 year old) was simply outstanding. From the moment we call to enquire we know we were in the right place and we booked two fabulous suites. Stunning place fabulous food and the kindest team. We love luxury but don’t like unnecessary fussiness. This is is authentic and simply beautiful. The experience in the Agafay desert was worth every penny (it wasn’t cheap and it could not be cheap). We also did the cooking courses and what a fabulous experience. Thank you we will be back!,Date of stay: November 2022,,"Chippenham, United Kingdom",https://www.tripadvisor.com/Profile/clairemT6889MQ
La Sultana Marrakech,Monika s wrote a review Feb 2023,50,JUST PERFECT,We had a wonderful stay . Everything was just perfect for us . The room  the location and the excellent spa . Especially the staff en the food deserve 5 Star . We really looking forward to come back very soon.,Date of stay: January 2023,Trip type: Traveled as a couple,"St-Paul-de-Vence, France",https://www.tripadvisor.com/Profile/Monikas411
La Sultana Marrakech,Dikran wrote a review Feb 2023,50,Gem in Marrakech,This is a gem in Marrakech. We found this hotel by chance as we were walking through the Kasbah in Marrakech. We ate breakfast for 5 days consecutively there dinner 3 times and spent time in the rooftop at least 5 days. The food was out of this world!!!! The atmosphere in the restaurant is superb they even have entertainment (oud player-singer). The staff were very professional and always ready to serve you. We fell in love with the facility and have decided to stay at this hotel on our next trip. We will be staying in the best overall hotel in Marrakech!,Date of stay: January 2023,Trip type: Traveled as a couple,"Los Angeles, California",https://www.tripadvisor.com/Profile/Resort51959274558
La Sultana Marrakech,Will M wrote a review Feb 2023,50,An oasis of calm and beauty,What an amazing place everything about it breathtaking. A small alleyway leads off a typical manic Marakesh street to an oasis of beauty and calm.  We visited on a recommendation from a fellow guest at our hotel to have a Hammam and I'm so glad we went. The Hammam was amazing the staff fantastic.  We coupled this with a lunch in the restaurant which again I'd highly recommend. The rooftop is the place to be but even if it's not available the dining area is beautiful.,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Moggsy72
La Sultana Marrakech,Olga wrote a review Feb 2023,50,luxurious and cool!,Amazing stay. They took care of every detail to make our stay wonderful.  It's luxurious and cool!  We loved how they made us feel welcome by checking in drinking something in the terrace.  Great breakfast and beautiful setting of the restaurant by the pool for dinner with a live musician.  Loved the spa... Hammam and massage totally worth!,Date of stay: January 2023,,"Mexico City, Mexico",https://www.tripadvisor.com/Profile/ollyjam
La Sultana Marrakech,Chandni G wrote a review Feb 2023,50,"Perfect, personalized, luxury experience walking distance from Medina",Top 3 best experiences I’ve ever had at a hotel. Luxurious impeccably restored riads centrally located in Marrakech. The staff are incredibly warm and conscientious. Personalized service in a stunning location. Food was excellent rooftop bar is an incredible place to relax after a long day wandering the Medina. Recommend highly. No need to think about it - just book!,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Expedition606149
La Sultana Marrakech,Passenger21141559283 wrote a review Jan 2023,50,True Arabian Experience,we had an amazing experience.  staff are very friendly.  great hospitality.  more than expected.  rooms were super clean.  the location was good  we would definitely recommend it if you’re looking for a nice place in the heart of Marrakech,Date of stay: December 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Passenger21141559283
