Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Labranda Rose Aqua Parc,Kajol M wrote a review Mar 17,50,Great experience,The experience of this hotel was very good. The hotel was located near by to a lot of things to do in Marrakech. The poolside was so fun as the workers ensured everyone had a great time. We got a balcony room which was lovely. Only issue was that there was no aircon in the room and was very warm. And it was quite hard to locate an iron. But overall great experience.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/kajolm858
Labranda Rose Aqua Parc,Onesexychic wrote a review Oct 2021,50,Great hotel in a superb location with the best staff!,This was my first visit to Marrakech and I had a hard time deciding between staying in a riad or hotel. As we're travelling with young teenagers we decided a hotel with waterpark would be best. Labranda ticked all the boxes. Waterpark great location and decent price. We arrived at the hotel at 11am but our room wasn't yet available. We were given our all inclusive wristbands and went to the bar to have some drinks until lunch began at 12:30. There were Moroccan dishes as well as pastas rice various meats a large varied salad and dessert section. There was also a grilling station. You will definitely not struggle to find something to eat. Breakfast has the usual fare and also an omelette station. Dinner is especially good and there is also an Italian restaurant which you need to pre-book a day before. There's a Moroccan restaurant on site but that was closed at the time of my visit.    There is nightly entertainment at the pool bar and live music in the Italian restaurant. The animation team also puts on a show in the conference center area.    The waterpark has two areas..one for smaller kids and the other section with larger slides. There is definitely enough to keep all ages entertained.    Rooms were spacious and contained a mini fridge. If there is none in your room please let reception know and they'll have it sorted.    The hotel is located 10 mins walk from Menara Mall and 20 mins was from Carre Eden Mall. It is in the perfect location.    Finally the staff of this hotel are really the standouts. Every single staff member was friendly and always willing to help. Special thanks to Bahija in the restaurant for always saving a table for my family at breakfast and dinner. Special mention to Zacharia the lovely young lady in the Italian restaurant the porter who's worked at the hotel for over 30 years the man who collects the tourist tax and last but not least the Manager. Thank you for making our first stay in Morocco indeed memorable and we will most definitely be back.,Date of stay: October 2021,Trip type: Traveled with family,"Leicester, United Kingdom",https://www.tripadvisor.com/Profile/karissa2000
Labranda Rose Aqua Parc,Malek E wrote a review Mar 16,40,Amazing,The staff was amazing and welcoming as always. special thanks to the fram animation crew they were so kind and playful i really recommend it for a family getaway my family and i laughed and made unforgettable memories all thanks to labranda rose aqua park,Date of stay: August 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/460maleke
Labranda Rose Aqua Parc,dominic s wrote a review Mar 16,40,Nice couples holiday.,Hotel facilities:    2 lovely pools with different vibes depending on what your after 1 pool where all activities take place with 5 water slides and a kids section music ping pong darts ect bar at pool side also. Other pool is lovely to relax with big day beds available to rent for the day for about £4. Plenty of sun lounges.    Rooms:    The hotel rooms are very nicely decorated with a typical Moroccan decor shower is a nice walk in shower. But unfortunately the hotel room was a downfall during our stay the mattresses are super hard and not comfy at all. No balcony's and also very warm as a/c not the best.    Food/restaurants:    The food at the hotel main restaurant was faultless choices was small but nice only downfall is you won't find fries burgers ect but that did not bother us as we are not fussy eaters if you are you might struggle but we found the food very nice. We was really surprised when we found 2 more el carte style restaurants on the site these where Italian and traditional Moroccan both very nice and free of charge which was great! You can use Italian as much and Moroccan only once during your stay but you must reserve 24 hour before.    There is a snack bar but you have to pay which we though was a bit strange as we was all inclusive 👎    Alcohol/drinks:    Beer is from a bottle which is good. All cocktails and spirits was local branded average drinks.    Wine was okay 👌.    There is a piano bar with premium drinks but you have to pay.    Location :    Location of hotel is very good only a short 5 min taxi into the city some nice sky bars about 10min walk away which is defiantly worth a visit.    Overall for the price we paid we was more than happy with the hotel. Very clean nice food service was okay but hard of English most of the staff but helpful enough. Would recommend hotel. Only down side is the beds and snack bar.,Date of stay: March 2023,Trip type: Traveled as a couple,"Liverpool, United Kingdom",https://www.tripadvisor.com/Profile/352dominics
Labranda Rose Aqua Parc,garryb801 wrote a review Mar 12,40,"Great positioned hotel , Definitely NOT 4 star !",where to start with this one ... we went to Marrakesh 3 years ago just before lockdown it wasn't the best experience so when we went back this time we thought we would try all inclusive  not the best idea with this hotel as most days the same food was served morning  noon and night ! this being said we always found some thing to eat . The restaurant staff needed a good shake some days  NO cups  No plates  Food not out quick enough and some times food running out . Some of the staff could do with a few lessons in manners ... even a smile would not go a miss !!    We thought all inclusive was all food only to be told AFTER we had ordered and eaten our pool snack that we then had to pay for them  so watch out for this if your kids want a burger why in the pool ... No ice cream .... REALLY ? We ended up at the little shop next door for ice lollys .    The entertainment team we brilliant lead by Reda and Simo these two and there team kept us entertained along with the bar men . The beer is sh1t so if you like a nice beer then try the wine    watch out for scams out side the hotel we actually had one of the waiters ( who had never spoken to us in the hotel) confront us in the street telling us he could get us oils which we didn't want ! he wasn't happy and started saying we didn't want to help handicapped people as all the proceeds from the oil went to these people ....which i found VERY offensive so just beware    The bedrooms were clean and we had our beds and towels changed every day by the lovely cleaners .    The hotel was full when we was there so some things can be excused and after all is said and done we would defo go back to this hotel .,Date of stay: March 2023,,"St Helens, United Kingdom",https://www.tripadvisor.com/Profile/garryb801
Labranda Rose Aqua Parc,Rezana A wrote a review Mar 8,10,LISTEN TO THE BAD REVIEWS AND AVOID AT ALL COST,The WORST hotel I have ever stayed at and believe me when I say avoid it. Listen to the low reviews I did not and went by the majority and it really was the worst experience ever. love holiday advertised that ALL ROOMS HAVE A BALCONY/PATIO - this is a lie. It is falsely advertised. We did not get a balcony. We booked a double room and it was two single beds how was my baby soposed to sleep in the middle?? They had to Change our room 3 times to only notice BIG VOMIT STAIN which was textured so it definitely wasn’t a stain that had been washed but stained - THEY LITERALLY GAVE US USED BEDSHEETS!! and the worst thing is we had to wait around 1 hour to get new ones and it was late and my baby was super tired! There was a broken chair which my son nearly fell over - clearly they don’t care about hazards. We had to pay for indoor pool and indoor bar although we paid for all inclusive - apparently it doesn’t mean everything is included! But somehow some people were not paying for indoor people but we were!? We also witnessed the kitchen staff picking up food from the FLOOR and putting it back as if it was normal practice!! They serve the same food every day and it was horrible. We paid for an all inclusive but could not eat there once! They told us it’s a 4 star hotel - it really was like a 2 star! The last night the night staff - short grey hair I think his name was Asir or something - super rude and when he did not acknowledge us waiting to be seen his only response was “well complain about me tomorrow then!?” With the most aggressive tone like he knew he wouldn’t get in trouble. He caused a fight with us and it was really unprofessional. He only spoke to those who could speak French and Arabic. I feel like most of these reviews are the same and have had the same problem so avoid at all costs. I really regret not listening as it was the worst time what a disgusting hotel. They don’t care about you complaining either.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/rezanaa2023
Labranda Rose Aqua Parc,Nina K wrote a review Mar 3,50,Comfortable Marrakech hotel stay,My family and I had a wonderful all inclusive hotel stay at Labranda Rose Acqa Parc particularly grateful to the Managers and Guest Relations staff Mami housekeeping and restaurant staff from the Chefs to the waiters and waitresses including Bahija who were very helpful and caring. Unfortunately we struggled as there was no WIFI on the 6th floor however the hotel gym and salon facilities were a pleasure to try and experience and we booked taxis to travel to this famous city within Morocco.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/ninakX9327WE
Labranda Rose Aqua Parc,Aruna K wrote a review Feb 2023,50,Wonderful stay,We had a good stay in the hotel.Mami was especially very helpful for guests relation in Labranda Aqua park hotel .  Also the staff of the reception and bars and restaurants.thanks a lot for that fantastic stay in Marrakech thanks Mr yassine the manager also,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/459arunak
Labranda Rose Aqua Parc,Myrke70 wrote a review Feb 2023,50,Topvakantie en aanrader,We left without any expectations for LABRANDA ROSE in Marrakesh.  The arrival and welcome was done in a professional and friendly way by the people of meeting point. The location is very central and cabs were at the door. Room was very spacious and clean. Nothing to criticize other than the fact that I did miss a balcony.  More than enough variety regarding food. It was always of good quality and well prepared. Staff at the reception bar cleaning and restaurant were helpful and friendly. An extra big compliment to Mustapha from the outdoor bar who was always happy to help.  The animation team was made up of pleasant people always ready for a chat and help when needed.  They were super friendly and nice to deal with.  The dancing and game nights as well as the cocktail games were a success. These were presented by Reda with the necessary professionalism and humor. Reda also spoke sufficient English. He was a very pleasant personality. Making mint tea and Tajine was also a great activity to learn more about it. Kenza was very popular as a kids entertainer and even in the evening she was still dancing with children. She is a super sweet girl. Shakir was the DJ on duty and always did his job with a smile as did Simo who along with Kenza got the dances going every night. In short a pleasant team that deserves a big compliment.  I would definitely recommend Labranda Rose to friends  If I could give the hotel a point to work with it would be a little more attention to non-French speaking guests but I am a satisfied customer who will definitely return.,Date of stay: February 2023,,"Turnhout, Belgium",https://www.tripadvisor.com/Profile/Myrke70
Labranda Rose Aqua Parc,54m15 wrote a review Feb 2023,10,"THIEVES, LIARS AND INCOMPETENT STAFF",If you want to be ripped off lied to and discriminated against then this hotel is the right one for you. I have just come back from the worst hotel experience ever from the most rude inconsiderate and unhelpful staff ever and can honestly say its the first time I've been to a hotel where the bad reviews have been 100% accurate unless you're French. The only reason I say this is because it is crystal clear that the hotel is catered towards the French as they had proper greetings with guided tours on their arrivals. Me and my friends however did not on arrival we were asked to fill in a form and asked to borrow a pen to which the little old man behind the reception desk who works there during the day simply responded 'No.' During the day there are two male receptionists and any simple request given to them their answer was always no.    On the first night I asked the gentleman with the glasses behind the reception desk if I could borrow an iron he went to ask another receptionist and came back with 'no you have to pay for laundry service.' This was definitely a lie as I saw other guests requesting irons and getting given them. I asked again on the second day but again the answer was no. On the third day I went to ask again in the evening when the daytime make receptionists were gone and Houda arranged for an iron to be sent to my room in a matter of seconds. I also asked if she could use book us a table at the famous 555 club in marrakech she sorted this out in seconds. She is the only member of staff that tries her best to please customers. Thank you Houda.    This hotel also falsely advertises its service we paid for all inclusive but you have to pay extra to use the indoor pool or the aqua park. The pool next to the outdoor bar is like a freezer and impossible to swim in. It does not say anywhere on their website that you have to pay extra for the indoor pool.    On the last day it came to our attention that we had to have boarding passes printed as per the airport guidelines so I went down ro reception and asked the little old man working behind reception at daytime if he can print it for us he flatly refused and lied to me telling me that the reception printer was broken when it definitely was not as i saw it being used and he directed me to the concierge Mohamed who works for meeting point so I went and he was going to charge me 80 dirhams to print 4 boarding passes. I told him that this is extortionate and was not happy with his attitude. He then told me that it would cost me £200 at the airport and that he was doing me a favour by only charging me 80 dirhams. Frustrated with his attitude I told him I'd write a bad review and got money ready as we were desperate and needed them printing. He then refused to print them for me at all. I went back to the reception desk and spoke to the gentleman working behind the currency exchange counter and explained that Mohamed was going to charge me 80 dirhams for 4 boarding passes and for him to do this for me instead. He then turned and spoke to his colleague (the little old man) in Arabic before changing his reason for not being able to print for me by claiming his outlook wasn't working (complete rubbish). Both day time male receptionists- the little old man and the man working behind the currency exchange counter are useless and always find the most ridiculous excuses not to fulfill any customer requests.    To the owner responding to every bad review with the same generic email saying that you will take on the feedback and use it to improve don't bother trying to mug me off with that rubbish because clearly you've done nothing to improve the quality of service.    AVOID THIS HOTEL AT ALL COSTS! STAFF ARE RUDE AND UNHELPFUL AND WILL TRY TO EXTORT AS MUCH MONEY OUT OF YOU AS POSSIBLE.    TO THE ONLY HELPFUL RECEPTIONIST HOUDA THANK YOU FOR HELPING US THE BEST YOU COULD.,Date of stay: February 2023,Trip type: Traveled with friends,"Leicester, United Kingdom",https://www.tripadvisor.com/Profile/54m15
