Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Labranda Targa Club Aqua Parc,Luís wrote a review Yesterday,40,Good service and a nice stay for the first time in Marrakech,The reception and stay met and exceeded expectations. The hotel has good areas a good swimming pool and slides. The room was spacious clean and quiet at night. Had some wifi connection failures. The food court provided good experience. Overall it is perfect for people without very specific requirements.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/405lu_sr
Labranda Targa Club Aqua Parc,Kaitlan J wrote a review Jul 2022,50,Wow!,We have just returned from a week stay with you and WOW - we had the BEST time!    When seeing a couple of reviews being negative my expectations were not very high; my experience exceeded the expectations!    Firstly the food - it was amazing! It was great to try some traditional Moroccan dishes along with more plain dishes available too if you were more fussy. At breakfast the chefs made omelettes and pancakes in front of you and at lunch time and dinner the pasta was made in front of you too! There was a wide range of food available and the desserts were beautiful!    The hotel room - these were exceptionally clean and spacious. They were cleaned daily with the bed made and towels replenished. Thank goodness for air conditioning- it was hot!!    The staff are what made our holiday SO incredible. They are all so friendly happy and like to get you involved. A special mention to Ben & Abdul who always came to see me and my partner throughout the day and got us involved in activities throughout the day and evening. The madison dancing was super fun along with the aqua fitness classes in the pool.    We were lucky to be there when they were celebrating Moroccan day with a range of entertainers - we were so lucky to experience.    To all the staff at Labranda - thank you so much for taking such good care of us! We are already looking at returning 🙂,Date of stay: July 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/983kaitlanj
Labranda Targa Club Aqua Parc,evishalee wrote a review Yesterday,50,Make up your own mind,I am going to write this review having read previous reviews but not jump on the negative band wagon.  We arrived after a delay to a smooth check in. We were told to head straight to the restaurant as it was to close at 9.30pm. In fact it stayed open later to allow us to eat and the dishes were still being replenished. The food was plentiful and varied with lovely salads tagines pizza pasta and lots of different desserts. We could get beer wine and bottled water. In fact I have never known a resort to offer free water at all times. Very Good. The labels were in French but as we were in Morocco I realised English is not their language. My school girl French and Google translate helped!  Breakfast the next morning was just as good fresh omelettes and pancakes plus the usual AI offerings.  The bars are good and a menu lets you know what’s on offer. The Cosy bar has plenty of space and even an outside terrace. In fact you could get more tables and chairs in. We tried a cocktail in the Sports bar (worked out about £6.50). Very lovely and came with nuts and canapés which we were not expecting. Some drinks from the Coco bar were half full but this was usually when it was busy and they were trying to get through a long line.  The rooms are plenty big enough we had a pool view double which had a sofa in it. The bathrooms were a good size and the shower was one of the best I have had hot and powerful. I slept very well in the beds and my husband who suffers with neck and back problems had no complaints.  The pools were amazing even though we didn’t try the main pool or slides everyone looked like they were having fun. There is loud music but you can easily find quieter areas. We used the adult only pool which was very relaxing and the cold water was invigorating helped to cool us down.  We had no problems with any of the staff finding them helpful and attentive.  We highly recommend this hotel and would not hesitate to return. If you expect what you pay for then you will not be disappointed. Thank you LABRANDA Targa Aquaparc ❤️,Date of stay: March 2023,Trip type: Traveled as a couple,"Ashford, United Kingdom",https://www.tripadvisor.com/Profile/evishalee
Labranda Targa Club Aqua Parc,Ibou D wrote a review Yesterday,50,Impeccable,A great hotel with exceptional staff. people are smiling and welcoming. The service is good nothing to say. I had hesitated but I have not once regretted my stay. The welcome and the services offered by the teams are just exceptional! It is rare these days to be so well received and so well pampered. The site is telling the truth: everything is done to relax and be pampered 😉  surely I will come back,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/iboud486
Labranda Targa Club Aqua Parc,G Hamp wrote a review Yesterday,40,Couples and Families retreat,We are a couple and have enjoyed our experience so far lovely pools a separate kids pool with flumes which has a gap but next to the other big pool the other pool has afternoon activities if you wish to participate there is also a separate small quite pool away from everything which is adult only.  We are in a square courtyard on the upper level with a balcony this is private and looks onto a grass area this is comfortable and clean.  Mini fridge t.v and all the other essentials needed including a hairdryer this is cleaned and serviced daily.  Restaurant has a buffet style cold platters and hot food mostly vegetables fish and a meat dishes each night but you can get freshly made pizza and fries deserts have a nice selection and you also have lovely fresh juices to choose from carrot tomato beetroot rosemary mint etc  The same at lunch and breakfast has hot and cold selection also.  We have booked at massage at the spa next week I'm sure that will be lovely!  Nights have entertainment from 9 two indoor bars a pool side bar during the day you have some cocktails included in all inclusive as well as wine beer and soft drinks.  Overall a really well laid out complex clean and attractive about 15 mins from town with a regular shuttle free from the hotel great for couples and families!,Date of stay: March 2023,Trip type: Traveled as a couple,"Scotland, United Kingdom",https://www.tripadvisor.com/Profile/gailhS4059PL
Labranda Targa Club Aqua Parc,Tina T wrote a review Mar 24,30,Disappointing,Lovely hotel nice rooms clean all communal areas and pools all well kept. Let down badly by the food and beverages. Food lukewarm at every meal choice of food and drink very limited. Hotel quite a distance from shops etc. Shuttle bus only goes to town twice a day.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/W9296EEtinat
Labranda Targa Club Aqua Parc,nick d wrote a review Mar 23,50,Unbelievable!,Can't believe the picky reviews. This was an all-inclusive cheapie that exceeded expectations in all areas. If you want five star put your hand in your pocket.    The hotel was clean and modern the room was huge and comfy and the measures were generous.    The pool seemed noisy when we arrived but was pleased to learn that there was a calm pool too which was perfect.    The staff really looked after us. The bus into the old city is free if you book it the day before and the hotel also run other excursions and will organise taxis for you. I needed to visit the infirmary in the morning and by 2.00 they'd organised for a doctor to visit and had taken me to the pharmacy. Holiday rescued.    The most stress I experienced all week was realising that I'd had the last of the incredible lamb meatball and egg tagine with cous cous. There was a fresh pizza and pasta station and about 4 or 5 different tagines a massive array of salad stuff every lunchtime and evening and a proper variety for breakfast. There's a two and a half hour window for each meal so never any need to rush.    We're going back. Possibly in September. The holiday was a real tonic. We've vacationed all over the world but this one stands out in terms of value and service. Massive thank you to all the staff.,Date of stay: March 2023,Trip type: Traveled as a couple,southampton,https://www.tripadvisor.com/Profile/332nickd
Labranda Targa Club Aqua Parc,Terri G wrote a review Mar 23,30,Great hotel but.....,We have just returned from a weeks stay at this hotel.  The hotel itself is beautiful great grounds and immaculate gardens.  The staff are lovely.  But....  The food was lukewarm at best. We had to take advantage of the microwave they had on offer. Surly having to microwave your food immediately after plating it up isn't good.  Reheating chicken and rice is a no no in any country.  90% of the crockery was chipped or cracked.  There is also the option of a pizza and pasta bar. So you'd think if you chose to eat from there it would be hot or at least warmer than the food that is in the serving chafing dish.  I saw on 2 different nights the server adding into a pan of already cooked carbonara extra cooked spaghetti a glug of cream milk and a pinch of seasoning a quick stir then served to my plate. The pan did not touch the heat! Needless to say another cold meal.    Not once in all 3 meals of all 7 days did we have a hot meal. Thank god for the microwave.  The drinks were good rum gin whiskey and vodka. Beer and soft drinks all on offer. But unfortunately they will only serve you 2 drinks to each person at any one time.  Our holiday group was 3 people for one person to go to the bar we had to either go as a 2 or take the 2 drinks and re join the queue to receive our 3rd drink. Each time we told the bar tenders the 3 drinks were for 3 people yet we were limited to 2 only.  The bars close strictly at 11pm even if you are queueing before 11pm you'll not be served.    I don't want this review to sound negative it was a great week.    Things I wished I'd have known before going:  - You need cash at this hotel.  - If you want to exchange money to Dirham you can only do it with cash  - There isn't an ATM on site  - If you want to buy drinks that are not on offer with the all inclusive you need preferably cash or you have to go to reception with the bar tender and pay for your drinks with them first then return to the bar to get your drinks  -The shop on site does except card and cash    Other positives are:  Freshly cooked omelette and pancakes for breakfast  Fresh bread  Beautiful desserts  Very clean hotel and rooms  Water slides are great fun  Free shuttle bus into Marrakesh    All in all we had a lovely week its just a shame about the food.  We now understand why so many of the guests were ordering in KFC.  Unfortunately it's not an area where you can walk around. You literally need to stay on complex.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/B9393EOterrig
Labranda Targa Club Aqua Parc,louisemunday wrote a review Mar 21,30,Pricey holiday; sadly a lot missing.,I paid a lot of money for this all inclusive holiday and whilst the rooms themselves are lovely and the hotel looks great and the pool areas are clean and pretty there was sadly a lot missing.    1. The air con was not working in any room despite it being 36 degrees … this package is sold with air con in rooms?! We asked the reception and they told us they wouldn’t be turning it on due to it being March. It was sweltering and we could not sleep. Couldn’t leave windows open either because of the bugs. Made for a very uncomfortable night every night which didn’t go well with the solid hard beds.  2. We were sat outside the bar area most evenings playing cards when out of nowhere all of the external lights would go out without warning. This would be mid card game. No communication nothing to say that would happen just lights out and doors locked. The lack of communication is rude - at least give us chance to prepare!  3. A lot of the drinks machines were not working around the hotel specifically in the main restaurant. They were out of order but no signs to say this. Broken the entire time of my stay.  4. There is a ‘2 drink per person’ rule for the all inclusive alcohol drinks which is fair but this isn’t stated anywhere and staff were sometimes rude about this if you’re in a large group. In addition to this the whole entire resort only serves the same 4 spirits - whiskey rum gin and vodka. The drinks menu (especially cocktails) is poor and lacks options. The ‘bars’ are tiny. Also we received a lot of half cups of drinks.  5. On two occasions there were no plates available at 1:30 for lunch. This led to a large crowd standing round the main restaurant area with no direction or explanation - just stood waiting for 20 minutes.  6. My transfer was 45 minutes early with no obvious badges to show who he was or that he was there to collect me. Just a man sat on a bench outside the hotel. As a solo traveller this made me feel slightly uneasy.  7. We had to ask for activities to be done around the pool during the day there didn’t appear to be any set pool activities as described on the signs at the entertainment board.  8. The food on offer for meal times is Samey. The tagines and salad were lovely and the bread is always fresh. But the rest was the same all the time and again for a pricey all inclusive I expected more choice.    The hotel is clean and pretty. The weather we had was great. The upkeep and maintenance they are clearly on top of. However there are a lot of faults and a lot of things missing. For the high price I paid given it’s March so not particularly the best season it was not worth it and I expected more. (I have been to other all inclusives paid less and been delighted in what they have to offer). I wont be coming back I can get better value for money elsewhere.,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/louisemunday
Labranda Targa Club Aqua Parc,John L wrote a review Mar 17,10,Dirty bedrooms and was robbed by porter taking luggage up to room dirty underwear outside bedroom window arrogant bar staff sham,Robbed by porter taking luggage up to room dirty underwear outside bedroom window arrogant bar staff total disappointed rooms were dirty shame it spoilt our whole holiday experience management was uncooperative and was treated in a bad way,Date of stay: March 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/F2710BNjohnl
