Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Le Meridien N'Fis,SkitheBoat wrote a review Yesterday,20,Disappointing,We stayed here for 1 night. The stay didn’t start off well. I had reserved our room on the Bonvoy app as a Marriott member. I was told at check in the rate was wrong and I was charged twice as much for the room. Irritating but we didn’t have anywhere else to stay and had just arrived tired from a long journey.  The lobby and grounds are well kept and attractive. Our room however was not. It was large but extremely dated. I was shocked that this was the state of the room.    It is a convenient location to the airport and it appeared clean and safe. However I will choose a different property next time.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/809darcih
Le Meridien N'Fis,Bob D wrote a review Mar 24,20,AVOID this hotel,A hotel with so much potential. And such a disappointing front desk staff and concierge. I stayed here five nights. Reception greeted me as if I were another lanyard-wearing group tourist. Reception seems more friendly with each other than with guests. Concierge hides behind a little cage and gives very little if any new information. I had to consult the Internet for better suggestions. Bar staff were fabulous. Housekeeping was inconsistent. Marriott needs to get rid of this property and let them rebrand themselves under Red Roof Inn. A truly nice hotel that could do so much more under new management. Breakfast buffet was large but underwhelming. All food served here was never that appetizing. The upside is the mall across the street with some very good places to eat and people-watch. I would never stay at this place again.,Date of stay: March 2023,Trip type: Traveled solo,"Minneapolis, Minnesota",https://www.tripadvisor.com/Profile/onebigepicurean
Le Meridien N'Fis,Isakka wrote a review Mar 18,20,Good bad mixture,This hotel reminds of marriage. So many good memories with some inconveniences that one has to live by. Amazing location in the heart of Marrakech excellent well trained staff good amenities. The rooms need some face lifting upgrades good up to date renovations and minor fancy touches like a bigger screen TV more furniture as the spaciousness of the rooms with a little furniture gives a feeling of voidness. All in all for the rate they are charging it is a good value for money.,Date of stay: March 2023,Trip type: Traveled with family,"Dubai, United Arab Emirates",https://www.tripadvisor.com/Profile/Isakka
Le Meridien N'Fis,Psnpsn wrote a review Mar 17,10,"Pretty exterior, ugly interior",Titanium ambassador. But even if I wasn’t I’d still have left. It isn’t that they didn’t meet my Titanium expectations it’s that the hotel just didn’t meet any reasonable expectation. We checked in for 4 nights. Left the morning after the first night. Everyone seems nice but there is just so much you can do with a property that so clearly needs to be renovated- perhaps even razed. The gardens ambience are pretty. We were put in the galleys on the bottom floor. Could hear everything in the hallway. They moved us to same type of tiny decaying room but up on top floor corner so it was at least quiet. Every interaction with the front desk was 30 painfuk minutes because of lines. And add in a protocol of lengthy staff pleasantries where they Astaire at a computer and run around asking each other questions that didn’t solve anything (but still far better than rudeness that also doesn’t solve anything.). The staff were all nice but I quickly realized only one guy knew what he was doing but they were all aware the hotel needs a total face lift. It wasn’t cheap either. We left after the first night booked a 2 bedroom 2 bathroom new Airbnb condo for less money. I’m a loyal hotel guy with my lifetime Titanium status but Marriott has to step it up with local competitors like that. This is a two star hotel on four star grounds charging prices that in a city as affordable as Marrakech approach five star rates. When in Marrakech go AirBnB. I assume Marriott will dump the license they have on this and it will be soon be an Intercontinental- a brand that seems to specialize in big crummy hotels surrounded by lush grounds and numerous pools.,Date of stay: February 2023,Trip type: Traveled as a couple,"Atlanta, Georgia",https://www.tripadvisor.com/Profile/Psnpsn
Le Meridien N'Fis,jessytequila wrote a review Mar 16,10,Avoid it’s a 3 stars old fashion hotel with a poor management,We where there to celebrate my and mom birthday.  5 rooms 10 people  We did call before to have the rooms in the same level and we get an informal approval but we had been spread over the buildings for two of the 5 rooms and after arguing.  Also we ask for an early check in for elder people disabled for one room  was ok but we never had it and we have to wait until 3 pm ( arrived at 12am).  We ask for a late check out when we leave and we got two rooms on five approved and was a nice thing  Unfortunately this hotel have a serious management issues they are people working there trying to do the best they can and some others just dismissed and we cab see that on the attitude  Very nice people on the food and beverage ( manager  maitre d hotel manager etc) giving the best service and making this horrible experience in better way  The lady in charge of the customer relationship it’s just a joke  she knows nothing else than apologizing  The GM I ask to meet as we had a several issues when we get the rooms ( you will see the pictures) was telling me the room given is one of the best and I was showing him the broken toilets in the same time  My daughter has to ask and change two time the room  She find the room not cleaned out ne with personal staff of previous guests  Other room same view on swimming pool and was just in direction of the swimming pool with threes view and personal letter for welcoming somebody else.  This hotel is old and need an urgent refurbishment it’s not a 5 stars more a three stars n’as because the lobby is nice  The swimming pool area was always dirty the workers was putting the music on their personal mobile during the time work and more looking their phone than taking care about customers  management concerns,Date of stay: March 2023,Trip type: Traveled with family,"Ile-de-France, France",https://www.tripadvisor.com/Profile/jessytequila
Le Meridien N'Fis,Prichardo wrote a review Mar 13,30,Served it's purpose,Hotel is ideally located for new and old town opposite a great mall with good coffee shops.  Hotel is very tired and really needs bringing into the 21 century rooms where very clean but shabby bathrooms shabby amenities less than average no coffee machine in room for a hotel of this level (they claim) it shook have one. It should be a 3 star at most tbh.  Beds were very comfortable A/C awful locks on patio doors didn't work but were 1 floor up do dent worry to much but use safe.  Staff were ok on service in hotel but slow concierge and hotel reception good.  Breakfast buffet was really good 8/10. Fresh and staff here were v good.  Pool was really nice beds were great but pool service was awful also go to carrefour across the road and buy your own beers as they charge $8 a bottle which is madness when out of the hotel they are $4 max.  As said served it's purpose price was good for what you get I would actually stay again tbh for a couple of nights but this is a heads up what to expect.,Date of stay: March 2023,,"London, United Kingdom",https://www.tripadvisor.com/Profile/Londonboy98
Le Meridien N'Fis,John B wrote a review Mar 5,20,Not a representative Le Méridien property.,Convenient is a plus the pool and gardens are beautiful. The rooms are not even a 2. The restaurant food was not enjoyable nor was the service. The manager was more concerned than my server. The bar server was less than polite or attentive. The positive was checking in and out.,Date of stay: February 2023,Trip type: Traveled as a couple,Michigan,https://www.tripadvisor.com/Profile/Curious38960866495
Le Meridien N'Fis,Vishal S wrote a review Feb 2023,50,Charming hotel,Charming hotel kind and attentive staff. Wassila in particular was a true gem and her kindness helped make our stay a special one. Location is convenient with cabs readily available. Lots to do nearby.,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/01shahv
Le Meridien N'Fis,Dr Happy wrote a review Feb 2023,50,Quick walking.,A wonderful hotel in the busy tourist town where you can get a cheap taxi from outside or even walk into the tourist areas if you like. And also over the road you will find a very big shopping mall with food.,Date of stay: February 2023,Trip type: Traveled on business,"Denver, Colorado",https://www.tripadvisor.com/Profile/DrHappy0
Le Meridien N'Fis,TOG11 wrote a review Feb 2023,30,A Pretty Good Hotel,The Le Merdian is a pretenious but declining hotel. The public parts of the hotel plus the grounds are outstanding. The rooms are large and clean. But the maintenance in my room left something to be desired. The bathroom door and appeared to be partially eaten by termites and the repainting was definitely subpar. When I arrived the front desk took an excessive amount of time to get connected (I was with a tour group). I needed to exchange money in thst evening. They said that they were out of money but would have it by 8 AM the next morning. Next morning same story. The morning breakfast was large and good. The hotel is very well located.,Date of stay: February 2023,Trip type: Traveled as a couple,"Fayetteville, Arkansas",https://www.tripadvisor.com/Profile/TOG11
