Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Le Relais de Marrakech,JazzySkylar wrote a review Mar 5,20,OK for campers but avoid if you think you are staying in Marrakech,"Positives: nice pool and restaurant with good food although drinks very expensive.  Negatives:location is about 20 minutes from old city no bus so have to use taxi at around £10 each way £15 at night so cheap accomodation becomes rather expensive. Nothing in local area to see just scrubland and stray dogs. Mainly a site for camper vans but there are rooms and tents. We had a room: reasonable size but most uncomfortable lumpy double bed - terrible back ache. The worst part was our ""en-suite bathroom"" - corner of the room curtained off with a shower that in 3 days never gave us hot water despite reporting it a sink that was constantly blocked and never cleared (I wont go into details) 1 tiny threadbare towel. So close to our bed that on getting the inevitable dicky tummy to save our embarrassment i had to send my poor partner outside in the middle of the night. You have to use the restaurant as the site ""shop"" sells barely more than water and bread and no where to prepare your own food anyway and there are no other shops nearby within walking distance. So pleased we had 3 days in a beautiful riad in the medina otherwise would have left with a very negative view on marrakech.",Date of stay: March 2023,Trip type: Traveled as a couple,"Ringwood, United Kingdom",https://www.tripadvisor.com/Profile/JazzySkylar
Le Relais de Marrakech,Walidmario wrote a review Sep 2020,30,Nice pool,My British girlfriend and I spent one night in this camping was nice pool and nice garden rooms were very hot and inside they have so much ants. There are signs around the pool stating that Muslim woman cannot wear burkinis in or around the pool. Not a bad shower with hot water the toilet had no door. We asked the girl in reception about us having one room but she said we can’t have one room because we are not married but she said that she can give us second room with 10€ more and we can stay in the one room. There is a ping pong table and a bar near the enterance and hammocks and seats with tables there is also a park for children and a volleyball net. There are chickens and ducks that roam around on the grass and near the pool but they are very friendly and will not disturb anyone. Anyway we will back!!,Date of stay: September 2020,Trip type: Traveled as a couple,"Marrakech, Morocco",https://www.tripadvisor.com/Profile/walidmario
Le Relais de Marrakech,Russ D wrote a review Feb 2020,50,The place to stay when Overlanding,Use twice a year always a great welcome and my customers look forward to there stay. The food and drinks are always good superb pool and gardens. You can camp motor home auberge it has it all. Looking forward to the next time,Date of stay: January 2020,,"Selby, United Kingdom",https://www.tripadvisor.com/Profile/Inrusswetrust
Le Relais de Marrakech,JMT5 wrote a review Dec 2019,50,Like home from home.,We visit every year since it opened. Always made to feel welcome and as an elderly couple service could not be better. We use our campervan but friends who have flown in and rented apartments here could not fault the service either.,Date of stay: January 2019,,"Ceret, France",https://www.tripadvisor.com/Profile/JMT5
Le Relais de Marrakech,martin5751 wrote a review Nov 2019,40,Great camping site with pool,Has all amneties you wish even a swimming pool. Great place to stay with the camper for a few days.    We rented a campervan and stayed the first night of our trip on the campsite. Nothing to complain.    Restaurant makes good tajine kefta. We liked it!,Date of stay: October 2019,Trip type: Traveled as a couple,"Marrakech, Morocco",https://www.tripadvisor.com/Profile/martin5751
Le Relais de Marrakech,brit933 wrote a review Dec 2018,40,Very good place but a lot of waiting time,The restaurant is situated close to the all inclusive hotel Sangho. The food is good with a choise og Morrocon plates and more European food. Priced are in the middle range. The problem is that is is the only restaurant in the neighbourhood of the hotel so it is the only option for hotel guests who don’t have all inclusive. We waited an hour and a half for our dinner at one occation,Date of stay: December 2018,Trip type: Traveled as a couple,"Solbjerg, Denmark",https://www.tripadvisor.com/Profile/brit933
Le Relais de Marrakech,FZ E wrote a review Oct 2018,10,The Worst and dangerous place ever,I came with my friends to enjoy the weekend on our tents untill all a sudden there was a huge innondation that changed our weekend to a night mare. The worst part of the story all is that allthe employees of thé hôtel not even the managers were here to save peoples lives.we were frightened because noone came to turn off the light.they promised to fix our cars that were damaged in this incident as well as our materials but then they changed their minds and fooled us.this zone is a risky place and they dont have a valid insurrance. Im going for sure to put a law suit on thme. They distroyed my life.,Date of stay: October 2018,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/71fze
Le Relais de Marrakech,IaMaudella wrote a review Jun 2018,50,This is the life,Nomad tent Kasbar or just camping. Excellent rates. Great hospitality. Sun morning to night. No restrictions laid back and general holiday mode day by day.  Mainly French language spoken.  Menu limited but adequate and available day & night good service.  Plenty of area’s to play watch tv swim eat or do nothing.  Would definitely recommend and would love to return.,Date of stay: June 2018,,"Wolverhampton, United Kingdom",https://www.tripadvisor.com/Profile/IaMaudella
Le Relais de Marrakech,franglaise2018 wrote a review Feb 2018,20,Our third visit in the last five years and looking forward to a relaxing stay,Sadly this is a campsite that has lost it's way. It is some three years since we were last here and I believe it is under new ownership or management. I did ask to speak to an owner on two occasions but was not able to do so. It is not quite clear who is running the Relais but the long term French camper residents certainly have the upper hand. They feel that they can behave as they wish. intimidate and provoke at will if their behaviour is challenged. It was made very clear to me by the sychophantic staff at reception that they ( the long termers ) were more important than ourselves. So take down your signs and rules because it is 'do as you please' at the Relais - as long as the dirhams are coming over the counter. Very very disappointed. Shame on you.,Date of stay: February 2018,,"Rabat, Morocco",https://www.tripadvisor.com/Profile/franglaise2018
Le Relais de Marrakech,Katrin wrote a review Jan 2018,40,Would recommend,Very nice rooms well decorated and with AC heating good sized bathroom although mirrors are a bit low for European tourists. Bed was good and they have beer in the bar. I would preferred duvet instead of a blanket and drain in the shower was a little slow I had to wait in the middle of shower for water to drain in order not to spill into the room.,Date of stay: December 2017,Trip type: Traveled as a couple,"Ljubljana, Slovenia",https://www.tripadvisor.com/Profile/KatarinaJ124
