Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Les Borjs de la Kasbah,richard_watters wrote a review Mar 26,50,Faultless!,Beautifully presented very helpful hosts and staff impeccable service. Just can't fault this lovely Riad. Well located for walking to the square. Lovely (although small) pool. Absolutely spotless. Would go again.,Date of stay: March 2023,Trip type: Traveled as a couple,"York, United Kingdom",https://www.tripadvisor.com/Profile/richard_watters
Les Borjs de la Kasbah,Jan N wrote a review Mar 18,50,A Most Wonderful Stay,I can't give enough accolades to this riad and its staff. I loved the whole experience and I look forward to a return visit in the near future. Every single one of the staff was accommodating friendly and ever helpful. The public spaces including the courtyard library and pool area were perfect and I loved my room with a little private courtyard. The bar was fab and the restaurant was lovely with wonderful breakfasts and excellent evening fare. In my opinion this is THE place to book for your stay in Marrakech.    Jan Nix,Date of stay: February 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/F3194DYjann
Les Borjs de la Kasbah,Wanderer619999 wrote a review Mar 11,50,Thank you,Being met by the friendly helpful Nora the manager with mint tea in the oasis that is Les Borgs de la Kasbah set the tone for a fantastic visit to Marrakech! It is a haven set away from the hustle and bustle of the city. The staff are all extremely helpful and very friendly. Nothing is too much trouble. Breakfast is amazing and sets you up for the day! The rooms are perfect comfortable and have all that you need. Great to relax around the heated pool late afternoon. The spa facilities are great and the hammam and massage were a real treat. But it will be the friendliness of the management and staff that stand out. Will definitely be back to Morocco and be staying in Les Borgs de la Kasbah again. Thank you,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Wanderer619999
Les Borjs de la Kasbah,Jan L wrote a review Mar 8,50,A Fantastic Riad with a Great Restaurant,Fabulous! We last visited Borjs de la Kasbah in 2008 and were delighted to find the Riad as good as we remember it 15 years ago!    The director/owners Tom and Nora were delightful and a mine of information. The staff were fantastic always cheerful and helpful. Nothing was too much trouble.    We decided to go half board this time (we ate street food during the day on our walks around Marrakesh) and were very glad that we did as all the food we had in the restaurant was delicious. We would definitely recommend it. Breakfast was also great with a lovely selection of bread cereals and made to order pancakes omelettes etc.    The Riad arranged a walking guide for us and we also did a cookery course in the kitchens which was great fun. I will be trying out the menu on my friends next week!  I must also mention the spa where I had one of the best facials I've ever had.    The room was very comfortable. Our only (minor) complaint would be that the lights were a bit gloomy but apart from that it was great.    Overall a 5 out of 5 week and we would not hesitate to recommend this Riad.,Date of stay: February 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/oraclegirl22
Les Borjs de la Kasbah,Cheryl M wrote a review Mar 5,50,A warm and welcoming stay in Marrakesh,Although the weather was not great we had a wonderful 5 days in Marrakech. The hotel and all its staff were so welcoming the room spectacular. All the outdoor areas were beautiful and beautifully kept but we also enjoyed the TV space and the library. The highlight for me was the cooking experience- chef was brilliant we learnt a lot about Moroccan cooking and then got to eat it too! Would recommend to anyone,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/cherylmW4327SX
Les Borjs de la Kasbah,Tim S wrote a review Mar 5,50,Quiet peaceful spot to explore the chaos of the medina,We had a lovely couple of days at les borjs. It’s a lovely peaceful setting with a great breakfast heated pool friendly and helpful staff.    Felt very safe for our toddler and a great launchpad to explore Marakech. We’ll definitely be back!!,Date of stay: February 2023,Trip type: Traveled with family,"Bangkok, Thailand",https://www.tripadvisor.com/Profile/373tims
Les Borjs de la Kasbah,Time4chocolate wrote a review Feb 2023,50,The perfect hotel. Marrakech at its best.,I’ve stayed here five times and will again. It’s beautiful. Everywhere you look is attractive immaculate clean a joy.    The staff are welcoming and appear to genuinely want to help. My son leaving at 5.30 am? How about coffee brought to your room and a bag of food for the journey? We want lunch at 11.30 am? Of course - what would you like? My husband’s birthday? A special table setting cake candles and staff singing happy birthday.    The food is freshly prepared and delicious. The spa a haven. We love sitting by the pool or in the flower filled courtyard lit by candles and lanterns at night.    Thank you Tom and Nora for helping us create more happy memories.,Date of stay: February 2023,Trip type: Traveled as a couple,London,https://www.tripadvisor.com/Profile/Time4chocolate
Les Borjs de la Kasbah,Pam M wrote a review Feb 2023,50,Calm in madness of the medina.,We booked this Riad based on TA reviews. It is everything I expected and more. From arrival to departure I don’t think the staff under the watchful eye of Nora could do anything more to make our stay comfortable.    The Riad itself is beautifully decorated rooms very comfortable and exceptionally clean. The spa which I used on many occasions was fabulous. Hadisha is the most amazing therapist.    I cannot thank Nora enough for making us feel welcome and for going above and beyond. Nothing was too much trouble. A shout out to the wonderful Rabi on reception also he always greeted us with a smile.    I cannot recommend Les Borjs de La Kasbah enough.,Date of stay: February 2023,Trip type: Traveled with friends,"Dublin, Ireland",https://www.tripadvisor.com/Profile/L469WZpamm
Les Borjs de la Kasbah,Swarmite wrote a review Feb 2023,50,A 'Second Home' I call it. Coming Home to High End Hospitality.,My first visit to this Boutique Hotel was 2009 and my last was last week.    In-between I must have stayed over 20 times hence the title of this current review. Before pandemic I would bring 15 people each year to a Wellness Breathwork Retreat I led in the Conference space at Les Borjs as well as visiting for leisure so I am familiar with what is on offer. Every time I visit it looks pristine with regular refurbishments. Tom & Nora do not rest on their laurels ( and laurels in terms of professional accolades are aplenty ) they constantly aim for top notch upgrading of rooms and public areas.    I haven't been back since 2019 held back by health and pandemic but last week felt like they are in constant refresh and observation exactly how a high end boutique hotel continues to succeed. I particularly loved the new courtyards seating painted pots and cushions with the Nora touch of welcome. Nothing lacked attention. Fresh as a daisy.    This includes superb long standing staff always on top of things welcoming helpful at Reception always available for the smallest request. We ate in the hotel some nights highly recommended fine dining at ease with impeccable service. Plus being greeted by the familiar face of Sharif at Marrakech Airport and swiftly taken to our hotel in 15 mins was truly 'coming home' to high end hospitality.    Having been back so many times and recommended so many friends to try Les Borjs ( I took 2 this visit and they were bowled over first day! ) we are already planning our return so 5 Stars all round to Les Borjs de la Kasbah.,Date of stay: January 2023,,"London, United Kingdom",https://www.tripadvisor.com/Profile/Swarmite
Les Borjs de la Kasbah,Leo F wrote a review Feb 2023,50,Leo finn galway Ireland 🇮🇪,I travelled to marrakech for a few nights to experience their food culture hospitality and I certainly wasn't left disappointedI was staying in a gem of a hotel and that's why I'm on tripadvisor.com to be honestI had the pleasure of staying in Les borjs de la kasbah a five star gem of a hotel with its location perfect only minutes walk from the main square The hotel is owned by a beautiful couple Tom and Nora and from the minute I checked in from reception restaurant loungeout door facilities spabedroom's are as five star as you will get Tom and Nora lead from The top down their attention to detail in their magnificent hotel is to be admired front of house couldn't do enough for you restaurant breakfast lobbylounge areas executive lounge for a little night capis high end five star as you will receive in any city around this beautiful world we live inTom and Nora main objective is for their guests to receive the best five star service facilities accommodation hospitality at its very best and their team of staff seems like one happy familyye made my experience in beautiful marrakech very special and I hope if people read this or see this if ye are travelling to marrakech check this place outits an absolute gem and the owner's have travelled the world and brought all their experience from different countries and put it all together in this beautiful piece of heaven sorry if I've gone on but gems like this don't come round that offen and I'll promise you it will make you and yours a trip and memories you shall never forget last but not least a big thank you Tom and Nora and your wonderful team for making my trip so special can't wait to go back kindest regards leo finngalway Ireland 🇮🇪,Date of stay: January 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/Q6090BDleof
