Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Les Jardins de la Koutoubia,luxexpat wrote a review Mar 23,50,"Comfort, professionalism, tranquility",We spent a very happy week in this lovely hotel. Despite the fact that it is located in the heart of the city it is a haven of peace built around a beautiful garden filled with birdsong. The staff are very professional kind and welcoming. We were offered refreshing mint tea and biscuits on arrival. Our room was comfortable with a very good bed large bathroom sofa good television minibar fresh fruit and cakes daily replenished mineral water table and desk air conditioning and adjustable lighting. We could see the Koutoubia and the garden from our window. We chose to dine in the Moroccan restaurant with traditional music and dance and at the Imlil beside one of the pools. We also availed of room service. All the meals were delicious. Next time we will try the Indian and French restaurants and the rooftop pool and bar. There are comfortable loungers beside the pool and many peaceful shaded alcoves on the terraces. There is also a piano bar beside the cool and calm lobby. There is a brand-new Museum of Intangible Heritage in the former bank building on the Jemaa El Fna a short stroll away. The souks and many other interesting sights such as the Secret Garden and Dar el Bacha are also walkable and there are taxis a few metres from the hotel entrance for Majorelle or Guéliz. Return transport for the airport was arranged for us door-to-door. Check-in and check-out were fast and efficient. Thank you to all. Ramadan Mubarak.,Date of stay: March 2023,Trip type: Traveled as a couple,"Luxembourg City, Luxembourg",https://www.tripadvisor.com/Profile/luxexpat
Les Jardins de la Koutoubia,Jatinder S wrote a review Mar 10,50,Authentic Marrakech accommodation,The staff were very friendly and helpful. We were looked after by Yousef Hind and Moisin amongst others and everyone was very welcoming. The Riad is beautiful and traditional right in the Medina. It is hard to find down a long narrow alley one the only difficulty we had was that we had to walk some distance to get to where the taxis could come. This caused some difficulty for my wife in heels.,Date of stay: March 2023,Trip type: Traveled as a couple,"Leeds, United Kingdom",https://www.tripadvisor.com/Profile/sonny509
Les Jardins de la Koutoubia,WileyCoyote wrote a review Mar 7,10,Grasping and perfidious,I made a mistake with booking this hotel on Booking.com and LoveHolidays.com. This resulted in my husband being charged when he arrived despite my already having paid with the other company. This was pointed out very early in our stay and could easily have been remedied by a decent manager.    When this supposedly high end hotel was informed they had taken two amounts from us for the same stay and asked to help they gave us assurances they would resolve this over the 2 nights we had with them. And then when we returned to the UK have fobbed us off saying we need to contact the agent.    Whilst the mistake was mine I deeply resent the bare faced dishonesty and grasping attitude that means that the staff smile in our face messing you around for weeks with nonsense emails all the while knowing full well they are in effect stealing from you. Despite whatever rubbish they have told me my husband and I can see two separate payments on our bank statements.    So for anyone considering staying here it looks beautiful and enjoys good reviews but beware all the while it employs some perfidious and rapacious staff who are content to say one thing whilst doing quite another to take your money there is a risk that you will experience the same underhanded practise.    If you like straight forward and honest dealings you won’t find it here.  This has tainted the entire experience of this French owned hotel.,Date of stay: January 2023,Trip type: Traveled with friends,"London, United Kingdom",https://www.tripadvisor.com/Profile/CMcMM
Les Jardins de la Koutoubia,wilhelmina wrote a review Feb 2023,30,Faded beauty,A great 3 to 4 star hotel if that’s what you are after. As a 5 star it falls short. Mini suite was spacious but nothing wow . Corridors dark. The pool area x2 were lovely. Based on the breakfast we chose not to eat at the restaurants.Boiled cauliflower  plain pasta is not my idea of yum for breakfast but each to their own.The housekeeping staff are so welcoming and friendly . The best . Location is good for the square. Could be great but needs some attention to be a true 5 star.,Date of stay: February 2023,Trip type: Traveled with family,"London, United Kingdom",https://www.tripadvisor.com/Profile/wilhelmina
Les Jardins de la Koutoubia,Paulyne B wrote a review Feb 2023,50,The suite was perfect...,It s like we live in the castle ! Wow ! The qualité and the service incredible. The suite was clean and the staff very professionnel.  It was the 3 times and we are réady to go Back the next summer.,Date of stay: March 2022,Trip type: Traveled as a couple,"Thetford Mines, Canada",https://www.tripadvisor.com/Profile/paulyneb2015
Les Jardins de la Koutoubia,Michelle C wrote a review Jan 2023,50,Right in the middle of the action.,Gorgeous hotel in the middle of the action in Marrakesh. We had a beautiful garden room with its own little seating area.  The rooftop pool was a lovely place to while away the afternoon after a busy morning exploring the medina. Staff were friendly and helpful.  It is expensive for food & drinks onsite considering there are cute local places just outside the hotel doors.,Date of stay: January 2023,Trip type: Traveled as a couple,"Washington DC, District of Columbia",https://www.tripadvisor.com/Profile/michellecT8728TN
Les Jardins de la Koutoubia,carolineb wrote a review Dec 2022,50,Another excellent and charming stay,My daughter and I have just returned from another hugely appreciated stay at this wonderful hotel. It is perfectly placed to safely wander and dip in and out of the city sights whilst being a calm sanctuary to return to.  We love both pools but particularly appreciated the heated rooftop pool in winter and enjoyed our afternoons up there with stunning views of the Koutoubia mosque attentive poolside drinks service and delicious lunches at the truly excellent restaurant.  I would thoroughly recommend a mini suite with terrace or junior suite as we’ve had before. Both are spacious excellently appointed with stylish terraces overlooking the peaceful gardens and housekeeping is exceptional throughout the hotel.  The staff are the most consistently genuine friendly and helpful that I have come across. This was only our second visit but we were warmly greeted like old friends and felt genuinely cared for in a city which whilst exciting can be overwhelming.  We particularly appreciated the help of the head concierge Mr Abbsedeq absolutely nothing was too much trouble both before and during our stay. He has a complete  Can do attitude and tireless desire to get it right.  There is a charming slightly faded glamour about this hotel which coupled with the genuine warmth of the staff makes for an extremely relaxing stay for which we are truly grateful. We feel refreshed and revived for 2023 and will look forward to returning…,Date of stay: December 2022,Trip type: Traveled with family,"Surrey, United Kingdom",https://www.tripadvisor.com/Profile/Go37984018457
Les Jardins de la Koutoubia,Robert H wrote a review Dec 2022,50,A Perfect Oasis!!,Having just returned from a five night stay I’m pleased to say this hotel was everything we hoped for. A place of calm away from the hubbub of the Medina the hotel is perfectly placed to explore Marrakech.  From its beautifully appointed rooms through to its amenities it really catered to our needs.  Special mention has to go to the staff and management though who made the difference. From the warmth of welcome and their interactions with the kids through to the surprise cake for my wife’s birthday we felt looked after every step of the way. Thanks very much and I cannot recommend this hotel highly enough.,Date of stay: December 2022,Trip type: Traveled with family,"Bristol, United Kingdom",https://www.tripadvisor.com/Profile/642RobertH642
Les Jardins de la Koutoubia,Noor A wrote a review Dec 2022,50,"Gorgeous stay, superb breakfast!",Stayed at this hotel to celebrate our wedding anniversary recently for 3 nights (mid December). The hotel is so fabulous. We were welcomed with mint tea and Moroccan cookies at the lobby.    Thanks for upgrading our room much appreciated since it was our wedding anniversary. They did not know about it so I guess we were lucky. We were shown around our room by a staff we didn’t like it how he was expecting a tip once he was done showing us the room. You could just know that he was expecting for a tip.    Another guy came upstairs and deliver our suitcases. He didn’t even expect a tip and just go once done.    The room is excellent we had the swimming pool as the view. The housekeeping came everyday and put petals on the bed for the first 2 nights. What a nice gesture.    Breakfast was just excellent! Really enjoyed it! Thanks for making our breakfast superb with the crepes eggs station fresh fruit juices selection of Moroccan pastries etc.    This hotel is situated in Jemma el Fnna it’s very quiet inside. But once you go out it’s a circus and completely different.    Went for a facial at their spa. Again excellent experience. But I didn’t like it how the lady waited for me to put on my clothes once done in the same room. She should have given me the privacy to put my clothes on after the facial. Herbal tea was provided after the treatment at the reception.,Date of stay: December 2022,Trip type: Traveled as a couple,"Glasgow, United Kingdom",https://www.tripadvisor.com/Profile/noora458
Les Jardins de la Koutoubia,Swisschilind wrote a review Dec 2022,50,Lovely property and wonderful staff,My husband and I spent two nights in this fabulous hotel early December. We were upgraded upon check-in from a standard double room to a mini suite which was beautiful (view on the Medina though was not very picturesque so we kept the curtains shut)....the room was very comfortable and spacious  with a separate living-room area and extremely well equipped bathroom. Much care was taken in decorating the entire suite with rose petals and towel art on the bed. The room was extremely well cleaned. We dined twice in the hotel (once in the Moroccan where the food was quite good and the ambiance and entertainment was very nice....once in the Indian where the food was good too)...the breakfast was excellent with a very nice choice of delicious and fresh food (excellent fresh fruit juice eggs cooked to your liking great choice of breakfast pastries etc.). We both had a massage and Hammam....the massage were somewhat disappointing though but the spa area is lovely. I highly recommend the hairdressing services (very reasonably priced and great service). The hotel is incredibly well located just a few minutes' walk from the Jema El Efna square...really in the heart of the Medina. The ride is about 20 minutes from the airport and cars can access directly the front entrance of the hotel if there are not too many policemen checking (otherwise you can get dropped off 30 metres off). Overall we really enjoyed our stay and found the staff delightfully friendly and cheerful. We booked through Agoda and got a very good deal. We are already planning to return with our four children in the near future!,Date of stay: December 2022,,Geneva,https://www.tripadvisor.com/Profile/Swisschilind
