Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Les Jardins de la Medina,Min P wrote a review Mar 22,30,Great Everything but Services…?,Let me just get to the three star/Average rating. This is a solid 4-star hotel at the facility level however things happened while I was checking out left bad taste. The lady working at the reception desk that morning spent ample time explaining things in French to two white ladies. I was understandably waiting for my turn. And then a group of French speaking white people rush in behind me. In stead of helping me the lady skipped me talked over my head and started to check in the group. I was almost pushed aside from the small checkin area. The men in the group felt bad and apologized to me. Some women just handed their passports over my shoulders/heads. It was an embarrassing and insulting experience. After the group was checked in and happily went their way the lady…,Date of stay: March 2023,,"New York City, New York",https://www.tripadvisor.com/Profile/MLPNYC
Les Jardins de la Medina,Martina H wrote a review Feb 2023,50,An amazing gem of a hotel,What a truly lovely small hotel this is within 15mins walk of main square of Marrakech. From the moment we stepped behind the door an oasis opened up to us surrounding a lovely heated pool. The hotel staff were exceptional in every way polite attentive and so very helpful always happy to please. Nothing was too much trouble. All spoke good English and French for those who don't speak Arabic. Breakfast isn't vast as the hotel is snall but is delicious and more than enough to start the day. Lunch menu is really good and the evening menu is top quality very stylish and delicious. We sampled many dishes and there was a good selection of vegetarian and gluten free options too along with many different deserts. The lemon and banana souflee was my favourite 😍 When you arrive…,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/martinahO5059AC
Les Jardins de la Medina,Wenifnotnow wrote a review Mar 20,50,Good experience with a few exceptions.,My husband and I stayed for 3 nights. Overall it was wonderful. Checkin. We had a welcome tea in the bar which was nice. Then they asked us to choose a pillow scent. I believe we got an upgrade because we had a very large room with a sitting area on the third floor of one of the buildings. Room: gorgeous and sophisticated. Staff: generally very pleasant. One woman at the front desk was a real spur pus but overall great staff. Breakfast: very tasty. The indoor breakfast room which was the main dining room was very dark though. Choices were tasty but the omelet station was not staffed properly and someone needed to summon the omelet maker. Grounds: very peaceful and well maintained. The pool was heated and very soothing. Concierge: I had made a spa reservation months…,Date of stay: March 2023,,los angeles,https://www.tripadvisor.com/Profile/Wenifnotnow
Les Jardins de la Medina,Victoria B wrote a review Mar 5,50,Excellent location and beautiful hotel,We spent a wonderful 4 nights at Les jardins de la Medina. The staff were delightful our room huge and beautifully decorated and the gardens absolutely stunning. We ate in the restaurant 3 nights out of 4 because the food was good the dining room was bustling and had a lovely roaring fire.,Date of stay: March 2023,,"London, United Kingdom",https://www.tripadvisor.com/Profile/B6406FHvictoriab
Les Jardins de la Medina,Derek O wrote a review Feb 2023,50,An oasis of peace and tranqulity,My wife daughter and I loved our stay at this beautiful hotel. We were warmly welcomed with mint tea and shown the fabulous gardens en route to our rooms. The rooms are very well appointed super clean and comfortable. Top marks to the solarium rooms with a private roof terrace overlooking those amazing gardens. The food at both lunch and dinner are excellent and fair value. The pool is terrific warm even in Feb. And a last word for the excellent friendly and super helpful staff-nothing too much trouble.,Date of stay: February 2023,,"Paris, France",https://www.tripadvisor.com/Profile/763dereko
Les Jardins de la Medina,Richard wrote a review Feb 2023,50,Amazing hotel,Our first time in Marrakesh. We researched many accommodations before choosing Les Jardins de le Medina. It surpassed our already high expectations. We loved the location and the facilities. So so peaceful. The staff are super friendly and helpful. Ignore the reviews saying the service is slow. Loved the walk through the Kasbah to the centre. It allows you to enjoy a different side of the city. Breakfast is fantastic. We had one evening meal and it was delicious. Thank you all. We will be back.,Date of stay: February 2023,,"Oxfordshire, United Kingdom",https://www.tripadvisor.com/Profile/Curiosity20979401885
Les Jardins de la Medina,cchatterjee2023 wrote a review Feb 2023,50,Les jardins,Good location and excellent food and gardens also birds and two tortoises. Friendly and busy staff. Helpful tours to Atlas Mountains the sea and the coast and tour of the town in-depth So many sights to visit. Good cultural aspects to the tours. Even the good weather improved the holiday a fantastic introduction to Africa and Morocco. Thank you.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/cchatterjee2023
Les Jardins de la Medina,SimAnn wrote a review Feb 2023,50,Beautiful Riad,Just spent five nights at Les Jardins de la Medina. Upgraded to a solarium room. Fantastic hotel in a great location. Easy walk to the main square souks and many of the main attractions. The hotel staff could not be more accommodating. The hotel is a haven of peace and quiet as soon as you walk through the door. I would certainly go back to this hotel and Marrakech. Morocco is a spectacular country.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/SimAnnie34
Les Jardins de la Medina,ianstellacole wrote a review Feb 2023,50,Excellent in every way,We stayed in January/February and this is one of the top five hotels worldwide we have stayed in. The room was excellent the food top quality and the staff fantastic. Situated in the old city meant we could get around with ease. An excellent place to stay in Marrakech.,Date of stay: January 2023,,"Wilmslow, United Kingdom",https://www.tripadvisor.com/Profile/ianstellacole
Les Jardins de la Medina,Wilmslow_People wrote a review Feb 2023,50,Excellent in every way,We had a most enjoyable holiday at this hotel at the end of January. The room we stayed in was five star the food was excellent and the staff were wonderful. A hotel we can thoroughly recommend and will come back hopefully. The airport is 20min taxi from the hotel and it arranges it for you. The weather in January was chilly in the morning but 20+ in the afternoon.,Date of stay: January 2023,,"Wilmslow, United Kingdom",https://www.tripadvisor.com/Profile/Wilmslow_People
