Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Marrakech Ryads Parc & Spa,Mark M wrote a review Mar 14,50,Ahmed the Great,The rooms were clean spacious and comfortable. The hotel staff were so welcoming and helpful; especially Ahmed from the Terrace Bar….he treated us like family. Great guy! Food and pool facilities were excellent!,Date of stay: March 2023,Trip type: Traveled with friends,"Belfast City Region, United Kingdom",https://www.tripadvisor.com/Profile/markmP3644FB
Marrakech Ryads Parc & Spa,Deb wrote a review Mar 14,50,A must stay,This has been an wonderful trip.  I had sun and delicious food and drinks.  The staff were incredibly happy all with an amazing can do attitude.  Lots of entertainment from cooking classes water fun gym and spa.  The food and beverage manager Faska was so hospitable and knew my name instead of my room number.  The bar staff El Habib and Ahmed had your drink ready before you asked. Amazing hospitality and service.  The receptionist YasminehayatAssiaimanenada should all be managers….. there’s nothing they can’t do for you or find out.  Such a wonderful welcome…. I highly recommend this hotel and will be returning.,Date of stay: March 2023,Trip type: Traveled solo,"Bath, United Kingdom",https://www.tripadvisor.com/Profile/debbeec
Marrakech Ryads Parc & Spa,Meander41632676111 wrote a review Mar 7,50,Fabulous Holiday,The hotel exceeded all expectations. The food was superb and for an all inclusive it never seemed to lack variety and choice each day. The staff are wonderful and couldn’t do enough for you. The maid service is second to none. Fabulous holiday at this hotel. We will be back.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Meander41632676111
Marrakech Ryads Parc & Spa,Sharona V wrote a review Mar 5,50,Great Vacation,We had a great holiday the staff is very welcoming and friendly. We met a waiter at the hotel named Ahmed Laghrib who gave us advice this holiday so we could make our days as productive as possible. He taught us Arabic words and made sure we lacked nothing. Really a topper !! They do everything they can to make sure you have a great holiday. We met the locals and went on adventurous excursions. If you don't feel like going into town the hotel has a great animation team who know how to keep young and old entertained. We will definitely come back here and also recommend everyone to go there.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/407sharonav
Marrakech Ryads Parc & Spa,Ian B wrote a review Mar 5,40,Cheeky 4 days away,Looked at all the mixed reviews on this hotel  so went there with no expectations . We just knew it was raining at home and was looking for some sun and a few days together . It’s quite a big hotel  a bit tucked out the way would be a bit of a criticism  but our rooms were clean food was ok and the staff we encountered were very friendly . Animation came for a chat everyday around the pool  despite us just wanting to relax . Still nice they took the time to come and say hi . Tarik in particular was very friendly  although he had a bit of a dodgy man bun  which all the guys seem to like . The drinks in the restaurant is a bit of a funny set up  with a guy at a table pouring drinks from a table  a bit like an 80’s engagement party 😁. Spirits and cocktails weren’t what they are meant to be  but this is an African Muslim country  so just go with it .  Entertainment is the usual kids thing then poor caberet and quiz  very much geared up for the French  so take a book  chat to each other and have a few drinks .  My wife lost her new iPhone one day and the staff went above and beyond to help find it  and a female staff member had handed it in for which we were very grateful . I wanted to tip one guy who’d really helped but he was insistent he needed no reward . I went looking for him that evening and forced the equivalent of £8 on him . He started praying as we left .  Couple of bits of advice would be to arrange transport before arrival . Taxi rank is a bit intimidating  and you’re sort man handled into a cab before you’ve sorted a price  and passport control is a bit strict and unwelcoming .  Final bit of advice is  we did a couple of trips to break our few days up . A morning out at the medina was a good one  although not for the faint hearted . A lot of people up close and personal  snake charmers etc  the second was a show in the evening with horses and a meal in a Bedouin tent . All of it was so bad  it was actually funny . Up to you if you’d want to go  but we wouldn’t rush back .  To summarise  hotel gave us a decent few days away  nice staff and food ok . Would be nothing much to do if it were raining  but we were very lucky whilst we were there .,Date of stay: February 2023,Trip type: Traveled as a couple,"St Osyth, United Kingdom",https://www.tripadvisor.com/Profile/ianbB298SE
Marrakech Ryads Parc & Spa,Inspire11828024300 wrote a review Mar 3,40,February trip for sun and warmth,This was my second stay in Marrakesh. It seemed like the perfect escape for some February sunshine. The highlights of this hotel were the attractive buildings and planting large pools (with one being heated even in February.)  Spacious and calming rooms friendly staff and good quality food. The negatives about the hotel for us were mainly to do with the volume of the constant music that ran from 10 am to 5 pm and could be heard everywhere on site including in your room with the windows and door shut. If you’re not a fan of constant thumping bass then this probably isn’t the hotel for you. The spa was pretty much closed except for the treatment room and the pool there was not heated and not in use. The alcohol choices were very limited but they poured a generous gandt and local wine was pretty good and could be found all day. As we were ‘off season’ the hotel was about 1/4 full leaving plenty of space in the restaurant bar and round the pool.  We’d happily return ( with earplugs) to enjoy the sunshine and trips to the souk which is 30 min on the hotel shuttle bus .,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Inspire11828024300
Marrakech Ryads Parc & Spa,windows690 wrote a review Jan 2023,30,Honest opinion,The hotel is lovely and pool .  The room was dirty reported to reception and they said they would sort they didn’t . We had dirt on floors and there was a nest on balcony of insects . Nothing was done .  The hotel is not geared up for winter guest . All areas apart from rooms had no heat . It was freezing inside at night in bar  restaurant and reception cold .  Food was good  great selection staff friendly  The older bar staff were friendly . The animation  Team were really miserable and didn’t make any effort speaking to any of the guest unless it was showtime .  The food was good and drinks were nice  The hotel is far out to the nightlife and if you want to get on bus to Marrekech . The last bus was 10.30 and it parked far out to town . Or it is 20 pounds each was for a cab . Gardens and views lovely .  Massage really nice . Wouldn’t recommend facials face hurting after 3 days,Date of stay: January 2023,Trip type: Traveled as a couple,Bristol,https://www.tripadvisor.com/Profile/windows690
Marrakech Ryads Parc & Spa,Jayne H wrote a review Jan 2023,50,Short stay,We are two couples staying for short break. Three of us took the 3 day spa treatment. It was worth every penny. The entire experience was relaxing. The girls were so welcoming smiling faces and friendly. Don't miss out!  A lovely hotel all staff very friendly and happy to help you. We'd come back again 😊,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/112jayneh
Marrakech Ryads Parc & Spa,Karen W wrote a review Jan 2023,50,Marrakesh Ryad Parc and Spa Hotel,We are 2 couples staying at the hotel and the exceptional service and fun we’ve had with Essalhi Ahmad at the Terrace bar is the best i’ve ever had. I’d stay here again because of him. Thanks Essalhi.,Date of stay: January 2023,Trip type: Traveled with friends,"Brighton, United Kingdom",https://www.tripadvisor.com/Profile/149karenw
Marrakech Ryads Parc & Spa,linda wrote a review Jan 2023,50,Great place !,Great place to enjoy as solo or friends or family with différents activity to do around.  Food was good!  The bar Team was great!  Specially Hamed very polite always with the smile and happy to help.  Animation was good !  Very nice entertainment during the evening  Will definitely come back!,Date of stay: December 2022,Trip type: Traveled with family,"London, United Kingdom",https://www.tripadvisor.com/Profile/GrandTour28140844390
Marrakech Ryads Parc & Spa,Becca L wrote a review Dec 2022,40,Fabulous,Loved staying in this hotel. This was my 3rd visit this year and couldn’t fault it. The pool is great days at the pool were made extra special by Mohammed working at the pool bar. Infact all of the bar staff made us feel like royalty during our stays. There was no request too large for the two Ahmed’s! They made us feel extra special. Simple things like remembering our orders and making us cocktails to try really make a holiday in an all inclusive. Was slightly disappointed by the interactions from some of the animation team very clearly only interested in the 20 something girls which clearly took up a lot of their attention both throughout the day and at night. However my experience was saved by the excellent service from bar restaurant and reception staff.    Overall would 100% recommend the hotel and will definitely be back.,Date of stay: November 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/beccal730
Marrakech Ryads Parc & Spa,E N wrote a review Dec 2022,50,Amazing bar staff,I recently had the pleasure of visiting this hotel and was blown away by the amazing service provided by the bartenders at the hotel's bar. In particular Ahmed was attentive and made sure that I had everything I needed. The drinks were perfectly made and the staff were so friendly and engaging that it really made my experience at the bar stand out. I would highly recommend this hotel to anyone visiting Marrakech– the service truly made my stay more enjoyable. Thank you for your excellent service!,Date of stay: November 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Yhdhdh
Marrakech Ryads Parc & Spa,Khloe M wrote a review Dec 2022,40,Fabulous,Had the best time and the staff were so friendly. Ahmed the main bar man in the Terasse bar was great went above and beyond to make sure we were enjoying our stay.  The animation team put an amazing show on and tried to involve everyone,Date of stay: August 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/khloem828
