Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Movenpick Hotel Mansour Eddahbi Marrakech,Nigel P wrote a review Yesterday,40,Nice place shame about the service,Hotel is immaculately clean and stylish. The food is excellent with a wide choice. The staff are polite & friendly but sadly the service is sluggish and unreliable.  Expect a long wait to be served and an even longer wait for your food or drink to arrive which it invariably does not. Over the 5 days I spent at the hotel I made 13 orders. 10 of the 13 missed items and all 13 had a lengthy wait (up to 20 minutes) to be served despite the staff outnumbering the guests.  The staff are a generally of a young demographic and I witnessed many of them arguing with each other and congregating in groups chatting when customers are waiting to be served. For this reason (ie the service) alone I wouldn’t return as the percentage of my break I spent waiting and chasing staff was not one I wish to repeat.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/nigelpN2909LM
Movenpick Hotel Mansour Eddahbi Marrakech,Mihani S wrote a review Mar 22,50,❤️,We had a good experience t  The food was top The service was top we have e er experienced by wiame and souhail hinda we are especially greatful for the attention of thé manger wiame the staff was very friendly  ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/mihanis
Movenpick Hotel Mansour Eddahbi Marrakech,ezzaraa wrote a review Mar 22,50,Winter in marrakech,She was really amazing and super helpful excellent hotel we recently stayed for 2 weeks and had a fabulous time we were greeted by a lovely lady wiame who gave us all the information we needed about the our stay at the hotel we would like to thank wiame for her beautiful smile😍,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Housni3
Movenpick Hotel Mansour Eddahbi Marrakech,josef wrote a review Mar 22,50,Greater,The place is so crazy and the staff is so professional and friendly especially wiame Housekeeping she was very helpful and friendly you enter as guest leve as i highly recommend tje mlace for anyone who want to enjoy his time  We had the most wonderful experience,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/anouare798
Movenpick Hotel Mansour Eddahbi Marrakech,Azza E wrote a review Mar 22,50,Laila the best customer service in Marrakesh,The best hotel in the world. We came to celebrate our anniversary and Mrs Laila at the reception was so kind and the best lady ever. She looked after us from the beginning every day anything we needed she helped us with. She went above and beyond with all services. She made our stay in the hotel the best it could be. We was very comfortable and anything we ask for she helped us with. Thank you Laila for everything we really appreciate you and everything you have done for us. We can’t wait to come back again and stay at the hotel every time we are in Marrakesh.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/163azzae
Movenpick Hotel Mansour Eddahbi Marrakech,Gillian H wrote a review Mar 20,50,Mgnificent Movenpick Hotel,Just back from a delightful week at this wonderful hotel. The staff were so friendly and kind and the facilities top class. Particularly memorable were the breakfasts outside in the lovely garden with Moroccan mint tea to set us up for the day. Enjoyed the warm spa pool and comfortable loungers and will always remember the scent of orange blossom from the trees.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/U18UMgillianh
Movenpick Hotel Mansour Eddahbi Marrakech,Olaide O wrote a review Mar 18,50,Helpful staff lahcen,We were here for 5 days. One of the staff members was very helpful attentive and lovely. His name was Lahcen he made our stay such a great time he gave us places to go to in Marrakech that we really enjoyed too.,Date of stay: March 2023,Trip type: Traveled with friends,"London, United Kingdom",https://www.tripadvisor.com/Profile/habs277
Movenpick Hotel Mansour Eddahbi Marrakech,Kele B wrote a review Mar 16,50,Excellent service,Hamza personal trainer( gainz express) he was so fantastic really took his time with me and my friend he went above and beyond really taking his time to cater to our needs and explaining every move we needed to do. It was a 10/10 experience and I highly recommend. Super professional and friendly,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/keleb2023
Movenpick Hotel Mansour Eddahbi Marrakech,mcgringo wrote a review Mar 16,20,Over rated and lots of staff not doing much. Overpriced for what I received,I choose this hotel hoping that the movenpick quality would stand up in Marrakech however this was not the case. The check in was a joke 5 staff standing around not wanting to work and it continued. The room had not been cleaned properly especially the bathroom and cigarette butt's all piled up on the balcony in this non smoking hotel. Thankfully the hotel was quiet so finding quiet space by the pool was OK but I reckon in season it wouldn't be pleasant. The outside pics imply that the hotel has lots of space which is not the case 2 pools and that's it. ALSO be warned that taxes and fees were added to my bill that they could not be justified and said they were local when I asked for clarification they couldn't answer me. Fraudulent. My booking never mentioned extra fees and all fees had been included at the time of booking and payment.,Date of stay: January 2023,Trip type: Traveled as a couple,Ireland,https://www.tripadvisor.com/Profile/mcgringo
Movenpick Hotel Mansour Eddahbi Marrakech,Fearless91058 wrote a review Mar 11,10,Horrible,The service at the pool is the worst I have ever endured in my lifetime.  The staff ignore you then say I’m busy no time and so what and try to fight you.  Calling the manager is pointless as he just laughs at you.  Also I asked for an adaptor for my room and had to chase this up so many times  Even towels  The hotel has to be the worst service ever.  I would never recommend to anyone to endure such a terrible experience.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Fearless91058
Movenpick Hotel Mansour Eddahbi Marrakech,Kinga wrote a review Mar 11,50,Fitness (Hamza&Abdul),Well organized gym. Very professional and supportive instructors always ready to help and creating good vibes. Besides professional couching and sessions vision body workout is available.  I highly recommend this gym 💪🏾✌🏾,Date of stay: March 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/910kingad
Movenpick Hotel Mansour Eddahbi Marrakech,World_explorer579 wrote a review Mar 8,20,"Located in center of town, but incompetent staff",From the check-in process the staff seemed very disorganized although they were courteous. The whole hotel looked old/aged and needs a general refurbishment from the spa facilities to the room I was staying in. I called room service several times over my 3 nights stay for different requests (refilling of shower gel request for iron to the room etc.) which either took a very long time to arrive or never arrived.    What I am most unhappy and disappointed about is that fact that the front desk firstly decided to take a MAD 21000 security deposit from my credit card on arrival without informing me of the amount prior to attempting to debit me. I had assumed they would pass a charge for the room balance for my non-refundable booking and it was only after entering my pin and when additional authentication was required that I realized and challenged this. It was only at this point that I was offered the choice of paying for any amenities on demand or keeping a hold on my card.  Following this on departure and after settling all my bills I was told that the hold on my credit card had been released but this does not appear to be the case as the hold is still reflecting on my card after over 2weeks. I have called several times requesting to speak to the reservations and reception teams but people either don't pick up the phone drop the phone after it rings for some time tell me they are busy or that they will investigate without obtaining adequate information from me to look in to the issue and contact me back. One lady asked that I call the following day and ask for Mr. Abdoulate but I have not able to get in touch with him or anyone else competent enough to help. It feels like no one wants to take responsibility for resolving it.    The only reason why Movenpick is getting 2 stars is because they provided early check-in as requested. And also because the staff at the poolside restaurant were attentive and the food specifically by the poolside was decent. I tried the free breakfast buffet only once but the quality and spread was really poor so I decided not to go back and chose to eat early lunches by the poolside which came at an additional cost.,Date of stay: February 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/World_explorer579
Movenpick Hotel Mansour Eddahbi Marrakech,LovetravelZurich wrote a review Mar 8,40,"Beautiful hotel, lovely staff",We came for a business conference here and have been very pleased with the hotel. The grounds pools lobbies and restaurants are lovely and beautifully maintained. All the staff are friendly and extremely helpful and professional. If there is a problem the crew arrives to fix it in minutes (thank you Jasine and Abdellah). The spa is super - ask for a massage from Bouchra - amazing. The only problem is that the electricity supply is a bit weak and the Wi-Fi can be annoyingly intermittent.,Date of stay: March 2023,Trip type: Traveled as a couple,"Rueschlikon, Switzerland",https://www.tripadvisor.com/Profile/LovetravelZurich
Movenpick Hotel Mansour Eddahbi Marrakech,Iva R wrote a review Mar 5,50,Buisness vacation,Hotel is amazing all the employees are very helpfull. Great music on the pool. Gym staff is very helpfull and always greets you with a smile  💪😁 Breakfast is also very good a lot of good dishes to choose from. 🤤,Date of stay: February 2023,Trip type: Traveled on business,"Belgrade, Serbia",https://www.tripadvisor.com/Profile/ivarajevic
Movenpick Hotel Mansour Eddahbi Marrakech,Medi M wrote a review Mar 5,50,Excellent hotel,Very nice place to be  good food .  Special thanks to the kids club animators  they are very kind and doing great job with the kids.  The rooms were wonderful and everything was OK.    I Will comeback more often.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/782medim
Movenpick Hotel Mansour Eddahbi Marrakech,piaq wrote a review Mar 2,50,Beautiful experience,Perfect welcome. I attended a meeting and the structure was very efficient.  In particular I wanted to point out the waitress Karima who tidied up well and quickly in all the days of the presence.  I recommend a stay dome days at this beautiful hotel,Date of stay: March 2023,Trip type: Traveled on business,"Riglione, Italy",https://www.tripadvisor.com/Profile/gighyk
Movenpick Hotel Mansour Eddahbi Marrakech,Sata J wrote a review Mar 2,50,Great experience!,Excellent Hotel! Above and beyond my expectations. Very good breakfast you will be spoiled for choice. A big shout out to Zak at the front desk for his service professionalism and always available to help with a big smile. It’s really the small things that make a great stay and Zak and the rest of the staff really deserve a big praise!,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/sataj2023
Movenpick Hotel Mansour Eddahbi Marrakech,Usha M wrote a review Feb 2023,50,Amazing and relaxing trip,Such an awesome experience ! We had booked two suites which were tastefully decorated with all modern amenities. I absolutely recommend it for families with kids. We were with 2 kids one of which is a toddler. Nice restaurants.  What a breakfast layout!  Staff is extremely friendly  helpful and attentive.  Here I would give a big shout out to some staff... Bahia and Fatima are wonderfully kind. And our chauffeur Wakeel for a day trip of Berber's life experience was outstanding. A huge thank you! Such an experience too is important for a stay...wonderful staff is an asset.,Date of stay: February 2023,,"Brussels, Belgium",https://www.tripadvisor.com/Profile/895usham
Movenpick Hotel Mansour Eddahbi Marrakech,karoleigh wrote a review Feb 2023,50,Beautiful hotel!,This is a truly beautiful facility. The lobby is very large with two reception areas elegant sitting areas and a very attractive fountain.    Our first-floor guest room was comfortable with two twin beds and a fluffy comforter and pillows. The TV had 74 channels including those for various nationalities with four in English. The toilet was on its own room separate from the shower room with sink. The lighting was appealing with it being not too bright or too dim. After staying in some hotels with poor soap bars we were pleased that they had generously sized soap bars. Since we were staying for three nights they brought extra bars of soap on request.    The location was great. It was within walking distance of numerous restaurants a mall and ATM machine. It was recommended by a reliable source that we not use the ATM machine at this hotel since it’s controlled by a third party and if you have a problem with the machine you may have to wait until you can resolve it with that third party. Go to the Banque Populaire instead which is close to the hotel. This is what we used with no issues.    Breakfast consisted of many different foods as you would expect from such a hotel with many choices of breads pastries eggs cooked upon request plain and sweetened yogurt a self-service coffee machine fruit etc. There were many places to sit down so there was never a feeling of being crowded or having difficulty getting a table.    There was a very large outdoor pool with tables on the patio for outdoor eating and drinking.    The hotel definitely had a five-star appeal with its service amenities and decor. I would definitely stay here again if I were in the area.,Date of stay: February 2023,Trip type: Traveled as a couple,North Carolina,https://www.tripadvisor.com/Profile/karoleigh
Movenpick Hotel Mansour Eddahbi Marrakech,arlyn m wrote a review Feb 2023,30,The Hotel Resort is beautiful,Stayed for 3 nights. The Hotel is wide and beautiful. The luggage porter staff is attentive to his work He helped us with our luggage and answer some of our queries .smiley and friendly. Our room is nice and clean however We noticed that there's no shampoo its empty so we have to call the reception and immediately in the afternoon a staff came to put .same the following day forgot to put a towels toilet paper and we have to call the reception again and a staff came to put immediately the toilet bowl is not flushing properly moving and noisy please have a check on it. We had a nice breakfast .however on the second day the fried eggs that the cook prepared was'nt cook properly its runny .i know its busy  its a long que .Anyway We enjoyed the swimming pool. steam  sauna and jacuzzi .,Date of stay: February 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/770arlynm
Movenpick Hotel Mansour Eddahbi Marrakech,med n wrote a review Feb 2023,50,Great staff,The hotel is a perfect stay in Marrakech great location the food is amazing and the staff are very serviable.  I want as well to send kudos to Kaoutar from the reception for the flexibility and great support from the reservation and the booking ! Well done team MVP,Date of stay: February 2023,Trip type: Traveled on business,"Casablanca, Morocco",https://www.tripadvisor.com/Profile/261medn
Movenpick Hotel Mansour Eddahbi Marrakech,Minakshi M wrote a review Feb 2023,50,Spa O de Rose,The stay with my family was amazing and I thoroughly enjoyed my massage with Najia in Spa O de Rose. She is very friendly and helpful. Najia understood completely what i wanted. I completely felt like reborn as my body was very stiff before her Massage. Thank you very much Najia and hope to see u soon again in Marrakech,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/972minakshim
Movenpick Hotel Mansour Eddahbi Marrakech,shelly b wrote a review Feb 2023,50,Amazing time at Movenpick! Beautiful hotel and excellent service,Amazing hotel and excellent customer service!!! The whole staff was amazing but two individuals really stood out; Imad was so courteous and kind as well as a gentleman that helped us every morning at breakfast (I wish I could remember his name). He remembered our order and would have our table set for us. He was a more experienced server and would coach the younger staff on providing excellent service. He was amazing!!! We stayed for over a week left to experience another “adult only” resort and was disappointed. There was no comparison so we checked out early to return back to Movenpick Marrakech. We were spoiled and would definitely rate Movenpick a 10 and recommend to all of our family and friends!!!,Date of stay: February 2023,Trip type: Traveled as a couple,"Dallas, Texas",https://www.tripadvisor.com/Profile/ShellB469
Movenpick Hotel Mansour Eddahbi Marrakech,Bouchra E wrote a review Feb 2023,40,Room service,Quick and good room service. As for the food it is not bad at all.  Thank you to Raitam Mohamed from room service. He was really kind warm and welcoming.. the way he served my food and explained each dish made me feel as if I'm sitting in a good quality restaurant. His service was really appreciated.,Date of stay: February 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/bouchrae950
Movenpick Hotel Mansour Eddahbi Marrakech,Sydney Y wrote a review Feb 2023,50,AMAZING HOTEL,This holiday was amazing we were well received and had an amazing stay this past 5 days this hotel deserves to be called a 5 star hotel we were treated like family by the staff every one of them care so much and are so polite and take pride in there work this hotel is perfect for kids it is very safe and the food here is amazing you will not be disappointed spécial mention to Bahija always so attentive at breakfast and to the concierge who organise all the amazing activités for us and was super polite and the spa staff and the kids club staff too and the staff who also welcomed us for dinner each night . Merci beaucoup we will be back ☺️👏🏾,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/0sydneyy
