Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Opera Plaza Hotel,nataliem962019 wrote a review Mar 16,40,Great location to explore Marrakesh,Stayed here for 3 nights. Really nice hotel with great location! The only disappointment we had was that we paid extra for a pool view. However on arrival we noticed there were building works being done to the pool so this wasn’t accessible and we were not informed and instead had a view of a building site :( However we did book through booking.com so not entirely hotels fault.    Pros:  Big spacey rooms  Breakfast - good variety and fresh juices are lovely  Nice spacious bathroom  Nice restaurant / sitting area outside (if the pool was done)  Mini fridge with drinks available to purchase  Room service available (we did this after a long day trip and it got to our room within 20 minutes!)    Cons:  Uncomfortable bed - mattress was very firm which I guess is down to personal preference but this really hurt my back and my sleep was awful during our stay.  Air con (room too hot- was a notice on the wall stating air con does not come on until 30th April so we spent every night waking up sweating)    Recommendations:  Check the hotels pool is open prior to booking !  Request a room away from the bowling alley (we were 3 floors up and could still just about hear it until late)  Day trip to Aït Benhaddou and Ouarzazate  The jemaa el fna market (take bag that you can close and don’t take valuable belongings if you don’t have to and HAGGLE!)  The parc Lalla hasna right by the market is a great place to sit and cool down in the shade  And taxis!!! try and agree a price before your trip otherwise they’re going to charge a fortune. We got charged 200dh for a 5 minute drive which is equivalent to £18 for us!! Shocking.  Exchange money a bit at a time as the exchange rates aren’t great and you could lose out a lot by doing it all at the airport. Lots of places in Marrakesh to exchange money- train station next door to hotel does it.  Restaurant called bagatelle was lovely! French menu but you could make out what a lot of it was (it was also about 15 min walk).    Overall be confident! As we found we were being done over for prices pretty much everywhere shops/ taxis etc. Don’t be afraid to say no or to haggle ! :),Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/nataliem962019
Opera Plaza Hotel,lara wrote a review Feb 2023,30,Convenient Location,Stayed as part of large tour group. The Hotel is around a couple of miles or 10 minute taxi drive of the main square. On a busy junction so as a pedestrian bit nerve wracking crossing the roads at Zebras when the drivers mainly ignore the green man. Just follow the locals as they seem to have the confidence to cross the roads at will. Money change and ATM available at railway station which is a 5 minute walk of hotel    Positives for the hotel were clean comfortable good choice of food for both breakfast and dinner.    Negatives - hotel check in process for a large group is just ridiculous. Took 2 hours to get room. Reception wanted all the visa information before issuing a room key. Reception could have obviated this by taking in the passports and guests collecting at a later stage. Done a number of tours and this was the worst check in process I have to deal with. In the dining room it took along time to clear tables and bar service was very slow. Checkout for a large group is also painful as every mini- bar has to be checked individually on the morning of departure    Customer Service was below par for what is supposed to be a 4 star hotel and hence the rating,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/drakus10
Opera Plaza Hotel,Smith S wrote a review Jan 2023,50,Amazing,Came in a group  Everything was top the sublime breakfasts the buffet dinner excellent  The setting beautiful and the teams are kindly and present for us  We will come Back thank you for everything  Smith,Date of stay: January 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/278smiths
Opera Plaza Hotel,Maroua A wrote a review Jan 2023,50,Amazing hotel .,That was my first time visiting Marrakech and I have chosen OPERA PLAZA HOTEL as a place to stay . Such as a stunning hotel especially the food it was phenomenal and delicious . I loved it. Thank you chef .,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/marouaa252
Opera Plaza Hotel,Mohit wrote a review Jan 2023,20,Okayish hotel with zero customer service,We had booked a room for 2 adults and 2 kids. They provided me with a double bed and a single bed. They also gave stuff for 3 people e.g. 3 towels. Initially they even refused to provide a 4th towel but after a while they agreed to give it - imagine! Though we received 4th towel 2nd night after asking them 4 times and complaining manager about this.    Staff (especially reception) is very poor. No one would ever smile or greet. I havent seen any other hotel with such indifferent staff.    Hotel is ok - not a 4 star. Breakfast was decent and some of the kitchen staff was quite nice.    Not worth the money you pay.,Date of stay: January 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Travellermohit1
Opera Plaza Hotel,Manuel G wrote a review Jan 2023,40,An outstanding accomodation outside the Medina.,A very good four star international hotel less than 10 minutes drive from the Medina with a very convenient private parking just aside the hotel.  Extremely large and well designed room facing the internal swimming pool court so not noisy at all.  Luxurious breakfast mixing international and local food several made to order.  I strongly suggest this hotel if you are looking for an international accomodation outside the Medina.,Date of stay: December 2022,,"Pavia, Italy",https://www.tripadvisor.com/Profile/V4018FFmanuelg
Opera Plaza Hotel,GF_Gavin wrote a review Jan 2023,40,Good up-market hotel,Up-market well-run hotel situated in a good area of Marrakech close to the railway station. Room was large with a comfortable bed the air-conditioning worked well nice balcony overlooking the inner courtyard gardens and pool. Thankfully all the hotel rooms seem to overlook the courtyard rather than the busy streets outside. Room was spotlessly clean. Bathroom was huge with a bath and a big walk-in shower. The room alo had a safe and a mini-bar so well-equipped.  Restaurant food was good buffet style with plenty of choice. More staff in the restaurant would have been good though as ordering drinks was a slow process.  The restaurant by the pool was good too and service always very helpful and efficient. The pool was good with staff always on hand for safety and keeping everything neat and tidy and clean.,Date of stay: November 2022,Trip type: Traveled solo,"Coggeshall, United Kingdom",https://www.tripadvisor.com/Profile/GF_Gavin
Opera Plaza Hotel,Vik K wrote a review Dec 2022,40,Recommend,Very nice property deserving of 4 stars and it’s solid hotels.com rating. Great breakfast with freshly made omelettes and fresh orange juice. Pool area and common spaces are very stylish. Rooms were clean and comfortable with good size bathrooms. Located adjacent to the train station . Sound proofing in the rooms could be improved otherwise a good stay .,Date of stay: December 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/284vikk
Opera Plaza Hotel,Ashley W wrote a review Nov 2022,50,Fine hotel in a quieter area of Marrakech.,We stayed for five nights as a party of 40 on an organised tour with breakfast and dinner. Great selection of food cooked in a local style for both breakfast and dinner. Room was large clean good facilities large bed & good quality bedding Bathroom was excellent with clean thick towels changed on request. Short transfer from the airport and located in a modern area of the city amongst high end hotels. 40 minute walk to the main square along leafy boulevards or taxi easily available. Pool was open but cold at this time of year. Friendly and efficient staff. A great hotel if you want to be in a quieter area of the city.,Date of stay: November 2022,,United Kingdom,https://www.tripadvisor.com/Profile/ashleywU3151QN
Opera Plaza Hotel,Marise D wrote a review Nov 2022,10,Do not recommend,This was one of the worst experiences at a hotel that we have had.  Our check in was delayed for 2 hours because the front desk manager claimed that the tour company had not confirmed the room. 5 of the rooms were able to check in.    Front Desk Manager was rude and dismissive and needs training in customer service. He has a surly attitude and did not bother to apologize for his obvious mistake with our booking.    Our key card got deactivated 1 day into our stay when we came back after a tiring day. The front desks manager blamed us for demagnetising the key.  The second key sitting in the slot by the door suffered the same fate. The manager did not take accountability for this.  5 out of the 6 rooms in our tour group suffered the same issue with their key cards. From other reviews I can see that this is an ongoing issue that has not been rectified.    Our shower got flooded and our tour CEO came over to take care of it for us. From other reviews I can see that this is an ongoing issue.    Food was mediocre wait staff making omelettes at breakfast were lackluster and unfriendly and carried on conversations amongst themselves as they were serving customers.  There were a few friendly wait staff whom we tipped handsomely for their customer care.  The bell captains were eager to please and helpful.    Will not recommend this hotel after the bad taste that the bad treatment by the front office manager and upkeep issues.,Date of stay: October 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/119marised
