Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Pestana CR7 Marrakech,Sadaef S wrote a review Mar 16,30,Service needs to be worked on!,We stayed at this hotel for 4 nights with our children! The hotel is located at a very beautiful avenue with restaurants and shops and beautiful view from our room. The only feedback I would give is that service needs to be improved on. We would call the front desk multiple times and they wouldn’t answer and asked multiple times for towels until they brought it up. Other than that amazing hotel with amenities.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/sadaefs
Pestana CR7 Marrakech,Shaymaa wrote a review Mar 9,50,Recommended for one night stay!,Nice location friendly staff good as a change if you are sick of staying at Riads or you want to be away from the hustle and bustle of the Medina with no need for a car to move around looking for restaurants or shops.,Date of stay: March 2023,,"Kuwait City, Kuwait",https://www.tripadvisor.com/Profile/ShaymaaSSD
Pestana CR7 Marrakech,AraujoJoao wrote a review Mar 6,50,Perfect spot in Marrakech,What a fantastic Hotel & Team! Great location at M Avenue fantastic facilities and the team is truly genuine and run the extra mille to provide you with the best experience! Rooms are large and well decorated great restaurant and the swimming pool and rooftop are just amazing. Thank you all for a truly memorable stay see you soon,Date of stay: March 2023,,"Rio de Janeiro, RJ",https://www.tripadvisor.com/Profile/AraujoJoao
Pestana CR7 Marrakech,Bruno Ribeiro wrote a review Mar 6,50,"A lifestyle, fantastic Marrakesh Experience!",Fantastic experience lifestyle dynamic great areas and very good F&B offer within the overall hotel premises. Rooms spacious great spot the rooftop! Staff and management very friendly and professional overall. Really loved this 3 days spent in this lovely city.,Date of stay: March 2023,,"Porto, Portugal",https://www.tripadvisor.com/Profile/Bmanuel45
Pestana CR7 Marrakech,Tonya L wrote a review Feb 2023,50,"Love this hotel, best cocktails",Great upscale hotel in Hivernage area with THE BEST cocktails made by mixologist Omar. Staff is attentive and helpful rooms are modern extremely clean and well-appointed. Loved the creation of a new speciality drink which we got to name… “Zest of Marrakech”,Date of stay: February 2023,,"Vancouver, Washington",https://www.tripadvisor.com/Profile/tonyal971
Pestana CR7 Marrakech,Zakir P wrote a review Feb 2023,50,My second stay memorable and stellar,This was my second time in this hotel and all I experienced was an upgraded service to my already stellar visit last time a few months back. I could not praise the staff enough! Maryama and Khaleel at the check in were constantly looking for opportunities to provide better service they upgraded my room 3 times! Likewise the staff in the breakfast including Sana Fatima and Yassine were among the best of the best! Be careful they will make you feel home immediately and feed you too much :) I mostly skipped my lunch! The hotel quality and location are top notch I love the new neighborhood tucked away from hustle bustle but still accessible and upscale by all measures. Marrakech is always a fun place to visit people are warm and welcoming weather was beautiful all around.…,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/zakirp19
Pestana CR7 Marrakech,SMS wrote a review Feb 2023,50,Memorable stay at Pestana CR7,Great location amenities and excellent service. Each and every staff member was polite pleasant and ready to help and answer questions. Had dinner at their Portuguese restaurant and food was delicious as well as the buffet breakfast with a range of variety to choose from. Will certainly stay here again.,Date of stay: February 2023,,"Toronto, Canada",https://www.tripadvisor.com/Profile/58maryams
Pestana CR7 Marrakech,Kreman B wrote a review Jan 2023,50,My extraordinary stay in Marrakesh,Our experience was excellent everything was great the location service and staff lovely and friendly of course I will be back again and again Special thanks for for Maryam and hamza Big thanks for everyone Good bless you Wish more success,Date of stay: January 2023,,Riyadh,https://www.tripadvisor.com/Profile/kremanb
Pestana CR7 Marrakech,aaron55552021 wrote a review Jan 2023,50,Amazing hotel close to the Medina in a high end area. Great value for your money.,Pestana is a great hotel in a lovely area. It was my first time In Morroco and I was I was looking for a hotel that is new modern and in a nice area. Pestana is not in the Medina which is an older area its located on m avenue which is a recently built pedestrian mall full of high end retail and restaurants.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/aaron55552021
Pestana CR7 Marrakech,NadeemNazar wrote a review Jan 2023,50,Fantastic hotel and great location,Amazing experience from check in to check out. I was super impressed with the service and location offered by the Pestana CR7. This was a great stay made memorable by the exemplary customer service and hospitality shown by Maryama. Her attention to all of my families requirements went far above and beyond what I have experienced in other top hotels in Marrakech. The restaurant staff were great especially Sanna Amine and Fatima Zahra. They were extremely polite and courteous and made the stay very pleasant for us.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/NadeemNazar
