Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
"Radisson Blu Hotel, Marrakech Carre Eden",Jane M wrote a review Mar 17,40,Nice location,Big busy hotel. Really busy. Great location that is walking distance to many shops/attractions in the new part of Marrakesh. Adjacent to a shopping mall. There is a starbucks next door also a McDonald's. If you want to feel that you are in any big city then stay here. Not a Morrocan experience. Staff was friendly and helpful multilingual. Room was nice pool area is very nice and the pool itself was very nice. Food was good. Breakfast buffet was huge and very comprehensive for all types of food. A bit hectic at breakfast at peak times but the staff keeps food trays filled and tables cleared.,Date of stay: March 2023,Trip type: Traveled with friends,"Chicago, Illinois",https://www.tripadvisor.com/Profile/S8699CKjanem
"Radisson Blu Hotel, Marrakech Carre Eden",super2n wrote a review Apr 2022,50,Returning,Returned to the Radisson after pandemic this quality hotel still has its high standards with all the staff being friendly and helpful thanks to AOSSAM at the reception also the pool attendant HICHAM for his friendly manner and always having time for you even though at times he was run off his feet and finally MOHAMED in the dining room for his complete attentiveness and making meal times more enjoyable a quiet but professional employe,Date of stay: April 2022,,"Cheshire, United Kingdom",https://www.tripadvisor.com/Profile/super2n
"Radisson Blu Hotel, Marrakech Carre Eden",Raphipf wrote a review Mar 2,50,Good base for Marrakesh,Large well-appointed bedroom and bathroom with all necessary amenities including luxury bath products. Very comfortable beds. Bathtub. Well situated close to stores and tourist sites. We enjoyed our stay. Bicee view over heated swimming pool.,Date of stay: March 2023,Trip type: Traveled as a couple,"Jerusalem, Israel",https://www.tripadvisor.com/Profile/Raphipf
"Radisson Blu Hotel, Marrakech Carre Eden",Amanda wrote a review Jan 2023,50,tourism,In fact it was a very nice experience The hotel is located in the city center and close to all amenities all the staff are smiling and helpful I would also like to thank Mohamed the graphic designer for helping us and for the chocolate Thanks Radisson Blu,Date of stay: December 2022,,"London, United Kingdom",https://www.tripadvisor.com/Profile/amandataylor8
"Radisson Blu Hotel, Marrakech Carre Eden",Amandasjallsaints wrote a review Jan 2023,30,The Pool Is Covered Over and Not in Use,We selected this hotel specifically for its heated pool. We arrived at the hotel to find the very small reception totally overcrowded with a large group. After check in we had an incredibly long walk to our OK room. We then found a message on the room TV saying that the pool had a leak and was out of use. We double checked and there was no information on the hotel web site or any other booking sites saying the pool was closed. The hotel does offer an alternative visit to another hotel with a pool but you have to give notice etc etc and it is at least a 10 minute taxi ride away. The breakfast is in the most dimly lit restaurant I have been in. It was virtually impossible to see the food. We had booked for several nights but checked out after 1. The reason for the three stars is that the reception staff were incredibly nice and apologetic about the pool otherwise the review would have had less stars,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Amandasjallsaints
"Radisson Blu Hotel, Marrakech Carre Eden",m_morgan02 wrote a review Jan 2023,40,Lovely short break,We were warmly welcomed from the moment we arrived. The reception staff are all fabulous very polite and friendly and very helpful. We had a slight issue with payment of our stay (we had prepaid as part of a package booking but for some reason it wasn't showing on the reservation. We had to wait jntil the next morning to get this confirmed but even then on check out we had the same issue and needed to wait to get it resolved). The staff were very helpful and polite throughout this.  The location is great for exploring Marrakech not far from the hotel and walking distance to many good attractions.  The room was perfect for our needs the bathroom being impressively huge! We were on the first floor and did find that in the evenings you could hear a lot of noise from the downstairs bar and outside area - great if you want to enjoy from a far on your balcony but not so good if you want a quiet night in or an early night.  Breakfast was plentiful and varied and we ordered food in rhe evening too which was really tasty!  All in all a great trip and thank you to Aissam and Sara on reception for all their help.,Date of stay: November 2022,Trip type: Traveled with family,"Greater London, United Kingdom",https://www.tripadvisor.com/Profile/m_morgan02
"Radisson Blu Hotel, Marrakech Carre Eden",Erkan B wrote a review Jan 2023,40,Very modern hotel with great service with a smile,The hotel is centrally located and within easy reach of most landmarks. The rooms are spacious and beds very comfortable and the balcony a real plus. All staff greet with a smile and are always on hand to assist and help. The breakfast buffet is plentiful with lots of choice hot and cold. I used the spa for a massage and would recommend it if you are looking for a bit of pampering. An added bonus to the hotel is that is has a small shopping mall next to it.,Date of stay: January 2023,,"London, United Kingdom",https://www.tripadvisor.com/Profile/ErkanB_12
"Radisson Blu Hotel, Marrakech Carre Eden",zg64 wrote a review Jan 2023,50,Good spot in the city,Fantastic location within walking distance if restaurants and shopping. Excellent breakfast buffet with local as well as international selections. Nice sized gym and spa although I didn’t have time to use them. Had dinner there on New Years’ eve. Menu was limited but meals were tasty. Lively bar area with dj the 3 nights we stayed between Christmas and New Years’.,Date of stay: January 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/zg64
"Radisson Blu Hotel, Marrakech Carre Eden",awharton wrote a review Dec 2022,10,Worst Hotel We Have Ever Been To,Not sure where to start. This is not anywhere close to a 5 star hotel. Maybe 2 stars at best. Avoid at all costs if you are looking for a luxury (or even clean) experience. We were due to stay six nights but could only tolerate three nights and checked out early.    Just a few areas to point out:    1. Very unhelpful at check in - rude and aggressive  2. Filthy dirty hotel overall - stains all over the carpets chairs dirt and dust - just very unhygienic  3. Bed is like sleeping on a rock  4. Kids club is dirty and everything is broken  5. Breakfast walking into a war zone    Stay anywhere but here in Marrakech.,Date of stay: December 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Daydream299888
"Radisson Blu Hotel, Marrakech Carre Eden",Robert M wrote a review Dec 2022,50,5 Star Stay,The hotel is great for business and for pleasure. After a long day of working or touring it’s nice to be greeted by friendly management especially the Pool Manager Hicham. I highly recommend this hotel.,Date of stay: October 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/F3492AErobertm
