Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Red Hotel Marrakech,Margery P wrote a review Mar 22,40,First taste of Morocco.,Well situated Hotel in centre of Marrakesh however it is opposite a busy junction train station so very noisy despite double glazing. Traffic noise and surrounded by lots of building works.  Sadly pool out of commission whilst we were there.  Staff friendly and helpful.  Buffet breakfast for dinner also very good and best for quality and variety.compliments to kitchen staff who supporting me as Coeliac. Thank you all.  If given a room at front ask for middle or quieter room.,Date of stay: March 2023,Trip type: Traveled with friends,"Southampton, United Kingdom",https://www.tripadvisor.com/Profile/margeryp2014
Red Hotel Marrakech,pascalkato wrote a review Jan 2023,10,Hell of Experience,we stayed in red hotel in December 2022. Breakfast was horrible hotel staff dont speak English  they mop floor when hotel is busy.  Bed is not comfortable enough and rooms are quite dusty.Lift is very small can only take three pax,Date of stay: December 2022,,"London, United Kingdom",https://www.tripadvisor.com/Profile/pascalkato
Red Hotel Marrakech,Mapfay wrote a review Jan 2023,40,New year short stay 22/23,Background: stayed 3 nights over new year 22/23 with the family. Hotel is twinned with The Opera Plaza Hotel but we stayed in the Red Hotel Section.    The Good: friendly staff clean rooms good service and housekeeping wonderful buffet breakfast with scrambled eggs Morocco’s style pancakes and bread made on demand pool area is fabulous and you could easily spend hours there. Location was good with most tourist attractions a 5 to 10 min cab ride away. The venue has a bowling alley and a restaurant with international football shown every day it is not rowdy and is a nice atmosphere to watch a match. Close to Menara Mall and some western fast food places.    The not so good: the red hotel is a bit dated carpets in common areas are a bit frayed and the room stayed in was very basic with uncomfortable pillows and facing the street was noisy.    Overall: this is an upper 3 star / lower 4 star hotel. I would rate 7 out of 10. I think most people would be happy with a short stay at this hotel for a reasonable price. I have read some of the other reviews on trip advisor which can put you off but our experience was fine. I also note the comment about a new year event on another review we were at the hotel at the same time (the red hotel part) but not invited to anything.,Date of stay: December 2022,Trip type: Traveled with family,"Devon, United Kingdom",https://www.tripadvisor.com/Profile/Mapfay
Red Hotel Marrakech,fionay253 wrote a review Dec 2022,30,New Years Eve 2022/2023,So sad to send this review as everything so far in our stay has been wonderful. We’ve been here 3 nights so far and have really enjoyed our stay. BUT on our first night I was asked to go to reception? I was then asked if we had any plans for New Years Eve? I said no we didn’t at that time The hotel manager asked if we would like to join their celebration which I thought was a wonderful invite So we didn’t plan any further they said they would let us know final arrangements on Friday I asked on Friday and today and was told they were still planning? To cut a long story short we were never informed of the plans and had obviously missed any opportunity to book anywhere else so at 8pm we turned up only to be treated like second class citizens. I said we would come back at 9pm and was told that would be good. So at 9pm we did and if was worse we were ignored so we left then a “head waiter” ran after us saying to come back we did as he knew my name and room number then we suffered the humiliation of him and the short dark haired woman who appeared to be in charge arguing over letting us in!!! So we left for a second time to return to our room NOT the New Years Eve we thought we’d experience in Marrakesh 😢. So I guess my message to anyone staying here for New Year is if you are staying the the sister hotel Opera Plaza you are Royalty if however you are staying in the Red Hotel you really are second class citizens and any invite should be avoided. We’ve only got 5 more days here let’s see if anyone actually apologises for ruining our New Years Eve??,Date of stay: December 2022,Trip type: Traveled as a couple,"Ulverston, United Kingdom",https://www.tripadvisor.com/Profile/fionay253
Red Hotel Marrakech,1983TravelLover wrote a review Nov 2022,50,"Nice hotel, well located!",Spotlessly clean hotel about 5 minutes from the airport and 10 minutes from the Medina. Check-in is at the sister hotel Opera Plaza. At times it was a bit slow to get things such as an iron however since the pandemic I believe the hospitality industry has struggled to get staff worldwide so put it down to them being stretched. Breakfast is nice and has a great continental selection of breads pastries cheese salad and juices. I'd recommend going for breakfast by 8.45 if you can to avoid queuing for anything. Would definitely stay here again.,Date of stay: November 2022,Trip type: Traveled as a couple,"Glasgow, United Kingdom",https://www.tripadvisor.com/Profile/1983TravelLover
Red Hotel Marrakech,Aoibhe wrote a review Oct 2022,40,Family trip To red hotel,At check in we were very disappointed as staff weren’t really helpful until Jaqard came along and sorted everything out for us as we were having trouble with our rooms which seems to be a common problem in this hotel Jaqard  couldn’t have been more friendly and helpful and was even kind enough to show us some trips and gave us a map and showed us where everything was  so we wouldn’t get lost. His colleague also helped us print our boarding passes to get home which was very nice,Date of stay: October 2022,Trip type: Traveled with family,Ireland,https://www.tripadvisor.com/Profile/Departure20884570436
Red Hotel Marrakech,Iffaht F wrote a review Oct 2022,10,Awful experience felt disrespected!!!,AVOID THIS HOTEL!!  Me and my husband stayed at this hotel for 6 days. It was all ok when we checked in but leaving the hotel when we was checking out the receptionist started to be rude to my husband and I. Saying we did not clear the hotel charges when we did two days before and had a receipt to prove we had paid it all. He was shouting at me being abusive verbally pointing fingers at us saying we’re Pakistani. He was a total arrogant and rude guy who had no respect. Then made it clear we couldn’t leave the hotel unless we paid 66 Dihrams and called two security men on us. When asked what that charge was for he didn’t know which was very unusual for him to not know. The excuse he said was his system was down when I asked to check CCTV he said that was out of order how convenient. He was about to attack me from his side of the desk as he was coming in my face. This is a total fraud hotel dodgy receptionists working there who can’t speak English or even understand it. They only want to make money out of you it’s a standard hotel not even as clean as it should be. I was in so much distress as I was pregnant and very upset I am attaching a video please watch it don’t stay at this hotel you will only get disrespected by them they don’t care how they treat customers. They have no manners or any customer service skills with how to talk. This hotel should close down due to lack of knowledge have no clue how to value there customers. We pay to stay there and in return want respect from the hotel staff which we didn’t. I hope this receptionist named MONSIF gets sacked he doesn’t deserve to be working there illiterate man who can’t talk to women with respect. I will keep making this viral the way I got treated by him and the hotel so no one gets treated how we did. Please watch the video he ruined my first time experience in Morocco thanks to him I won’t be going back there I’m scared might get treated like that else where too. I wouldn’t even give this hotel a rating because of MONSIF!! Didn’t even get an apology from him at the end he said we don’t need to pay anything and we can go all that rubbish don’t understand what the need was for that…,Date of stay: October 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/iffahtf2022
Red Hotel Marrakech,Andy F wrote a review Oct 2022,40,An Excellent Base,Stayed here three separate times. Room & bathroom OK if a little tired but clean & well appointed. WiFi in all areas. Large well-managed pool. Excellent snackbar at poolside and main restaurant. Food was good quality & plenty of choice on the buffet. Highly recommended.,Date of stay: September 2022,,,https://www.tripadvisor.com/Profile/andyfaw
Red Hotel Marrakech,J G wrote a review Sep 2022,30,Better options available,Bit strange this hotel as the Red hotel is now part of the opera plaza hotel whose grounds/common areas are lovely nice food and good breakfast however the rooms are still in the Red hotel which are not ideal. Hard beds and very dated rooms I am sure that there are better options for places to stay in Marrakesh.,Date of stay: September 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/F2554PQjg
Red Hotel Marrakech,reevasd wrote a review Aug 2022,10,DONT USE THEY WILL LEAVE YOU STRANDED LIKE ME AND MY DISABLED WIFE!,The worst place I paid my money and they left us stranded no rooms they said when we arrived my wife is disabled and we had no were to go manager was the worst no helpwould not look at why/what had happened just wanted us out we had booked red hotel.,Date of stay: August 2022,Trip type: Traveled as a couple,"Shrewsbury, United Kingdom",https://www.tripadvisor.com/Profile/reevasd
