Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Andalla,Logan B wrote a review Mar 22,50,Great place close to the square,Here's what I loved about it - It was right outside of the main square so it was an easy access point while shopping and doing other things near there. The staff was really courteous and nice and we really enjoyed them. My wife was looking for something that we couldn't seem to find at any shops and a staff member volunteered to run to a shop to pick it up for us. This was the kind of service we got there.    The breakfast was not the best we had but was decent.    The only negatives were that at night it could get a little noisy because of how close it was to the square. But we wore earplugs and were able to sleep just fine.    Overall a great experience and we would stay there again.,Date of stay: March 2023,Trip type: Traveled as a couple,"Herriman, Utah",https://www.tripadvisor.com/Profile/loganb582
Riad Andalla,Mike K wrote a review Oct 2021,50,Great to be back!,"We were so happy to be back in Marrakech for our third stay at Riad Andalla. Slightly apprehensive partly due to Covid and partly due to the change of ownership of the Riad. We need not have worried - things are starting to thrive again in Marrakech and Riad Andalla continues to shine under Valerie's new management.    Our welcome was warm and friendly and nothing was too much trouble. Karim deserves special mention for his fantastic English and his attention to detail. His smile is infectious and he really puts you at ease. He tells you ""this is your home now"" and that's exactly how we were made to feel.    All in all our trip was exactly as we have come to expect from Riad Andalla - pretty much perfect.",Date of stay: October 2021,,"Warrington, United Kingdom",https://www.tripadvisor.com/Profile/MikeK105
Riad Andalla,Judith V wrote a review Feb 2023,50,Caring,Getting the help I needed…  Okay I can only agree with all the others:nice clean perfect location and superfriendly staff. Besides that: What made the difference for me is that I needed medication unexpectedly and while my husband could’nt find it or get it without prescription the owner (so sorry the name didn’t stick as I was pretty miserable) reassured me and called her own doctor who came to see me in the Riad (I was so happy I didn’t have to go out) and I got what I needed. Those are the things that make a huge difference. So grateful and now 2 days later back home healthy and well.,Date of stay: February 2023,Trip type: Traveled as a couple,"Amsterdam, The Netherlands",https://www.tripadvisor.com/Profile/238judithv
Riad Andalla,Gladys J wrote a review Nov 2022,50,Best Staff - Excellent Riad!!,This Riad is extremely nice and clean. The staff are amazing too! Lots of little sitting areas to sip tea in between sightseeing. Everything in the medina is with walking distance including the large square and easy to find your way around. This Riad has a great rooftop restaurant serving the best breakfast and dinners we had on our two week trip around Morocco. Best part is the friendly staff who really try hard to make your stay pleasant and give good advice on what to do and not do. To my husband and i this Riad was the perfect place for what we wanted to do in Marrakech. Gladys from Canada,Date of stay: November 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/gladysj312
Riad Andalla,Gilded Cage Bou... s wrote a review Nov 2022,50,Lovely helpful riad,Lovely little riad in the main square steps from the action. Spent one night here and loved that the location was so close to everything. Tiny Little room with everything you’d need. Clean comfy and cozy and great service. Really nothing to complain about at all! Lots of steps to climb if you have mobility issues but common with any riad. Thank you!,Date of stay: November 2022,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/gildedcageboutiquems
Riad Andalla,Rachellally wrote a review Oct 2022,50,Wow!! What a team.,This trip made me realise how I love accommodation based on service. The whole Andalla team are incredible they go above and beyond at every moment. Beautiful morning smiles and welcomes. Booking anything we need and recommending the best with no request being too much. In 5days it felt like we were leaving a family!    The Riad is within a 2min walk to the square but it is peaceful. Fantastic restaurants very close by (we ate in every recommendation). The first night we had an evening meal on the Riad rooftop which was delicious and a must. Would recommend to all.,Date of stay: October 2022,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/Rachellal2
Riad Andalla,Ricky O wrote a review Sep 2022,50,Riad Andalla is EXCELLENT!,Riad Andalla has an excellent location - just steps from Jmaa El Fnaa where everything happens - shopping dining entertainment etc. I stayed for 9 nights and felt that I could have stayed for another 9 nights. The room I stayed in (Salma) was wonderful and everything worked - AC Toilets comfortable bed clean safe. Most notable was how I was treated - like a valuable friend. Thanks to Pascal Valerie Jordi Laura and Karim. I felt like an honored guest all the time. It was pure joy to have known them. I will stay at Riad Andalla again and again. Merci Beaucoup famille Blanchard!,Date of stay: August 2022,,,https://www.tripadvisor.com/Profile/rickyo636
Riad Andalla,ems1235792234 wrote a review Aug 2022,50,perfect service great location good rooms wonderful place,an excellent place to stay in Marrakesh. It is located less then two minutes from the main square of the old city. You can actually see it from the dining area on the top of the Riad. the rooms are clean air-condition - perfect. The building is beautiful from the inside. But the most important is the service Karim the owner answered all our requests always with a smile all the team was very friendly and professional .They prepared special breakfast according to our requests and gave us information that we needed.  IT WAS THE BEST PLACE I STAYED IN MAROCCO,Date of stay: August 2022,Trip type: Traveled on business,"Tel Aviv District, Israel",https://www.tripadvisor.com/Profile/ems1235792234
Riad Andalla,desy wrote a review Jul 2022,50,Amazing,We went in this typical Riad very close to the principal Square in April. The welcome was fabulous thanks to the all staff. I suggest to every guest to try the dinner was amazing.  Sit down on the terrace and enjoy the view on the Square Djema El Fna sipping a cup of tea or rosé wine.  I hope to come back soon.,Date of stay: April 2022,Trip type: Traveled with friends,"Majorca, Spain",https://www.tripadvisor.com/Profile/Sightsee60765356140
Riad Andalla,Nadege J wrote a review Jul 2022,50,Vacations,My stay at the Riad Andalla was an out of this world experience. The hospitality is unique. The entire staff was absolutely amazing. The welcome we received from the onset set the stage of the treatment. The service was genuine. I would go back anytime if my finances would let me. A must place to stay! Try their spa! !!! You can thank me later!,Date of stay: July 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/936nadegej
