Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Dar Anika,Shabnam D wrote a review Mar 21,40,Location location service,The Riad was delightful! A mixture of the old and new. The restaurant was beautiful with preparation to keep us warm during our meals! Food was great! Service and people were amazing. but at 2am someone was knocking on the door continuously. Seems there was no coverage overnight. Also the guests in the room next to us were unwell and coughed all night. Overall the experience was pretty good.,Date of stay: February 2023,Trip type: Traveled as a couple,"Fullerton, California",https://www.tripadvisor.com/Profile/ShabnamD
Riad Dar Anika,Danielle M wrote a review Aug 2022,50,Loved this place,Only had one night here but wish we had more. Check in was relaxing with tea a stunning beautiful Riad … small entrance to the room but very comfortable bed. Breakfast on the terrace was good and the staff were all incredibly helpful and kind. Reception recommend dinner at Le Tanjia in the square and it was absolutely perfect! Great ambiance great food… easy to walk to the main square.,Date of stay: August 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/drdaniellemarr
Riad Dar Anika,I love cake wrote a review Mar 10,50,The best service in such a great setting,We could not review this place any higher!! Fantastic superb!! We have never experienced such a team that are all involved in a common goal of great service throughout from the wonderful breakfast team the Reception Staff and the Cleaning Team.    Massive thank you for making my wife’s 40th birthday so special…    Breakfast was lovely such an array of lovely breads pancakes cakes yoghurt jams omelette fruits and Moroccan beans/veg.    The service of the reception staff was superb booking taxis welcoming sorting champagne for the room and providing the sandwich pack for the journey home.,Date of stay: March 2023,Trip type: Traveled as a couple,"Rawtenstall, United Kingdom",https://www.tripadvisor.com/Profile/Roam673186
Riad Dar Anika,Jonathan H wrote a review Mar 7,50,Lovely peaceful Riad,Amazing Riad with very very very friendly and helpful staff. We needed a Dr on our second day and the staff were able to call one for us who came to the Riad with 45 minutes and prescribed medication. Save the hassle of going to a hospital. Breakfast was lovely every morning fresh food and plenty of it. The Riad is so peaceful after a busy day in the Medina it feels so relaxing just being there.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/jonathanhT9304XD
Riad Dar Anika,Sydney R wrote a review Feb 2023,50,"Perfect spot, friendly staff!",This Riad is in a perfect location. Just a short walk to the main marketplace area and right next to the street so it’s easy to get taxis if you need to. It’s also very easy to find. The hotel staff was probably the nicest I’ve ever had so incredibly friendly and made sure our stay was perfect. It has a beautiful rooftop area to lounge at and a jacuzzi if you need to cool off. The only negative thing I would say about this Riad is that the food was ok. The appetizers were excellent but the actual meal was just alright. Other than that 10/10!,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/sydremm
Riad Dar Anika,Emily T wrote a review Feb 2023,50,Absolutely Perfect,This riad was absolutely fantastic! A little oasis right in the middle of the busy/loud streets. From the moment we entered the facility we were treated with kindness and hospitality. The rooms themselves are nice but are not the selling feature of this hotel- it is the staff. They are excellent. Very attentive thoughtful polite and caring. 10/10 would stay here again and would recommend to friends traveling to Marrakech.,Date of stay: February 2023,,"Destin, Florida",https://www.tripadvisor.com/Profile/V718DLemilym
Riad Dar Anika,claudia h wrote a review Feb 2023,50,Celebrating 70th birthday and 50 years as a couple,"The whole ""family"" of staff could not have been kinder or more helpful and attentive. Wonderful food and a great location. A guided hike around Imlil in the Atlas mountains with a birthday lunch served on a rooftop pudding accompanied by snowfall. The next day skiing at Oukaimeden ascending the slopes at 10000ft+ mounted on Bubble the Mule. Finished the day on quads in the desert.  Thank you for helping to make some wonderful memories for us which will ease us through the coming lambing season and beyond. xx",Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/claudiahG7696JX
Riad Dar Anika,Ashley S wrote a review Feb 2023,50,Perfect location with Attentive Staff!,What an incredible place! The location is perfect - just outside the gate to the medina so the cars can pull directly up to the front door but 10 minute walk to Jemaa El Fnaa market. I visited in February so it was quite chilly but they kept heaters throughout the riad and I had a space heater (and nightly hot water bottles) for my room. Everyone was kind and helpful - In 30 years of travel I've never experienced such attentive and impeccable service! While I didn't try it out they have a heated pool and outside on the terrace is a hot tub. They are open for dinner and each meal I had was excellent. Breakfast was a variety of breads a type of porridge and your choice of omelet with fresh squeezed orange juice and choice of coffee/tea/mint tea. One thing to keep in mind is the walls are thin so if you have loud guests/young children staying you will be able to hear them. The other guests I encountered were all friendly and respectful. As a solo traveler I felt very safe. Highly recommend!,Date of stay: February 2023,Trip type: Traveled solo,"Denver, Colorado",https://www.tripadvisor.com/Profile/662AshleyS662
Riad Dar Anika,Jennifer Q wrote a review Feb 2023,50,Wonderful employees!,The people who work here are lovely hard working and will assist you in anything you need. They speak many languages. They made all the difference in how much we enjoyed our visit.  The Riad is beautiful with many authentic local touches. The location is ideal for getting easily to many sites. There is a beautiful sitting room with a fireplace where the fire is maintained all day. The roof deck is fun with a view of the entire city.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/jenniferqQ8057UR
Riad Dar Anika,Hannah K wrote a review Feb 2023,50,"Amazing staff, beautiful hotel",Lovely Riad on the outskirts of the medina close to all of the attractions of Marrakesh. The staff were amazingly welcoming friendly and helpful. The room was comfortable and the communal areas in the hotel were very nice. Breakfast and dinner were both delicious. Highly recommend!,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/hannahkD4885DI
