Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Houdou,Gnawin wrote a review Yesterday,50,Peaceful Riad,Peaceful riad within walking distance of all the main sites of Marrakech. All of the staff were very friendly and knowledgeable giving us useful tips to help us get the most out of our stay.  We had one evening meal at the riad which was very nice. The breakfasts on the roof terrace each morning were a great start to the day. They even accommodated a slightly earlier breakfast on our check out day.  The riad is very quiet and peaceful with a relaxing atmosphere. There is a pool on the rooftop which is great. Look out for the two tortoises!  Would recommend this hotel for any stay in Marrakech where you want to explore the historic medina.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Gnawin
Riad Houdou,Maya Pleysier wrote a review Feb 2023,50,"Lovely stay, would recommend 100%",The riad was beautiful but it was the lovely staff who made our stay so pleasant. They were very kind and were open to helping us with every need. Riad Houdou was the perfect place to provide peace and quiet right in the middle of the lively medina.,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/579mayap
Riad Houdou,hanmod wrote a review Mar 19,50,Wonderful stay,Central location in the Medina many sights were easy to reach and the hotel was still very quiet and you could sleep well very friendly staff who gave tips and always responded to our questions and requests delicious breakfast on the roof terrace,Date of stay: March 2023,Trip type: Traveled with friends,"Hamburg, Germany",https://www.tripadvisor.com/Profile/hanmod
Riad Houdou,Shona wrote a review Mar 18,50,An Oasis of Calm,This is a lovely Riad in an excellent location if you want to embrace the old medina.  We were warmly greeted by Didier one of the owners  given mint tea & Moroccan treats while we filled in the necessary paperwork.  We stayed in the junior suite  which was a little smaller than expected but perfectly comfortable with a lovely private terrace.  The Riad really was an oasis of calm after the busyness and noise of the medina. We loved the intimate dining room and enjoyed four delicious evening meals of traditional Moroccan cuisine . Breakfast was also a delight in the morning on the roof terrace.  You couldn’t hope to meet two friendlier more helpful and good humoured hosts . This on it’s own would be enough to recommend this Riad. Thank you so much Eric and Didier and the rest of the lovely supporting staff.,Date of stay: March 2023,Trip type: Traveled as a couple,"Greater London, United Kingdom",https://www.tripadvisor.com/Profile/shonam555
Riad Houdou,thatchangthang wrote a review Mar 11,40,Good for a Couples Trip,I stayed at the Riad Houdou in the Marrakesh medina for three nights on a friend trip.    I think the riad is a great place if you’re having a romantic trip. The hotel is set up as a perfect setting for this kind of trip. If you’re not on that kind of a trip it’s a little too much. Ultimately I booked the Riad Houdou because at the time it was the second best hotel on TripAdvisor when I sorted results by traveler rating.    They staff are very communicative and I received some good information on how to get to the riad from the owners and managers of the property. But really if you have data and can access google maps it’s not that difficult to find.    I was greeted by the owner who served us some nice treats and mint tea. We filled out a lot of paperwork and then we were handed over to the front desk manager who then walked us through another set of information. This desk manager helped us download an app on our smartphones that he said would be easier for us to navigate the warren of throughways in the Marrakesh medina.    I think the welcome and info session was a little bit too heavy of a touch. My friend kept looking at me while we were having the conversations with the owner and desk manager because he was eager to drop our stuff off and head out.    We booked one of two of the largest suites on the property. They were more like family rooms with two small child size beds and one large queen size bed in an open plan. It was a little awkward going into the room and seeing rose petals everywhere like they just assumed that my friend and I were there for a romantic vacation (ergo the title) but maybe they do this for everyone.    The property seemed like it was restored in a very loving way that honored Moroccan culture. Everything worked just fine and despite the apparent age of the riad it was up to date with modern amenities like wi-fi and air conditioning. There was even attention paid to the environment with things like filtered water available to all guests instead of providing bottled water. The area it was in was a little rough lots of stray cats and weird smells in the alley leading up to the door. The entry is by door bell as well and you have to make special provisions if it's late at night because the attendant may not be aware that someone is trying to gain access to the riad.    The breakfast that is included is very good. It is a served breakfast with scratch made yogurt (some of the most delicious yogurt I’ve ever had) and eggs made a la minute.    My friend said that he liked the hotel but if he were to visit Marrakesh again the novelty of staying at a riad is just not enough to warrant a repeat visit. The convenience of staying in the new city convinced him that he would rather stay there.,Date of stay: March 2023,Trip type: Traveled with friends,"Chicago, Illinois",https://www.tripadvisor.com/Profile/thatchangthang
Riad Houdou,John M wrote a review Mar 7,50,Wonderful stay with excellent hosts and staff,The location is in the midst of the Medina but provided a quite oasis during our stay. The extremely pleasant owners are always around to provide information recommendations and interesting conversation. The place and our room were as advertised in the photos stylishly decorated and clean. The rooftop was wonderful although a bit cold for us to enjoy fully. We were able to have breakfast on the rooftop 3 mornings which was very nice. The staff was amazing always checking on us and the service at breakfast and 3 dinners we enjoyed was perfect! The breakfast was perfect and the variety and quality of meals at dinner provided a good sense of local cuisine without having to leave the riad.,Date of stay: February 2023,Trip type: Traveled as a couple,"Houston, Texas",https://www.tripadvisor.com/Profile/johnmP2677UA
Riad Houdou,Allyb590 wrote a review Mar 4,50,Fabulous!,We have stayed in many places all over the world but this has got to be one of the friendliest places we have ever stayed. All of the staff from the owner Didier to Abdel Hassan and all of the wonderful ladies who cooked and served the food were polite friendly and courteous nothing being too much trouble for them. The Riad is a beautiful old building tucked down a little alleyway a few minutes walk from the madness that is Marrakech medina. The food was lovely and the place was spotless. If we ever return to Marrakech this will be the place we stay!,Date of stay: February 2023,,North Lincolnshire,https://www.tripadvisor.com/Profile/Allyb590
Riad Houdou,Shey wrote a review Feb 2023,50,Great hospitality,Everyone was so welcoming! We were served tea and pastries upon our arrival and our hosts provided us with a detailed explanation of how to navigate the medina including tips on how to avoid being scammed. They accommodated our vegetarian diet and the meals were big and delicious. Loved the two tortoises wandering around the property! The rooms were clean quiet and nicely decorated.,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/shey008
Riad Houdou,Mike M wrote a review Feb 2023,40,Great Location,Arranged for pick-up from train station which was reasonably priced and very convenient.  Introduction at the Riad was nice with lot's of information given.  Excellent location within the Medina.  Staff were all very helpful and pleasant.,Date of stay: December 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Mike_Mull_936
Riad Houdou,nickman2015 wrote a review Feb 2023,50,Wonderful stay in this oasis of calm,Amazing location right in the heart of the Medina. Once you go down the alley to the Riad you enter a calm oasis. Staff were fantastic and couldn’t do enough for us. Yes the bed was too hard for me but that’s expected in most places we go to abroad and it didn’t detract from the trip at all. Breakfasts were fantastic and varied and the one evening meal we had was great. Really what makes this Riad so good is the staff. The briefing on arrival to explain how the city works and the “do’s and dont’s” was hugely helpful. Yes the Medina is full on but when you know how to deal with it and how to navigate the maze of alleys then it’s not hard. Thanks all we had a blast!,Date of stay: February 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/nickman2015
Riad Houdou,HappyHammer69 wrote a review Feb 2023,50,Amazing Stay,We loved the sanctuary of Riad Houdou where you are instantly transported into calmness from the hustle and bustle of the Medina. The hotel manager made us very welcome and gave us some great tips for navigating the Medina. We would definitely stay here again. The room was fantastic up on the roof a short walk from the relief of the pool where you can cool down breakfast also served on the rooftop was amazing you must try it. We also made full use of the spa having a massage and a hammam.,Date of stay: October 2022,,"Port Macquarie, Australia",https://www.tripadvisor.com/Profile/HappyHammer69
Riad Houdou,FamilySuds wrote a review Feb 2023,50,This is a little gem,Had the most amazing stay here with 8 friends. This is a beautiful comfortable stylish Riad in the old city. Cannot thank Abdel Hussain and the ladies who cooked our first evening meal and served our breakfasts enough. The service and care was outstanding. On arrival Abdel gave us a 20min talk re: what to do where to go plus guidelines. This made our visit all the more pleasurable it was very helpful. We had our first evening meal here a delicious chicken tagine. There are veggie/vegan alternatives just let them know when booking. Would also recommend La Foundouk for dinner and drinks very close to the Riad (5min walk). Pepenero is a 20min walk great food. The hamman and massage on site needs to be pre-book so email before arriving. Highly recommend. Like previous reviews this is a gorgeous place with lovely staff.,Date of stay: January 2023,,"Market Harborough, United Kingdom",https://www.tripadvisor.com/Profile/FamilySuds
Riad Houdou,Shane O wrote a review Jan 2023,50,Thoroughly deserving of the great reviews,We spent a week in Marrakech staying in the Riad Houdou and would wholeheartedly recommend it. The accommodation is tasteful clean comfortable and full of character the staff are friendly helpful and professional and the food for breakfast and dinner is a treat. Abdel is a wonderful host who gave us plenty of very useful tips and advice - particularly important in a city like Marrakech which can be somewhat overwhelming to a first-time visitor. Usually we would make our own way to our accommodation but I’m glad we opted for their transfers to and from the airport. Next time we’re in Marrakech we’ll definitely stay here.,Date of stay: December 2022,,,https://www.tripadvisor.com/Profile/612shaneo
Riad Houdou,865ees wrote a review Jan 2023,50,Excellent Place to Stay in Marrakesh,We had an exceptional stay at Riad Houdou. Eric and his staff are very detail oriented and provided excellent service. The Riad is in a great location with easy access to all the old city sites. The breakfast is very good and the optional dinners are delightful.,Date of stay: January 2023,,"Ferragudo, Portugal",https://www.tripadvisor.com/Profile/865ees
Riad Houdou,Eleanor C wrote a review Jan 2023,50,All guesthouses should be like this,We had a fantastic four-night stay at Riad Houdou. We took advantage of the airport pick up which was great and meant we didn't have any issues on arrival. The Riad is based down a quiet alley near the busy Medina - but don't let that put you off. The location was absolutely perfect close to everything we wanted to see and we felt safe throughout our stay.     We were greeted on arrival with delicious homemade pastries and mint tea before being shown a map of the area and hearing some top tips for our stay. This had to be one of the warmest and most informative welcomes we've ever received. This small team is exceptional and they really made our stay!    Our beautiful room was on the ground floor next to one of courtyards. It was clean and had everything we needed including a really comfortable bed - we slept so well during our stay!     I would highly recommend eating dinner at the Riad - their chef is outstanding! We had dinner there for three nights because it was so good. Each night we were excited to see what kind of three-course meal would await us after a busy day of sightseeing. On two of the nights we were the only ones eating there so it felt even more special to have the cosy dining room to ourselves. We loved the thoughtful touches like explaining the dishes and any stories behind them as they were served.    We also arranged a couple of private tours through the Riad (a trip to Essaouira and a mule trekking in the mountains (Imlil)). Both trips were amazing and with a fantastic driver - highly recommended!! We were so pleased that we did these through the Riad.    Although we were only there for four nights Riad Houdou felt like our home away from home and we really loved the team working there who clearly care about what they do. We were sad to leave but so pleased to have found this place. Don't hesitate to book - you'll not be disappointed!     Huge thanks to Eric and the team.,Date of stay: January 2023,Trip type: Traveled as a couple,"Oxford, United Kingdom",https://www.tripadvisor.com/Profile/eleanorjaneuk
Riad Houdou,2014Kim wrote a review Jan 2023,50,Best Place to Stay in Marrakesh,The Riad Houdou is the perfect place to stay while in Marrakesh. It’s in a great location and a short walk to anything in the medina. The entire Riad is absolutely gorgeous and very well-maintained. The service is impeccable. I would highly recommend the Riad Houdou.,Date of stay: January 2023,Trip type: Traveled with family,"Ottawa, Canada",https://www.tripadvisor.com/Profile/2014Kim
Riad Houdou,JakeT1992 wrote a review Jan 2023,50,The best place to stay in Marrakesh,Riad Houdou is a beautiful place to stay in Marrakesh. We were collected by the riads prearranged transfer from the airport. Easy and well priced. As it was a shared ride with 2 other guests they also halved the bill.  The welcome was very friendly and the staff at all times were very friendly and helpful. Lots of information to get you going which was appreciated. Our room was lovely and quaint and plenty of space for the 2 of us for 3 nights.  On the first morning there were also some homemade pastries and candles for my wife’s birthday. A nice surprise.  The Riad is located down a small side street just off of a main thoroughfare and is very convenient to explore the medina.  Highly recommend staying and thank you to all of the staff.,Date of stay: January 2023,Trip type: Traveled as a couple,"Swindon, United Kingdom",https://www.tripadvisor.com/Profile/JakeT1992
Riad Houdou,stephfairliemorgan wrote a review Jan 2023,50,A calm must in Marrakesh. Beautiful Riad with outstanding staff and everything you would need,Amazing calm within the storm or crazy Marrakesh. Beautiful building with lovely rooms and all facilities you would need to relax within the madina. The staff are hands down the best you could ask for so accommodating and helpful. Breakfast included was lovely and dinner we had there was great too,Date of stay: January 2023,Trip type: Traveled as a couple,"Edinburgh, United Kingdom",https://www.tripadvisor.com/Profile/stephfairliemorgan
