Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Karmela,Andrew P wrote a review Mar 24,50,Authentic Moroccan experience in the heart of the medina,In the heart of the medina and within easy walking distance of all the sights in Marrakesh except the Jardin Majorelle and Yves Saint Laurent museum the Riad Karmela proved to be an authentic Moroccan experience. Set around traditional courtyards one of which serves as the restaurant the rooms are spacious and furnished with beautiful local objects. Breakfast was divine and the evening meals we had excellent. The desserts in particular were inventive. Alcohol is served throughout the day whether you’re dining or not which was unique in our experience. The staff were unfailingly charming and helpful and although it’s perhaps unfair to pick out one individual Amine one of the evening waiters is a treasure. The Riad would be impossible to find the first time on one’s own so best to organise a taxi from the airport etc through the Riad which provided an excellent map and instructions on how to navigate the surrounding narrow streets and lanes. The only downside but one that is impossible to overcome if staying in the medina - and who would want to stay in a soulless hotel outside the city walls - is being woken every morning around 0615 by the call to prayer! Would definitely return.,Date of stay: March 2023,Trip type: Traveled with friends,"Brighton, United Kingdom",https://www.tripadvisor.com/Profile/350AndrewP
Riad Karmela,932Charles wrote a review May 2022,50,Superb Staff,The Staff at Riad Karmela are so warm; they take time and care for all their global guests. They go out of their way to accommodate late departure times and even though we were there at Ramadan they pointed us in the right direction for all the cultural sites.    We were there on May 1st when the 'TukTuks' (small modes of transportation) were on a labour strike (TFL in London also practice this show of labor so it wasn't an imposition) as the hotel simply ordered a taxi instead to get us to the Yves St. Laurent Museum and Jardin Majorelle.    The Staff--- from the security guard who is so kind to the young boy who kicked a soccer ball around with my husband to the lovely wait staff at Breakfast who greeted everyone with their beautiful smiles and incredibly fresh orange juice--- are 5 star.,Date of stay: April 2022,,"Chicago, Illinois",https://www.tripadvisor.com/Profile/932Charles
Riad Karmela,Happy understanding customer wrote a review Mar 23,50,Lovely time at Riad Karmela,This is the most amazing place. I have stayed at quite a few roads over the years but the hospitality at this one is just amazing.  The accommodation is typical Moroccan. The food is lovely and the staff are amazing. They just can’t do enough for you.  Thank you all so much for a lovely holiday with you,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Francessuzanne
Riad Karmela,DAVID s wrote a review Mar 21,50,4 night stay 14/18th March,I cannot praise the hotel and staff enough. It proved be an oasis of calm in the hustle and bustle of the medina. Good food good service and helpful friendly staff. We ran into difficulties with airport transfers and trips booked with other providers and the hotel came to the rescue sending a member of staff to collect us from where we were stranded on the transfer from the airport. Similarly when a trip pick up point was changed at short notice and the new location inaccurately given the hotel contacted the provider and escorted us to the new location. On the day of our check out we had wanted to book a massage in the hotel and reception changed the room cleaning schedule so that we could have a later check-out and enjoy our massage with time to freshen up afterwards. The private roof terrace was a nice place to enjoy a glass of wine and watch the sunset.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/DAVIDs23653
Riad Karmela,D Metcalfe wrote a review Mar 19,50,A Fantastic Experience,I cannot rate the lovely staff and service we had during our recent stay for 7 days at Riad Karmela.  Bouchra and all the staff were so exceptional and helpful that when I accidentally left my coat there they posted it back to me in the UK. The Riad is traditionally decorated and in the perfect position to walk to the main Medina. The ambiance and entertainment in the dining room was beautiful of an evening with soft lighting and the lovely water feature gave a relaxing atmosphere as did the many comfortable lounging areas around the Riad. I would highly recommend it as we would definitely return.,Date of stay: February 2023,Trip type: Traveled as a couple,United Kingdom,https://www.tripadvisor.com/Profile/Vanddmiles
Riad Karmela,Maureen g wrote a review Mar 16,50,"FIVE STAR SERVICE, THE VERY BEST ANYWHERE",My husband and I are senior citizens who spent four nights and five days at this fabulous hotel. In order to give an honest review I have to say that it is not luxurious by US standards but it is exceptionally clean and nicely appointed. What Riad Karmela has that many places do not is the best service and the utmost courtesy we have ever experienced bar none. If we needed a reservation a taxi a tok tok a meal or virtually anything the employees here are excellent in securing it fast and on time. There was nothing we asked that was too big a deal and service was delivered with courtesy and smiles. Since we do not speak Arabic and our French is high school level we were wholly dependent on this superb staff to make our stay the best it could--and they delivered big time. On arrival we were greeted by Fatima an English-speaking desk clerk who gave us mint tea and a plate of delicious cookies. She provided a map and explained where everything is and patiently answered our questions. A Frenchman who manned the desk (sorry I didn’t get his name) was funny and extremely accommodating.    The hotel is located in the complicated maze of the Medina and difficult to find even after we had been here a few days. But Karmella has a man in a jalaba stationed near its entrance whose sole job 12 hours a day is to make sure you get where you are supposed to go. He literally walks you to the taxi stand or from where the taxi drops you off which is not an insignificant distance from the hotel’s entrance.    We had a free breakfast every day but only realized on the second day that there is a sign that says you have to ask for eggs which we did. All of the other meals we had here were delicious from the tagine dinner to the vegetable pizza lunch to the breakfast omelettes. We are foodies but ate here more often because we were nervous about dining at local restaurants or eating street food. We felt completely safe dining here. There are two turtles who patrol the main dining room and several small birds that have also taken up residence there. A large friendly cleaning crew is constantly wiping dusting and mopping. We had fresh sheets fluffy towels and robes in our room daily. We did not have wash cloths which was not that important. Our room had air conditioning and TV but unless you understand the local language the TV is useless. We had a large bathroom with two sinks and a shower with a square rain head. This was our first time in Marrakesh and are beyond thankful for the supreme hospitality of Riad Karmella.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/U2383PFmaureeng
Riad Karmela,Harvey B wrote a review Mar 5,50,Excellent 4 day city break - highly recommended Riad,In the heart of the Medina this Riad was excellent value for money. Well run and maintained the owners were on site and highly visible all the time. The staff were attentive and friendly without being over the top. The rooms were clean and comfortable with bottled water provided every day. Bathrobes provided and towels changed daily bedding changed halfway through our stay (after 2 nights). We chose to eat dinner in the Riad the food was well cooked and tasty and good value too.  We took 2 trips advertised in the Riad and both were well organised.  You cannot get to the Riad's main door by taxi and have to walk about 5 to 10 minutes but the taxi call the hotel and they send someone to meet you they also take you back to the pick up point when you leave so don't worry about getting lost in the maze of streets and alleyways that make up the Medina.  In short we would definitely choose to stay here again.,Date of stay: February 2023,,"Wolverhampton, United Kingdom",https://www.tripadvisor.com/Profile/198harveyb
Riad Karmela,bethp02 wrote a review Feb 2023,50,Totally recommend,A well run welcoming and friendly place to stay. All the staff were so helpful and considerate. Beautiful building hidden away amongst the bustle/chaos of the streets outside. Bedroom was large and comfortable and communal areas so varied throughout the building - inside and out sat by fire in the bar one day and then in sunshine on the roof. Highly recommend. Mohammed Amir and breakfast ladies are fabulous! 24 years since I last went to Marrakech and won't be waiting that long to go again.,Date of stay: February 2023,,"Harrogate, United Kingdom",https://www.tripadvisor.com/Profile/bethp02
Riad Karmela,Ian R wrote a review Feb 2023,50,Superb 4 day break at Riad Zineb/Karmela,Cannot recommend the Karmela and Zineb ( which is just around the corner) highly enough. Superb oasis of peace and tranquility after a day in the chaos of central Marrakesh. I suggest Book your airport transfers with them not the holiday provider and get your currency and trips through them. Evening meals are way better than any commercial restaurant out there and much better value.,Date of stay: February 2023,Trip type: Traveled as a couple,"Nottinghamshire, United Kingdom",https://www.tripadvisor.com/Profile/ianrW4495ZE
Riad Karmela,Kim T wrote a review Feb 2023,50,"Great place to stay! Accomodation, Location and Staff - all great for me! Loved my stay here!",I booked Riad Karmela having read the reviews and noted its great location!  I was not disappointed! I was delighted with my choice! Just great for me!  Joel (owner) and his team of staff were excellent in every way! Every member of staff was so nice and personable and clearly listened to all their guests - nothing was ever too much trouble to sort any requests! They all certainly helped me with my queries!.  All the staff were so kind receptive and appeared happy in Riad Karmela which is a reflection on Joel's excellent management.  Would highly recommend a stay at Riad Karmela.  My daughter who did not accompany me on this visit wishes to visit Marrakech in the near future with me and we will be definitely returning to Riad Karmela.  Highly recommended - please book a taxi pick up direct with Riad Karmela in advance of arrival in Marrakech - it is an excellent safe service and good value for money. Please do this!,Date of stay: February 2023,Trip type: Traveled solo,"London, United Kingdom",https://www.tripadvisor.com/Profile/KT_P543
