Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Les Trois Mages,karen wrote a review Mar 25,50,3 days in Marrakesh,Wonderful relaxing stay at this Riad which is tucked away yet still walking distance to all the hustle and bustle. Aziz the manager is so helpful and informative with lots of really useful tips and great recommendations. The riad is very comfortable and the breakfast good and plentiful. All the staff are lovely. Would definitely love to stay again.,Date of stay: March 2023,,"Brighton, United Kingdom",https://www.tripadvisor.com/Profile/Culture15922278404
Riad Les Trois Mages,David W wrote a review Apr 2022,50,The best Riad in Marrakech,Had the most wonderful stay at this Riad. Aziz Mustapha and the rest of Les Trois Mages staff just couldn’t do enough. We were looked after so well we didn’t want to leave. The food was excellent the rooms beautiful and the beds so comfortable. So we can highly recommend this Riad. We are returning in September for another weeks stay and looking forward to another wonderful holiday in Marrakech at Riad Les Trois Mages. I first visited Les Trois Mages 10 year’s ago. I will never forget my first impression on opening the Riad door. I had been invited into a different world and it still feels the same today 10 years on. David and Carol,Date of stay: April 2022,,United Kingdom,https://www.tripadvisor.com/Profile/104DavidW
Riad Les Trois Mages,Rene C wrote a review Mar 20,50,1st time in Marrakech,Riad Les Trois Mages is amazing. The manager Aziz and the staff were gracious and kind. Aziz was the ultimate host and was in contact with me from the moment I made the reservation at my arrival and through out my stay. I was taken care of day and night. My every need was met and exceeded expectations. The Riad was close to great local restaurants quite and has a roof top pool which I enjoyed.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/I2073ZIrenec
Riad Les Trois Mages,Elliot B wrote a review Mar 19,50,Amazing riad. Definitely reccomend!,We would highly reccomend this riad. The transport was arranged from the airport upon arrival which took us straight to the riad only a short distance from the airport. Aziz the manager greeted us upon arrival and gave us information on marrakech and anything we needed to know about our stay. We booked day trips to the Atlas Mountains and Essaouira which were very well organised trips that we won't forget. The riad itself is beautiful and a nice sanctuary which is perfect to come back to when you want to relax. We can't say enough about how nice the staff are at the riad they truly made the stay memorable with their generosity positivity and kindness throughout our stay. Everyone was so helpful and always greeted us with a smile on their face. Thank you very much Aziz Eli…,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/G3542YBelliotb
Riad Les Trois Mages,claudia c wrote a review Mar 18,50,The perfect stay,The Riad was the perfect tranquil spot to come back to after a day exploring the busy streets of Marrakesh. We stayed in the suite for a week which was an incredible experience I’d recommend to anyone the bed was amazing and it was so nice having the extra space that came with it. Breakfast was always a highlight of our day so much delicious fresh food that we would enjoy in one of the comfy seating areas around the Riad. The location was perfect near to everything but off the main streets. Everyone working there was so kind and helpful and made us feel so welcome with lots of useful information and tea and coffee whenever we liked. I will definitely be back if I visit Marrakesh again and recommend to anyone visiting :),Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/claudiaacchurch88
Riad Les Trois Mages,Sharon S wrote a review Mar 5,50,An oasis of calm,The moment you step into the calm and serenity of this gem of a riad after the chaos and craziness of the Medina and souls you realise you are in a special place. We loved it here especially after heading out to other accommodation outside the old city which made us realise how exceptional this one is. Aziz and his team couldn't do more to make our stay better. They exude the same calmness of the riad and do everything to make sure your stay is the best it can be from arranging taxis suggesting fabulous restaurants and sightseeing trips and welcoming my brother and poorly sister in law enabling her to rest. Our room was lovely on the first floor overlooking the beautiful courtyard and it's 2 lounges. Breakfast was amazing. Highly recommended.,Date of stay: February 2023,,"Christchurch, United Kingdom",https://www.tripadvisor.com/Profile/K567KCsharons
Riad Les Trois Mages,robinlindsaytj wrote a review Feb 2023,50,Perfect Stay!,We just arrived home from our first stay in Marrakech and it was exceptional because of the quality of service provided at Les Trois Mages. If I was able to give them more stars I definitely would. The Riad itself is gorgeous and spotlessly clean. We had a huge room complete with a very cool sunken bed sitting area and beautiful bathroom. There were also many sitting areas where we could lounge and relax outside of our room when we came home from exploring. We loved coming back to the Riad every day and heading up to the pool on the roof where we could relax and enjoy the quiet. It was very hard to believe that the hustle and bustle of the Medina was only steps away. So yes  it is a gorgeous place in an excellent location only steps away from the Medina however it’s the…,Date of stay: February 2023,,"Thunder Bay, Canada",https://www.tripadvisor.com/Profile/robinlindsaytj
Riad Les Trois Mages,Charles S wrote a review Feb 2023,50,A very friendly and cofortable,A well located riad close to the Souks and convenient to money changers ATMs  and licensed restaurants. Its location is within easy walking distance of the main sites of Marrakech. The riad is very comfortable the breakfasts are generous and the staff are very friendly and helpful. Aziz the manager is a mine of information and can arrange any trips you require. Best to get him to arrange their driver to pick you up at the airport as it may be hard to find first time. I thoroughly recommend it .,Date of stay: February 2023,,Singapore,https://www.tripadvisor.com/Profile/M1315BFcharless
Riad Les Trois Mages,Rodolfo W wrote a review Feb 2023,50,A magical stay in Marrakesh,Staying at Les Trios Mages will only make your stay in Marrakesh more enjoyable. The management is incredible friendly and guest oriented. You will be directly contacted after the reservation is made with tips on how to get and helping you to arrange any special activity you may want to undertake while in Morocco. The rooms are clean silent and dark at night so you can well recover from the days activities. The breakfast is one of the best you can experience with real freshly pressed orange juice delicious pancakes and excellent coffee. While at the road tee or coffee will never run out. The location is just perfect the car can drop you within a few meters and at the sometime you are in the medina! Enjoy Marrakesh and the riad,Date of stay: February 2023,,"Sydney, Australia",https://www.tripadvisor.com/Profile/rodolfow15
Riad Les Trois Mages,alexia wrote a review Feb 2023,50,Best Riad in Marrakesh,This riad really worth it the room was so beautiful comfy and clean the breakfast was so delicious and all the team were super nice and polite with us also very helpful  they really take care of their guests especially Aziz he made our days in marrakesh so easier. You really get more than what you paid. For sure I will choose them again when I return to Marrakesh.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/Road01460458504
