Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Les Trois Palmiers El Bacha,LexiV wrote a review Yesterday,50,Beautiful and Peaceful Riad,This is such a beautiful place to stay. It's very calm and peaceful as well especially compared to the sometimes frenetic pace of Marrakesh itself. I had a room on the roof that had it's own rooftop garden. Everyone who worked here was extremely helpful. I was able to arrange both airport pickup and drop off through the hotel and had dinner there my first night as well which was excellent. I only had two nights here which was definitely not enough. I would love to go back sometime.,Date of stay: February 2023,Trip type: Traveled solo,"Cleveland, Ohio",https://www.tripadvisor.com/Profile/LexiV
Riad Les Trois Palmiers El Bacha,Flip Flop Wanderers wrote a review Mar 1,50,Excellent stay in Marrakech,What a fantastic stay we had at this riad! The rooms are gorgeous and the TWO courtyard were the best! There were even two small swimming pools which were the best to take photos. Everything was also very comfortable and Pat (the owner) was super friendly. Definitely recommend!,Date of stay: May 2022,,"Willemstad, Curaçao",https://www.tripadvisor.com/Profile/Manonvanos
Riad Les Trois Palmiers El Bacha,Jane M wrote a review Feb 2023,50,An absolute gem tucked away in the Medina…..,My husband daughter and I spent 6 nights at Les Trois Palmiers last month and we would thoroughly recommend it. Patrick and his fantastic team looked after us wonderfully - truly nothing was too much trouble for them and there was always a really friendly and personal touch.  The riad is a real gem hidden away in the Medina and the story of how Patrick and Caroline found and renovated the two adjacent buildings is remarkable. It’s beautifully appointed with all the rooms very individual decorated.  The roof terrace and sunbeds were very welcome after hours of sightseeing.  There’s a small selection of alcohol on offer including a very nice local red wine. Breakfast was delicious but sad to say I’ve been unable to recreate your delicious mint tea in England!  Thank you Patrick et al - we hope to return! Peter Jane and Georgie,Date of stay: January 2023,,"Havant, United Kingdom",https://www.tripadvisor.com/Profile/JanePeter23
Riad Les Trois Palmiers El Bacha,mark h wrote a review Feb 2023,50,The Best,What a fantastic 4 nights we have just enjoyed here. Everything was perfect beautiful place to stay quiet location but very central. The riad organised to pick us up from the airport Mustafa met us where the driver dropped us off and walked us to the riad. Would have been a bit daunting if we had to find it on our own.  The place is fantastic nothing was too much trouble. We were given tea on arrival and plenty of advice on what to see and do and how to get there. Room was excellent breakfast was great and the rooftop terrace after a long day in the souk was heavenly. Room was made up daily there is a bar drinks menu if you want it and everyone was so helpful and friendly.  On our last night we had a problem over the bill at a local restaurant which was unfortunate. On arriving back at the riad we explained to Ahmed what had happened he went straight to the restaurant called the manager and sorted everything out satisfactorily what an absolute gentleman. We cannot speak highly enough of all the staff brilliant.  Next time we are in Marrakesh we wouldn’t dream of staying anywhere else. Other tips we changed cash every day at the exchange 200 yards from the riad at very good rates far better than the airport and also on the corner as you come out of the riad is an excellent sandwich stall for a very good snack.,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/markhT1643WB
Riad Les Trois Palmiers El Bacha,Dave F wrote a review Feb 2023,50,AMAZING stay in a traditional Riad,Just arrived back home after 4 magical nights in this amazing riad located right in the heart of the city. It was our first time in Marrakech with our 11 year old daughter and we were a little nervous with not knowing what to expect but the staff went out of their way to make us feel welcome and safe. On our first morning after a delicious breakfast we were given lots of very helpful advice on how to navigate the maze of souks which proved to be so valuable but half the fun is exploring and getting lost. The riad is an oasis of calm in such a vibrant city - stunning rooms exemplary service and great location we loved our stay and would highly recommend discovering it for yourself :),Date of stay: February 2023,,"Penzance, United Kingdom",https://www.tripadvisor.com/Profile/davefV4981ZY
Riad Les Trois Palmiers El Bacha,Kathy D wrote a review Feb 2023,50,"Highly recommend, quiet, peaceful, nice rooms",The riad is a wonderful oasis in a busy city. Not the easiest to find but so fun trying. The staff is super friendly and helpful.  My room was spacious bed super comfortable and they even put chocolates on the pillow.  We had dinner and breakfast there and both were outstanding. The staff went above and beyond for our group of 9  Highly recommend,Date of stay: February 2023,Trip type: Traveled with friends,"Ann Arbor, Michigan",https://www.tripadvisor.com/Profile/kathyD2274
Riad Les Trois Palmiers El Bacha,Patrick Weir wrote a review Jan 2023,50,Thank you to 'Riad Les Trois Palmiers El Bacha' and its wonderful staff.,Thank you to 'Riad Les Trois Palmiers El Bacha'.    Myself (Patrick) and Janine had the pleasure of staying at Patricks Riad in January 2023. I cannot praise highly enough how we were made to feel. We were totally welcomed at this wonderful place by *ALL* of the staff. Their help and support in recommending places to go eat and visit was greatly appreciated as well as their help in arranging of information and taxis to and from the airport (and assistance of our luggage). The rooms throughout are characterful and indeed are 'rammed to the hilt' with features that make you feel as if you have entered another era.    The two Riads (to be precise) were situated right in the heart of the Old Medina with wonderful access to the Zouks alleyways and larger trading squares as well as the ancient Palaces Mosques and other places of interest. You will love the interaction with vibrant locals who are only too willing to display their wares as they beckon you into their shops to demonstrate their age-old processes.    Highly recommended for the above as well as the experience of French Arab culture and their ways of doing things.    Thank you.  Patrick and Janine.,Date of stay: January 2023,Trip type: Traveled as a couple,"Bedford, United Kingdom",https://www.tripadvisor.com/Profile/jhBrazil
Riad Les Trois Palmiers El Bacha,Nicole F wrote a review Dec 2022,50,Riad Les Trois Palmiers … Perfect in every way,Our first visit to Marrakesh Patrick and his team ensured a perfect stay for us assisting with booking a tour to the Atlas Mountains hamman spa restaurants their hospitality was filled with passion happiness and real care for their customers ( family ) . The Riad itself is stunning with a lovely ambience the breakfast and meals were superb . ❤️,Date of stay: December 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/nicolefV2663GN
Riad Les Trois Palmiers El Bacha,GuideVenturous wrote a review Dec 2022,50,An outstanding stay in the medina of Marrakech,What a beautiful gem in the medina of Marrakech! From the moment we arrived we were blown away by the service provided by this amazing Riad. We were picked up in a luxury van by driver Hamid then walked to the door by smiling Latifa who then gave us a tour of the Riad and welcomed us with some cookies and delicious tea. Our room was one of the most beautiful rooms we have stayed in on our travels. High ceiling and beautiful details. The whole place is stunning the rooftop terrace is perfect for having breakfast relaxing on the sun beds and the views of the city and the Atlas mountains are incredible. Everyone was friendly and helpful and went above and beyond to help us with anything we needed. Thank you so much for an outstanding stay.,Date of stay: November 2022,,"Mexico City, Mexico",https://www.tripadvisor.com/Profile/GuideVenturous
Riad Les Trois Palmiers El Bacha,Maxime D wrote a review Nov 2022,50,A must try,I want to thank the staff but also Patrick and Caroline for making our stay so special.  We had an amazing experience and it was a pleasure to come back from a full day of visits in such a peaceful place.  They have an incredible view of the medina perfect to appreciate the sunset from the rooftop.  Make sure you try Khalid’s tea and Dalila’s tagine before you leave.,Date of stay: November 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/E3401ORmaximed
