Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Mandalay,Jan D wrote a review Mar 23,40,Fun visit to Marrakesh.,We booked a 4 night stay at the Riad Fatouma in Marrakesh in March 2023. There were 6 of us three couples. When we got to the Fatouma we were informed that our hotel would be changed to the Mandalay. Abdul came to take us through the maze of streets with our luggage and checked us in. We had a nice spacious room with a generous sized double bed and a single too. Our friends in the room next to us had 5 beds in their room!  There is a big space on the roof for sitting about and sunbathing or enjoying the evening chatting to friends.  There is a pool but more for just cooling in than swimming.    Breakfast was good - pancakes and pastries and coffee and tea. Last day we had an omelette.    The Riad is a lovely calm place in a mad bustling city and Abdul and the cook and Kasim are very helpful and friendly.  Don’t expect western style luxury ie complimentary soaps coffee tea and kettles but do expect a warm welcome and a genuine desire to make your stay as enjoyable as possible.,Date of stay: March 2023,Trip type: Traveled as a couple,"Stamford Bridge, United Kingdom",https://www.tripadvisor.com/Profile/JanDeanYorkUK
Riad Mandalay,Tessa wrote a review Mar 20,20,"It looks nothing like the pictures, and most definitely not 3 or 4 stars",On arrival at the Riad Mandalay the manager had no knowledge of my booking for a room for 3 people A booking that was confirmed 2 months prior to my trip to Morocco.  My family and I were left to wait in the lobby for over an hour while the manager tried to look for our booking.  Two hours later we were transferred to another Riad into a shoebox room for 1 night.  The next day we were given a room at the Mandalay the room was dirty the bedsheets had stains and hair on them the walls were dirty. The tv did not work the list goes on.  The Riad has alot of potential but the maintenance and cleaning is of a poor standard.  The Riad Mandalay is not a 4 star more of a 1 star.  Although the next day after making a complaint we were given a cleaner room by this time we were halfway into our short trip and the experience left us feeling exhausted and uncomfortable.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/TessaNicky
Riad Mandalay,Natalie S wrote a review Feb 2023,40,The Real Marrakech,We really enjoyed our 3 nights stay in Riad Mandalay and Marrakech. Manage your expectations as it isn't a hotel and the rate half board n February through tour operator 'Love Holidays' is £36 pppn so be realistic its not really fancy but is beautiful in its own right. The two guys who run the show are lovely and really helpful if you go half board the food at dinner is delicious usually a tagine meal (ask in the morning if you want wine with your dinner & they'll sort it for you) the rooms are clean and the location once you get your bearings is ideal. We booked excursions via 'trip advisor' the Atlas Mountains 5 valleys & lunch and the hot air balloon flight both amazing and recommended. The local sights are all in walking distance .. p.s if on your walk to Badi Palace your told by a local lad its closed .. its not he is just going to take you to his employers shop instead .. sharing our lesson learnt ;),Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/M8797ELnatalies
Riad Mandalay,MummybearCambridge wrote a review Jan 2023,10,Not as described,We stayed here for 1 night of the 3 booked and then moved to a different hotel.  It was very run down and not in a cool ancient building kind of way. It also felt dirty with bird poop on the breakfast table.  As a tranquil haven to the craziness of Marrakech it certainly wasn’t. 5 hours of a dog barking at night.  It’s only saving grace was the lovely manager. He was a lovely person and did not stop.,Date of stay: January 2023,Trip type: Traveled as a couple,Cambridge,https://www.tripadvisor.com/Profile/MummybearCambridge
Riad Mandalay,Crissy C wrote a review Jan 2023,40,Fun stay cut short,The staff make the place …we had to leave early because of drama at home (our son breaking his leg ) so only stayed for one night but we found it fun right in the heart of the action 10 minutes walk from most things … little tip don’t pay more than 100 for a taxi and that’s being really generous..,Date of stay: January 2023,Trip type: Traveled as a couple,"Cambridge, England, United Kingdom",https://www.tripadvisor.com/Profile/CrissyC513
Riad Mandalay,Az B wrote a review Sep 2022,50,"Amazing hotel, location and staff",Location is walking distance of most sites you need to visit sadian toombs 4 min walk kasbah mosque next to it badi Palace 8 min walk and bahia Palace 15 min walk also has mosque 30 second from front entrance. Also 15 minute walk to Jamal el fnaa famous market Square for everything.    Staff are amazing warmly greeted by Kareem who provided all info and was very helpful he helped us on few occasions as he gave his mobile Abdul is the guy who takes care of all the guest this guy is loved by all always smiling and willing to help my kids loved him. You will not find more helpful people. Also local shop for water and small items a minute walk.  Finally the house keepers both ladies were hard working and always on hand to help they deal with everything had sink block my own fault as suddenly vomited and I cleaned up but gutter blocked ladies sorted with in 20 minutes.    Hotel itself is amazing a real life classical prestigious place the rich would have lived in now converted to Riad meaning garden decorated with plants and art    The location is in the old streets so down narrow roads but roads are safe I was out with family till 11pm even 12:30 at night and felt safe well lit area. Really impressed with size of room and shower/toilet family were all happy with the place and they even had a mini swimming pool and open roof.    Below pics of hotel and few places we visited,Date of stay: September 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/336azb
Riad Mandalay,isa l wrote a review May 2022,50,"We felt at home in that beautiful & friendly place, greatly located.",We spent a wonderful stay in that riad With my kid. Not only was it well located to go visit marrackech (at walking distance from Nice restaurants big mosquee…) but we were really welcomed warmly by à Great team (Shukraan Karim & Abdu !) from airport pick up to Very Nice breakfasts beautiful roof top adaptability to our agendas services such as Good advices on guides Great hammam times… we loved our morrocan holidays! and this Riad was a true part of this positive experience. We recommend this place And the lovely team working there,Date of stay: May 2022,Trip type: Traveled with family,"Anduze, France",https://www.tripadvisor.com/Profile/isalH3740MF
Riad Mandalay,Sherrie G wrote a review Jan 2019,50,Mrs,Riad Mandalay was a very special experience! The staff were friendly and helpful and nothing was too much trouble for Abdul. The rooms were lovely and the breakfasts were amazing. Highly recommended.,Date of stay: January 2019,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/691sherrieg
Riad Mandalay,Edward C wrote a review Jul 2018,50,"First-class hospitality in an elegant, authentic setting.","We loved everything about Riad Matham! During our ten-day stay we enjoyed our beautiful room decorated with local textiles our comfy bed our view of the verdant courtyard. Our breakfasts on the roof-top terrace (with panoramic views) were always delicious with omelets freshly squeezed orange juice fresh fruit smoothies several types of bread jam tea and delicious coffee. This terrace offers a shady spot to lounge and read plus sunny spots to sunbath in comfort and privacy.  Hicham a manager gave wise advice and responded promptly to every request. The other guests were pleasant and provided useful information.  The location in the medina is ideal for experiencing the historic center -- convenient to museums shopping restaurants. A short walk to a ""taxi stand"" gets you everywhere else.  Advice: Do accept their offer to arrange for the taxi from the airport Hicham or others will meet your taxi and escort you to the Riad. It's a genuine service for guests not a moneymaker for the Riad.  After a day-long excursion do enjoy a candlelight dinner in one of the cozy sitting areas off the central courtyard -- superb! And good wine is available.",Date of stay: June 2018,Trip type: Traveled as a couple,"New York City, New York",https://www.tripadvisor.com/Profile/edwardc745
Riad Mandalay,Hedi H wrote a review May 2017,50,A very humble place,Cosy place. Not expensive. Had a wonderfull stay. The personnel is so nice and can help you with anything. From calling a taxi to recharging your mobile phone credit. The included breakfast is delicious. The food is excuisite they have a very good chef. A very humble place. I'll come back for sure.,Date of stay: May 2017,Trip type: Traveled with friends,"Nice, France",https://www.tripadvisor.com/Profile/552hedih
