Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Melhoun & Spa,Janet F wrote a review Yesterday,50,A beautiful riad right in the centre of Marrakech.,Our tour company So Morocco recommend this Riad and we are so glad they did .Excellent service and the food was great  They made us feel like family  The spa was amazing .I had my first ever hamman and massage.  We loved the pool on the terrace . It was a very hot day!!,Date of stay: March 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/janetfD8204FS
Riad Melhoun & Spa,Nina P wrote a review Feb 2022,50,Beautiful Riad in the heart of Marrakech and the Best staff,How do I even begin to describe such a beautiful riad in a country where you felt so much at home? Morocco has been on my bucket list for sometime so I braved travelling during Covid time dragged the parentals along with me and flew to Marrakech on Nov 2021. Our adventure began at Riad Melhoun where we met the most amazing staff who went above and beyond during our short stay. From airport pick up to checking in everything was seamless. I will never forget the smell of Jasmine upon entering the riad; such a wonderful scent to have on the lobby. The riad itself is beautiful-- decorated with traditional Moroccan designs. It was an oasis in the middle of the medina. We stayed in the two rooms at the very top and it was very peaceful -- a sanctuary in the midst of the medina and the bustling Djemaa El Fna.    Dinner at the riad is also a must-- all the dishes served were just so delicious and appetizing! Kudos to Ahmed Khadija and Anass for that amazing first dinner we had in Marrakech. A wonderful evening of Moroccan gastronomy. Massage was also so good especially coming from a long haul flight. Thank you to Asmaa and Oumaima for giving us such a relaxing massage.    Everything about this riad is beautiful but the ones that really shine and the real gem of this beautiful riad are its amazing staff. At the end of our trip we have found friends in each one of them. They are one of the reasons why we love Morocco so much! Thank you-- Nour Tarik Ahmed Khadija Ghizlane Anass and Mohamed for all that you do. You are all amazing. You are the real treasure of this beautiful riad. Memories we had in Morocco were surely one for the books. We'll keep coming back to you InshaAllah :),Date of stay: November 2021,,"Calgary, Canada",https://www.tripadvisor.com/Profile/Nins821
Riad Melhoun & Spa,Mdurian wrote a review Mar 25,50,Stunningly renovated riad boutique hotel near Bahia Palace,We were a family of five (three generations) who stayed in two rooms. The place is meticulously restored and a work of art. We had one suite (gaya) and another normal room. The bathrooms are large and the gaya suite is good sized whereas the normal room was fairly modestly sized but all very cosy and comfortable. Great breakfast and superb service. The common spaces (ground floor and roof top) are amazing.,Date of stay: March 2023,Trip type: Traveled with family,"Washington DC, District of Columbia",https://www.tripadvisor.com/Profile/Mdurian
Riad Melhoun & Spa,TE wrote a review Mar 25,50,Amazing hospitality in a beautiful centrally located Riad,We loved our stay at Riad Melhoun & Spa thanks to the amazing hospitality of General Manager Mr. Nour Mr. Ahmed and the entire Melhoun staff who left no corner unturned to make our stay delightful and comfortable.    The Riad is located in a peaceful part of the Medina right next to Bahia palace. We stayed in the spacious Gaia suite with our 9 year old son and my elderly parents stayed in the Maysar suite which was a little smaller but just as luxurious.    The staff was incredible. They did everything to make our stay more comfortable and easy. We loved the delicious breakfasts the Hamams and the tonic massage treatments. Would recommend highly.,Date of stay: March 2023,Trip type: Traveled with family,"Madrid, Spain",https://www.tripadvisor.com/Profile/Excursion35146001128
Riad Melhoun & Spa,Catherine D wrote a review Mar 24,50,Everything was perfect,We really enjoyed our stay at Riad Melhoun.  The staff is very helpful.  Great location near all the attractions.  The Riad is very clean and the food is delecious.  We highly recommend this wonderful place  We'll come back for sure.,Date of stay: March 2023,Trip type: Traveled as a couple,"County Sligo, Ireland",https://www.tripadvisor.com/Profile/catherined26
Riad Melhoun & Spa,Faraz A wrote a review Mar 21,50,Your perfect home in Marrakech,Beautiful clean and well functioning Riad in a very good location. The staff are fantastic (I remember specially Noor and Ahmad) helpful and kind. Amazing hammam with world class massage. Home made food offered if you book a day in advance. Overall a very nice place to relax a few days.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/358faraza
Riad Melhoun & Spa,Kim D wrote a review Mar 17,50,Most beautiful Riad with amazing service,Absolutely gorgeous riad. Spent many hours soaking in the sun around the rooftop pool. The staff were exceptional - every single person knows your name and is always close at hand to help with any thing you need honestly I felt like a queen here. Breakfast was delicious and huge great location to all the tourist areas and minute walk to bahia palace. :),Date of stay: March 2023,Trip type: Traveled solo,"Waterloo, Canada",https://www.tripadvisor.com/Profile/kimd90
Riad Melhoun & Spa,Shauna M wrote a review Mar 13,50,"Beautiful, Romantic Oasis in the Heart of Marrakesh <3",Where to begin to say we enjoyed our stay at the Riad Melhoun & Spa would be an huge understatement. We simply fell in love with the riad service offered food and overall ambience of what i would say is more boutique style establishment. Everything from the suite to the interior decor to the outdoor terrace is just unbelievably considered and beautiful. We enjoyed three nights earlier this month and we're made feel like we were the only guests at the Riad the entire time which only added to the experience. There was other guests we did see during our stay however the tranquil calm energy of the Riad just made you feel so relaxed and peaceful it was honestly one of the most relaxing city breaks we've ever had. Close enough to the hustle and excitement of the Medina streets but a real oasis of calm within The Medina. Breakfast served is a delightful addition to the stay i particularly recommend the omelette and the mint tea served here really is the best in Marrakesh. The riad was accommodating in arranging wine for us on request which we enjoyed with Lunch and dinner at the hotel something we were hesitant about our stay however found no issues in this area. Lastly the heated pool on the terrace brought me so much joy enjoying an evening dip with my partner after a heavy day in the souks was just the perfect way to end each day. Will recommend this Riad to all i know wishing to pay Marrakesh a visit honestly one of the nicest stays i've had in a long time. Thank you to all the wonderful staff and people of Marrakesh for the perfect city break <3,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/144shaunam
Riad Melhoun & Spa,Sandrycka wrote a review Mar 12,50,"Beautiful place, top level service!",The Riad was amazing. Very beautiful and exclusive with very few guests at once. Due to this the staff are extremely customer focused kind and will always try their best to keep you happy which they always will. Choose where to breakfast whether its at the top terrace with some nice sun or by the bottom pool same with lunch and dinner. Very tasty food and fresh juice hard to be disappointed here. We loved it and recommend to everyone! 10/10!,Date of stay: March 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/Sandrycka
Riad Melhoun & Spa,ShariBLM wrote a review Mar 11,50,Riad Mehoun & Spa was outstanding!,Our stay at Riad Melhoun was outstanding from the very personalized service of all the staff to the spa treatments food and our lovely suite...the Gaya Suite we could not have asked for a better experience. We were 3 adult family members and our suite was comfortable. The rooftop space with heated pool was lovely and we had breakfast each day on the rooftop terrace. On our last night we had a superb dinner in the courtyard with delicious Moroccan wine! We enjoyed the spa for facials and foot massages after returning from our Atlas Mountains trek. The Riad also arranged a city guide for us who was excellent and gave us recommendations and arranged reservations for other dinners out. We will recommend Riad Melhoun to all of our traveling friends!!,Date of stay: March 2023,Trip type: Traveled with family,"Windham, Maine",https://www.tripadvisor.com/Profile/ShariBLM
