Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Nafis,Paolo P wrote a review Feb 2023,50,Family is family,I felt at home in this place ! kind and always available staff the boss always ready to help and advise super good breakfast and high quality dinners. Located in a comfortable and safe area at five minutes from the main square. Simplicity is always the best option. we will definitely be back.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/paolopE5707PH
Riad Nafis,ledinghams wrote a review Feb 2023,50,What a gem!!,We have just returned from 6 days staying at this delightful Riad. Right from the moment I booked (via Booking.com) Yazin went out of his way to be helpful by offering to organise an airport transfer which we were relieved to have accepted as it would have been tricky to find it under our own steam. Despite this it is in an excellent location close to the Royal Palace and Koutoubia Mosque and within easy walking distance of the rest of the medina. Riad Nafis is small very comfortable cosy and stylish and we were very well looked after by Yazin’s assistant Hamid for whom nothing was too much trouble. The food at breakfast was plentiful and fresh and there was no problem asking for it to be served early to accommodate our travel plans. Yazin organised 2 trips for us- first to…,Date of stay: February 2023,,"Wirral, UK",https://www.tripadvisor.com/Profile/ledinghams
Riad Nafis,ilovetogetaway30 wrote a review Feb 2023,50,Loved this Riad,From initial contact I had a good feeling about this Riad. The Riad is near to the centre of town and a good location for visiting many sites not too far- Saudian tombs Bahaia Palace restaurants gardens souks etc everything u need for that Marrakesh experience. Within the Riad service was 10/10 with a big thanks to Yassine and Hamid for making my birthday stay enjoyable. Very accommodating. Breakfast served every morning with a pool view. The roof top terrace was lovely for a daytime or evening setting. Yassine was able to direct us to loval places and book any excursions or dinner reservations at our request. Nothing was too much WiFi was accessible and that was great !Bed comfortable shower and large bath is a great touch. Cleaned daily. Fresh towels. TV didnt work…,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/ilovetogetaway30
Riad Nafis,Sana F wrote a review Jan 2023,50,Gorgeous 4 star Riad with a 2 star price! A+,What a hidden little gem! We literally walked in and asked if there was a room because the Riad we had booked was really poor quality and we were desperate to move out. The host Yasin was so welcoming and hosted us very graciously instantly arranging the rooms for us. The staff is so helpful and well trained. The massive pool in the centre is beautiful! We had our Christmas eve dinner in the riads little restaurant and it was a very romantic evening. They put on the fire place played excellent jazz music and served us some delicious home cooked meal. Also the price of this Riad is far cheaper compared to others for how gorgeous the Riad is. We wish we knew about this Riad before so we could have saved a lot of money!,Date of stay: December 2022,,,https://www.tripadvisor.com/Profile/626sanaf
Riad Nafis,Rim S wrote a review Dec 2022,50,Highly recommended,We were lucky enough to stay in this charming riad nafis for 3 nights during our trip in marrakech and we wished that we had booked to stay longer. Very friendly and welcoming staff. Very good location for city centre and old madina and very safe. Overall an enjoyable stay. Big thanks to the own yassine who took care of us by himself really really thank you soooo much Visit riad nafis,Date of stay: December 2022,,,https://www.tripadvisor.com/Profile/45rims
Riad Nafis,Jenna wrote a review Mar 2020,50,Nice riad,Our 7 day stay in Riad Nafis was really enjoyable. Our room name was Beldi. Location is good and riad was easy to find once the staff had showed us the route. Breakfasts at the rooftop were good and the service was much more personal than we have had in bigger hotels. Overall staff was super friendly and polite. With this price we really can recommend this riad! Thank you ❤️,Date of stay: March 2020,,Finland,https://www.tripadvisor.com/Profile/44jennak
Riad Nafis,Mark M wrote a review Jan 2020,50,Fantastic Service,Loved our stay at Riad Nafis. The staff were exceptional. The premesis was spotlessly clean quiet and homely. Many thanks to Ayoub Youssef and Miriam for making us feel so welcome. Will definitely return.,Date of stay: January 2020,,,https://www.tripadvisor.com/Profile/E461VHmarkm
Riad Nafis,stevebenade wrote a review May 2019,40,Excellent location and staff,Our three nights at Riad Nafi went by without any issues. Ishmael Abdul and Joseph do a fine job in assisting the guests and the breakfast is superb. I also enjoyed the Riad’s location. In the midst of it all without feeling the madness. Also close to the Kasbah which I found very entertaining. The pool in the Riad is lovely.,Date of stay: May 2019,,"Cape Town Central, South Africa",https://www.tripadvisor.com/Profile/stevebenade
Riad Nafis,Sara A wrote a review Mar 2019,40,Very Nice,This is a small Riad located down a winding alley off of the main road. It’s about a 15 minute walk to the jemaa el Fna (the main plaza). We thought the location was very nice. The rooms are pleasant and well card for. Everything was clean and the staff was lovely. They do have a nice rooftop with comfortable furniture if weather permits. Breakfast I thought was delicious. If you are not accustomed to a Riad it is like staying in a large house so it’s a little more cozy than a regular hotel. The only real problem that we had was the water pressure one evening and that only happened once. Overall this felt like a very good value and a very nicely place to stay. Again we really thought the staff were wonderful.,Date of stay: April 2019,,"Austin, Texas",https://www.tripadvisor.com/Profile/SaraA1782
Riad Nafis,rahxar wrote a review Feb 2019,20,Won’t recommend a stay there.,We booked this place because of reviews but I am quiet surprised how they have so good reviews. We had rebooked room for 7 days and on Expedia we were shown pictures of another room but got the smallest room in the riad. Room was very small and especially the bathroom. Sink was so small that it got water everywhere everytime I washed my face. And impossible to do ‘ablution’ in the sink. Shower was without curtain and very basic. I would have been a bit more satisfied if we had gotten the room with a bigger bathroom and I actually saw bigger ones when the other ones were being cleaned. Wrong information on Expedia that they have bathtubs with every room. Bottled water was given just one day not everyday as mentioned on Expedia. Housekeeping dint change sheets everyday and…,Date of stay: February 2019,,"Lorenskog, Norway",https://www.tripadvisor.com/Profile/rahxar
