Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Riad Shemsi,Ana M wrote a review Mar 24,50,Best Riad in Marrakech,Riad Shemsi is an incredible place. The room comfortable and beautiful decoratedthe roof terrace with a great view of citypalace and Atlas mountains the pool good for swimming already. Lovely Riad with traditional touches. Location ideal for getting easy to many attractions of Marrakech. Amazing and helpful staff. Breakfast and dinner delicious. 100% recommended!!!,Date of stay: March 2023,Trip type: Traveled as a couple,"Brussels, Belgium",https://www.tripadvisor.com/Profile/anamA6209SI
Riad Shemsi,homa644 wrote a review Dec 2022,40,A lovely break in Marrakech,We really enjoyed our four night stay at Riad Shemsi. Our room was the turquoise one which was beautiful (if a little dark for reading.) The bed was really comfortable. All the staff were brilliant so friendly welcoming and helpful. I also did a morning's cookery lesson which I really enjoyed too. Breakfasts were delicious with fruit yoghurt and different pastries and pancakes which set us up for the day very well. Sadly it was a little chilly for a dip in the pool which was a pity  though as we left I believe they were installing some heating.,Date of stay: December 2022,Trip type: Traveled as a couple,"Winchester, United Kingdom",https://www.tripadvisor.com/Profile/homa644
Riad Shemsi,Daphne F wrote a review Nov 2022,50,Brilliant little Riad,Have just returned from a lovely 3 day stay at Riad Shemsi. Lovely staff couldn't do enough for you confortable and clean rooms the Riad is really well located for exploring. Excellent value for money.,Date of stay: October 2022,,,https://www.tripadvisor.com/Profile/725daphnef
Riad Shemsi,RossandAndreia wrote a review Feb 2020,50,What a fantastic Riad!,We loved everything about Riad Shemsi but what made this place stand out for us was the warmth of its people. Often you go places and people are nice because they have a reason to be. The staff working at Riad Shemsi are kind hearted people that don't need a reason to open their hearts to you. Being greeted by Abdul when we arrived we were offered a pot of Morrocan Tea and Cookies. From then on we felt at home. The next day we had the pleasure of meeting Noura and two other lovely ladies working at the Riad (sorry we never found out their names). Noura is the manager she's very nice and kind and she was happy to give us top tips on our adventures exploring Marrakech and Morroco. Abdul and the two Ladies served us a really delicious breakfast everymorning arriving with something subtly different to the previous. For all of the staff at Riad Shemsi we can say nothing was too much trouble. Whether you're new to Morroco or returning we recommend Riad Shemsi to anyone who whishes to feel at home with such a welcoming bunch of people.    My husband braved the pool for a grand total of 5 minutes during our stay (a little chilly in February) but you can still soak in the sun on the rooftop terrace above.    The location of the Riad is ideally suited for anyone wishing to explore Marrakech. Its about a 10 to 15 minute walk to Souks and the main square (Jama El F'na square).    We will miss everyone at Riad Shemsi and we're looking forward to our next visit!!!,Date of stay: February 2020,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/RossandAndreia
Riad Shemsi,Isabel D wrote a review Dec 2019,50,Magical Riad,I highly recommend this Riad: such a beautiful place!! Breathtaking!  Everything is perfect to the detail. Nice terrase beautiful pool and perfect rooms.  I highly recommend to book a dinner in the hotel as they buy everything fresh from the market and in our case they set up a romantic table next to the pool with candles.  I am so thankful we found this place the hotel team couldnt have been more professional and welcoming.,Date of stay: December 2019,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/647isabeld
Riad Shemsi,Helen G wrote a review May 2019,40,Nice quiet riad,Cute quiet small hotel. Breakfast was good and pool area was nice. Its a bit far from the main area with all the restaurants requiring a 15-20 minute walk in the evening. Great location for visiting tombs and palaces and not within the intensely touristy areas.    Our room whilst very pretty was quite dark. We overall though it was a bit too expensive for what we got.,Date of stay: May 2019,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/K8549SBheleng
Riad Shemsi,ignaciogali wrote a review Mar 2019,40,Great experience,Abdul the best house master ever. Very please to help book taxis city tours etc.  Also great food both ladies cook local food when you arrive when we arrive late at 1am they kindly cook a snack for us.  Rooms and bathrooms are nice and well decorated. No TV in room.,Date of stay: February 2019,Trip type: Traveled with family,"Madrid, Spain",https://www.tripadvisor.com/Profile/ignaciogali
Riad Shemsi,Michael R wrote a review Mar 2019,40,Great stay,We spend four days in the Riad in February 2019.  The Riad is situated in the old part of the town and is very quiet despite the location. The Riad is beautiful and in a good state. The roof terrace is also very nice.  The service was perfect - only smiling and friendly people working in the Riad.  The only reason for not given the Riad five stars - was that the pool to cold to be of any use.,Date of stay: February 2019,Trip type: Traveled with family,"Augustenborg, Denmark",https://www.tripadvisor.com/Profile/A6716WTmichaelr
Riad Shemsi,DHJL wrote a review Feb 2019,50,A terrific find,This little gem is hidden away but as you so off the bustling streets Aneta & Abdul welcome you into this haven where your happiness is their utmost concern.  We wholeheartedly recommend this Riad you will love the oasis and the care and attention to detail.,Date of stay: February 2019,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/DHJL
Riad Shemsi,JamieHarker wrote a review Oct 2018,50,Peaceful Haven,We stayed at Riad Shemsi for a relaxing break after our daughter’s wedding. Sadly we missed our outward flight from Gatwick due to M25 roadworks and lack of diversion signage so we arrived a day late!! Thereafter Noura and Abdul could not have been more helpful despite ropey weather (no fault of their’s). This is a wonderful oasis from the manic world of the Medina and I cannot recommend it more highly.,Date of stay: October 2018,Trip type: Traveled as a couple,"Whitchurch, United Kingdom",https://www.tripadvisor.com/Profile/JamieHarker
Riad Shemsi,Pineplain wrote a review Oct 2018,50,Wonderful home away from home,We had a wonderful week at Road Shemsi. As a group of friends we occupied the majority of the 6 rooms. I stayed in the orange room and would recommend it and the Turquoise and Chocolate (if you can handle stairs) as the largest. The others were a little tighter. The breakfast was lovely and we had dinner at the Riad one night which was lots of fun. Turned up and music and danced away. The kitchen was happy to chill wine and beer for us as well. The rooms are a little dark if you like bright lights and you need to enter via a winding alley - so not good for heels!,Date of stay: October 2018,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Pineplain
Riad Shemsi,kingdomDublin wrote a review Aug 2018,50,A Great Place to Stay,Loved this Riad located close to the Palace inside the Medina. The staff including Abdul Nadya and Zacaria made you feel so welcome - spotless rooms pool and common area with the most delicious breakfast including a vanilla yogurt made by Nadya herself. Easy walking distance to all the sites and a 5 minute walk from a great harman - Hamman a L'Alahbra which i would highly recommend.  Will definitely go back.,Date of stay: August 2018,Trip type: Traveled solo,dublin,https://www.tripadvisor.com/Profile/kingdomDublin
Riad Shemsi,Amelia B wrote a review Jul 2018,50,Fantastic,Thoroughly enjoyed my stay! Perfect location it was peaceful and quiet and a 10 minute walk to the bustling Jemaa el-Fna square. The staff were very welcoming and accommodating (e.g moving breakfast earlier so we could be ready for our day trip on time). The included breakfast was amazing a mixture of traditional Moroccan pancakes and familiar croisants and varied slightly everyday keeping it interesting. The fruit was fresh as well as the orange juice. The room was clean and comfortable and the decoration all over the road was beautiful. I spent most of my evenings either on the roof top terrace with a 360 view of the town or one floor down in the sheltered area with comfortable seating (see picture). Adbdul was extremely helpful in recommending places to eat booking taxis e.t.c. We will definitely return to Riad Shemsi if we visit Morrocco again!!,Date of stay: July 2018,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/ameliab846
Riad Shemsi,martafratini wrote a review Jun 2018,50,Zaccaria the best hoster ever,The room was very comfy and clean. It was just right in front of the pool. The breakfast was amazing. All the staff was always available and helpful. They helped us for the excursions and they looked after us. The riad is peaceful and close to the main attractions. Do not talk to the kids that lives around the area. Zaccaria was the best part of it he made our journey amazing. Thanks zaccariaaaaaaa,Date of stay: June 2018,Trip type: Traveled with friends,"London, United Kingdom",https://www.tripadvisor.com/Profile/martafratini
Riad Shemsi,Pyecombe wrote a review Mar 2018,40,"Nice people, Nice Location, Nice Price",It's impossible to fault the staff or the welcome. MInt tea is always on tap and they cannot do enough for you.  It's located on the outer reaches of the Medina and accessible to a number of great eateries and fine dining.  The food in the Riad is also of a good quality.  The rooms (we stayed in Vanille) though leave a bit to be desired as the walls are paper thin and the plumbing resembles a waterfall when another guest flushes their toilet or has a shower.  The roof top terrace is a great feature with stunning views.  I would not recommend this for light sleepers but its comfortable and the service makes up for the deficiencies in the accommodation.,Date of stay: March 2018,,"Eastbourne, United Kingdom",https://www.tripadvisor.com/Profile/Pyecombe
Riad Shemsi,Costin O wrote a review Feb 2018,50,Best time,It a verry best place to stay in Marrakech. Abdul and Mohamed are the best host i see. Everithing you want this guy resolved. I defenetly come back ! The room are like in photos the place is verry close for everything. Best regard my frends !!!,Date of stay: January 2018,Trip type: Traveled with family,"Syros, Greece",https://www.tripadvisor.com/Profile/costino2015
