Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Royal Mansour Marrakech,MrsWright_10 wrote a review Mar 18,50,"Luxury product, luxury service.",What a fantastic hotel!    Absolutely beautiful luxurious and super food and beverage offerings we stayed in room 19 it was the best room I’ve ever stayed in!    We was greeted by Clement on arrival who is warm and friendly the team and him genuinely care about service and you can see this runs through the entire hotel.    Pool staff also amazing and take great care of you.    We will be back again!    Thanks a million  Sarah and Sal,Date of stay: March 2023,Trip type: Traveled as a couple,Nottingham,https://www.tripadvisor.com/Profile/MrsWright_10
Royal Mansour Marrakech,Kazi A wrote a review Sep 2022,50,More the Excellent truly THE BEST Place to be. Treated like a Royalty.,It is truly THE BEST Hotel I have stayed so far in my travels to over 40 Countries. Its a true Gem of Morocco & its an experience by itself. Very nice & helpful Staff. Perfect location with in minutes by car to most Marrakech Attractions.    Food is good. Riads are Beautiful & Private like your own House. Very tastefully decorated & furnished. Do keep in mind they are 2-3 storied & not all have elevator. Some have Plunge Pool on top floor & very nice sitting area.    Breakfast was included & was Excellent with wide choice of Menu to choose from. Its Priced as Luxury so if you can afford then this should be your choice  no 2nd thoughts.,Date of stay: September 2022,,"Orlando, Florida",https://www.tripadvisor.com/Profile/436kazia
Royal Mansour Marrakech,Brian H wrote a review Mar 16,50,Best hotel experience,"This is the most welcoming and opulent hotel that I have had the pleasure to visit. The quality and refinement of every aspect of this beautiful hotel is mind blowing. The Riads are stunning and combine privacy and ""Old world"" charm with every modern convenience and comfort ... a truly remarkable experience.",Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/brianhA1333YY
Royal Mansour Marrakech,MARIA F wrote a review Mar 8,50,Royal treatment,Unfortunately it was on our last day that we discovered this amazing place .  A great palace in all means.  They welcome us and we're very polity with us  although we only had a coffee break in their facilities admiring the beauty of the palace .  Thank you for having us.  Congratulations fir the excellent work,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/N6268UDmariaf
Royal Mansour Marrakech,efaeh wrote a review Mar 8,50,One of the most beautiful hotel in the world,Staff and Service is amazing ! We specially like the Italian Restaurant but also the French as well as the Moroccan Restaurant are fantasic. The Riad is a dream !  We like the SPA and the Pool with the Restaurant.  All your dirvers are friendly and competent !,Date of stay: March 2023,,"Basel, Switzerland",https://www.tripadvisor.com/Profile/efaeh
Royal Mansour Marrakech,retnyc wrote a review Mar 2,50,Perfect trip,This was our second visit to the Royal Mansour. We had planned to come back in 2020 but everything shut down because of covid. We decided to go back to celebrate my birthday . The hotel and grounds are exquisite and beautifully maintained Even the “smallest” accommodation is a three story riad with every comfort that you can imagine. It looks like what you see in a palace or a museum Every detail is perfect the tiles the ceiling the furniture. The complimentary sweets fruit wine and flowers waiting for us in the room were lovely. The bed was very comfortable and the pillow menu has an wide selection. The tub was huge and shower was invigorating. The toiletries were of the highest quality and were replaced during the twice daily room cleaning. The breakfast was delicious - everything is brought to your table you are not going to a buffet picked over by other guests. The bread and pastry basket fresh squeezed juice and delicious coffee all wonderful. Lunch and dinner was also well prepared delicious and reasonably priced for the setting. The gym is well equipped spotless and towels water fruit and everything else you need for a great workout are provided. Both the indoor and outdoor pools sparkled and were at the perfect temperature. But what really sets the Royal Mansour apart is the staff and the service that they provide. On arrival our riad wasn’t ready and we were offered a lovely complimentary lunch. We had a few minor flaws but they were handled by M. Ayoub who resolved everything ! I mentioned my birthday and the waiters sang happy birthday at breakfast with a delicious cake. Champagne at dinner What a treat! M.Ayoub and Audrey the concierge were both incredibly kind and efficient and really made our visit perfect. In fact every single person we came into contact with was friendly warm caring concerned helpful and provided outstanding service. It was really the best birthday ever. Icing on the cake was when we had to catch our flight at 5 am and we were presented with a beautifully wrapped care package for breakfast as we got into the Bentley for the short ride to the airport. Our driver contacted the fast track guide at the airport. Absolutely the best departure from a hotel EVER! Thank you M. Ayoub and everyone at the Royal Mansour for an absolutely perfect stay. We will never forget it and can’t wait to go back!,Date of stay: February 2023,Trip type: Traveled as a couple,"New York City, New York",https://www.tripadvisor.com/Profile/retnyc
Royal Mansour Marrakech,KarlaRC wrote a review Feb 2023,50,Magnificent !,Absolutely pure perfection. Hotel is absolutely beautiful  impeccable services Riads are pure luxury . Housekeeping and Butler were simply perfection. Magnificent in every leve!!  Opulence and excellence at it best . Thank you for an amazing stay .,Date of stay: February 2023,Trip type: Traveled with friends,"Boston, Massachusetts",https://www.tripadvisor.com/Profile/raica262
Royal Mansour Marrakech,Cherhra wrote a review Feb 2023,50,The ultimate stay!!!,Royal Mansour is the most beautiful hotel I have ever stayed in. The service was exceptional and the 3 floor riad is bursting with the finest detailing one-off furniture and the most exquisite accessories. The Royal Mansour is uber-tasteful.,Date of stay: February 2023,,"Palm Beach, Florida",https://www.tripadvisor.com/Profile/Cherhra
Royal Mansour Marrakech,Douglas A wrote a review Feb 2023,50,THE BEST,I've stayed in many 5 star hotels around the world but the Royal Mansour is definitely the best. The Riads are beautifully crafted. They're private and a little world of their own. The hotel is the Kings' showcase for Moroccan craftsmanship and it shows. The design and work is exquisite. The staff are top rate...very well trained and have an authentic way of interacting with you. I'll definitely be back,Date of stay: February 2023,,"Florence, Italy",https://www.tripadvisor.com/Profile/douglasatkin
Royal Mansour Marrakech,extensivetraveller57 wrote a review Feb 2023,50,Paradise,The Royal Mansour is a haven of tranquility set minutes from the hustle and bustle of the Medina. Beautifully appointed Riads set amongst stunning gardens this is heaven on earth. Staff are friendly attentive and discreet. High end without stuffiness and formality just perfect.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/extensivetraveller57
Royal Mansour Marrakech,Joshua S wrote a review Feb 2023,50,The best hotel with the most amazing staff!,One of the best hotels I’ve ever stayed at with the highest possible service. We stayed for my partners birthday and they made it very special! The food is absolutely amazing and the riads are first class. Would recommend and we will certainly be back!,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/joshuasK912VF
Royal Mansour Marrakech,janiay2023 wrote a review Feb 2023,10,Thieves,The hotel staff will go into your room and steal your money. Mohammed at reception is part of the scam. Be careful not to tell them your activities. Even the safe was tampered with. They stole $10000 from our belongings.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/janiay2023
Royal Mansour Marrakech,LegendaryJ wrote a review Feb 2023,10,A den of thieves. Terrible hotel.,After what seemed like a pleasant trip in an aesthetically beautiful hotel with fabulous rooms the staff robbed us of money in riad 49.. The worst part was that the staff didn’t act shocked and made absolutely no move to help. The next morning we had to complain again and insist on seeing the manager who then came out and told us to go and report to the police because there was nothing they could do about it. They claimed to have over 500 cameras in the hotel and till today have not come back to us on their findings. They didn’t care and couldn’t pretend to. It seemed apparent that they are all in on it.,Date of stay: February 2023,,"Lagos, Nigeria",https://www.tripadvisor.com/Profile/LegendaryJ
