Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Savoy Le Grand Hotel,Peter & Kay T wrote a review Mar 21,10,Unexpected Arrival,This was meant to be a celebration holiday - BA booked holiday -hotel said no room available blamed BA for no confirmation later transpired it was the hotels fault reception was both unhelpful & with attitude problems - totally unacceptable in my view especially late at night - My son in the UK contacted BA the following morning to sort the problem out as the hotel staff would do nothing to resolve the problem - it was eventually sorted out later that morning by my son & British Airways    The temporary overnight stay in a room provided by the hotel had to be covered by a holding debit card,Date of stay: March 2023,Trip type: Traveled as a couple,"Horsham, United Kingdom",https://www.tripadvisor.com/Profile/659petert
Savoy Le Grand Hotel,Katia B wrote a review Mar 19,10,Dishonesty,I was there on a business trip of my husband. I left a gold necklace behind and I knew exactly where. After many calls they told me it was found but I could never get an answer to my emails or whatsapp where I gave my address to have it sent at my home. 4 weeks later I have not got it back. This is dishonesty! The vale of the necklace is not great but it is especially the moral aspect of the whole business.,Date of stay: February 2023,Trip type: Traveled as a couple,"Amersfoort, The Netherlands",https://www.tripadvisor.com/Profile/967katiab
Savoy Le Grand Hotel,Chris D wrote a review Mar 17,40,Ismail Omaima - superstar,The concierge (Ismail Omaima) was excellent - helped us with advice for exploring on our own and organised a brilliant private tour of the 'not to be missed' bits of Marrakech.    Hotel is quite French influenced - some staff were very good and helpful but others are in the wrong job!,Date of stay: March 2023,Trip type: Traveled as a couple,"Newcastle upon Tyne, United Kingdom",https://www.tripadvisor.com/Profile/Chrisequo
Savoy Le Grand Hotel,Mubeen F wrote a review Mar 12,50,Great Stay!!,Recently stayed at the Savoy Le Grand with my wife. Hotel is in a fantastic location. Which is approximately 1 hour drive from Atlas mountains. The staff are absolutely fantastic  Imad serves the best morrocoan tea all day in the lobby for free. Hafiza at breakfast makes amazing fresh paratha's called msemmen. Soukina and Ehsaan at the front desk are extremely helpful when you require assistance. The hotel is connected to Minara Mall which has alot of places for kids to eat on the roof top terrace including burger King. The hotel is 5 minutes away from M Avenue Nobu and So lounge for Shisha lovers. The hotel is next door to Buddha bar.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/10mubeenf
Savoy Le Grand Hotel,Anwar Kunhamed wrote a review Mar 12,40,Amazing Hotel,Great location staff were very helpful specially room service girl Ms. Douniya spacious room with balcony overlooking massive pool entrance to the mall from the hotel over all we had great time at the hotel,Date of stay: March 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/anwark924
Savoy Le Grand Hotel,Rakerone wrote a review Mar 11,50,Excellent hotel with attentive staff.,The Hotel was a great location for us. Only a couple of minutes taxi ride to the Souks Palace and Gardens which we visited. You could also walk and the path ways are beautiful and very accessible and flat. Very close to the airport and a taxi can be easily taken for around 10-15 pounds each way.    The breakfast was brilliant a large selection very good coffee fresh fruit and drinks omelettes crepes and other freshly made foods. The service was excellent. Certainly 5 stars for breakfast and service.    The staff were very helpful the front entrance is manned extremely well and taxis can be taken very easily. Anything you want they were attentive to help.    The pool areas are immaculate and sun beds were always available. We enjoyed the beach type shallow end for our toddler who loved it. The water is cold but when the temperature got to 34 you were pleased of it and the water warmed up. The pool food was very good and we enjoyed the restaurants too fresh smoothies very nice!    We ate at the restaurants and thought the food was of high quality lovely singer in the evening. If I was being critical the service was a little slow for one of the evenings and the restaurant staff weren’t as attentive as the breakfast and front of house.    Finally the Room  we had a lovely room and the bed was very comfortable shower amazing and all in all a very nice room. If anything would take this down to a 4 star rating would be some of the traffic noice when we booked a garden view room and the mini fridge going crazy for 20 minutes early in the morning. We didn’t ask to change room as we were settled and didn’t mind the street view too much and was contextual to what we paid. For a quieter room it would be worth booking an inward facing room pool or ensuring a garden view.    Thank you all at the hotel we would certainly return.,Date of stay: March 2023,Trip type: Traveled with family,"London, England, United Kingdom",https://www.tripadvisor.com/Profile/Rakerone
Savoy Le Grand Hotel,Adam g wrote a review Mar 9,50,Nice stay,Had a nice visit. Rooms are clean and shower is great. Breakfast is is closed and was very good!  Our server AbdulKarim was very helpful and kind during our stay! The hotel is lucky to have this guy!    Happy travels!,Date of stay: March 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/Ate264
Savoy Le Grand Hotel,Khalil R wrote a review Mar 4,50,Great review,Wonderfull hotel    excellent servive breakfast    close to heart of city and a mall wikth eating places close by    staff very welcoming    great ambiance and indoor pool. strongly recommend for families .    lovely lobby    Aziz  Yousuf were helpfull in moving the suitcaes,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/316khalilr
Savoy Le Grand Hotel,Rschagrin wrote a review Mar 2,50,Superb,This is a 5 star Morocco hotel that is very modern . A truly beautiful lobby with some great art work.    The rooms are modern and spacious. They have a very nice breakfast that is included.    The head concierge Maggi was great . He recommended 2 dynamic restaurants.,Date of stay: February 2023,,"Delray Beach, Florida",https://www.tripadvisor.com/Profile/rschagrin
Savoy Le Grand Hotel,DayTrip05829025757 wrote a review Feb 2023,50,Business meeting at Savoy,A very nice hotel. Very advanced equipment especially in the conference space. All staff were good. I would like to express my sincere thanks to technician Mr. mohamed badlaoui  To be a professional  And for anyone who wants business tourism I recommend this beautiful hotel,Date of stay: February 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/DayTrip05829025757
