Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Sirayane Boutique Hotel & Spa,Gareth R wrote a review Mar 22,50,Superb Hotel,I have stayed at this hotel twice now and it really is excellent.  The rooms are clean modern and spacious the facilities are just beyond your expectations and the hotel team are just so courteous and nothing is any trouble.  I really recommend this hotel .  The manager and the owner are visible and are interested in your thoughts and recommendations.  Superb.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/garethrO9065IO
Sirayane Boutique Hotel & Spa,David C wrote a review Mar 13,50,"Amazing Hotel, City and People",Romantic break required to recharge batteries. We picked Marrakesh and this amazing  Hotel to try and do the Job to say both exceeded our expectations is an understatement the weather was a constant 30+ degrees the City is amazing the people very friendly and the Hotel!!! Amazing!! the staff service and Hotel suite were top notch. We had a garden suit with private pool and we never wanted to leave. Myself and my partner have traveled to many destinations around the world and I have never felt so sad to leave a place and head home as I have today. Would recommend 100% it is a little outside the medina but the peace and quite from the craziness that is Marrakesh Medina was a fantastic and welcome contrast for getting the best of both worldswould highly recommend getting to Nomad for the call to prayer and the sunset as well as Kabana and the souks are amazing. Great break amazing Hotel just what the doctor ordered to get a break from the grind and fall in love with romance once more. Thank you so so much Sirayane for a great stay 5*+,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/A2535KMdavidc
Sirayane Boutique Hotel & Spa,andriabalboa wrote a review Mar 13,50,Perfection from start to finish,Stayed in suite 122 with a private pool heaven on earth. It is a good 20 mins from the medina but the hotel provides a shuttle. This hotel is so peaceful and tranquil and the perfect escape from the crazy medina best of both worlds. The staff are amazing and so helpful. Truly been the perfect long weekend. Oh and they make the best Margaritas outside of Mexico!,Date of stay: March 2023,Trip type: Traveled as a couple,"Brighton and Hove, United Kingdom",https://www.tripadvisor.com/Profile/andriabalboa
Sirayane Boutique Hotel & Spa,spearce53 wrote a review Mar 12,50,Beautiful Boutique Hotel,Stayed at The Sirayane Feb 19 - 25. We were looking for a quiet hotel away from the hectic medina and we certainly found it here. It is a wonderfully quiet oasis. The staff are amazing and go out of their way to make your stay better. The food is fantastic. We only booked for B&B but had 3 or 4 dinners and several lunches at the hotel. I have to say that I enjoyed the simplicity of the lunch menu more than the dinner menu so I asked the waiter at dinner if I could get something from the lunch menu and he was only too happy to oblige.  We enjoyed the swimming pools especially the adult only heated pool.  The shuttle service into the Medina was great especially since it’s free.  The hotel itself is beautiful decorated. I loved the library area and the sitting area with a roaring fire for the colder evenings.  We would definitely return to this hotel when we visit Marrakech again.,Date of stay: February 2023,Trip type: Traveled as a couple,"Poole, United Kingdom",https://www.tripadvisor.com/Profile/spearce53
Sirayane Boutique Hotel & Spa,L Cram wrote a review Mar 5,50,amazing oasis - top class service,We stayed at the Sirayane Hotel for 7 nights in February. We were blown away by every aspect of the hotel – the thoughtfulness of the staff the room facilities and garden the stylish public spaces the incredible food the quality of the service and the spa offerings were all outstanding. The hotel provides a genuine oasis of calm which is so welcome after a day in the sensory explosion that is Marrakech. The shuttle bus was regular and completely reliable. The helpful and friendly driver makes the very short trip pleasant and informative. This free service made trips into the hustle and bustle of Marrakech – to the souks and for sight-seeing - easy and fun. It was also great to know that you were coming back to such serenity in the hotel at the end of the day. The pools are both beautiful and well-serviced with day-beds and fresh towels. Neither were ever too busy and the heated adults-only pool is a nice touch. We took a day-trip trip to the Ourika Valley in the Atlas Mountains with a terrific trekking guide – an experience not to be missed. The hotel spa package – with hammam scrub and massage was another beautiful experience - we floated out of the spa and my skin was still baby soft days later. The hotel organised a taxi at a small charge to meet us at the airport and take us back. It is a short and easy journey. A huge shout out to the food and beverages manager the chefs and the waiters at the Sirayane. All the food was delicious (we were half board) but I am gluten intolerant which can be a real pain when travelling and is hard work for those catering. From the very first moment of our arrival – every waiter knew that my room number meant gluten free. I never had to remind staff and every day I was presented with freshly made gluten free treats. At breakfast a waiter would arrive with a platter of new delights specially made for me. At main meals I had no problem selecting from the many naturally gluten free offerings was warned when things were not suitable and always was provided with my own warm fresh gluten free bread. I cannot say how much I appreciated all of this. We would have loved this hotel anyway – but really the way that the staff went above and beyond without making me feel like I was difficult was hugely appreciated. We have already recommended this hotel to others and could not rate it more highly. Do yourself a favour and make this your next escape.,Date of stay: February 2023,,,https://www.tripadvisor.com/Profile/lcram123
Sirayane Boutique Hotel & Spa,Caroline D wrote a review Feb 2023,50,Beautiful hotel with friendly staff,Wonderful hotel with excellent staff. The food was delicious and the games room was a bonus for entertaining the teenagers. We were made to feel extremely welcome and the free shuttle made getting around very easy.,Date of stay: February 2023,,"Newbury, United Kingdom",https://www.tripadvisor.com/Profile/144carolined
Sirayane Boutique Hotel & Spa,Sana slaoui wrote a review Feb 2023,50,Amazing stay 🙏,We had an amazing stay. The hotel and the room are stylish and very clean. The staff very polite and professional. The breakfast was varied with the traditional recipes I loved the Moroccan tea it's an addiction 😜. We also had a spa day with a very professional spa therapist. Thanks to karima who make me feel like a princess. We had a lovely dinner with a romantic set up for the valentine's . We will definitely coming back. Thanks a lot 🙏🙏,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Slaouisanae
Sirayane Boutique Hotel & Spa,Lee wrote a review Feb 2023,30,Our Stay,Not really what we would consider a 5 star by UK US and Caribbean standards. They do try to be helpful and are polite although NO all inclusive here and the best you can expect is Half Board rubbish really. The half board is breakfast and evening meal only and NO drinks. You can't swap lunch for evening meal you just get charged we did. So if your out or don't fancy the same menu again it's tough. The menu is very limited especially for a 5 star which makes meal times boring same little uninteresting eating area and small menu every day is quite tedious. The rooms we had a premium room with pool is worn and tired with lots of little bits of general maintenance required and the same goes for the hotel and the spa (staff in spa texting whilst giving massages not great!) However the staff are polite and try to be helpful the shuttle service is OK but limited by the set times you can use it. We wouldn't go here again better hotels are in Marrakech just not available via Tui who are rubbish.,Date of stay: February 2023,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/leedC7146TK
Sirayane Boutique Hotel & Spa,Jolumini wrote a review Feb 2023,50,Lovely boutique hotel,A wonderful boutique hotel with outstanding service and excellent food - Thank you chef  We have already recommended it to some friends and they will be staying with you shortly  And we look forward to staying with you again when we return to Marrakech,Date of stay: January 2023,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/jolumini
Sirayane Boutique Hotel & Spa,Litespeed1 wrote a review Feb 2023,50,Paradise,Every part of our holiday experience was fantastic. A fresh breakfast every morning with plenty of choice. Three lovely pools one heated with lots of sun beds and room to enjoy the winter sun.    Top staff who can not do enough for you. The free shuttle is a great way of travelling in and out of the city.    Highly recommended we will be going back.,Date of stay: January 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Litespeed1
