Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Sofitel Marrakech Lounge & Spa Hotel,Al-Mahdi L wrote a review Mar 24,50,❤️❤️,got the foutor ta l’orangerie restaurant  there is many choosses  the hostess really kind and they save the same table like yesterday  thank you siham and mounia  also for souhaiyla the manager for this restaurant  chef rédouane amine kabeir zayoue auimane tareke hamzaa anas soufiyan jicham awoir imad eddine  see you tomorrow l’orangerie,Date of stay: March 2023,Trip type: Traveled with friends,Morocco,https://www.tripadvisor.com/Profile/82almahdil
Sofitel Marrakech Lounge & Spa Hotel,Warda B wrote a review Mar 23,50,Lorangerie ❤️‍🔥❤️‍🔥😘,Got our ramaden in sofitel marrakech its so great at lorangerie outside thanks for the girls (Sihame and Mounia)  They working with love respect correct  Also for the manager souheila  We wann to thanks all this beautifull stuff with the group of the music  Kaber hicham essekari chokri amine zayou imade anoir tarek ouhbi aymene  We gonna come back inchallah of course tomorrow,Date of stay: March 2023,,Morocco,https://www.tripadvisor.com/Profile/975wardab
Sofitel Marrakech Lounge & Spa Hotel,Heba A wrote a review Mar 20,50,So lounge,The place is so cozy and the stuff is professional and friendly especially Soufian he was very friendly and helpful you enter as guest leave as a friend I highly recommend the place for anyone who want to enjoy his time,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/hebaaI5990HM
Sofitel Marrakech Lounge & Spa Hotel,Kevin D wrote a review Mar 20,50,Great experience at Sofitel Spa and Lounge,We had the most wonderful experience at L’Orangerie this evening. The food was top notch including the most tender lamb we have tasted in our lives. Above all the service was the best we have ever experienced at a resort by Higham choukri Hali tarik and ayman zawtan. We are especially grateful for the attention of the manager souhaila Monia trabchi amin Addani tarik ouhbi kibir and hamza.,Date of stay: March 2023,Trip type: Traveled as a couple,"Hopkinton, Massachusetts",https://www.tripadvisor.com/Profile/KevinD718
Sofitel Marrakech Lounge & Spa Hotel,engy h wrote a review Mar 19,50,So lounge,I was very happy with my experience with the hotel. The staff is very friendly especially Sofiane he was very helpful and so kind . the food was so good and didn't take along times  Highly recommended ❤️,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/852engyh
Sofitel Marrakech Lounge & Spa Hotel,Gina L wrote a review Mar 19,50,L'orangerie,Diner at l'orangerie restaurant in sofitel Marrakech  Thanks to chef tarik  Souhaila the manager  The hostesse sihame and mounia  And all the équipe of this beautiful restaurant  Kabir hamezza ouhbu aymane zayou anas moufakir imade asoufiane hicham anwar  Its one of the Best we got it in morrocco,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/W9539PQginal
Sofitel Marrakech Lounge & Spa Hotel,Rachid S wrote a review Mar 18,50,Orangerie the best 👍,Nice place with under Space music  Really like this restaurant with the stuff also  Thanks to the manager souha  The hostess Sihame and Mounia  Chef of the bar tareke ouhebi and aymene  Also i want to thanks all the team who works in this restaurant (l'orangerie)  Amaine anas Hicham shokri haly emed and anoiree,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/rachids558
Sofitel Marrakech Lounge & Spa Hotel,CWS wrote a review Mar 16,50,Loved it!!,The food staff and service was amazing 👏 🙌 would definitely come back again.  Special thanks to soukayna who makes us feel confortable and welcomed.  I recommand definitly this hotel for all of tou,Date of stay: March 2023,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/carolinesH5374RQ
Sofitel Marrakech Lounge & Spa Hotel,Ahmed E wrote a review Mar 15,40,Excellent location...very old inside..,Excellent location in the middle of the city. The rooms decoration is old and you feel the rooms are tired and old they definitely need refurbishment...the distance from the lobby and hotel is just crazy have to walk almost for 15 minutes ...food is good...prices are way too high for what is offered..not best value...,Date of stay: May 2022,Trip type: Traveled with family,"Cairo, Egypt",https://www.tripadvisor.com/Profile/134ahmede
Sofitel Marrakech Lounge & Spa Hotel,Omar E wrote a review Mar 14,50,So lounge,Soufian was very attention and responded to all our request. I would definitely recommend coming here and I would return. I cant wait to come back to this shisha lounge when I am back in Morocco. Thanks you,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/omareS9912UI
