Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Sol Oasis Marrakech,Christof lemon pie wrote a review Today,10,Blackpool in the sun.,Just bombarded with rubbish techno all day. Am by the pool now and can’t even listen to my own music on my noise cancelling AirPod pros. Spoken to animation team they just don’t get the fact there us 3 people doing salsa yet the whole of the pool area has to endure full volume salsa along with pre-recorded fairground style announcements. Average age is probably 40 yet we seem to be in a cheap rate Blackpool/Ibiza pool party.    Reception aren’t bothered either so I though I’d write a review. Aqua aerobics next - can’t wait. x,Date of stay: March 2023,Trip type: Traveled as a couple,"Hove, United Kingdom",https://www.tripadvisor.com/Profile/Christoflemonpie
Sol Oasis Marrakech,stevemcwarburton wrote a review Dec 2022,50,Sol Oasis paradise!,Well we have just had a most wonderful 2 weeks at the Sol Oasis. The reviews we read were unanimously positive and we must agree. Being our first foreign holiday since Covid we only got our passports renewed this July we were rather apprehensive of even travelling anywhere let alone flying again to North Africa. But everything went well.  The hotel was refurbished last year and I can honestly say that we had no issues at all with anything at the hotel. The room was excellent everything functioned perfectly including the lighting door entry bathroom and shower fridge and an ace foolproof safe. The cleaner was lovely almost every day you could set your clock by the regularity of her visits plus her cheery smile. Reception staff often a letdown were efficient and pleasant and so helpful. Animation staff as unanimously praised by all reviewers were excellent and not pushy at all. Sam the main man is virtually a mouth on legs! But in a pleasant way. Top marks to Russ and his new wife Susu - what a lovely couple. Had at least 3 meals with Russ and discussed everything under the sun. They got married on November 5th so we taught him the rhyme 'Remember Remember the 5th of November' so he will hopefully not forget their first anniversary. Serving staff in the dining area were all lovely but special praise for Hicham who even made proper English tea in a teapot for us along with some lovely strong but milky coffees. Nothing was too mush trouble for him. Naoual Ilham Zakaria Jallal and Miriam were lovely. Special mention for Mohamed one of the evening waiters!  Food was superb even after 2 weeks we were still being surprised and amazed by the quality and variety. Every meal included 5 or 6 tagines and other Moroccan dishes beef and chicken and turkey were beautiful we even had minute steaks one night. Fish and crevettes were super. There is provision for pizza lovers and lasagna plus chilli con carne etc but virtually the only Western food we ate was a few chips here and there! Desserts were very varied but the Moroccan night biscuits and meringues were amazing.  One of the downfalls of most all-inclusive breaks is the wine often cheap tacky stuff from huge casks. But the wine at Sol Oasisi was of very high quaility - bottled in Spain you can even buy it on the internet! White wine was comparable to what we use at home and how many times are you offered sparkling wine? Beer was imported bottled in Portugal. We enjoyed it.  The grounds are beautiful well tended and we watched with interest as 5 olive trees were brought in on a wagon and planted by the Spa. Gardeners working every day.  Hicham the Tour Guide was most helpful certainly not pushy and helped us to confirm our return transfer via Whatsapp. This being our 3rd visit to Marrakech we weren't really interested in tours but we went on the freebie half day trip to Marrakech and used the hotel shuttle vehicle to enjoy a private potter round parts of the Medina. The shuttles ran roughly every 1.5 hours bookable in advance. Fascinating to see parts of the city on your way to and from the Medina.  We both sadly went down with a cold plus sore throat several days after we arrived but managed to get some appropriate medication at a Pharmacy just about a mile away - the walk there and back was interesting and some of my highlight photos were taken in the housing development surrounding the Pharmacy.  As with most hotels in Marrakech the hotel is roughly a 25 minute drive from the city and is located in virtually a wilderness but we enjoyed meeting up with local goat and sheep herders but what they find to eat was baffling!  In conclusion I would just like to add that this being our first trip after Covid I was so pleased we went for 2 weeks rather than our customary 10 or 11 nights. And would we go back? Certainly would probably the best and most restful holiday we have ever had.,Date of stay: November 2022,Trip type: Traveled as a couple,English in Scotland,https://www.tripadvisor.com/Profile/stevemcwarburton
Sol Oasis Marrakech,Anne0944 wrote a review Today,40,Good and not so good,This is a really lovely resort very clean nice rooms gorgeous pool.  What lets it down is the food. It’s typical all inclusive - never hot barely warmnothing replenished . It is also a little far out from Marrakech although hotel did be provide a shuttle.  Can’t fault cleanliness and staff,Date of stay: March 2023,Trip type: Traveled as a couple,"Bristol, United Kingdom",https://www.tripadvisor.com/Profile/Anne0944
Sol Oasis Marrakech,Janel S wrote a review Today,50,Nice and relaxing stay at sop oasis,The hotel was very nice there was great choice of food in restaurant many activities during the day. If you have kids (up to 10 years) the Sol Oasis is a perfect hotel for you. The kids club is so valuable service that is offered and the ladies Wahiba and Zuzu working at the club super friendly and loved by the kids. They also involved perfectly kids who don’t speak English nor French everything run smoothly kids had different activities starting from archery and football to painting mini disco and kids yoga. Big applause to Wahiba and Sosou for being so nice and taking care of kids.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/561janels
Sol Oasis Marrakech,Danny B wrote a review Yesterday,50,Absolutely the best holiday especially with a toddler,We have travelled the world and Morocco still gives us the best holiday. The staff are unmatched and so attentive. Cannot fault them and they literally become friends.  Perfect for toddlers the staff are amazing,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/F8126SCdannyb
Sol Oasis Marrakech,Helen M wrote a review Yesterday,50,Amazing holiday!,Wonderful hotel who offer fabulous trips to Marrakesh and the Atlas Mountains. The staff are WONDERFUL!! We’ll definitely be coming back! Relaxing during the day brilliant entertainment in the evening. Food was great too traditional Moroccan food which was world class.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/helenmE3294MX
Sol Oasis Marrakech,WOCHAN1 wrote a review Yesterday,50,Relaxing holidays!,We had a lovely time at the Sol Oasis resort. A lot of activities throughout the day for adults and kids. We stayed in a family room which was very spacious. Unlimited food drinks and cocktails available pretty much the entire day. Highly recommend the very popular kids club especially family with younger children. There are also daily shuttles into the city centre from the hotel free of charge which will need to be pre-booked.  We will be back!,Date of stay: March 2023,Trip type: Traveled with family,"London, United Kingdom",https://www.tripadvisor.com/Profile/WOCHAN1
Sol Oasis Marrakech,Van D wrote a review Yesterday,50,Excellent for family especially young children,We had a lovely week with our 2 year old toddler. Highly recommend Sol Oasis Marrakech for any family. The kids club team has been absolutely wonderful the staffs are very kid friendly. Lovely hotel grounds too. We’ll be sure to come back.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/583vand
Sol Oasis Marrakech,J B wrote a review Yesterday,50,Fantastic 4 night get away,Absolutely fantastic hotel! Even better in real life than in the photos. Staff friendly and helpful. Very clean and modern hotel yet with an authentic feel. Room was lovely and food was great. Used the spa for a hammam and massage. Pool area clean and spacious plenty of sun beds and no need to get up early to save the best spot. Went on a trip booked through the hotel to Marrakech city with a tour guide which was well worth it as otherwise we’d have got lost as the souk is a maze! We will definitely come again to this hotel (might bring the kids next time!),Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/V3023GWjb
Sol Oasis Marrakech,Dreamer53323456001 wrote a review Yesterday,50,5* review,Had an amazing time lovely hotel.  I want to give a shout-out to all the entertainment staff and a separate mention to Ross Sam and SuSu!!  Also to Raduoane for the lovely fresh coffee every morning you’re all amazing!!  They are outstanding and really made our stay great.  Because of them is why I’m giving a 5star review!!  I definitely recommend anyone that goes do the quad biking absolutely amazing and really reasonable price. Works out 50€ for 2hours riding.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Dreamer53323456001
