Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
The Central House Marrakech Medina,ivana n wrote a review Mar 22,50,Best hostel of Marrakech,I went with a very large group of 46 people. The hostel was so flexible and the people and the owner so friendly. They did everything they could to make our stay as good as possible. They helped me with reservations for dinner with this big group and made sure we could get breakfast every day. The hostel itself is a place of calmness in the chaos of the medina. It is beautiful and relaxed vibes when you go to Marrakech you really should stay here! The location is also perfect because in a few minutes you are in the middle of the medina.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/Vakantiegirl
The Central House Marrakech Medina,Anton K wrote a review Mar 17,50,Amazing amazing amazing,Sicerely guys the best experience ever!! Amazing hostel! In an amazing part of the city! You have everything what you need!  All the staff is really welcoming and helpful for anything you need!  You’ll meet a lot of other travellers and make new friends! Love that!  Overall a 15 out of 10! Just book and enjoy the stay in this beautiful and amazing place.  I’ll definitely come back!,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/antonkW1558JQ
The Central House Marrakech Medina,Braxton P wrote a review Mar 13,50,Best hostel I've ever stayed in,This hostel is in the perfect location and is very safe feeling. The staff was very friendly and accommodating. They gave us tips on where to go for food shops and even what time to arrive at the airport. They had 3 levels with an upper rooftop and a bar downstairs with food that we ate every morning lunch and dinner. Only negatives were that the pool was freezing the hostel was a little strict (12am bedtime),Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/209braxtonp
The Central House Marrakech Medina,Janet wrote a review Mar 12,50,By far my best trip all in all.,Despite going on a solo trip - my first ever..I still can’t express enough how much fun I had.  To begin with every single staff member here is amazing and so accommodating especially the bartenders. Very clean and good sized rooms you have privacy but I’d say it’s also very easy to socialise with your roommates (stayed in a 6 bed female dorm) if you want to as well as other guests! The location is in the centre of pretty much everything easy to walk to places and not actually complicated to reach if you ask me all the reviews I read saying it’s hard to locate were exaggerated (provided you have data and use maps you’re fine).  Also Marrakesh in general didn’t feel scary for me as a solo traveller either so long as you don’t come home past 11pm ish by yourself!,Date of stay: March 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/jan2342
The Central House Marrakech Medina,Max P wrote a review Mar 7,50,A special place in the heart of the Medina in Marrakesh,Amazing location in the Medina of Marrakesh. It is a very safe place to stay at. You can reach every attraction from here by foot easily. Very friendly personnel always up for helping you and giving you advice and the rooms were super tidy as well! I would totally go here again. Thank you for the great experience!!!,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/PaasAdventures
The Central House Marrakech Medina,Alexa O wrote a review Mar 2,50,I loved it,Everything was amazing the only thing is that they don’t give you shower gel or lotion. So make sure to bring yours! The attention was great and the people are very polite and lovely! I definitely recommend this place,Date of stay: February 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/364alexao
The Central House Marrakech Medina,Vera B wrote a review Feb 2023,50,"Do it, you won’t regret it!",Best place for starting to discover Marrakesh!  Calm and beautiful oasis in the hustle and bustle of the medina.  Super clean good beds (hard but good for your back 😉) nice rooms good breakfast and what’s best - friendliest staff ever!  Always there for all kinds of questions very helpful would stay there again any time.  Thanks a lot guys!,Date of stay: February 2023,Trip type: Traveled solo,,https://www.tripadvisor.com/Profile/verabD9104LK
The Central House Marrakech Medina,Melanie R wrote a review Feb 2023,50,Great accommodations for your trip to the Souks,Absolutely great stay at the Central House. Easy to book online with accurate room descriptions and decent prices. Clean rooms with A/C and heat comfortable beds and nice bathrooms/linens. The breakfast was wonderful as was the very helpful front desk staff. Our party spent plenty of time at the fun bar in the hotel's beautiful courtyard. We enjoyed drinks great music provided by the best bartender named Mouad and a flavorful menu. A fitting end after a day wondering the souks of Marrakech.,Date of stay: February 2023,Trip type: Traveled with friends,Curaçao,https://www.tripadvisor.com/Profile/melanieDCr
The Central House Marrakech Medina,Stuart F wrote a review Feb 2023,50,Oasis,Marrakech is a very bustling city but this is an oasis of calm in the busy medina. It is bigger than other riads I stayed at and as a result can afford a professional front desk and much better facilities. There is a beautiful large rooftop deck as well as a ground level swimming pool. It is by far the best place I stayed in Morocco.,Date of stay: January 2023,,,https://www.tripadvisor.com/Profile/stuartfP3760OH
The Central House Marrakech Medina,Bonnie P wrote a review Feb 2023,50,Good value,Good value and there’s a restaurant/bar open until 11 PM! Cars can’t drive in there so porters want to carry your bags which is fine but they are not happy with what you give them. I saw another family come in and the porter demanding more. Just to be clear they are separate from the hotel.,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/S7009ARbonniep
