Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Tigmiza Boutique Hotel & Spa,Claire C wrote a review Yesterday,50,"Amazing hotel, luxurious and baby-friendly",I don't usually write reviews but we just had the most amazing holiday at this hotel. We travelled with our young baby and everything was just perfect! We booked one of the rooms with a private pool which turned out to be a 1 bedroom villa which was perfect for putting our daughter to sleep in the evening and then being able to relax downstairs by the pool/on the patio with a glass of wine. For a holiday with a baby the hotel had all the practicalities of your own villa with space & a lovely cot set up but all the luxuries of a hotel such as having the room made up each day and being able to order room service each evening which was amazing! The staff were also brilliant - they had a baby seat in the shuttle bus which went into the medina every day and there were highchairs and heated pools so we could enjoy all the areas of the hotel with our daughter who loved swimming and having her breakfast in the beautiful sunny dining area. The staff even let us make up lunch from the breakfast buffet to take away for our daughter every day. The staff were so friendly & kind and made us feel so welcome. It's a beautiful hotel with amazing staff and one of the best places I've stayed in! Thank you to all the staff who made us feel so welcome - we will definitely be coming back.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/V2553RCclairec
Tigmiza Boutique Hotel & Spa,Esther wrote a review Jun 2022,50,So personal and attentive service towards guests.,This is a truly lovely boutique hotel. A tucked away hidden gem in Marrakech do you know what makes this place tick all the right boxes ? It has to be undoubtedly the people who work here.  The staff will do all they can to make your stay comfortable and they were so warm and caring we wish we could have stayed longer than a week.  We were on bed and breakfast only but had lunch and evening meals and a bottle of wine every day here and the total cost was not expensive.  Loved the English style pub bar with its sumptuous leather sofas the quirky trumpet and saxophone lamps. Great place to come to before dinner.  They even allowed me to play my play list of music whilst in that bar and I have to thank the lovely bar man for letting me do that. He is an absolute gentleman who really looked after us on those evenings and we appreciated the little pastry snacks to have with our drinks. Please remember us to him.    Love Esther & Chris,Date of stay: April 2022,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/472esther
Tigmiza Boutique Hotel & Spa,Mohamed walid ROUDE wrote a review Jan 2023,50,Simply the best <3,The best place to be! Professional highly qualified and very kind staff...Private calm and charming place I feel home every time I'm there! Indeed home is a feeling and not a place! can't thank the the staff enough ..!    Mohamed Walid ROUDE,Date of stay: April 2022,Trip type: Traveled on business,"Casablanca, Morocco",https://www.tripadvisor.com/Profile/mohamedwalidr2021
Tigmiza Boutique Hotel & Spa,Dainis K wrote a review Dec 2022,40,Place to come back!,Charming place little bit outside the Marrakech. Relaxing atmosphere nice 2 floor villas with a private pool and terraces. Very professional and helpful staff and great manager Amine. Breakfast serves both: local Moroccan and well as European style. As expected locally - plenty of pancakes. Nice lunch menu at the pool area.  As a things to be improved: reception area need some refreshment as well as main dinner restaurant (the same place as for the breakfast) has no dinner type ambiance and need little bit more luxury. Local dinner is not expensive but jammy however may be enough for one night. In 15 minutes you can go to other Marrakech restaurants in the city but reservation is strongly recommended (ask converge she is very helpful with great advises).,Date of stay: December 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/512dainisk
Tigmiza Boutique Hotel & Spa,Chaoui M wrote a review Nov 2022,50,Wonderful holidays,Stayed in this beautiful hotel with 4 hectares surrounded by gardens.We stayed in the best suite of the hotel(black and gold) with its cozy and modern decoration.We had morrocan meals which we really enjoyed especillay the marrakshi tangia.  Special thanks to the front office team for their professionalism.  It was really a perfect stay in this beautiful hotel we can’t stop thinking to be back to visit you.,Date of stay: August 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/chaouim488
Tigmiza Boutique Hotel & Spa,David 7 wrote a review Nov 2022,50,Amazing Stay,We stayed in a beautiful one bed room villa with heated pool which was beatifully decorated.The hotel is really a perfect oasis far from the hustle and bustle of the medina.It located in the part of the palmeraie surrounded by hotels and private villas.  We spent a week in Hotel Tigmiza which is really a five stars with a dedicated staff starting from the reception till the food and beverage servicehousekeeping and not forgeting the spa team.  It is one of the best hotels if you are looking for a luxurious experience.  All in all we enjoyed it and we will be back soon Inchallah.,Date of stay: October 2022,Trip type: Traveled with family,,https://www.tripadvisor.com/Profile/Stoneoneline
Tigmiza Boutique Hotel & Spa,Chlowman06 wrote a review Nov 2022,10,awful experiene would not recommend,my partner found a maggot in his bar food no compensation. hotel manager actually got defensive.    were told we could shower before we caught our flight when we went to get the temporary room they said we were unable to use it.    very aggressive manager.    there was an event going on so most of the staff were busy with that and you couldn't ever find anyone to help with any questions or queries.    couldn't book into the spa or the restaurant we wanted.    just all a bit of a bad experience from start to finish. would not recommend or go back,Date of stay: November 2022,,Brostol,https://www.tripadvisor.com/Profile/Chlowman06
Tigmiza Boutique Hotel & Spa,hanspeter b wrote a review Nov 2022,50,Wonderful stay at Tigmoza,Wonderful & dedicated staff who always goes the extra mile! Delicious cuisine! Lavish gardens! Stylishly decorated rooms! Nice pool area. Very child friendly! Great cooking classes with chef mohammed where we learned to prepare a tasty chicken tajine!,Date of stay: November 2022,Trip type: Traveled with family,"Crissier, Switzerland",https://www.tripadvisor.com/Profile/hanspeterb57
Tigmiza Boutique Hotel & Spa,TAL1241 wrote a review Oct 2022,50,Fantastic stay,We had a great week here the hotel is slightly out of town but has a free shuttle bus we had a beautiful 1 bed pool villa.  Staff are wonderful nothing was to much trouble for them and made the holiday for us especially after one of our cases didn’t arrive at the airport  they couldn’t have been more helpful in helping to sort things out,Date of stay: October 2022,Trip type: Traveled as a couple,"Shropshire, United Kingdom",https://www.tripadvisor.com/Profile/TAL1241
Tigmiza Boutique Hotel & Spa,bradleysilver64 wrote a review Oct 2022,40,Beautiful and great service just one point,What a great place to stay unwind and be served charmed by the grounds and every member of staff  One issue only. WIFI just was sketchy at best  So if you have a need to be connect for something important then consider doing this off site currently.    A note for the hotel perhaps consider reviewing the wifi signal ? It would then make you great    Really great place overall,Date of stay: October 2022,Trip type: Traveled as a couple,"London, United Kingdom",https://www.tripadvisor.com/Profile/bradleysilver64
