Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Valeria Dar Atlas Resort,Andreia O wrote a review Today,50,Enjoyable,Amazing experience loved the difference thought was decent  Deffo would be back  A lot of things to do and staff are very friendly and nice  Food could have a bit more variety for different tastes but wasn’t bad I was suprised to like some of them flavours,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/andreiao787
Valeria Dar Atlas Resort,Loz wrote a review Yesterday,30,Nice but nothing special - bang average,Overall it’s a nice hotel but could do with a bit of cosmetic work. Food was average nothing special and the same options most days - rice vegetables and meat. Animation team were great and created a good atmosphere around the pool plenty going on all day. Was a nice week away but wouldn’t return to this hotel,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Lo_rob1993
Valeria Dar Atlas Resort,Freedom64579811728 wrote a review Yesterday,50,Coming back is a certainty,The hotel is spectacular there are always activities to do the entertainment team is five stars we have to mention Mario who was always available and taught us about the culture too. We couldn't have chosen a better place to stay.,Date of stay: March 2023,Trip type: Traveled with friends,"Seixal, Portugal",https://www.tripadvisor.com/Profile/Freedom64579811728
Valeria Dar Atlas Resort,Esther N wrote a review Yesterday,50,Best time in Morocco,The hotel is very beautiful. But the highlight was the entertainment staff big big shout out to:  Yara Maria fairouz oumi amine rico Sam smiley Sania Mario mido all made our hotel experience great!    Also a big shout out to the guest manager Zouhair !    We had a great stay,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/esthernQ8895JM
Valeria Dar Atlas Resort,Batemans wrote a review Yesterday,30,Somewhere different with sunshine,Thought we were try Marrakesh. Chose the Dar Atlas Resort as good price and all inclusive (which we don’t normally do) just wanted to relax and enjoy the sun.  The Hotel is ok Good points plenty of sun beds no reserving with towels happening. Big pool however very cold at moment but after a couple of minutes in it you adjust and it not so bad. Food is pleasant and plentiful at meal times food is not labelled to say what it is so you have to guess what it is. Lol.    One main bar. Drinks if you want cocktails forget it also the beer is served in sprit glasses so 2 swigs and it gone. However the beer is not weak it’s a reasonable 1/4 pint 😂.    The staff all seemed friendly. The entertainment is lacking professional acts. Basically you get the pool day team dragging people up to dance with them. No singing just music playing. Shame as live music would make the evenings more enjoyable for us.    Room was a bit tired and old but bed comfortable and nice sheets etc. No kettle. Also we had no furniture on our outside terrace. There seemed to be a struggle with towels at one point as ours got taken by cleaner and not replaced twice. Even thou we hung up as still want to us. I heard other people had same issues. (Maybe struggling with demand of people) . It was all good after the until last day. Went to breakfast came back & all towels gone😂    We caught the bus into Marrakesh which is 20 md return each booked in advance. Well worth a visit. Very chaotic but enjoyable. We also did a 4x4 into the Atlas Mountains booked In hotel very little explanation of the day. It turn out ok. Views great but some of the stops and lunch could of been better.    All in all we enjoyed our stay but if to return we would probably try another Hotel. At best I would say its a 3-4 Star hotel but pleasant.,Date of stay: March 2023,Trip type: Traveled as a couple,"Caterham, United Kingdom",https://www.tripadvisor.com/Profile/BatemanWakelings
Valeria Dar Atlas Resort,Tia A wrote a review Mar 23,50,"Beautiful grounds, great staff! X",Beautiful hotel the garden is breath taking!  Super fun entertainment the staff are 10/10 games belly dancing tournaments ect.  Yara Maria fairouz oumi amine rico Sam smiley Sania Mario mido all made our hotel experience great!,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/tiaa895
Valeria Dar Atlas Resort,Catherine D wrote a review Mar 22,50,Amazing,Amazing staff members here they look after you so well the food is really good as well and the atmosphere is so relaxing it’s perfect for people that want a relaxing holiday but also want things to do,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/catherinedV666PQ
Valeria Dar Atlas Resort,Kornelija S wrote a review Mar 20,30,nothing special. no back,housekeeping very good 👍 evening bar staff very good 👍 hotel reception living in different planet 😄😄😄 asking umbrella in our room terrace because is too hot and very sunny 😄 for them is so weird 😀 say nooo....sorry no sunbeds too😄 hotel maybe modern but still u can feeling u are in Africa look like Europe hotels 100 year ago ;) food average... and if u want buy 4 packs of 1L juice u will pay 26£ 😁😁😁 resume... need at least 50 years to fix everything 😄,Date of stay: March 2023,Trip type: Traveled as a couple,"Newcastle upon Tyne, United Kingdom",https://www.tripadvisor.com/Profile/kornelijas2016
Valeria Dar Atlas Resort,Louis R wrote a review Mar 18,50,BEAUTIFUL,The staff here are excellent and have made my time here great. I highly recommend staying here if you want to have an amazing time.  @yaraSamMidoRicoAyoubmariasaniaoumi aminehicham great job and hope your here next time❤️,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/G9002LTlouisr
Valeria Dar Atlas Resort,Kameron B wrote a review Mar 18,50,"Fantastic stay, highly recommend",My stay on Atlas resort was so amazing the staff are so so friendly and they made me feel so welcome. Yara  Maria Sam mido rico aminHicham yayasania and oumi was especially amaxing and they made sure we had fun and included us in all the fun activities. I deffo recommend staying here for anyone who’s looking for a good time.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/994kameronb
Valeria Dar Atlas Resort,Lima-India wrote a review Mar 18,50,We had a great time!,We had a fantastic 5 days at the hotel. The entertainment team work so hard and are such good fun. They do a nightly show which is great fun - and it's a real work out to do one of their dances. You need to be discerning with the food but both the servicing staff and the entertainment staff work so hard to provide a fantastic holiday.,Date of stay: March 2023,Trip type: Traveled with friends,"Sheffield, United Kingdom",https://www.tripadvisor.com/Profile/Lima-India
Valeria Dar Atlas Resort,Adama C wrote a review Mar 18,50,The best experience of all the holidays we had sofare.,The hotel is very goodgood food friendly staffs good entertainment. We make good friends like YARA is wonderful person she is very kind and also  OUMIE is nice person. Hotel management please  Please look after this two girls they are wonderful  We would like to rate them 10 out of 10.  We enjoyed our stay and we would like to come back.  Thanks for looking after us.  Mr Mrs A Cham and daughter fatou .,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/348adamac
Valeria Dar Atlas Resort,Denise N wrote a review Mar 17,50,Dar atlas,Shock animation team rich and varied programs  special thanks to (sania SamoumiMariayaramido ricoaminefayroz ) for their availability.  Restaurant has a lot of options to eat level.VAried and unlimited cocktails at bar,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/denisenM4877EC
Valeria Dar Atlas Resort,bailey ann wrote a review Mar 16,50,Review,Animation team are amazing good if you like doing activities. There is a relax pool if you like it to be peaceful. Food is very nice.. especially the pizza it’s my favourite. Bar staff are lovely and the weather is so nice 30 degrees in March :),Date of stay: March 2023,Trip type: Traveled with friends,"England, United Kingdom",https://www.tripadvisor.com/Profile/iphonei520
Valeria Dar Atlas Resort,Clare B wrote a review Mar 15,50,Amazing week!,Just back from a week at this hotel!    After reading some reviews was a bit worried about going but honestly there was nothing to be worried about.    The hotel was lovely clean and fresh and the grounds were beautiful to walk through the rooms were clean and fine- could do with an upgrade but were clean and we had no problems!    The activity team were absolutely amazing always including you but leaving you alone if that’s what you wanted sammido and coco rico especially were amazing!    The pool was freezing but once you got in it took a few mins and was fine!    The food was lovely a lot wasn’t labelled which wasn’t too great for my partner as he has allergies however everything I had was amazing g and fresh couldn’t have complained.    Every staff member was absolutely fantastic attentive and strove to answer any questions we had.    We booked all our excursions through the hotel and the staff there are second to none really took the time to explain and go through it with us so we got the best experience.    Mitchum at the bar could not have been better he really made our holiday with the fantastic service we received so a big thank you!    Mr tash also- fantastic    Don’t let the reviews put you off,Date of stay: March 2023,Trip type: Traveled as a couple,"Glasgow, United Kingdom",https://www.tripadvisor.com/Profile/L4700UZclareb
Valeria Dar Atlas Resort,Pam B wrote a review Mar 15,50,Holiday with daughter,Club Marmara Dar Atlas  Google review summary  4.0  1157 reviews  5 ★  4 ★  3 ★  2 ★  1 ★  Reviews on other travel sites    ZenHotels.com  8/10 · 6 reviews  Reviews  Search reviews    Pam Bhadesh  5/5  2 days ago on Google  This is the best place for long holidays amazing staffs attitude always friendly smiley faces and helpful. They make your holidays memorisable and have so many activities and fun they get you involved in all the activities and they put on amazing shows. Morocco culture show Is amazing. Food is very bland but you get a variety. Very good pool neat and clean. You can have amazing time in this resort. It is not costly if u book before time. Recommend to come once must. I give it 5 *****,Date of stay: March 2023,,"London, United Kingdom",https://www.tripadvisor.com/Profile/pambH1285JZ
Valeria Dar Atlas Resort,Malik wrote a review Mar 15,50,Nice break b4 ramadan,Amazing place food very nice and loved the breakfast with so many choices.  Pool very big and rooms spacious  Zahour and samir very nice people.only disappointed was that u have to pay to use gym which was £10 a day.  I used the football ground to do my morning jog. Coming back in June.,Date of stay: March 2023,,,https://www.tripadvisor.com/Profile/Malikhaji
Valeria Dar Atlas Resort,Jaya S wrote a review Mar 14,50,11/10,Amazing Staff! super friendly and lovely. Maria & Yara sweet and friendly made us feel very welcomed. Bar staff and reception were very helpful and the hotel and shows/entertainment were amazing and very fun to watch.,Date of stay: March 2023,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/jayas699
