Hotel_Name,Review_Date,Review_Rating,Review_Title,Review_Text,Reviewer_Date_Of_Stay,Reviewer_Trip_Type,Reviewer_Location,Reviewer_Profile_Link
Villa Makassar,Fabio C wrote a review Mar 22,50,Great Marrakech experience in a cozy riad with extraordinary gentle staff,Very nice and cozy riad. Gentle staff nice room great service. Convenient location in the old city centre near to all major touristic spots but out of the chaotic very central area. We arrived late on a Monday morning after a rather tiring trip and they were so kind to offer a free breakfast!,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/Z3601XWfabioc
Villa Makassar,Katinka wrote a review Jun 2022,50,The most amazing experience,This Riad is the most amazing place. The staff is so friendly and accommodating. Marrakech is a busy city but as soon as you walk though the door here you feel at ease and completely calm. The Riad is amazing for art deco lovers. The rooms are beautiful and so is the rest of the Riad. There is a spa a pool and a jacuzzi on the rooftop. The breakfast and restaurant are very good and high quality. I would definitely recommend staying here if you have the chance. I will be returning!,Date of stay: June 2022,Trip type: Traveled with friends,"Apeldoorn, The Netherlands",https://www.tripadvisor.com/Profile/Katinka_F89
Villa Makassar,Lesley B wrote a review Mar 9,50,"Classy, chic hotel",We stayed at the Makassar hotel for a week and from the moment we walked through the door felt at ease as though we had stepped into another world from the busy streets of the city. Privileged to be staying in an original design art deco riad. The room and bathroom were really special made out throughout to an art deco design. We were charmed by the house buntings hopping in the interior courtyard while we enjoyed a leisurely breakfast where we were offered a selection of cakes and refreshing fruit salads and yoghurts and copious amounts of coffee. All the reception and restaurant staff were friendly and helpful. Trips and transport seamlessly arranged. A good location within easy walking distance of the main square and the Bahia Palace.,Date of stay: March 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/lesleyb875
Villa Makassar,Denn15711 wrote a review Feb 2023,50,Beautiful hotel with incredible staff,The hotel is beautiful with really thoughtful art deco design in a very grand building. The staff are incredible particularly the new manager Samira who helped with making a restaurant booking for us and organising treatments and taxis.    The roof terrace was lovely and the weather warm considering the time of year. The top pool and jacuzzi were not in use but that didn't matter we used the jacuzzi in the spa.    The rooms are lovely and well equipped - we stayed in a junior suite - boutet de monvel. It's a nicely decorated dark room situated on the first floor with the courtyard below and benches outside. The shower is very modern with a radio and cool lighting.    Breakfast there is really good especially the fresh orange juice and cake each morning.    We had dinner in the restaurant one night and it was nice. You can buy wine with your meal or the mint tea is good.    The hammam and treatments were very relaxing ... would recommend.    The hotel is located in the old town and we felt very comfortable walking through the souks to the main square for haggling with the very friendly sellers. We bought lots of little trinkets to bring back.    A lovely experience overall in Morocco and cannot wait to come back.,Date of stay: February 2023,Trip type: Traveled as a couple,Hove,https://www.tripadvisor.com/Profile/Denn15711
Villa Makassar,Richard R wrote a review Feb 2023,50,Fabulous hotel where nothing was too much trouble!!,Everyone at Villa Makassar made our stay special the rooms were superb fabulous roof terrace lovely restaurant for breakfast and dinner all in the old Kasbah in Marrakesh. Everyone in the team were so kind nothing was too much trouble we’ll definitely be back! Thank you for a wonderful stay!,Date of stay: February 2023,Trip type: Traveled with family,"Knaphill, United Kingdom",https://www.tripadvisor.com/Profile/RichardR590
Villa Makassar,Saul P wrote a review Feb 2023,50,5 Night Stay,We enjoyed an excellent stay at Villa Makassar for 5 nights in late Jan.    Visual:  Taste may be subjective however I loved the stylish art deco decor. Everything was clean and housekeeping ensured our room was kept tidy throughout.    Atmosphere:  Perfect if you're looking for a quiet relaxed stay. With a relatively small number of rooms it's an escape from the madness of Marrakech. It gives the hotel a very personal feel with staff trying their best to accommodate you (personal thanks to Samira). The rooftop was ideal for chilling out in the sun too.    Experience:  Overall it was a great place to unwind. Not too far from the centre of the medina (about a 15min walk) so it was easy to explore the city on foot. Loved the hammam in the downstairs spa - just need to book it and use of the jacuzzi in advance. Only criticism would be the WiFi was a bit patchy but more of an excuse to enjoy your surroundings!,Date of stay: February 2023,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/721saulp
Villa Makassar,Jo C wrote a review Dec 2022,50,Amazing! Loved Villa Makassar!,We stayed at Villa Makassar for 5 nights in November and had the best time! Villa Makassar is so nice! You walk in through a modest entrance where you wouldn’t even really notice there’s a hotel from the outside. Then you step inside to an oasis… calming music gorgeous designs soothing scents and fresh mint tea and cookies are there to welcome you upon arrival.    The room was spacious comfortable and clean. Large bed and every day they would clean the room and light fresh incense so it smelt amazing. The Art Deco style all around the hotel is beautiful and gives it a unique feeling.    The staff are amazing and will go above and beyond to make sure you have a good stay. They also helped book excursions and brought out cake on my birthday to make it extra special. The spa was soooo nice and relaxing and we had great massages.    We had a 3 course dinner at the hotel on the first night- delicious! Every morning for breakfast they brought out different treats and were happy to cater to special food requests any time of day.    Honestly can’t recommend this hotel enough and would definitely stay again next time we’re in Marrakech.    Thank you so much to all the staff for making our stay so lovely!,Date of stay: November 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/jocT6947OT
Villa Makassar,Theboss w wrote a review Nov 2022,50,A JEWEL in an amazing city. Villa Makassar comes highly recommended. Thank you for looking after us.,WOW! What an amzing find. Such a stunning hotel; beautifully decorated and very clean and comfortable. The bed and pillows were super comfy.  More important ALL of the staff really looked after us they could not do enough for us. Jamelia was gorgeous to us.  We used the SPA and had a hammam and a massage  Amazing!!  The hotel is in a really great area super safe. This place comes highly recommended,Date of stay: November 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/thebossw378
Villa Makassar,Yasmine wrote a review Oct 2022,50,Splendid Experience - Couldn’t Recommend Enough!,We spent a few days shy of two weeks in Marrakesh sometime in mid-August this year.    Our trip was filled with wonder and adventure. The area in the Old Town in which Villa Makassar stands in was ideal for us - the hotel’s immediate surroundings are calm yet well-connected and the hotel is just down the road to an array of vibrant local shops businesses and squares.    Luckily for us we travelled during a relatively calmer time of the year - there weren’t many tourists. The staff at the Villa Makassar were extremely accommodating and proved themselves to be excellent hosts like none other.    We stayed in the Junior Suite which offered us everything we needed. The breakfasts were an absolute delight we still dream of them to this day. The lunch and dinner services are just as excellent.    The spa services were relaxing and helped us regenerate before our day trips that the hotel helped us organise. We recommend the trip to the Atlas Mountains!    We cannot express how grateful we are to all the staff at the Villa Makassar from the cooks to the cleaners from the reception staff to the spa specialists and finally the administration. We will definitely make our way back and we’ll definitely be staying with you again!    Special thanks to Salma Abdel Youssef Jamila Ali and Ibrahim.,Date of stay: August 2022,Trip type: Traveled as a couple,,https://www.tripadvisor.com/Profile/YR2703
Villa Makassar,George W wrote a review Oct 2022,50,Amazing experience,The most amazing experience from start to finish we would definitely recommend and return here in the future. The staff were all so friendly and attentive the hotel was beautiful cool stylish relaxing.  No time limits with food you could eat drink or snack when ever you want.  It was quiet and peaceful a good distance away from the busy markets. I recomend you eat breakfast downstairs in the courtyard and dinner and drinks on the rooftop terrace. I don't usually leave reviews but I would give this place 10 stars if I could. Thank you to everyone at Villa makassar for making mine and my wife's anniversary that bit more special,Date of stay: October 2022,Trip type: Traveled as a couple,"Congleton, United Kingdom",https://www.tripadvisor.com/Profile/Gwilde76
Villa Makassar,Laurence wrote a review Sep 2022,50,A flawless retreat,Villa Makassar is a stunning property and the perfect place to stay in Marrakech if you need tranquility and relaxation.    Fouad Salma and the team go above and beyond to ensure the stay is as comfortable and tailored to your needs as possible.    Couldn’t recommend highly enough.,Date of stay: September 2022,Trip type: Traveled solo,"London, United Kingdom",https://www.tripadvisor.com/Profile/lozp15
Villa Makassar,Victoria W wrote a review Jul 2022,50,A WEEK IN PARADISE,Coming back to the Villa Makassar felt like coming back home the wonderful staff made an absolute fuss of us and I have to say our rooms were spacious and stunning with beautiful Art Deco objets .  With all the Covid issues we weren’t able to travel for a long time  so I can’t tell you enough how great it was to come back and be spoilt this way !  We each had an hour massage in their spa  the masseuse used this delicious verveine oil  a fantastic way to start our holiday in Marrakech.  We decided to have our aperitif drinks every evening our their stunning roof top  watching the sunset  what a sight !!!  All in all had a fabulous week in a magical place  thank you Villa Makassar  we shall définition come back .,Date of stay: June 2022,Trip type: Traveled with friends,,https://www.tripadvisor.com/Profile/A5176CTvictoriaw
Villa Makassar,Phoebe wrote a review Jul 2022,50,Wonderful hotel!,Myself and my Fiance spent 5 nights at the fantastic Villa Makassar in May 2022 and honestly we wish we could have stayed longer! The hotel itself is so beautiful and interesting- the stunnng pool and roof terrece are just what you need after a busy morning exploring Marrakesh. We stayed in the superior suite which was beautiful! What really stands out though is the staff- they make the place. They are incredibly friendly and always go out of their way to help you and make your day. The food is also delicious- there's always a different breakfast which is a fun surprise each morning! The location is also great as it's about a half hour walk into the medina which means you're at a perfect distance from the hustle and bustle and can have some calm. We can't wait to return!,Date of stay: May 2022,,,https://www.tripadvisor.com/Profile/Pheebs44
Villa Makassar,Pauline G wrote a review Jun 2022,50,Offsite with VILLA MAKASSAR,Went to Marrakech for business offsite !  Had the chance to go to their Riad in Atlas Mountain as well as their Riad in the city centre ! staff is adorable and welcoming ! The food is awesome and both venues are magical !  We ve done a cooking class with mountain view ! It was memorable ! Salma has helped us so much with organising ! She knows what she is doing and is a plus for your trip organisation ! On top of all Memories will stay for ever ! They deserve a big SHOUT OUT !,Date of stay: May 2022,Trip type: Traveled on business,,https://www.tripadvisor.com/Profile/O9326EZpaulineg
Villa Makassar,William M wrote a review Jun 2022,50,"I need to write 5 reviews!!! Fantastic place, fantastic people.",This is the most personable hotel I have ever been to and I have stayed in some nice hotels. They will greet you with a warm welcome. On occasion I sat down and talked with several of the people while there. They were encouraging and helpful.    The airline destroyed my suitcase - Tumi. Zipper mangled and unusable - large number of teeth gone. They sent it out and had a new zipper in 1 day. Cost was about $15. They personally walked us to a store we needed to go to. Wasn't far but not readily identifiable. My special thanks to Brahim. I would like to mention everyone but he really helped.    It is a beautiful historic hotel/house. Very spacious and comfortable. When you enter you are in a comfort zone which is a nice contrast to the streets of Marrakesh. There is a small pool area and a spacious rooftop area. It feels like you are in a very nice home. The art deco touches were done long ago.    Easy walk to get to some places like Bahia Palace and Djemaa El Fna.,Date of stay: June 2022,,"Denver, Colorado",https://www.tripadvisor.com/Profile/V5991DRwilliamm
Villa Makassar,yassine zaimi wrote a review Jun 2022,50,honeymoon package,The coolest lobby in Marrakech….  As you'll learn if you visit the Villa Makassar - Art Deco Hotel & Spa is a truly impressive architectural. It's a great spot to relax. I would argue that the location architecture SPA and service make this the best place to stay in Marrakech.    My wife and I checked in at Villa Makassar - Art Deco Hotel & Spa on 05/23/2022. Registration was very easy and every staff member I encountered from the check- in to the cleaning staff were delightful and eager to help. the restaurant food was THE BEST EVER. The manager was very friendly. we then went to our room. we found food ready in the table as requested with a Moroccan Mint tea. The fridge was very cleaned and filled with soft drinks.    We had a great massage by one of the staff that I really forgot her name she was very knowledgeable and friendly (I recommend everyone to ask about this lady I believe her name is Kamar). The swimming pool SPA was very clean and warm.    We loved the roof top specially for breakfast. I Highly recommend it!    we will definitely come again…….,Date of stay: May 2022,,,https://www.tripadvisor.com/Profile/yassinezaimi
